a	b	l1	r	marker	divs
C92L3	C92P1g	0.4346393880997426	0.9461576200027899	26	921.0296777801371
C92L3	C92P1h	0.6332465985260911	0.8996506408427025	26	1341.8915233287826
C92N1	C92N2	0.031740420779205955	NA	26	67.26005586076644
C92N1	C92P1d	2.0038994271940793	NA	26	4246.395734637878
C92N1	C92P1e	1.9298486485661983	NA	26	4089.477225532684
C92N1	C92P1f	2.087036611723992	NA	26	4422.568940232308
C92N1	C92P1g	2.314509117017744	NA	26	4904.598259228281
C92N1	C92P1h	1.8613916071114107	NA	26	3944.4122163338043
C92N2	C92P1d	2.0072345977280484	0.2008583028972354	26	4253.463182104324
C92N2	C92P1e	1.9331838191001671	0.008309924847923422	26	4096.54467299913
C92N2	C92P1f	2.0903717822579604	0.03638783095104962	26	4429.636387698753
C92N2	C92P1g	2.3178442875517127	0.06881286059166096	26	4911.665706694726
C92N2	C92P1h	1.8647267776453793	0.06281661701293674	26	3951.47966380025
C92P1d	C92P1e	0.45089301597121145	0.907911886124716	26	955.4721927732372
C92P1d	C92P1f	0.4112085371102448	0.9221150264087492	26	871.3781511862813
C92P1d	C92P1g	0.6018298367000913	0.9086347845327293	26	1275.3173222468142
C92P1d	C92P1h	0.4358921520391071	0.9174982291852962	26	923.684367619574
C92P1e	C92P1f	0.2733543119623578	0.9779782895227115	26	579.2559090588564
C92P1e	C92P1g	0.4572714291841506	0.9722616718189613	26	968.9884732280444
C92P1e	C92P1h	0.25240250903972467	0.9791249488447963	26	534.8576496670561
C92P1f	C92P1g	0.5113834789082188	0.9498795701019118	26	1083.6554939490106
C92P1f	C92P1h	0.36480878669222727	0.9636209390056509	26	773.0540039813384
C92P1g	C92P1h	0.5682265948541705	0.9509058159779367	26	1204.1098250500486
C93Ad1a	C93Ad1b	0.10783599943060726	0.9176171174244867	21	1143.3733280916006
C93Ad1a	C93Ad1c	0.17252380734626768	0.8089985114647334	21	1829.2510926044965
C93Ad1a	C93L2	0.20331293414197385	0.5963851499702282	21	2155.7048423663687
C93Ad1a	C93L3	0.2140559050609915	0.5886763349738305	21	2269.6113900696037
C93Ad1a	C93L4	0.22330614534673676	0.6635249983680386	21	2367.690677849243
C93Ad1a	C93L5	0.2334308660890409	0.6045625867453727	21	2475.0419864312694
C93Ad1a	C93L6	0.2117105053011478	0.6935392481315267	21	2244.74337249405
C93Ad1a	C93N1	0.25697156071557664	NA	21	2724.6414013098843
C93Ad1a	C93N2	0.26982645438437053	-0.03846130171667848	21	2860.9404353426767
C93Ad1a	C93P1a	0.21969412691188786	0.48979015702119355	21	2329.392840755991
C93Ad1a	C93P1c	0.21926860827007738	0.579697423940336	21	2324.8811130563286
C93Ad1a	C93P1g	0.2404935347958497	0.4946157583766619	21	2549.926691605341
C93Ad1b	C93Ad1c	0.12564624095055454	0.8708928401817663	21	1332.2133743498212
C93Ad1b	C93L2	0.15742201437345238	0.7360226138720178	21	1669.128430574647
C93Ad1b	C93L3	0.16159366669214079	0.7837790634554688	21	1713.3600046356744
C93Ad1b	C93L4	0.16135529644388885	0.8573251981434988	21	1710.832590919467
C93Ad1b	C93L5	0.17135010983323656	0.773510144311183	21	1816.8065060217868
C93Ad1b	C93L6	0.14122631872640637	0.8419768882260243	21	1497.4072379256388
C93Ad1b	C93N1	0.208889765736947	NA	21	2214.8353788719824
C93Ad1b	C93N2	0.21829732703578952	-0.1243232306731493	21	2314.5827241766924
C93Ad1b	C93P1a	0.18298060433461624	0.6602201699367715	21	1940.1233693662105
C93Ad1b	C93P1c	0.16180641232751009	0.7197224383224007	21	1715.6157233792621
C93Ad1b	C93P1g	0.1988082515472931	0.6672179509392638	21	2107.9421846502796
C93Ad1c	C93L2	0.12325582444791963	0.7978287627049954	21	1306.868049165521
C93Ad1c	C93L3	0.1605827315527526	0.7747070109139027	21	1702.6411697297965
C93Ad1c	C93L4	0.16537504359753225	0.8444043589503767	21	1753.4535311010022
C93Ad1c	C93L5	0.1431010042148419	0.8822109984820903	21	1517.2843234755055
C93Ad1c	C93L6	0.14666137384233777	0.8063295819830223	21	1555.0345339035712
C93Ad1c	C93N1	0.20844148904663984	NA	21	2210.082350068904
C93Ad1c	C93N2	0.21348039085526402	0.08544952237469294	21	2263.5092757827133
C93Ad1c	C93P1a	0.10048441208066297	0.841913912979935	21	1065.4252500894029
C93Ad1c	C93P1c	0.0925755987163889	0.9016337402372703	21	981.5689654969428
C93Ad1c	C93P1g	0.11892328112087688	0.8289332213343442	21	1260.930565309495
C93L2	C93L3	0.08481429203820026	0.943502061873137	21	899.2766781918059
C93L2	C93L4	0.11136420819763211	0.9160465221837534	21	1180.7825404275152
C93L2	C93L5	0.09417043739477801	0.9471313031651633	21	998.4788658744359
C93L2	C93L6	0.1433360870820383	0.7891412645135425	21	1519.7768814493074
C93L2	C93N1	0.19448475037254842	NA	21	2062.10057374782
C93L2	C93N2	0.20818773379775993	-0.12230686925810423	21	2207.391810870821
C93L2	C93P1a	0.11312489548591784	0.8554990622281541	21	1199.450915507873
C93L2	C93P1c	0.0983453529988261	0.8869196602898617	21	1042.7450401938363
C93L2	C93P1g	0.14073575055219675	0.8280956520408689	21	1492.2057971362592
C93L3	C93L4	0.10450139717273305	0.9421256838734369	21	1108.016904433647
C93L3	C93L5	0.09341020943854816	0.9353902773549161	21	990.4182518585928
C93L3	C93L6	0.13739735779719597	0.8452324439253902	21	1456.809183251131
C93L3	C93N1	0.2292165586561413	NA	21	2430.358144851479
C93L3	C93N2	0.24206812243210726	-0.09823919624427849	21	2566.621872394185
C93L3	C93P1a	0.13671017880566916	0.8589543162042912	21	1449.5230994323201
C93L3	C93P1c	0.13318673751379703	0.8750876908335378	21	1412.1644361149217
C93L3	C93P1g	0.13227263280995255	0.8426259719377185	21	1402.4722837448646
C93L4	C93L5	0.08335229959830846	0.9551087228129722	21	883.7753319765327
C93L4	C93L6	0.1354280060425593	0.9208623058061923	21	1435.928361616692
C93L4	C93N1	0.27457466576310463	NA	21	2911.28520216685
C93L4	C93N2	0.27887258695221373	-0.18940860087974304	21	2956.8555912745182
C93L4	C93P1a	0.18045679398977127	0.8456856011865752	21	1913.3636838373131
C93L4	C93P1c	0.1640408765712904	0.8637188395048025	21	1739.3075037902818
