	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3C_3
HMEC_4_G2_4A_2	0.0108161852848154	0.00489254374565436	0.0105037963194882	0.0126176562361318	0.00713259264142363	0.0111740377056395	0.0181849982130073	0.00471994704005123	0.0108434294615577	0.00802278092829734	0	0.00538596981850625	0.0121305522569201	0.0136378298045368	0.0138583946193122	0.025359468148802	0.0165563819277941	0.020278164851094	0.00866211772910785	0.0073667391784451	0.00845647553575674	0.00445088055696084	0.01162349101352	0.00874777074759021	0.00805593510931154	0.0092568536924826	0.012568270986345	0.0126382712309748	0.00637861127385913	0.0141300917729188	0.00646528869457306	0.0138315867240523	0.0141343527170183	0.0118721640323071	0.0216781897813124	0.0168941090800878	0.00588085635446746	0.00596343358707861	0.0147864351194912	0.00843710473397304	0.0334348111368279	0.0233525325783701	0.00613327414096279	0.00785952128967705	0.0130163128759478	0.0160547041640856	0.0141326818417302	0.00755066655817662	0.00745100509328135	0.0134850183498665	0.00549928355810287	0.0060861802862167	0.00504599227844713	0.0127759235201453	0.0145734056378333	0.0244681629295994	0.0106664033941515	0.0184746815857333	0.0177205108842262	0.00676714652658448	0.0610724980730123	0.0173809389068466
HMEC_4_G2_4A_3	0.00570595240687412	0.00448071123949736	0.00961465477312042	0.0158953661182405	0.0050919637698816	0.0113125674839444	0.0145353626362884	0.00381905679200458	0.0151516648432081	0.0087051340991769	0.00538596981850625	0	0.0127800234321323	0.00862532989133313	0.0143788138334253	0.0298007672234806	0.0116986128835164	0.0238019159741395	0.0120056515390708	0.0106395786894494	0.00386938036850543	0.00391003311285124	0.0110850564625462	0.0103789063853944	0.006765500145547	0.00521782880527142	0.00848977318162585	0.00832216084965465	0.00589579296230013	0.00908001820706062	0.00563981370224385	0.00946630905520653	0.0167929483985798	0.014860706654571	0.0165891887386561	0.0129533061523705	0.00739426111511469	0.00517407136597877	0.0173370216893923	0.00945531590773211	0.0286626960788119	0.0183346506415468	0.000882920834448121	0.0066869062142144	0.0156311622461321	0.0163428490336149	0.00899601909837265	0.00345588822964284	0.0115816718436428	0.00894302950242658	0.00434132281847503	0.00688027126228656	0.00828538508135159	0.010936667123829	0.0144541450035715	0.0278680583512412	0.00728039177171468	0.0204701369213203	0.0123349931452531	0.0105121887034968	0.0652777770189651	0.0130493897224095
HMEC_4_G2_4B_1	0.0133980489550899	0.00845504145127569	0.00403959406638079	0.00723882414364777	0.00796846176380693	0.00167801068750043	0.0125904512880411	0.00908042545150391	0.00994237298681161	0.00424063700958629	0.0121305522569201	0.0127800234321323	0	0.0199348275458379	0.00172830994029599	0.0215251875986095	0.0229997841871378	0.0136718873915898	0.0064966801314198	0.00658080204706955	0.0113845659345662	0.00909622344119507	0.00285620006477347	0.00360712152773794	0.0062906249243698	0.0103057440338117	0.010918053693968	0.0115840577781545	0.00689231355633496	0.0148244505140993	0.0071418925246954	0.0122185627292364	0.00624247430222014	0.0060315904086791	0.0267789674039739	0.0253290283739658	0.00626051925053798	0.00761219447994214	0.00638615161539426	0.00369963609934591	0.039223275659919	0.0286497032923082	0.0125739081776155	0.00628728652157828	0.00545718984637173	0.00393074775622156	0.0198941388276462	0.0106072094059916	0.00849850217194196	0.0210056580420893	0.008447836250936	0.0062631399610999	0.0076248239623737	0.00568337207116889	0.00284701309268308	0.0170729076851226	0.00896424434988696	0.00817130989247355	0.0204621719291494	0.00764178331484474	0.0551301400339665	0.025068180668474
HMEC_4_G2_4B_2	0.00689483878539052	0.0126683641049129	0.0160679225395662	0.0242715755058022	0.0120924012405067	0.0182836997458543	0.0158332681805512	0.0120470752074903	0.0237683320478088	0.0164245765566317	0.0136378298045368	0.00862532989133313	0.0199348275458379	0	0.0212674726349305	0.0384047912648438	0.00313489215123001	0.032154206710715	0.0204931391523307	0.0191486411122527	0.0085515007495011	0.0122342407972448	0.0175457720407706	0.0183548900163782	0.0136817523331845	0.00973651916466224	0.0108637191481314	0.0101990823345646	0.0136164475794949	0.00789059429902144	0.0132510716789477	0.0106282247827746	0.0248859123108235	0.0231575207901167	0.00804153837434975	0.00608006985569037	0.0156511775945228	0.0129630216816029	0.02535778296494	0.0172395647202605	0.0200532375450995	0.00973383767303654	0.00824573779658156	0.0137192806977325	0.0237440500055804	0.022847987111918	0.000879478939492764	0.00938660687278133	0.0201988745413537	0.00210282090195181	0.0122511177536159	0.0149588207303845	0.0168609670908659	0.0160915603830937	0.0207916737729786	0.0361232914943203	0.0116093108459587	0.0280493115026883	0.00612149368071642	0.0191026672659158	0.0737742955636982	0.00529220157361755
HMEC_4_G2_4B_3	0.0145950571670684	0.0101182768825103	0.00520517062190646	0.00778976497965969	0.00946206409823129	0.00307646076092601	0.0125994588279113	0.0107317395290071	0.0109356517428353	0.00594809850717643	0.0138583946193122	0.0143788138334253	0.00172830994029599	0.0212674726349305	0	0.0214541029638239	0.0242950533627838	0.0133437824642928	0.00782250324833934	0.00809153027748087	0.0127404630282688	0.0107625021171548	0.0037681411901476	0.00527681970264076	0.00775606252763845	0.0115572267752061	0.0117588489925344	0.0124567645733897	0.00852033648296967	0.0157294641336098	0.00874437268225168	0.0129610433201386	0.00629346810029659	0.00671275063284838	0.0278857027691959	0.0267795655160244	0.0079884490520995	0.00923449090045077	0.00624428152652062	0.00542744147678462	0.040302416497015	0.0297560894927625	0.0141279014270172	0.00778088745638692	0.00578668478401803	0.00221292996509427	0.0211786752791615	0.0120326703173173	0.00991061268611934	0.0224261432905574	0.0100690529597142	0.00797251159666462	0.00930727224761845	0.00616135848365819	0.00174826552300898	0.0164512556355424	0.0100018468301853	0.00715552569350409	0.0214168877220993	0.0091591791628765	0.0544202114136845	0.026454280825659
HMEC_4_G2_4C_1	0.0332538235316718	0.025898562965567	0.0251267320573864	0.014749044242392	0.0271525404458311	0.0229276631572634	0.0340289146160701	0.0264699961984448	0.0146580023465494	0.0230044959947287	0.025359468148802	0.0298007672234806	0.0215251875986095	0.0384047912648438	0.0214541029638239	0	0.0414929668718322	0.00838999937621318	0.0180583651019274	0.0193447148541175	0.0307070742952047	0.0262493679744187	0.0243124718903502	0.0209775898769673	0.0260611760352247	0.0302739229464931	0.0319755826798777	0.0325507944628232	0.0253654194442571	0.0355707487482008	0.0257659034620323	0.0333909038759194	0.0152868894620382	0.0160165131551393	0.0462361427160951	0.0422423905567664	0.0230263289405032	0.0258799097238868	0.0152245797508415	0.0222366920092461	0.0584386969133545	0.048034664246005	0.0301708549420673	0.0259178417005238	0.0161206470480698	0.0218858945029552	0.0387015443800577	0.0296502257177643	0.018224608817387	0.0386455090126121	0.026438049176808	0.023849519877195	0.0215549707437262	0.0272004104336382	0.0231043067172281	0.00778021676080956	0.0297405150783008	0.0157168563454191	0.0408307581263552	0.0193098881841996	0.0357756810332299	0.0426568431202978
HMEC_4_G2_4C_3	0.00977368742934227	0.0158002535184286	0.0190913317629403	0.0274035032279321	0.0152040805198626	0.0213398992104455	0.0179294669674534	0.015176465355254	0.0268480354256102	0.0195471493629662	0.0165563819277941	0.0116986128835164	0.0229997841871378	0.00313489215123001	0.0242950533627838	0.0414929668718322	0	0.0352870591949004	0.0236150016372019	0.0222667401445363	0.0116293392145555	0.0153598773997134	0.0205528837293959	0.021484891273291	0.0167725492623273	0.012740813176338	0.0135051856728361	0.0128048008671464	0.0167465371801448	0.0100833175911194	0.0163791554862386	0.0130495415856749	0.0280154582891328	0.0262913307524692	0.00534272693333408	0.00441134143887318	0.0187842297080125	0.0160959560940618	0.0284834524555913	0.0203632847574559	0.0169683277557243	0.00684947040265685	0.0113592279522143	0.0168172210893738	0.0268749807158949	0.0258141955473897	0.00311995571829088	0.012496485289353	0.0232788514160275	0.00328875580236891	0.015385726196458	0.0180932666069137	0.0199630164047546	0.0189505291926664	0.023750669964474	0.0392552002379153	0.0145015223405009	0.0311338336680704	0.00641766077924909	0.0222001689706594	0.0768916415162929	0.00295452508011939
HMEC_4_G2_4D_1	0.0263360625517668	0.0194990082408028	0.0175335458119978	0.00790872255094732	0.0202876600967263	0.0152132401665178	0.0259321572097332	0.020133455414417	0.00977928519729869	0.0159387969320691	0.020278164851094	0.0238019159741395	0.0136718873915898	0.032154206710715	0.0133437824642928	0.00838999937621318	0.0352870591949004	0	0.0118397774465362	0.0132140438138952	0.0239350269822006	0.0199699385355834	0.0165234432606379	0.0139159748983965	0.0189521106753731	0.0232454340597391	0.0244828102040868	0.0251127861372221	0.0186084586738337	0.0282742975771057	0.0189933455752421	0.0258362449777185	0.00754836458547097	0.00900068341639113	0.0396605222318727	0.0366945912568848	0.0165110509377025	0.019224587486274	0.00729342780219913	0.0151246831773474	0.0520589357999643	0.0415077516228325	0.0239917286734509	0.0188454568631736	0.00858963297228136	0.0135679178339491	0.0323182514113609	0.0229430416995354	0.0128427469422517	0.032731586044234	0.0199097768548203	0.0172059313606197	0.0156416223492771	0.0193272666933045	0.0149191054836619	0.00420653011988782	0.0223663005325833	0.00733574844417166	0.0337693214212098	0.0135678658680349	0.041779064185611	0.0368442473296767
HMEC_4_G2_4D_2	0.0152261662342496	0.00786517148037917	0.00826068286159587	0.00399005954119939	0.00915206141517816	0.00686164308552903	0.0179630718554095	0.00846048650127987	0.00398664247611823	0.00535576721349891	0.00866211772910785	0.0120056515390708	0.0064966801314198	0.0204931391523307	0.00782250324833934	0.0180583651019274	0.0236150016372019	0.0118397774465362	0	0.00137451054702476	0.0126578863659386	0.00826145076101174	0.0081824262336199	0.00363824723243468	0.00826688848603222	0.012314930146594	0.0144361562193518	0.0149183406903003	0.00734456778934778	0.0177306365412049	0.00774575374651913	0.0159008408501577	0.00555685456905158	0.00322977240817856	0.0282217200187296	0.0248637387874475	0.00497014445942705	0.00782907200567992	0.00623988686053746	0.00475659920429946	0.0405157767152488	0.030037350970665	0.0122601970896175	0.00809243604255813	0.00451007111123797	0.00984238862671542	0.0207309529914968	0.0115961339805899	0.00215386511890111	0.0209475809512045	0.00838383673165106	0.0058103914683058	0.00380716048101312	0.0108941439160461	0.00931749188161663	0.0159711033733364	0.0121127616142499	0.0101238079355283	0.0228207424747801	0.00196457831388753	0.053319543024568	0.0250479222783753
HMEC_4_G2_4D_3	0.0140039580706702	0.00655534500595018	0.00763845756536327	0.00535230344206793	0.00797990557241916	0.00660116186106894	0.0173086585432441	0.00713477304827238	0.00499220121559379	0.00453038624103758	0.0073667391784451	0.0106395786894494	0.00658080204706955	0.0191486411122527	0.00809153027748087	0.0193447148541175	0.0222667401445363	0.0132140438138952	0.00137451054702476	0	0.0114132474950454	0.00692551370618487	0.00780259169872462	0.00321326017215558	0.00724750493226554	0.0111549865025626	0.0134452175303795	0.0138905447077774	0.00616636309557298	0.0166076135329747	0.00656453455881887	0.0149136159171652	0.00677483798508313	0.0045106508733701	0.026909402041301	0.0234897894038839	0.00374216466479986	0.00659797350037804	0.00743708966806196	0.00408686410578086	0.0391813714827082	0.0287186104424602	0.0109089896544112	0.0070581725064651	0.00567384202313378	0.0102235562387869	0.0193997177678958	0.0103414638609387	0.00206706865503804	0.0195810362195329	0.00710444652194353	0.00462236823809498	0.00243842049007902	0.0103374411936661	0.00942548526974697	0.0173421207126396	0.0111135422539827	0.0112271705085168	0.0216005657702844	0.00106770205824954	0.0546704961863031	0.0236787653815665
