	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3C_3
HMEC_4_G2_4A_1	0.0092828047832641	0.00217463852795009	0.00459599405044418	0.00850280455537375	0.00732978788415982	0.018638549327842	0.00656342233948918	0.0218795117185833	0.00333524417908741	0.0179483630765164	0	0.026666924998446	0.0150176201133434	0.00461114933242399	0.0169899643340652	0.0148141276898994	0.00376648953300897	0.00115684491972193	0.0100311690571448	0.00916900165148012	0.00891166571489466	0.0147585169656086	0.0165801463678406	0.00942885313587193	0.00851120437579561	0.0226213781199236	0.00765107858494574	0.00676391487844386	0.0100414624626188	0.0101850822103947	0.0446056865748306	0.0175447020001301	0.014555991734845	0.00980400476230013	0.0219458741413714	0.0175204027328331	0.0148956973480687	0.0133372128561329	0.0233900390839244	0.013696683492294	0.0437826367522233	0.0290928701044136	0.010499020782316	0.0125329145224021	0.0128824084370325	0.0110639345955699	0.0189924693623689	0.0160426973840804	0.0149654185548613	0.0214068450387877	0.0361168915391624	0.00820350757091215	0.00567898008847476	0.00670343743256635	0.0128980025545688	0.0144288911440799	0.0131640562385102	0.013704749472352	0.0215994807982575	0.0236037044706901	0.0194663700481771
HMEC_4_G2_4A_2	0.0177736626380345	0.0254208616606809	0.0221510958039781	0.0199147526137233	0.0199944690313934	0.00849275953699608	0.0247679041025948	0.0442479774284584	0.029996615762462	0.0114032479108443	0.026666924998446	0	0.0155428656815372	0.0228498620356999	0.0145998338198526	0.0125272242864732	0.0236891381764292	0.0275448486119261	0.0183995863767601	0.0216268900706086	0.0188517359324151	0.0123713610368925	0.0109559531922535	0.0174928059725963	0.0208405608173892	0.00986416914242715	0.019113759015998	0.0201556089107213	0.0167016779086447	0.0174721164332734	0.0181829559618743	0.0442010532784331	0.0394769413024241	0.0189835197217983	0.00680989020164192	0.0129495861229862	0.0117749174949803	0.0154357582326408	0.00498182010024159	0.0130292417624341	0.0173524538253895	0.00356774661973992	0.0273817249354737	0.0144077688169461	0.0165555349701732	0.0167522712362536	0.00770859101271844	0.0106883146330883	0.0117635015610429	0.00531430387456242	0.0101009503055441	0.022058050688558	0.0210321819577393	0.0207111728326974	0.0145806803175608	0.0122578091942514	0.0151877419436995	0.0141592712143907	0.00646929717794231	0.00340218648094045	0.0161946360062328
HMEC_4_G2_4A_3	0.0066427953999293	0.0149052189174187	0.0108186781446556	0.00652354371596302	0.0078575522366148	0.00751004559926326	0.0104947354933944	0.0288831021506741	0.0180577823514804	0.00418791493538059	0.0150176201133434	0.0155428656815372	0	0.0134040374614578	0.00197270682478262	0.00469630215393476	0.0112737823740336	0.0161522716340424	0.00500521013546505	0.00692341161827051	0.0120697993938307	0.0052070211439105	0.0112758795148289	0.00995541888055173	0.00679334665329991	0.00810115968930866	0.0100836109785806	0.0111149693315067	0.00717424681335216	0.00525302649212748	0.0333639390520566	0.0314658590250774	0.0249698104344686	0.00522353222160586	0.00898900451003876	0.0029193008884214	0.00781300664527583	0.00223736380238357	0.0149024178069251	0.00662282844316569	0.0325410697627171	0.0166220777113632	0.0120582104757492	0.00559590054981362	0.00215387498668331	0.00447867628094322	0.0100128181124238	0.00886698446940489	0.00684593923850516	0.0116629557641992	0.0230946230998692	0.00767991592645496	0.010071573971261	0.0122840932211428	0.00419549028874871	0.00711820754128947	0.00277393705335627	0.00342580877670827	0.0138102625800915	0.0121547278789899	0.00495831857547478
HMEC_4_G2_4B_1	0.00682434253937134	0.00271672380526992	0.00321601610027676	0.00758618326795737	0.00578833282530053	0.0152914271859491	0.00849971027973759	0.0263113635867664	0.00760326607638996	0.0154354150838711	0.00461114933242399	0.0228498620356999	0.0134040374614578	0	0.0152940957646895	0.0118600718105129	0.00464144628043927	0.00507810830034612	0.00861748768634471	0.00945755219988009	0.00438206211900059	0.0116699793598465	0.0123324994717939	0.00535899527632122	0.00824822122705547	0.0201372586240909	0.00388767594736727	0.00275235658163373	0.00691820344715903	0.00815340345273879	0.0405299641123483	0.0216219931372336	0.019158992211916	0.00869565476929466	0.0188295677427161	0.0154007532860486	0.0111833118198579	0.0113420889559434	0.0192158227040443	0.0102572707333082	0.0397133077035978	0.0255405613565346	0.0130643818589649	0.00947276697727101	0.0112938841521043	0.0089646176816235	0.0151473067317371	0.0121678989093134	0.0114735178748027	0.0175383591510321	0.032597013102892	0.00863715830224835	0.00345466112916616	0.00221322087499569	0.0102511206633986	0.0108634797193848	0.0109912077266523	0.0111840375652323	0.0173962581980616	0.0199809766892464	0.0182746304114322
HMEC_4_G2_4B_2	0.00848950909127472	0.0168580120051644	0.0127721007769528	0.00849535489749155	0.0098126708687859	0.00718020183043039	0.0123504955734397	0.0302459294742573	0.0200245308434125	0.0033135372046919	0.0169899643340652	0.0145998338198526	0.00197270682478262	0.0152940957646895	0	0.00543646783316673	0.0132456906603738	0.0181242628811187	0.00697394109716117	0.00876108756072454	0.0137026407828248	0.00595688616928146	0.011876249614414	0.0115694035031485	0.00873154238183934	0.00636186504544481	0.0118647755077891	0.0129300778568363	0.00885578875899336	0.00714689324459884	0.0321089115646381	0.0333667107386686	0.0266700248352105	0.00719481901990745	0.00784424943224655	0.00167445207339638	0.00856101488473194	0.00397347910630359	0.0145816639619896	0.0076409676813022	0.0312921295224897	0.0153190950509452	0.0135532207784276	0.00694458721113104	0.00411842772127153	0.00633226019135016	0.00996846579643126	0.00940721533214742	0.00754952997399882	0.0112693268643062	0.0215703140626443	0.00956310130125005	0.0119998208384121	0.0140793560243048	0.0056139814664678	0.00796032533802972	0.00440720241105686	0.00469755408692633	0.0137020607680356	0.0112813909876992	0.00340532169327948
HMEC_4_G2_4B_3	0.00554375619491464	0.0140263777852836	0.0102226936340288	0.00739341021135836	0.00767050951720236	0.00404905274286658	0.012242441433361	0.0318964786900128	0.0181178278107666	0.00381502121813385	0.0148141276898994	0.0125272242864732	0.00469630215393476	0.0118600718105129	0.00543646783316673	0	0.0114589291554454	0.0158290921238959	0.0058774086095381	0.00919148936328964	0.00914438518706026	0.000524147711775554	0.00658355900536861	0.00707802905624949	0.00832180499642945	0.00836729145391148	0.00800904217245959	0.00916262826076092	0.00495165781358878	0.00497869242660469	0.0307028253135069	0.0321855438576586	0.026963167704906	0.00647286604473951	0.00713318237439297	0.00449535922320846	0.00315282346303583	0.00331430743474359	0.0107992546903814	0.00229176319474171	0.0298725901712902	0.0144638129643856	0.0151073798502713	0.00238754984036944	0.00450515179458593	0.00422759477951081	0.00574099997259675	0.00417366921945013	0.0021598889734659	0.00780666099058585	0.0214096744702717	0.00955366705215921	0.00917729729761442	0.0101313800418278	0.00206158067855431	0.00252399803655809	0.00287727207393281	0.0017483694958585	0.0094736980671949	0.00919956920693767	0.00880633354112178
HMEC_4_G2_4C_1	0.00594909604789134	0.00429214011826514	0.00201593439867928	0.00475077644133335	0.00379449505900758	0.0154179528472075	0.00386404475850224	0.0225876265798239	0.00682509333730563	0.0143624737328085	0.00376648953300897	0.0236891381764292	0.0112737823740336	0.00464144628043927	0.0132456906603738	0.0114589291554454	0	0.00491810379559655	0.0063146824971399	0.00555848125883393	0.00767503583785968	0.0114748200655921	0.0142708880183132	0.00732531558242202	0.00476568945620369	0.0189911095597953	0.00552063369941534	0.00513156356620998	0.0070216552500279	0.00661766079894467	0.0417941288407729	0.020734381332758	0.0162241108963312	0.00605190757124069	0.0185547652223029	0.0138376831537648	0.0120381948311046	0.00967357645727004	0.020835649092428	0.0106705640882961	0.0409661737663708	0.0258936874973181	0.00842373761206037	0.00931328184304373	0.00915088159177734	0.00748349291259772	0.0161433660068902	0.0132965450253559	0.01193040013356	0.0185371292421452	0.0328625888347458	0.00461124806517307	0.00300065079463047	0.00575190099289558	0.00945768192931336	0.0114680875811527	0.00954914065141407	0.0101911308218748	0.0191119270241337	0.020499944830387	0.0157033303712853
HMEC_4_G2_4D_1	0.010319036050537	0.0023817527203599	0.0056129407924487	0.00964422784048026	0.00842319989359457	0.0196048785106697	0.00762840992258973	0.0219139606412057	0.00253221483915053	0.0190251706843628	0.00115684491972193	0.0275448486119261	0.0161522716340424	0.00507810830034612	0.0181242628811187	0.0158290921238959	0.00491810379559655	0	0.0111587716333354	0.0103190781654921	0.00945710261933808	0.0157540189208125	0.0172999591069644	0.0101801368287192	0.00966753397755313	0.0237093871859635	0.00845407224767028	0.00748824508021959	0.010999345623385	0.0112715744896258	0.0454125309366421	0.0166955308352851	0.0143283661282819	0.0109446075486146	0.0229569658018574	0.0186299533691573	0.0157756313872122	0.0144440162013727	0.0241493811700697	0.0146282106945268	0.0445916251889621	0.0300356632895791	0.0113942628232549	0.0135210233865973	0.0140128288468649	0.0121510889348081	0.019851478377353	0.0168860711214588	0.0158927062737137	0.0222640803201832	0.0370713838599774	0.00935328049161851	0.00665800136317898	0.0072652589986178	0.0139422127091568	0.0153390559112848	0.0142562871493413	0.0147668015399863	0.0223452208243844	0.0245249883739157	0.0206198677937182
HMEC_4_G2_4D_2	0.00252005288602551	0.00992194430439903	0.00584112307906325	0.00163765542259133	0.00289037853982013	0.00991003880984378	0.00637469994552881	0.0260980492710615	0.013134013742959	0.00816174168192764	0.0100311690571448	0.0183995863767601	0.00500521013546505	0.00861748768634471	0.00697394109716117	0.0058774086095381	0.0063146824971399	0.0111587716333354	0	0.00346542012153173	0.00828981771879766	0.00608623902299725	0.0108941677843491	0.00644285685589307	0.00244503473245424	0.0127141576816813	0.00584432175263592	0.00667142702467648	0.00388127919217637	0.00134024000123556	0.0365662033359379	0.0268235418137427	0.0211172261108033	0.000642494420398309	0.0126245275422156	0.00752924596134962	0.00770360363939722	0.00340291108067747	0.0164342768542495	0.0061241654637345	0.0357362572100743	0.0201880834821245	0.00946673114487686	0.00447772662913434	0.00285631774408308	0.00170240246285103	0.0114011729278394	0.00905703757324866	0.00715351681489069	0.0136167241917477	0.0270172873617972	0.00368997275726182	0.00518828629782331	0.00787248259606109	0.00384772637954533	0.00695703601075663	0.00338735966555444	0.00427207203069454	0.0149311101876924	0.0150536580001788	0.00970630130784519
HMEC_4_G2_4D_3	0.00546990571503794	0.00982035401028777	0.00624791882044242	0.00262119994646175	0.00424993497355311	0.0131494275628208	0.00359148336766982	0.0227081221982818	0.0117685981161941	0.0108302982052698	0.00916900165148012	0.0216268900706086	0.00692341161827051	0.00945755219988009	0.00876108756072454	0.00919148936328964	0.00555848125883393	0.0103190781654921	0.00346542012153173	0	0.010584410796474	0.00945715289961312	0.0143231479861238	0.00911385986499096	0.00143235005693465	0.0150239186761758	0.00796239014201639	0.0084052348711668	0.00700279065561264	0.00473821801362498	0.0397409887077305	0.0246376825190818	0.0181286922109096	0.00282332786983687	0.0155378238392383	0.00981534604502344	0.0111687611590705	0.00622678358917952	0.019870710629867	0.00958941942160834	0.0389123434693889	0.0231875914409927	0.00600174761742944	0.00794306259167059	0.00520519422407412	0.00515271751815104	0.0148224864533176	0.0125223066434771	0.010606308424364	0.016989497942101	0.0298638251688712	0.000965997972166662	0.00621224707482619	0.00951145350806228	0.00723272644952527	0.0104221173179004	0.00644004837232001	0.00748856009965358	0.0183883883293778	0.0182456942962094	0.0106025838128107
