	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_G2_4A_3	0.0349422223858014	0.0105900459675776	0.0276929194705149	0.0470670723801134	0.014920801356281	0.0168059373991965	0.0543531403595919	0.0245289803067048	0.0193878805486059	0.0209668775962491	0	0.0339494985889566	0.0154053726404486	0.013980427450452	0.0505112933065857	0.0251510410034717	0.028252487374889	0.0182006958113846	0.0151815555559633	0.0143561038837888	0.0180837841832606	0.0143854863589632	0.016817417881853	0.00897026969955812	0.0142431611291713	0.0237326438494339	0.0134591242485599	0.0313264408433395	0.0174114702685338	0.0161886609444263	0.0435709855362367	0.0360910012174494	0.0137333168415589	0.0263664929734965	0.0176060738774385	0.0205400597937256	0.0164839073340149	0.00788181035692255	0.0249053212612053	0.0156044695441471	0.00868039012479298	0.0202520005968946	0.0121655445660417	0.0305943826170364	0.0300385783151641	0.0104861225331113	0.0238252028480502	0.0104255390366765	0.024836353235827	0.0149621512196419	0.00777626890036826	0.0161955064444867	0.0182669156401145	0.0129225148686159	0.00678865179422867	0.015938514837706	0.0174113371359771	0.01641949032997	0.0236708826748297	0.0249948926316844	0.0169989638208172	0.0130061279156071	0.0110130062528837
HMEC_4_G2_4B_1	0.02005488384912	0.0300017006824512	0.00876019516787603	0.0182077449231853	0.0213213418331039	0.0413398201553098	0.0255677869183155	0.0124884398490512	0.0225235878254155	0.0323371909640469	0.0339494985889566	0	0.0228800521991067	0.0418667989521519	0.0816412635445159	0.0168004049938981	0.0462606663431667	0.0186454492432263	0.0303505986437718	0.0271463957141345	0.023053531655007	0.0317992996820059	0.0405664611425811	0.0301472310397808	0.0326004734265863	0.018661292023522	0.0415224016302921	0.012574085753032	0.0225307258725924	0.0245939057857325	0.0145714639574697	0.0154541008265014	0.0447396272203113	0.0162269626742238	0.0251286564094792	0.0178400603240594	0.0232959485035449	0.0301690891340865	0.0183873411836629	0.0298366484723307	0.0325005417581215	0.0391595605742337	0.0355132769736288	0.0616722350120218	0.0132501277249784	0.0305478793504293	0.0401149837009201	0.0356696372434818	0.0540545135942663	0.0313148560334661	0.0305056024615649	0.0198390050508379	0.0269858162215635	0.0274963162189398	0.0394897596502957	0.0273369542575625	0.0469684018557782	0.0436531014942538	0.0249896746367526	0.0156611499133372	0.0267127767504235	0.0431619571906631	0.0238871537067605
HMEC_4_G2_4B_2	0.0205711677956666	0.0118100101584602	0.0149313481865785	0.0325461654597548	0.00254440313256315	0.0208391770353676	0.0450934483429572	0.0151428278091342	0.00561042336631261	0.013148246539197	0.0154053726404486	0.0228800521991067	0	0.0202390216554309	0.0613364358962169	0.00995706500747077	0.0270800443273879	0.00621152997187776	0.00968643385113231	0.00495502991240335	0.00826659238781715	0.0124973337100197	0.0187438697896133	0.011558539840873	0.0123127563205606	0.00866060946339002	0.019759977309119	0.0168793274777962	0.0035409125373446	0.0063552125224049	0.0293756898570067	0.0211032878546169	0.0241581547760049	0.0118247982293714	0.00812025927178545	0.00612920383466038	0.00334441553249023	0.00986824522253984	0.0103540622129884	0.00863071536426025	0.0106475903585989	0.0182108119863496	0.0142269482778523	0.0412142133209848	0.0152782249707843	0.00919323974359306	0.0210655174219774	0.0144126489151415	0.0329811752694017	0.0114952605372934	0.0101660135844643	0.00594289354539382	0.0121085826321764	0.00776802617130231	0.0202382595751145	0.00573516746756228	0.0263327509455914	0.0242365190397558	0.0110280879644093	0.0206871585492134	0.0119259298676894	0.0236902419242131	0.00545458707682147
HMEC_4_G2_4B_3	0.0357201375596995	0.0128223986835431	0.0348080635915266	0.0513370185048444	0.021227859209225	0.00504589268065155	0.0646456560693722	0.0342143390033683	0.0212975486889656	0.0157718387805453	0.013980427450452	0.0418667989521519	0.0202390216554309	0	0.0412294084451894	0.0293062525328105	0.0158264456777458	0.0233640522063771	0.0128627446257054	0.0158908551914644	0.0200555436095033	0.011402915157744	0.00512813077791591	0.0126210602650053	0.0103611968355081	0.0266290117102425	0.000812026437587451	0.0353135246477887	0.0204259634005359	0.0179810399205096	0.0488941508341234	0.0392298009900022	0.00621890844058312	0.0294863527565125	0.0182233886077981	0.0250979539261143	0.0194507754546598	0.0121425374390743	0.0273022416273715	0.0137619252791336	0.00998811238077844	0.010138833538414	0.0065673814515051	0.021252424515536	0.0348470454142432	0.0113930666979134	0.0134916613340658	0.00622006445228214	0.0128316018930677	0.0118959665522247	0.0118198162336814	0.0220430646495596	0.0178360333345964	0.0145440366830241	0.0101981309720385	0.016366028180347	0.00681302047445342	0.00752353853283057	0.0226331024779429	0.0368820237468699	0.0175838862878267	0.00796958109089055	0.0190537553164955
HMEC_4_G2_4C_3	0.0747124182132312	0.0517594108059324	0.0754831676654141	0.0915977752034763	0.0620313272141965	0.0415197283169583	0.104339980388799	0.0743377969804926	0.0620470817160341	0.0547376544897688	0.0505112933065857	0.0816412635445159	0.0613364358962169	0.0412294084451894	0	0.070358389281187	0.0435079714241484	0.0637079610201653	0.0533951883413301	0.0570465518189827	0.0598137007712412	0.0508598663034902	0.0440165270605083	0.0516964638175475	0.0504251955221035	0.0674048655128345	0.0417371196079924	0.0756767926427194	0.0613667301048191	0.0583902285486526	0.089606571766657	0.0795360501320978	0.0376116150334296	0.0698796852498251	0.0582125828883938	0.0659189927428373	0.0604003649696364	0.0522563580459646	0.0676941884372486	0.0545418099869564	0.0508447417348286	0.0472969089221908	0.0473725240532951	0.0202241625331223	0.0758204081030172	0.0522694030408961	0.0473970584142517	0.0469803333271954	0.028763289032187	0.0518207430161234	0.0519189762540038	0.0622241257761179	0.056191737747372	0.0549480958037621	0.0438672478916473	0.0574208427538926	0.035098629332501	0.0381400268060573	0.0622616500957559	0.0748918546677563	0.0558888371216385	0.0388104783559266	0.059264191714886
HMEC_4_G2_4D_1	0.0131535473712959	0.0204009607379106	0.00854881761604766	0.0228095369288856	0.0103329392940706	0.0291213186342471	0.0388215103525611	0.0130933712081774	0.00862766190840645	0.0177143069898328	0.0251510410034717	0.0168004049938981	0.00995706500747077	0.0293062525328105	0.070358389281187	0	0.0325605211672873	0.009258188234236	0.0171368831170317	0.0134427495215391	0.0125911140242735	0.0201846744323198	0.0268319635569952	0.02058646041485	0.0202154382839595	0.00389471311788198	0.028895747790764	0.0081085336819014	0.00917913591684824	0.0126790428837135	0.0198008853929538	0.0114822653786646	0.0337128693351983	0.00526907221348156	0.0133065573541391	0.00561486605900141	0.0101665646627554	0.0194958390735519	0.00562780954005602	0.0159483229266629	0.0203278926046767	0.0247884619601042	0.0230543170892039	0.0504064573771396	0.00561878704315328	0.0184794096940747	0.0265441755105166	0.0236526401102539	0.0417360838987238	0.0189821792282513	0.019799014818606	0.01107135655616	0.0171489381388736	0.0160403155977991	0.0300992052427471	0.0130262849698629	0.035498818078666	0.0330779409609372	0.0111446182252868	0.0211169154984081	0.0175652485727088	0.0331575805081597	0.0143650762959147
HMEC_4_G2_4D_2	0.0332994166223898	0.0216281284077594	0.0395694174985456	0.0510237125503879	0.0286476336998719	0.0122670456056008	0.0707349256685535	0.041895083560664	0.0246745682972588	0.0149076225182066	0.028252487374889	0.0462606663431667	0.0270800443273879	0.0158264456777458	0.0435079714241484	0.0325605211672873	0	0.0286945599145115	0.0176654795776713	0.0222522091543931	0.0236843199146946	0.0168920599726709	0.0121853048758398	0.022580874777541	0.0161913437336614	0.0290906683113838	0.0163356305540185	0.0365963379363421	0.0252885951227411	0.0226685053366396	0.0501085976070841	0.0391279840171399	0.0203171644594666	0.0311215066189988	0.0215768632090594	0.0295284740749124	0.0247218837202429	0.0228331550618513	0.0288285741438507	0.01846993924963	0.0211746108006702	0.00954248731509568	0.0163459012542878	0.0269570590606626	0.037494846844142	0.0204974675469379	0.00621845459114748	0.0178972279200723	0.0178549539717895	0.0167419969574351	0.0226458914847886	0.028420881313189	0.0203726525634255	0.021333043362237	0.0253098296653241	0.0214556999650782	0.0177323659086828	0.0169338124779085	0.0221689129658652	0.0463948280483093	0.0213785374672302	0.0211203888054567	0.028503270815454
HMEC_4_G2_4D_3	0.0174240147791561	0.0122164135553099	0.0120156449869015	0.0295011274072214	0.00493590742913592	0.0228663781023023	0.0426328925025371	0.0139038352129309	0.0057696141054597	0.0150539438477857	0.0182006958113846	0.0186454492432263	0.00621152997187776	0.0233640522063771	0.0637079610201653	0.009258188234236	0.0286945599145115	0	0.0118340057794137	0.00904480072448168	0.00546462855487012	0.0134064701088885	0.0219566726282336	0.0124890794588667	0.0140359131335492	0.00726696116828415	0.0230445049722839	0.0133969818342366	0.00493070239041298	0.00612730440487023	0.0266498067652261	0.0184310390446924	0.0268080050362069	0.00858779979456067	0.00716661188666182	0.0036995965420234	0.00531443755550428	0.0122820788826318	0.00772102046756884	0.0114886628626934	0.0143736230740463	0.0209385551776762	0.0169210399937527	0.0436617435598702	0.0134438437742776	0.0120871267655037	0.0224905553386102	0.0172249615709213	0.0356196411722465	0.0128212447833123	0.0126045685774067	0.00214450847453592	0.0100022347643118	0.00891277896438278	0.0227068672911745	0.00942419500431271	0.0287573718224544	0.0257279379468366	0.0103607640125413	0.0188022803615443	0.00968386650343158	0.0256031733787361	0.00777952947051368
HMEC_5_1_1	0.0230106720770735	0.00759878049427608	0.0231718049781135	0.0385723231327686	0.0110244063050215	0.0119943542099909	0.0540723246142035	0.024424376998718	0.00868962291359179	0.00606261282477782	0.0151815555559633	0.0303505986437718	0.00968643385113231	0.0128627446257054	0.0533951883413301	0.0171368831170317	0.0176654795776713	0.0118340057794137	0	0.00502906980615471	0.00806280498864466	0.00414912202999102	0.010348465568909	0.00826177476377862	0.00329985652021942	0.0140362451925718	0.0126501322507002	0.022592726121339	0.00835746956085778	0.00581922348075718	0.0363539756922045	0.0264491061298408	0.0177500079231217	0.0167303541997938	0.00582131789403808	0.0130182988094095	0.00754541246490814	0.00755558807066098	0.0144992426691013	0.00183919358747762	0.00710142111525655	0.00925363469632337	0.00650222270789605	0.0335854734791761	0.0225357128794189	0.00470625864857946	0.0116830234782659	0.00776070252485766	0.0247773895914866	0.00247670174436183	0.0075917887454303	0.0112630123315293	0.00749074238312117	0.00429545729332662	0.0166507081560499	0.00477879929112662	0.0187926390369536	0.0164240270389542	0.0100501368362464	0.0289189476293019	0.00792927063203071	0.0174241411386077	0.0110805475960615
HMEC_5_1_2	0.02190205227765	0.00927163126377439	0.0194021312604693	0.0358465525529019	0.00677400546212293	0.0162253411081051	0.0499505380367008	0.0200590093061712	0.00613994125668405	0.00897656012441399	0.0143561038837888	0.0271463957141345	0.00495502991240335	0.0158908551914644	0.0570465518189827	0.0134427495215391	0.0222522091543931	0.00904480072448168	0.00502906980615471	0	0.00775743998516336	0.00841594245368128	0.0139197971948956	0.00926920016291917	0.00780988058253053	0.0110911342119586	0.0154666258557554	0.0199628156561599	0.00488703226153958	0.00488784046154964	0.0331289598206172	0.0239050040055664	0.0204117065122514	0.0143125266107599	0.00624186939867552	0.00958640287665069	0.00401018101927457	0.00745869023067447	0.0122749953456758	0.00381575454987505	0.00724502759011912	0.0132834307111094	0.00977764639131343	0.0370385954220889	0.0189967449731278	0.00544058500216451	0.0163351303091903	0.0103252733778285	0.0284789508562875	0.00714169652713229	0.00765446974599468	0.00853010275472012	0.00989014817867143	0.00481689614899191	0.0177575450660947	0.00169125853682359	0.0221652667645387	0.0201874308155036	0.00990772547868606	0.0251174763918144	0.00998666370024089	0.0201938915792153	0.00755129389879374
HMEC_5_1_3	0.0175842781114648	0.00942333964444964	0.0168933869749584	0.0323330269581677	0.00819818365989706	0.0186547020393858	0.0476959059680458	0.0193667973576171	0.00526335080588737	0.0109728017262935	0.0180837841832606	0.023053531655007	0.00826659238781715	0.0200555436095033	0.0598137007712412	0.0125911140242735	0.0236843199146946	0.00546462855487012	0.00806280498864466	0.00775743998516336	0	0.00906054794626531	0.0181922367711208	0.0103297251184607	0.00993815839273897	0.00923077455229353	0.0198819381628713	0.0161362983951255	0.00542426458062784	0.00289842275085979	0.0301628129049317	0.020720060176518	0.023870360424226	0.0106048760817451	0.00242623486801317	0.00755564597664115	0.00531028205498419	0.0107702233374864	0.00889428165865913	0.00829919994772734	0.0126265004452407	0.0166841901544189	0.0135208058394023	0.0400053865941816	0.0171110081983386	0.00976826763654938	0.017511560974949	0.0142458271717237	0.0316913366559141	0.00851230310651155	0.0110124140754111	0.00566679529942843	0.00474469573798644	0.00598348876736448	0.0210804953998848	0.00767047033231242	0.0252154768913	0.0218892392228181	0.00766702993882636	0.0238212727444359	0.004977363608894	0.0226288499791844	0.00984811856798457
