	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3C_2
HMEC_4_G2_4A_2	0.0237081226313688	0.0180625241450706	0.0312699741434671	0.0134393185471511	0.0303970090913437	0.0389353921270047	0.0148794734016885	0.0166529092526519	0.0241979837080623	0.0182984802484527	0	0.0223256483196732	0.0339089278900747	0.00883155718174581	0.02455614508319	0.0108631651003652	0.00873005749964164	0.00867646204845778	0.011321915385759	0.0352867842335615	0.0245639776781137	0.0313395843562839	0.0345120475913598	0.0328828658271156	0.0293460508914795	0.0388818703016712	0.02904778412358	0.0217598945842962	0.0221929719504078	0.0217248166535141	0.0272637538902262	0.0117017442614553	0.018413631799539	0.0247672551668854	0.0247460646225353	0.0178993204030099	0.00546882134938868	0.0209747066728615	0.0222043284989918	0.0247459597369826	0.0187235667157636	0.013541758915446	0.0224789182230415	0.0309204249663287	0.0249702988607251	0.0263530216886622	0.0224560966728687	0.0141659563426851	0.0216132245170591	0.0124117381487974	0.0346413795464979	0.0302606663232846	0.0324180455698448	0.0359440328579064	0.0288783581722605	0.0465655305887957	0.0421644268657785	0.0156895053473242	0.0173712956639831	0.0248730728902983	0.0156763991618704
HMEC_4_G2_4A_3	0.00405123262426827	0.00427480315482349	0.00974566865410714	0.00964097590645432	0.0109512813649588	0.0172521965205845	0.0101205081052595	0.00692771210221929	0.00254965095760853	0.0101424158820567	0.0223256483196732	0	0.0138568787824265	0.0154165509751599	0.00263310681570951	0.0245389194789176	0.0185363876962008	0.0232879513889572	0.0312838492447388	0.0158709198924249	0.0046559194529601	0.00967754078784087	0.0131270264676838	0.0126020457083971	0.00809324805977931	0.0179562661613227	0.0131820829232715	0.00433615249680366	0.00529907973694428	0.00282559919714503	0.00646716337117083	0.0106941621857022	0.00505222062396108	0.00593447680629808	0.00520898598352194	0.00927031803278089	0.0181558116908305	0.0100530828610424	0.00227444328840775	0.0106661531002413	0.00990180392034875	0.00962541804629929	0.000387774600324985	0.0494900542072639	0.00514788534275156	0.00992822726821499	0.00715890431322754	0.00840905801745326	0.00168099979974014	0.0169041056616816	0.0123902336368932	0.00819648467496968	0.0105505110598431	0.0141368190200746	0.00770114070341977	0.0242768952334673	0.0209636102619194	0.0142947468650657	0.0058700256211421	0.00909055581020718	0.00862532814683027
HMEC_4_G2_4B_1	0.0106853918399518	0.0171922358587737	0.00507275663141374	0.0209120325062178	0.0127604641438797	0.0163983946701361	0.0201855757539385	0.0182038054019163	0.0137567898470262	0.0165636396875233	0.0339089278900747	0.0138568787824265	0	0.0280455607431567	0.0112710129417707	0.0351887659980123	0.0285754374473688	0.0339244358786435	0.043928384099644	0.00923795751660184	0.010130694086647	0.00560790601307886	0.00417218146132339	0.00183871324038577	0.00713048768080821	0.00535953601433451	0.0087769127097997	0.0134141824429643	0.0145974369416142	0.0149211937825819	0.0139205433119251	0.0225873490814893	0.0176919740745151	0.0110348636046701	0.0100778873676892	0.0229899880389162	0.0290585963247716	0.0140556954979667	0.0155448006858041	0.0125554598270089	0.0167244364026205	0.0204963886671497	0.0136479930388182	0.0567511089494108	0.0100430317285775	0.00814304197304485	0.0120518482139158	0.020566762142684	0.014222052997677	0.0282603049161586	0.0107171854004198	0.011466779890181	0.00780874701433214	0.0129995204818813	0.0109542926783577	0.0172235366485296	0.0156500670179211	0.0247859882670313	0.0182043723703516	0.00981445901484517	0.0201432490239322
HMEC_4_G2_4B_2	0.0175118252253608	0.0115130641212117	0.024829249370762	0.00923843571145941	0.0249254498946594	0.0311604763192903	0.011796297067157	0.0117676683490998	0.0167887898986344	0.0137917205218793	0.00883155718174581	0.0154165509751599	0.0280455607431567	0	0.0178600203594939	0.0164099651742859	0.0117825077846479	0.0145128759919215	0.0174902773158588	0.0281916552761964	0.0186733411228315	0.0248934704725426	0.0278291342850074	0.0270628579605326	0.0224181665998962	0.0325474704012821	0.0234735210127378	0.0148723759560258	0.01690670356335	0.015477087104237	0.020535506650946	0.00664994287528865	0.0108710618787756	0.0194085982521183	0.019055230133057	0.0109818057641212	0.00828223721383363	0.0164368723979234	0.0147761135342838	0.0186653833273439	0.0156629956684013	0.00835391289503386	0.0156646014572147	0.0394415054481441	0.0192205211125363	0.0212670139169791	0.0165828814646271	0.00887000685505698	0.0151816207278837	0.0127126349549463	0.0271851904115897	0.0231504393826349	0.0259503661626475	0.0289918866849516	0.0211837230509878	0.0391193732436055	0.0341685093781108	0.0144083450170306	0.0100400789554367	0.0203243200900225	0.00826490922198349
HMEC_4_G2_4B_3	0.00273338854527219	0.00658591441883164	0.00713245781942151	0.0115509478727471	0.00958360165688218	0.0158655637125863	0.0116158623208705	0.00865385418156167	0.00321418109566522	0.010711107419093	0.02455614508319	0.00263310681570951	0.0112710129417707	0.0178600203594939	0	0.0264415614027843	0.0202903258316619	0.0252113954578928	0.0337304231418448	0.0139258763322911	0.00288969847247472	0.007089402932047	0.0105991368982838	0.00999551816592881	0.005797953197388	0.0153663270059021	0.0115599534024694	0.00484477583955523	0.0057040645499729	0.00426058289822656	0.00597015526156708	0.0128604929659	0.00730980592587712	0.00465893451025722	0.00351711952721588	0.0117534513293695	0.0201692368480554	0.00991121250539727	0.00443371543462905	0.0100349549787016	0.01037351240564	0.011481058700836	0.00241750886532094	0.050925495581197	0.00337140680059782	0.00825857683623125	0.00673727494465331	0.0105627259795025	0.00334231444937259	0.0188441470564003	0.010518741867287	0.00666403555673743	0.00822136774774361	0.0124432821212268	0.00637091533681609	0.0222013742856452	0.019191180656731	0.015898132575453	0.00806287859172931	0.0077201759442845	0.0106578934727258
HMEC_4_G2_4C_1	0.0257879103725165	0.0206800805593886	0.0325521142388942	0.0155995888999144	0.0289467267047848	0.0403860730106362	0.0152573828901451	0.017883974029923	0.0266626788201814	0.022233275868789	0.0108631651003652	0.0245389194789176	0.0351887659980123	0.0164099651742859	0.0264415614027843	0	0.00775413262567142	0.00259548255913875	0.0136700716436948	0.0390987029322367	0.025798626944871	0.0324447036565724	0.036339324653925	0.0338256824765965	0.0318573578203661	0.0403126924739941	0.0324919918092978	0.0253914592628968	0.0220217309923536	0.0227616844708647	0.0277403418379903	0.0155526636950685	0.0225287416011471	0.0248930615591129	0.0256580699164937	0.0199718504439927	0.00992307806362406	0.0242208231372886	0.0248027366367076	0.0293594537673471	0.0186300169209891	0.017726605525844	0.0245307961671304	0.0287651746458559	0.0258252193346468	0.0282924479024071	0.0258443087776609	0.0166174953094548	0.0232365012652822	0.00834417455856342	0.0363249691891123	0.031363922273148	0.0328764068064921	0.0361420768264966	0.0321377053442788	0.0477096894563987	0.0454894090280614	0.0118442853476455	0.0216485105912843	0.0256505090714326	0.0212455990300126
HMEC_4_G2_4C_3	0.0191799147316416	0.0145539222492513	0.0263109380782883	0.00900678853171206	0.0243944492029836	0.035353463869119	0.00879844824168378	0.011699156920401	0.0208633077514255	0.0146168878953814	0.00873005749964164	0.0185363876962008	0.0285754374473688	0.0117825077846479	0.0202903258316619	0.00775413262567142	0	0.00570710265842144	0.0174699254503957	0.0320270736445389	0.019468620456715	0.0263251087413743	0.0298643284114963	0.0273873829975379	0.0252900635040199	0.0337967801469844	0.0250391664709448	0.0185721876342629	0.0166226830662081	0.0172157898544016	0.0228510797655175	0.00912302313917333	0.0162665141965658	0.0190050887081084	0.01940476382399	0.0161712860777688	0.00414754605869469	0.0166690695864695	0.0191314386172168	0.0218710920205432	0.012018376858649	0.0106737772761858	0.0185456554622697	0.0314662564391195	0.0196413765345665	0.0211861392887283	0.0185851080994269	0.0104555293925548	0.0173199394187217	0.00711657197103004	0.0306554876701771	0.0260089161955034	0.0272455634146729	0.0312411597905908	0.0258295065878913	0.0421850889152223	0.039203441244215	0.00912792693357849	0.0152366131020161	0.0189099963617817	0.0146530423061905
HMEC_4_G2_4D_1	0.0243990805153729	0.0192838300397633	0.0314045050482155	0.0140003995855037	0.0284918170222297	0.0396006538284019	0.0138836781371972	0.0165689675884772	0.025461352841083	0.0202457641571729	0.00867646204845778	0.0232879513889572	0.0339244358786435	0.0145128759919215	0.0252113954578928	0.00259548255913875	0.00570710265842144	0	0.0134657948758504	0.0374677281711827	0.024574318690175	0.0313496540422378	0.0350894786149258	0.0326427627381024	0.0304889036449009	0.0390941825701523	0.0307059180917171	0.0237663354658674	0.0211411076384257	0.0217305336724268	0.0270003161125462	0.0137645284646822	0.0209471532442759	0.0238874858255115	0.024484111467267	0.0191307071703959	0.00753041602779163	0.0223515035590159	0.0235914220027892	0.0274256161884274	0.0173148141158998	0.0158182746913562	0.0233025460063146	0.0285607647444285	0.0246791323471102	0.026752591737864	0.0241080002444038	0.0151209438380496	0.0220547835782027	0.00817892007464936	0.0353270381352613	0.0304751172329452	0.0319867524828039	0.035498046802725	0.0307642344110734	0.0468557430558787	0.044183799527022	0.0116528384642908	0.0199921816625053	0.0243117468149493	0.0193590637055601
HMEC_4_G2_4D_2	0.0334374653183243	0.0272001178764114	0.0407070632353644	0.0230629069392051	0.0382402304433817	0.0465347242200473	0.024261429978348	0.0258760931865282	0.0328382142808307	0.029219013870915	0.011321915385759	0.0312838492447388	0.043928384099644	0.0174902773158588	0.0337304231418448	0.0136700716436948	0.0174699254503957	0.0134657948758504	0	0.0454174096881531	0.0340592925086698	0.040646393442656	0.0441810797729891	0.042711729675025	0.038979862408362	0.0487601773987572	0.0398621663068738	0.0316264377898383	0.0307470127060173	0.0302807599799177	0.0350537469004735	0.0214531042328539	0.027650896864687	0.0338909266545288	0.0341957452014026	0.0243615188624344	0.0158437198717295	0.0318454004474202	0.0307048486060189	0.0354631057028856	0.0284852383057931	0.0238547340089602	0.0314328522593496	0.0304696644163283	0.0343446418024872	0.0368300202417818	0.0329165965812196	0.0234215912766088	0.0305383872414641	0.0180894577645428	0.0431565887602298	0.0385029198511572	0.0412053699521617	0.0437630510460685	0.0380110906996124	0.0549879804491203	0.0511249170783342	0.0222166340998362	0.0268318068461154	0.0349870984192861	0.0254831590747927
HMEC_4_G2_4D_3	0.0136766130629399	0.0191539634347174	0.0101155038641019	0.0236179796290679	0.0191306640467314	0.0162160844373572	0.0239522800363724	0.0214691178946001	0.0148959547854141	0.0181615204329802	0.0352867842335615	0.0158709198924249	0.00923795751660184	0.0281916552761964	0.0139258763322911	0.0390987029322367	0.0320270736445389	0.0374677281711827	0.0454174096881531	0	0.0144001972936388	0.0107310760062594	0.00727895726432439	0.0103599920379615	0.00833841035982071	0.00903260085148824	0.00904963727695941	0.0140221675262073	0.0192529520658283	0.0181703601291825	0.017233951023329	0.0243868147738807	0.0180637537679113	0.0164886171069562	0.0148476527710075	0.024406717664193	0.0313063155133302	0.0162377080444405	0.0166999669729257	0.0112808342528127	0.0215481849632934	0.0220803658403286	0.0158859535681762	0.0602828469592804	0.0148393222383547	0.0124818977447575	0.0134874745988768	0.0229235330728205	0.0170547440208743	0.0322013282601323	0.0114618586020578	0.0140496387075713	0.0129807783766695	0.016250804921655	0.00944959537722206	0.0172975766583797	0.0105045084452801	0.0294392885143055	0.0187236441522675	0.0154865903050609	0.0199895808387617
