	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_5_2	0.0114361135621785	0.0135007838333522	0.0529340103901596	NA	0.0371299513897127	0.026177834350459	0.0195487559933524	0.0364150857150974	0.0249512921493333	0.0022398191993266	0	0.00616188002887172	0.00388122152559102	0.0262272336488315	0.018931565493308	0.013299740700286	0.0179902621873171	0.0159143825517448	0.0183108841240155	0.0220507720464349	0.0218775713813129	0.0236831661096774	0.0235848168139203	0.028656220484568	0.0429420216433317
HMEC_5_3	0.00866640187391778	0.00967404392828169	0.0480097272025105	NA	0.0349628677853533	0.0222759271882093	0.0142689220796506	0.0305052185407908	0.0211251574336721	0.00837467936609285	0.00616188002887172	0	0.0040151080692227	0.0215611231958139	0.0154016697825703	0.014483478021459	0.0121036871274581	0.0159165999485125	0.0146084072964015	0.0187181266763511	0.0181539477095637	0.0185990536533021	0.0190253610532225	0.0261330698222985	0.0399331768925668
HMEC_5_4	0.01193791668985	0.013378537849037	0.0520190382141868	NA	0.0382752570215437	0.0261100030281467	0.0182830005494777	0.0343039404202634	0.0249353184192364	0.00559316712611077	0.00388122152559102	0.0040151080692227	0	0.0255426437491695	0.019089538246979	0.0159714420607473	0.015988162329249	0.018082240892023	0.018342097851641	0.0223702062707692	0.0219209783865458	0.0226121486223408	0.0229865089899304	0.0295477038270854	0.0435552345450491
HMEC_5_5	0.0152446765837737	0.0128057413461028	0.026737238993481	NA	0.018943644984612	0.00416444174805032	0.0077897705384967	0.0152717374410169	0.00449786263350402	0.0282606343109784	0.0262272336488315	0.0215611231958139	0.0255426437491695	0	0.00842231056767856	0.0208794240494707	0.0117292332287021	0.0181028025519794	0.0085938119409853	0.0072232517234302	0.00600716814928429	0.00371650244015651	0.0026659654682707	0.0116166319085366	0.0207081611165189
HMEC_5_6	0.00750482321249179	0.00573120961524326	0.0346705527482858	NA	0.0199913036646588	0.00727897988380446	0.00703302694526877	0.0227111135011135	0.00603746935178499	0.0207725468563902	0.018931565493308	0.0154016697825703	0.019089538246979	0.00842231056767856	0	0.0125153841170377	0.010522157390352	0.00999855534689183	0.000919628407676843	0.00332792628836236	0.00296439087226722	0.00787641127022558	0.00594168227547095	0.0110827609351949	0.0245467471810032
HMEC_5_7	0.00861304674730502	0.0108588585013716	0.0462575009346233	NA	0.0254806652370601	0.018777598476608	0.0177960489861948	0.03498897752315	0.0175892032982586	0.01394455315249	0.013299740700286	0.014483478021459	0.0159714420607473	0.0208794240494707	0.0125153841170377	0	0.0192476745683717	0.00353309046819075	0.0125646479588264	0.0141744983803515	0.0149696716516814	0.0201679893572756	0.0184562232942141	0.018060909298838	0.0323090497474942
HMEC_5_8	0.0107137734867451	0.00842304855753374	0.0366963315623334	NA	0.0293211197031492	0.0142804445261652	0.00422128682225038	0.0184340278996684	0.0135460586261055	0.0202258583729831	0.0179902621873171	0.0121036871274581	0.015988162329249	0.0117292332287021	0.010522157390352	0.0192476745683717	0	0.0182673498519068	0.00967625662216573	0.0130362234942199	0.0116325726133242	0.00807123519636271	0.00992701681401311	0.0207263869815053	0.0322506404535553
HMEC_5_9	0.00839234822645181	0.00994620576985591	0.0429471582552838	NA	0.0220363932288896	0.0156368464736626	0.0161160185330586	0.032705669398557	0.0144938003123992	0.0168653730133595	0.0159143825517448	0.0159165999485125	0.018082240892023	0.0181028025519794	0.00999855534689183	0.00353309046819075	0.0182673498519068	0	0.0102552935712297	0.0111121552661235	0.0121031149835171	0.0178596238958336	0.0158370311014844	0.0145295086120453	0.0287862962424582
HMEC_Root1	0.0069310321932851	0.00496460969027984	0.035065528432581	NA	0.0208922812764122	0.00787055822212823	0.00633326956981298	0.0224941966800679	0.00665136618943697	0.0201962695118169	0.0183108841240155	0.0146084072964015	0.018342097851641	0.0085938119409853	0.000919628407676843	0.0125646479588264	0.00967625662216573	0.0102552935712297	0	0.00418234144438072	0.00359129180161713	0.00763621249438519	0.00600883443902194	0.0119875531618395	0.0253574982713462
HMEC_Root2	0.0106292096840843	0.00904571551815241	0.0322243906314815	NA	0.0167630815888966	0.00462240117155725	0.00906671097804999	0.0223925126712155	0.00341557508322439	0.0238134929784927	0.0220507720464349	0.0187181266763511	0.0223702062707692	0.0072232517234302	0.00332792628836236	0.0141744983803515	0.0130362234942199	0.0111121552661235	0.00418234144438072	0	0.0016018556498186	0.00822003862669949	0.00549019801889152	0.00789106447797126	0.0212303948853126
HMEC_STAT_2	0.0104621430322707	0.00854773657310022	0.0317782615857553	NA	0.0178814768928205	0.00431486613104172	0.00757549642088401	0.0209967718576988	0.00307642391608453	0.0237324611604899	0.0218775713813129	0.0181539477095637	0.0219209783865458	0.00600716814928429	0.00296439087226722	0.0149696716516814	0.0116325726133242	0.0121031149835171	0.00359129180161713	0.0016018556498186	0	0.00664493529159329	0.00399476078665458	0.00912216498724434	0.0218881498911931
HMEC_STAT_3	0.0133349082595126	0.0106968640513501	0.029424702666041	NA	0.0223254177262906	0.00710163025234375	0.00438974436319745	0.0148597399274351	0.00684359214670984	0.025804481051099	0.0236831661096774	0.0185990536533021	0.0226121486223408	0.00371650244015651	0.00787641127022558	0.0201679893572756	0.00807123519636271	0.0178596238958336	0.00763621249438519	0.00822003862669949	0.00664493529159329	0	0.0029000810926547	0.0144330297604012	0.0244145332542617
HMEC_STAT_4	0.0125809122568037	0.010143396118434	0.0293947866252873	NA	0.0196912571306702	0.0044392564567922	0.00575319741513259	0.0170263097824879	0.00399329573586688	0.0256073255725445	0.0235848168139203	0.0190253610532225	0.0229865089899304	0.0026659654682707	0.00594168227547095	0.0184562232942141	0.00992701681401311	0.0158370311014844	0.00600883443902194	0.00549019801889152	0.00399476078665458	0.0029000810926547	0	0.0115864909897449	0.0223443786165866
HMEC_STAT_G2_3B	0.0176162524998907	0.0165784034288086	0.029652064807021	NA	0.0089145131567456	0.00747797904227472	0.0165916549858611	0.0259722193274623	0.00759602249812187	0.0301533803050357	0.028656220484568	0.0261330698222985	0.0295477038270854	0.0116166319085366	0.0110827609351949	0.018060909298838	0.0207263869815053	0.0145295086120453	0.0119875531618395	0.00789106447797126	0.00912216498724434	0.0144330297604012	0.0115864909897449	0	0.014413805469226
HMEC_STAT_G2_3C	0.031698564152037	0.0302703376829007	0.0209447621244868	NA	0.00794783807712327	0.0181485414205752	0.028092679642523	0.0291853953940936	0.0191214221712677	0.0445061954258443	0.0429420216433317	0.0399331768925668	0.0435552345450491	0.0207081611165189	0.0245467471810032	0.0323090497474942	0.0322506404535553	0.0287862962424582	0.0253574982713462	0.0212303948853126	0.0218881498911931	0.0244145332542617	0.0223443786165866	0.014413805469226	0
