	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_5_2	0.0053652364148538	0.00499529680416357	0.0126930960913765	NA	0.0108672891214978	0.00942885313587193	0.00707802905624949	0.00732531558242202	0.00911385986499096	0.00677083708327963	0	0.00269420987503501	0.00528545777146616	0.0268654843666654	0.0137049555200096	0.00771822208880168	0.0051262999007288	0.00818547797759873	0.00978876514640652	0.00625873187295719	0.00327088692567453	0.00720282159645854	0.0146414905287769	NA	0.0148820968546954
HMEC_5_3	0.00312058000682235	0.00421177411047788	0.0100056438665649	NA	0.0128073436593625	0.00676391487844386	0.00916262826076092	0.00513156356620998	0.0084052348711668	0.00894989877157562	0.00269420987503501	0	0.00591523887730737	0.0241721377393788	0.0160865339470125	0.00895726468744504	0.00750637854092266	0.00908755993473694	0.0124481325247224	0.00872142857225615	0.00120138302433391	0.00854649822102017	0.0172472231491775	NA	0.0160575861032945
HMEC_5_4	0.00572970427587632	0.00285727930407496	0.013407111554792	NA	0.00776715231352585	0.0101850822103947	0.00497869242660469	0.00661766079894467	0.00473821801362498	0.0051012838415241	0.00528545777146616	0.00591523887730737	0	0.0273237910249659	0.0119741687776532	0.00323468761122707	0.00489596938860395	0.00317565916679837	0.0102874210938851	0.00599533077856441	0.00710505083975885	0.00298797033701582	0.0141698470754056	NA	0.0101613658790412
HMEC_5_5	0.0220873195267713	0.0245274931588575	0.0142158802793918	NA	0.034979734128014	0.0175447020001301	0.0321855438576586	0.020734381332758	0.0246376825190818	0.0321832262242365	0.0268654843666654	0.0241721377393788	0.0273237910249659	0	0.0392791263285508	0.0302230459921082	0.0312215003926164	0.0294971396903057	0.0365269203995819	0.0324910476175415	0.0238337710879626	0.0301802965985663	0.0411214029578778	NA	0.0350778562460546
HMEC_5_6	0.0173543778283743	0.0147609033029943	0.0252474260268291	NA	0.0048039966992016	0.0219458741413714	0.00713318237439297	0.0185547652223029	0.0155378238392383	0.00721541515210971	0.0137049555200096	0.0160865339470125	0.0119741687776532	0.0392791263285508	0	0.00934231982684188	0.00859849910230601	0.0103368549365974	0.005614452785846	0.00745282790762172	0.0169356732817776	0.00924438385504851	0.00367521429928196	NA	0.00944816340945557
HMEC_5_7	0.00895143662307771	0.00602836838776806	0.0164976702759368	NA	0.00476720204891303	0.0133372128561329	0.00331430743474359	0.00967357645727004	0.00622678358917952	0.00373384555440029	0.00771822208880168	0.00895726468744504	0.00323468761122707	0.0302230459921082	0.00934231982684188	0	0.00474727780818481	0.00119360883742156	0.00903870275228504	0.00526531334250627	0.0101101130152521	0.000588993108138481	0.0120429638047473	NA	0.0071793964366168
HMEC_5_8	0.00913923066066996	0.00704363032963577	0.0170313630286073	NA	0.00603537424222395	0.013696683492294	0.00229176319474171	0.0106705640882961	0.00958941942160834	0.00183527410659587	0.0051262999007288	0.00750637854092266	0.00489596938860395	0.0312215003926164	0.00859849910230601	0.00474727780818481	0	0.00580652444150471	0.00551192455170561	0.00127033728762821	0.00833852355395053	0.00417420560538679	0.00990911212228858	NA	0.0110373146354492
HMEC_5_9	0.00866582091446921	0.00570454152373121	0.0159550852815834	NA	0.00563426361613808	0.0128824084370325	0.00450515179458593	0.00915088159177734	0.00520519422407412	0.00491460000113146	0.00818547797759873	0.00908755993473694	0.00317565916679837	0.0294971396903057	0.0103368549365974	0.00119360883742156	0.00580652444150471	0	0.0102322692432862	0.00641484757902864	0.0102732661108438	0.00167278033279311	0.0131568817043444	NA	0.00699018373164937
HMEC_Root1	0.0145174136811279	0.0125548844562558	0.0223169472897445	NA	0.00684821707252656	0.0189924693623689	0.00574099997259675	0.0161433660068902	0.0148224864533176	0.00539472042946508	0.00978876514640652	0.0124481325247224	0.0102874210938851	0.0365269203995819	0.005614452785846	0.00903870275228504	0.00551192455170561	0.0102322692432862	0	0.00430611032366488	0.0130216286840876	0.00861821209440506	0.00499155958350161	NA	0.0128175378821499
HMEC_Root2	0.0104095001365405	0.00827649186358926	0.0183001206641126	NA	0.00543752300597713	0.0149654185548613	0.0021598889734659	0.01193040013356	0.010606308424364	0.00164083107699174	0.00625873187295719	0.00872142857225615	0.00599533077856441	0.0324910476175415	0.00745282790762172	0.00526531334250627	0.00127033728762821	0.00641484757902864	0.00430611032366488	0	0.00950823400189098	0.00474209944465881	0.00863996719075042	NA	0.0108793348529698
HMEC_STAT_2	0.0038269769346407	0.00536795166261451	0.00979622016693887	NA	0.0138359507007899	0.00670343743256635	0.0101313800418278	0.00575190099289558	0.00951145350806228	0.00988236824011901	0.00327088692567453	0.00120138302433391	0.00710505083975885	0.0238337710879626	0.0169356732817776	0.0101101130152521	0.00833852355395053	0.0102732661108438	0.0130216286840876	0.00950823400189098	0	0.00968318115152636	0.0179036881203774	NA	0.0172330396964222
HMEC_STAT_3	0.00871394889752744	0.00583514099929737	0.0163631773113744	NA	0.00481612960835575	0.0131640562385102	0.00287727207393281	0.00954914065141407	0.00644004837232001	0.00325857464524694	0.00720282159645854	0.00854649822102017	0.00298797033701582	0.0301802965985663	0.00924438385504851	0.000588993108138481	0.00417420560538679	0.00167278033279311	0.00861821209440506	0.00474209944465881	0.00968318115152636	0	0.0118075261641855	NA	0.00767987131992488
HMEC_STAT_4	0.0190431874603993	0.0167627353715804	0.0269377517819649	NA	0.00804023358082595	0.0236037044706901	0.00919956920693767	0.020499944830387	0.0182456942962094	0.00908098529632569	0.0146414905287769	0.0172472231491775	0.0141698470754056	0.0411214029578778	0.00367521429928196	0.0120429638047473	0.00990911212228858	0.0131568817043444	0.00499155958350161	0.00863996719075042	0.0179036881203774	0.0118075261641855	0	NA	0.0131132892659754
HMEC_STAT_G2_3B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMEC_STAT_G2_3C	0.0155340451268463	0.0125958710491514	0.0223060682923249	NA	0.00597619439684203	0.0194663700481771	0.00880633354112178	0.0157033303712853	0.0106025838128107	0.00932102207969537	0.0148820968546954	0.0160575861032945	0.0101613658790412	0.0350778562460546	0.00944816340945557	0.0071793964366168	0.0110373146354492	0.00699018373164937	0.0128175378821499	0.0108793348529698	0.0172330396964222	0.00767987131992488	0.0131132892659754	NA	0
