	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_G2_4A_2	0.0044679292060025	0.00818628248246357	0.00319719539832029	0.00592868460789971	0.0010708723864587	0.0104087281136908	0.0216477047648545	0.00458081977337291	0.0384902711610401	0.00239919660849915	0	0.00144201092786923	0.0037725849462886	0.00625519129342636	0.014048663023263	0.0138921286124572	0.0120250278823226	0.0378984648354258	0.00660756555712027	0.000334060691536718	0.00031661247464982	0.00425682320759076	0.0153880109711381	0.0111837323462059	0.00472125288105907	0.00105750077452051	0.00120721203110129	0.000595136965597753	0.000783555964157164	0.000499886449426437	0.00881879682832204	0.00206058229540705	0.0174424762961037	0.00199440501028124	0.00195189191432703	0.00336723871909397	0.00987506228318417	4.44423079804734e-05	0.00712923521435276	0.00346820731105546	0.0025012070427731	0.00437255135350794	0.00308696809594791	0.00024756875997992	0.00613016110900668	0.00556320599717276	0.00270779980988155	0.00114279743366165	0.00526707055112012	0.00575022367787547	0.00102095723444302	0.00777034517451994	0.00456985963159405	0.000576398175806673	0.00385242456539752	0.00767386125669136	0.00512045847093598	0.003504992997963	0.0189111091578074	0.0259741300319829	0.158543474441912	0.00171084817488338	0.00499610118843531	0.0315041882213691
HMEC_4_G2_4A_3	0.00590992605725173	0.00674430078680272	0.00463919842457652	0.00448668778072027	0.00251288188241922	0.00896676654484697	0.0202059238471955	0.00602281599233913	0.0370490041373118	0.000957186900385503	0.00144201092786923	0	0.00521458539076204	0.00481319632268442	0.0126067455831433	0.0124502089901165	0.010583084200573	0.0364571748671535	0.00516557271597919	0.00177607130386231	0.00112539864274695	0.00281481863714532	0.0139461132456325	0.00974177901311867	0.00327925016553866	0.000384510369335442	0.000234799047302275	0.000846874230230767	0.00222556596418832	0.00194189686083679	0.0102607593993006	0.0035025893808359	0.0160006124343847	0.00343641228946777	0.000509881515233463	0.00192523123242266	0.0113170134523546	0.00148645320087296	0.00857121351795137	0.00491020916545423	0.0039432127185033	0.00293054722393151	0.0016449598639965	0.0016895794655914	0.00757214726817512	0.00412120722529759	0.00126579070200635	0.0002992136761278	0.00670906263233109	0.00430822588348839	0.000421053921993803	0.00632836028806809	0.00312785628636488	0.000865613017315949	0.00241041856544801	0.00623187565606806	0.00367845753198854	0.00494699468721387	0.0174692721859323	0.0274157565680659	0.15711398718987	0.00315285623156351	0.00355409967798294	0.0300626729579281
HMEC_4_G2_4B_1	0.000695348605510183	0.0119587314453598	0.000575392119437796	0.00970118956570407	0.00270171659908951	0.0141811082716961	0.0254195307126178	0.000808240006319162	0.0422606307886709	0.00617176092199577	0.0037725849462886	0.00521458539076204	0	0.0100276890212147	0.0178209012913731	0.0176643737265447	0.0157973495018838	0.0416688887617544	0.0103800551524048	0.00343852585775562	0.00408919561470141	0.00802936057583651	0.0191601879362601	0.0149560853272324	0.0084937820204067	0.00483007859819128	0.00497978859504625	0.0043677182861914	0.00298903225144858	0.00327270078026359	0.00504627428632587	0.0017120075787115	0.0212145497524483	0.00177818488974013	0.00572446128733679	0.00713979018341106	0.00610256189434871	0.00372814286933203	0.00335668379278029	0.000304379111064646	0.0012713823466983	0.00814508672704206	0.00685952354749053	0.00352501740391739	0.00235759639781283	0.00933571869921073	0.00648036030918574	0.00491537454727343	0.00149449662051379	0.00952273246317149	0.0047935353561408	0.011542805507916	0.00834239151886409	0.00434897962564243	0.00762496861307526	0.0114463241597045	0.00889298006072278	0.000267593259300284	0.0226831016066702	0.0222023620947859	0.162282186449586	0.00206174169770363	0.00876862517718408	0.0352752477698795
HMEC_4_G2_4B_2	0.0107230100010803	0.00193112740665009	0.00945231703862455	0.00032651112552289	0.00732604561880069	0.00415363575618878	0.0153932717852731	0.0108358965767715	0.0322378816802809	0.0038560159436506	0.00625519129342636	0.00481319632268442	0.0100276890212147	0	0.00779372182729542	0.00763717968143372	0.00576999523639795	0.0316459823345797	0.000352379602455213	0.00658924691944557	0.0059385831442139	0.00199838761456787	0.00913314048305608	0.00492866714056122	0.00153395503393501	0.00519770315849797	0.00504799327464196	0.00566006207575937	0.00703873456251018	0.00675506997125121	0.0150736807953066	0.00831573411976197	0.0111877299895654	0.00824955840753599	0.00430331868518356	0.00288797490893444	0.0161298851106477	0.00629963295738185	0.013384206113003	0.00972332086948131	0.0087563478767619	0.00188265883676922	0.00316824566349116	0.00650275634901618	0.0123851771349302	0.000691994127878399	0.00354741355294965	0.00511240729408449	0.011522121813678	0.000504974276325187	0.00523424634782464	0.0015151808597574	0.00168534933967763	0.00567880064648556	0.00240278798248951	0.00141869491152498	0.00113474615520807	0.00976010543311024	0.0126564632620089	0.032227366904215	0.152340917273431	0.00796600808224607	0.00125910454053865	0.0252507988381857
HMEC_4_G2_4B_3	0.0185161654789475	0.00586262651205459	0.0172455741891371	0.00812022542921479	0.0151194520378119	0.00364012888336502	0.00759987949141435	0.0186290425702244	0.024446363793575	0.0116496100787175	0.014048663023263	0.0126067455831433	0.0178209012913731	0.00779372182729542	0	0.000156545525367205	0.00202375962971447	0.0238543721045366	0.00744134966338777	0.0143826989835766	0.0137320729203533	0.00979205386809981	0.00133945321407223	0.00286509465644269	0.00932763623550389	0.012991232912998	0.0128415307247669	0.0134535672509456	0.014832159152333	0.014548512035032	0.022866417226081	0.016109074305478	0.00339411532929723	0.0160429031981373	0.0120968925035181	0.0106816090893502	0.0239225031858027	0.0140931021079692	0.0211771183385923	0.0175165571195217	0.0165496567578699	0.00967632893030826	0.0109618688015214	0.0142962135663942	0.020178185498391	0.00848569928926059	0.0113410210366469	0.012905941448872	0.0193152085637498	0.00829868421100246	0.0130277742043371	0.00627856793862374	0.00947902580386296	0.0134723047996222	0.0101964402166231	0.00637505255862127	0.00892843922135075	0.017553338813512	0.0048629150186104	0.0400173673306341	0.144606894429516	0.0157593723179175	0.00905279400824765	0.0174583134255314
HMEC_4_G2_4C_3	0.0183596393560017	0.00570608288424302	0.017089045473609	0.0079636835760577	0.0149629194028802	0.00348358407643563	0.00775642169299574	0.0184725166866746	0.024602875638281	0.0114930721694342	0.0138921286124572	0.0124502089901165	0.0176643737265447	0.00763717968143372	0.000156545525367205	0	0.00186721431810114	0.0240108855482069	0.00728480721531749	0.0142261651125447	0.0135755380098742	0.00963551370493729	0.00149599862639463	0.00270854957052096	0.00917109557075734	0.0128346968784048	0.0126849944707163	0.0132970319104538	0.0146756260279329	0.0143919784367228	0.0227099014036341	0.0159525434297244	0.00355066017407215	0.0158863722012285	0.0119403551962063	0.0105250699560753	0.0237659901976608	0.0139365677682301	0.0210205982538969	0.0173600289412	0.0163931267017875	0.00951978863983715	0.0108053300115419	0.0141396795543785	0.0200216630501626	0.00832915777819044	0.0111844827254614	0.0127494052889293	0.0191586841673479	0.00814214252296697	0.012871238223708	0.00612202459400892	0.00932248529990963	0.0133157694877635	0.0100399005103937	0.0062185092825247	0.00877189814519356	0.0173968107087666	0.00501945916614024	0.0398609138695666	0.144762301461676	0.0156028408075722	0.00889625305829527	0.0176148416817234
HMEC_4_G2_4D_1	0.0164926313806127	0.0038388834022354	0.015222008309261	0.00609650217592671	0.013095838392327	0.00161637356803723	0.00962358576205935	0.0166055114126327	0.0264696546271244	0.00962593298777655	0.0120250278823226	0.010583084200573	0.0157973495018838	0.00576999523639795	0.00202375962971447	0.00186721431810114	0	0.025877684415816	0.00541761964731774	0.012359070364374	0.0117084317520571	0.00776835017795772	0.00336320954807442	0.000841336793716431	0.00730392669548397	0.0109675782246539	0.0108178734038104	0.0114299209040118	0.012808539571436	0.0125248867150668	0.0208430103536839	0.0140854820505977	0.00541786151819853	0.014019309467247	0.0100732225835826	0.00865791749765439	0.0218991315142442	0.0120694678250527	0.0191536586695199	0.015492997814417	0.0145260744978839	0.00765262375255045	0.00893818126490947	0.0122725832426601	0.0181546966372796	0.00646197995904845	0.00931733917176748	0.0108822852565249	0.0172916956948969	0.006274962848641	0.0110041201636745	0.00425482792156395	0.00745531813564632	0.0114486587974642	0.0081727418807737	0.00435131329548033	0.00690472490848708	0.0155297804093231	0.00688665018632237	0.0379947433112022	0.146615744705618	0.0137357723367917	0.0070290811568752	0.0194818259513282
HMEC_4_G2_4D_3	0.0423637911811225	0.0297155082971565	0.0410938545702471	0.0319723744845819	0.0389687642735111	0.0274936456013816	0.0162555439093324	0.042476608733362	0.000592114134598945	0.0355004357607797	0.0378984648354258	0.0364571748671535	0.0416688887617544	0.0316459823345797	0.0238543721045366	0.0240108855482069	0.025877684415816	0	0.0312937283716846	0.0382323502319209	0.0375820156251966	0.0336436031499465	0.0225151761429919	0.0267188126756519	0.0331793570154275	0.0368414984451901	0.0366918603225026	0.0373036324458985	0.0386816047185066	0.0383980878169733	0.0467115851318546	0.0399579161550651	0.0204608486927645	0.0398917770376436	0.0359475349391469	0.0345328193714297	0.0477670237488615	0.037942884002555	0.0450232805038624	0.0413647002650878	0.0403982836458213	0.0335279212984587	0.0348129694170101	0.038145903985224	0.0440249117772725	0.0323377213890325	0.0351919711039489	0.0367562435299557	0.0431624079515392	0.0321507715652332	0.0368780240389405	0.0301313213801612	0.0333306910925725	0.0373223617962527	0.0340478371037655	0.0302277757995104	0.0327803044093695	0.041401463231673	0.0189922438407457	0.0638495442093453	0.120897154373851	0.0396083823557618	0.032904614509236	0.00639700566163732
HMEC_5_1_1	0.0110753742275705	0.00157874819652937	0.00980468465025524	0.000678890699296587	0.00767841795120094	0.00380125818256017	0.0150409217710111	0.0111882604820975	0.0318856324551666	0.0042083934525224	0.00660756555712027	0.00516557271597919	0.0103800551524048	0.000352379602455213	0.00744134966338777	0.00728480721531749	0.00541761964731774	0.0312937283716846	0	0.00694162061270574	0.00629095792179348	0.00235076661138287	0.00878077115982994	0.0045762904351705	0.00188633426345378	0.00555007903672611	0.00540036935799344	0.00601243728384507	0.00739110744239109	0.00710744337056354	0.0154260302227064	0.00866810440161113	0.0108353659096604	0.00860192883447491	0.00465569570227447	0.00324035330459562	0.0164822301931906	0.00665200714687068	0.0137365618784683	0.0100756877946024	0.00910871716350857	0.00223503789676433	0.00352062382734853	0.0068551301927604	0.0127375362947391	0.00104437363710147	0.00389979137085985	0.00546478328988161	0.0118744836947587	0.000857353822886286	0.00558662217510212	0.00116280148407057	0.00203772849950445	0.00603117582622794	0.00275516673142107	0.00106631550386948	0.00148712554010662	0.0101124722635709	0.0123041035862658	0.0325796089405571	0.151991377446169	0.00831837911787768	0.00161148388150471	0.0248984992210103
HMEC_5_1_2	0.00413387079774601	0.00852033461062794	0.00286313583761499	0.00626274073544805	0.00073681179221151	0.0107427750930381	0.0219817074374536	0.00424676148685779	0.038824151113502	0.00273325649245298	0.000334060691536718	0.00177607130386231	0.00343852585775562	0.00658924691944557	0.0143826989835766	0.0142261651125447	0.012359070364374	0.0382323502319209	0.00694162061270574	0	0.000650673140794789	0.00459088149479839	0.0157220420714905	0.011517777248114	0.00505531063691659	0.00139156128474811	0.00154127249335321	0.000929197589019469	0.000449495316120382	0.000165825767937324	0.00848474540959011	0.00172652204304964	0.0177764991024257	0.00166034472753859	0.00228595205624745	0.00370129787656296	0.00954101327478622	0.000289618385143315	0.00679518052058797	0.00313414796249725	0.00216714702060612	0.00470660951326874	0.00342102748741014	8.64919334831927e-05	0.0057961048139831	0.00589726265521164	0.00304185948723768	0.00147685791721624	0.00493301307301717	0.00608428006851613	0.00135501775544523	0.00810439813287614	0.00490391756645617	0.000910458802755198	0.00418648327225603	0.00800791440161518	0.00545451572788512	0.003170933679629	0.0192451254138332	0.0256401527122677	0.15887460046285	0.00137678777407672	0.00533015860497455	0.0318381272018747
