	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2
HMEC_4_G2_3G_3	0.0284506533584036	0.0424298654561901	0.0271383638586914	0.0418897400135121	0.0457424362712983	0.043760081142433	0.0115989885088782	0.0468926456450955	0.0263033903744935	0.0467021854212914	0	0.0272841709070372	0.0211414542660698	0.0205069356060058	0.0415792699372629	0.0362384475652395	0.0321173533326866	0.0274005751101213	0.0331130957796497	0.0275601761500914	0.0346106729544778	0.0212379741118246	0.0398941472163484	0.0502727767510528	0.0459995397685516	0.0366065612470472	0.0344004498159372	0.0472393456980816	0.0359198085914773	0.0621540725564534	0.0409242720715941	0.0397044560677964	0.0391521454842266	0.039317281121801	0.0501935369615913	0.0648210080631258	0.0446420964098544	0.0419491295487032	0.0448316444109836	0.0332026761951046	0.0469571823621513	0.0353628962362656	0.0174507191905928	0.0311642941667621	0.0297582732756246	0.0457733460605822	0.0339634399370782	0.0448794427043195	0.0353429285034142	0.0305032738838386	0.0242536520651493	0.0408148576480831	0.0341207861225768	0.0425728414981054	0.0431698968714532	0.0573080667501462	0.0448782747272115	0.0454695128338643	0.0322261880899521	0.0163080629395185
HMEC_4_G2_4A_1	0.00163473483869127	0.015201181701651	0.00298039208788873	0.0149960263356884	0.0186185100864089	0.0174272571879583	0.0199340985345869	0.0207544747009751	0.0124627354869032	0.0199967539571578	0.0272841709070372	0	0.0163045206949722	0.00679968853462759	0.0143632538271543	0.00939987381920621	0.0099237718338074	0.00484814047160802	0.0601306197853558	0.0101933612398266	0.00760621123505488	0.0152673795512417	0.0128421224436311	0.0233886116314337	0.0189073575516999	0.0110017726776208	0.00867746669082431	0.020122620347922	0.0124560117292257	0.0348998758194075	0.0160209785039484	0.0137487538199953	0.0129933067888247	0.0132677618027582	0.0234695828043196	0.0382660477999309	0.0179533513607241	0.0154235396466182	0.0179229231793631	0.00595097051932444	0.0202885437336123	0.0177035351353565	0.0217859626721712	0.019975004562025	0.0185614693134251	0.0187931812821482	0.00692487358687809	0.0183164327822677	0.00858636792054645	0.00513654209082826	0.00451699952769578	0.0145058491976975	0.00686933276970409	0.0155570725263249	0.0159922594956	0.0300767071531925	0.0181568735446777	0.0191501807068522	0.0125517050071934	0.042435644926358
HMEC_4_G2_4A_2	0.0162048890397902	0.0290984927422324	0.0185249235926339	0.0261288104677148	0.0302370622391501	0.0267847879265294	0.00959974324734487	0.03614701881994	0.0253373251433463	0.0348371670368052	0.0211414542660698	0.0163045206949722	0	0.0135512981707635	0.0269326982592712	0.0212895266190697	0.0141755958168984	0.0126788482630351	0.0528842808592666	0.0090653558784964	0.0203871137857214	0.0010375933624262	0.0248135453688938	0.0337002948675851	0.0303542073953916	0.0199144796935355	0.0184012885691213	0.0315783104042475	0.017654114054078	0.0471233788546016	0.0228055547102287	0.0227982089712864	0.0225857969340204	0.0225869541492033	0.0380972546597905	0.0525853594854382	0.032938789300239	0.0254844290674163	0.0287732996642419	0.0201660841237401	0.0301990435784804	0.0146427023316786	0.00656705902477005	0.0100937346982414	0.00863046335683823	0.0332317616484536	0.0199817498175051	0.0281353004864454	0.0242353113753001	0.0214276430479549	0.0172899293163282	0.0300920788070258	0.020879405344209	0.0301589656507704	0.0300719349514202	0.0428849486269472	0.0284161481788633	0.0282942122070771	0.0280250524122651	0.0318757279251455
HMEC_4_G2_4A_3	0.00809255443824417	0.0219349701046756	0.00694339122768922	0.0216878007781779	0.0253933717571087	0.0239200792037033	0.0141456949153219	0.0269001184710473	0.011788318157038	0.0264276214246042	0.0205069356060058	0.00679968853462759	0.0135512981707635	0	0.0211571385988843	0.0160351407708915	0.0141492475146951	0.00836248944053148	0.0533442006521171	0.0117190735582362	0.0143041202680257	0.0126222997885069	0.0195841825070275	0.0301009041633394	0.0256738678856667	0.0170741447850582	0.0147345786424777	0.0268970524290838	0.0175485112884636	0.0416732155307534	0.0219065893783787	0.0200432233606315	0.0193651800640578	0.0195956413665259	0.0299236928009347	0.044681077230781	0.0243653871591285	0.0219760066054376	0.0246299556418105	0.0127474622398484	0.0269214370917957	0.0205811403484376	0.0175020373185122	0.020508994355505	0.0188934888928304	0.0253713940904074	0.0136340900918352	0.0249022085251462	0.0149695414039083	0.0104139734427005	0.00445229116991303	0.0206813241859288	0.0136664467870806	0.0221476736106323	0.0226887189942973	0.0368234435533186	0.0247993917240547	0.0256509069889077	0.0150488499543447	0.0358809101258865
HMEC_4_G2_4B_1	0.0131356011850203	0.00324325958982249	0.0152857406317387	0.00254051337334831	0.0043364152835859	0.00574173318302279	0.0332508305724935	0.011393061997137	0.0225608774200942	0.00913554167052208	0.0415792699372629	0.0143632538271543	0.0269326982592712	0.0211571385988843	0	0.0057037489990529	0.0132543444980083	0.0149319444964663	0.0744647915254342	0.0179920656204261	0.00704731283298591	0.0259992250021094	0.00216888030791534	0.00935440151291714	0.00467523339122932	0.00754969784053747	0.00855354597170764	0.00582348800093343	0.011122536281392	0.0207589120916657	0.00877704255712275	0.0059759363249695	0.00550000917689875	0.00576517607101341	0.0117598346375566	0.0257420508404775	0.00791676390770092	0.00425015692577431	0.00426513719723714	0.00841262787575955	0.00691288886240285	0.019028022281523	0.0333681290666609	0.0251136374946431	0.0244459281049032	0.00715263520506055	0.00765928999868725	0.00562274270447265	0.00808963016146129	0.0127641127377184	0.0181482063192476	0.00807798030721891	0.00749482537579854	0.00524124787787172	0.00415958681794048	0.0161541465735776	0.00503322666513502	0.00687908783649222	0.0182323256800368	0.0563310032294005
HMEC_4_G2_4B_2	0.00795171426594368	0.00791925463488661	0.0110501707959349	0.00566601700623306	0.00955993069083011	0.00807182717963822	0.0275949083185729	0.0156866594917287	0.0197119026850847	0.0139130322412097	0.0362384475652395	0.00939987381920621	0.0212895266190697	0.0160351407708915	0.0057037489990529	0	0.0080556273719533	0.00925553700562668	0.0692460158076806	0.012446132591835	0.00184422299414428	0.0203416859685707	0.00372041268401789	0.0140818216838843	0.00979200878982308	0.00345399218029421	0.00312357261407387	0.0110428278056169	0.00710377648260201	0.026388486596376	0.0077756224210859	0.00482378175774233	0.00395696519102379	0.00431048929137248	0.0169726029060731	0.0313227237149065	0.0122227262404447	0.0060387320805778	0.00861390634700481	0.00390441529567921	0.0108993035204254	0.0150227293137928	0.0276919047705605	0.0203344508719074	0.0194733047027794	0.012131209689422	0.00252065315759771	0.00891737312334973	0.00669771237752838	0.00953120031857509	0.0136544706880201	0.0105193515914243	0.00323725674503709	0.00930752523866619	0.00892410084506027	0.0218472678390332	0.00877108722521097	0.00978046774403005	0.0168037193921607	0.0507480261666873
HMEC_4_G2_4B_3	0.00845597493556239	0.0158964281326296	0.0128311429248725	0.0120886258258977	0.0161622947762327	0.0126255218347101	0.0219890642743873	0.0237365080952354	0.0223797727624565	0.0219424486196927	0.0321173533326866	0.0099237718338074	0.0141755958168984	0.0141492475146951	0.0132543444980083	0.0080556273719533	0	0.00584454787856584	0.065095753996258	0.00514158971488195	0.00797350568496197	0.0133488238453138	0.01108575203391	0.0195412581019198	0.0162519249718486	0.0058390860446516	0.0049342879905643	0.0174586364845927	0.00381001725156592	0.0329854338526084	0.00894181533469771	0.0086257970857304	0.00845388204666441	0.00843007183961739	0.0249072343767418	0.0389456732393597	0.0202768277038041	0.0113265240429006	0.0146298301276539	0.00898396319673	0.016039239364503	0.00804601041489739	0.0207385997485785	0.012343484540418	0.0114239680834249	0.0201137127714558	0.00793131491537667	0.0139663324012448	0.0134155108148753	0.0135323886604345	0.0141379534056774	0.0183520711986076	0.00922406311686747	0.0173610732939372	0.0169099203552222	0.0288491911149078	0.0142449685187493	0.0141743922007562	0.0216201061169912	0.0452675819586109
HMEC_4_G2_4C_2	0.00394770554281196	0.0166892779872489	0.00780235280861122	0.014733672819814	0.0187646556072469	0.0163744281858812	0.0183432075885284	0.0234820722490764	0.017065825461411	0.0222479656875544	0.0274005751101213	0.00484814047160802	0.0126788482630351	0.00836248944053148	0.0149319444964663	0.00925553700562668	0.00584454787856584	0	0.0604898370559672	0.00538720225033823	0.00798548019142349	0.011664216419645	0.0129697197967542	0.0230047070002487	0.0189687555316497	0.00921282514410723	0.00701848119412115	0.0202242514847386	0.00919579337312847	0.0356384177869698	0.0137570820137803	0.0123095228529938	0.0117682438615131	0.0119242315331897	0.0255771112391878	0.0402301606147449	0.0203126094879117	0.0146088634668586	0.0176336356329697	0.00750007132158623	0.0196195711281163	0.0130884206168961	0.018786846415007	0.0151555404431336	0.0137754236897202	0.0207248979867118	0.00748299883155781	0.01752562621968	0.0116047464644729	0.0096210198798625	0.00850647433189124	0.0174226076302447	0.00824940826260732	0.0175845484213721	0.0176257381597618	0.0310816316166036	0.0175751537277672	0.0180802724624526	0.0173668898882783	0.0415440465991406
HMEC_4_G2_4C_3	0.0613903760478673	0.0750655397971946	0.0596031238193865	0.0748980048493201	0.078680569348655	0.0768229203270789	0.0435297265905927	0.0786302078328252	0.0563424261263234	0.0788163508085882	0.0331130957796497	0.0601306197853558	0.0528842808592666	0.0533442006521171	0.0744647915254342	0.0692460158076806	0.065095753996258	0.0604898370559672	0	0.0603684367140083	0.067580018869285	0.0532487180950435	0.0728610508205363	0.0832831641949659	0.078951810195521	0.0696831381690207	0.0674776037749753	0.0801795087844892	0.0688986575887757	0.0947870034746185	0.0739477367872069	0.072776456420983	0.0722218617060226	0.0723890178441067	0.0822516228471027	0.0964806936595679	0.0767903706183068	0.0750029399199338	0.0778383379277106	0.0660709382778313	0.0799991896304802	0.0675002553042486	0.0474443670473409	0.0622142875607726	0.0610711078370413	0.0781156192469958	0.0669220765129008	0.077930777898748	0.0677740014517873	0.0627819845515105	0.0566731784679705	0.0728521234100034	0.0669878537844317	0.074994702510865	0.075733282669213	0.0898632943855256	0.077914850341664	0.0785309573512295	0.0626578559177023	0.0225060468095579
HMEC_4_G2_4D_1	0.00931497670572207	0.0203519603543471	0.0130936145762404	0.0170786658814697	0.0211832094289493	0.0177655292205382	0.0170231269205095	0.0278066533697459	0.0220368800571132	0.026261078827768	0.0275601761500914	0.0101933612398266	0.0090653558784964	0.0117190735582362	0.0179920656204261	0.012446132591835	0.00514158971488195	0.00538720225033823	0.0603684367140083	0	0.0118016351950952	0.00821496383819213	0.0158465202235698	0.0246791627933505	0.0212954374676515	0.0108518564780688	0.00944054359427667	0.0225177379695698	0.0087907104962975	0.0380671806730631	0.0139818881005666	0.013746546773832	0.0135220095197533	0.0135260135870976	0.0294017105312853	0.0437147329090323	0.0244565949131529	0.0164235745585027	0.0197108976512361	0.0120529412267156	0.0211780931612963	0.00892836810710731	0.0156176188752914	0.00978258455352862	0.00838860453360035	0.0245466100126642	0.011514098022761	0.019101458283113	0.0164580462445932	0.0149913645757433	0.0133112080704436	0.0220108525301701	0.0126051312321539	0.0215926488178187	0.0213487379636809	0.0338486976955123	0.0193641387616298	0.0193130552417984	0.0227389758655529	0.0402331780728096
