	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_4B_1	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_3	HMEC_5_4_2	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_8_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_3
HMEC_4_G2_4D_2	0.00607673140985147	0.0106489719076356	0.0122362933219508	0.0154127411612926	0.00375132683105964	0.0122817403533732	0.00982287632154282	0.0285224341318379	0.0160716698038625	0.0108507185289096	0	0.0140416106844087	0.0153029843740418	0.01992029693882	0.0133041412754115	0.0235359330771682	0.00581162983627481	0.0119929744662509	0.0134359777207223	0.00491898243963169	0.00908633081979674	0.0206428869885025	0.00591247832491825	0.0102700481659864	0.0105265931363534	0.00267070486546275	0.0258111077216729	0.0218725945160834	0.00506456652368635	0.0151214239030781	0.00711478865931951	0.0064312749879075	0.00425039794094167	0.0101564753035024	0.021340636217043	0.0238910108688913	0.012599674711366	0.0160639194449341	0.0147863824933135	0.0238105478742397	0.0261136975975948
HMEC_5_1_1	0.0201177453487695	0.00339281483880045	0.00180542500216051	0.00137123342847844	0.0102904720826518	0.00175997565038708	0.00421893632456144	0.0144828343021839	0.00203021805685937	0.00319106088238616	0.0140416106844087	0	0.00126146772640817	0.00587925659665217	0.000737517213265507	0.00949541051674088	0.00823021402760368	0.00204875593868125	0.000605672610733655	0.00912284703277779	0.00495549931190493	0.00660193995757633	0.00812936667629034	0.0243104394715997	0.00351519786630987	0.01137105391399	0.0117709761685078	0.00783181796029478	0.00897726582627023	0.00107989276577792	0.00692706226236611	0.00761057429670396	0.00979141566162359	0.00388532768388052	0.00729978411013823	0.00985054601545646	0.00144202449748653	0.002022467014871	0.00074482545990368	0.00977006983654014	0.0120736218407363
HMEC_5_1_2	0.021379024763235	0.00465427565875143	0.00306689030703417	0.000109765768695255	0.0115518877991909	0.00302144105120426	0.00548039393814933	0.0132214502912992	0.000768751012854982	0.00445252239469357	0.0153029843740418	0.00126146772640817	0	0.00461780074071149	0.00199898429494869	0.00823397697319893	0.00949164757984445	0.00331022069908965	0.00186713984259137	0.0103842733140324	0.00621695356308394	0.00534048764663042	0.00939080100610232	0.0255716349106319	0.00477665824900858	0.0126324587889307	0.0105095625266706	0.00657037273208292	0.0102386933409887	0.000181575046063599	0.00818850517641677	0.00887201248588319	0.0110528360398252	0.00514678666418882	0.00603833565570581	0.00858911527970702	0.00270349051889249	0.000760999961500791	0.000516642434709846	0.00850863845485891	0.010812211186928
HMEC_5_1_3	0.0259959351433611	0.00927200732267111	0.00768465332441695	0.00450803576473841	0.0161693894737936	0.00763920484747931	0.0100981060920503	0.0086038316137732	0.00384905446358012	0.009070258491189	0.01992029693882	0.00587925659665217	0.00461780074071149	0	0.0066167638651587	0.00361622388619827	0.0141092339198919	0.00792797943398205	0.00648492120317513	0.0150018246424503	0.0108346464786275	0.000722693082774543	0.0140083911410959	0.0301881985431242	0.00939438716058014	0.017249910616016	0.00589186088610846	0.00195259252339393	0.0148562505538466	0.00479937439235552	0.0128061380439585	0.0134896216281277	0.0156703594719512	0.00976450695986533	0.00142054864292771	0.00397136912997246	0.00732125957898533	0.00385680547672995	0.00513443892984322	0.00389089069769385	0.00619451763771485
HMEC_5_2_1	0.019380327956622	0.00265529992930958	0.00106790828186153	0.00210874990254268	0.00955298001844666	0.00102245889723304	0.00348142286748638	0.0152202951714455	0.00276773383350885	0.00245354567127292	0.0133041412754115	0.000737517213265507	0.00199898429494869	0.0066167638651587	0	0.0102329028926333	0.00749271258829321	0.00131123941228691	0.000131844622673341	0.00838534938840761	0.00421798744431841	0.0073394447842147	0.00739186483388621	0.0235730690378415	0.00277768315002048	0.0106335676363493	0.0125084557464187	0.00856931801759639	0.00823976753511581	0.00181740947720495	0.00618955601554365	0.00687307046302901	0.00905392112692754	0.00314781359826957	0.0080372863254949	0.01058803656834	0.000704507543868038	0.0027599828010249	0.00148234239084794	0.0105075608081909	0.0128110995171233
HMEC_5_2_2	0.0296111937786117	0.01288808144019	0.0113007683712095	0.00812421375007862	0.0197852123574196	0.0112553209731111	0.0137141564094338	0.00498766152346141	0.00746524233747263	0.0126863381611709	0.0235359330771682	0.00949541051674088	0.00823397697319893	0.00361622388619827	0.0102329028926333	0	0.0177251443443565	0.0115440886166859	0.0101010629930568	0.0186176984463631	0.0144506741329826	0.00289353342434841	0.0176243055771771	0.033803142529668	0.0130104578602819	0.0208656833268242	0.00227565380655063	0.00166363543423187	0.0184721304667109	0.00841554765894783	0.0164220983413788	0.0171055562980586	0.01928620453814	0.0133805670943096	0.00219567915262798	0.000355147011526729	0.010937383107103	0.00747299324063047	0.00875060650641317	0.000274668151064829	0.00257831377176346
HMEC_5_2_3	0.0118882151361648	0.0048374460464223	0.00642482213850739	0.00960140987899374	0.00206031861704343	0.00647027088494126	0.0040113260221944	0.0227121099734946	0.0102603726323137	0.00503919905386191	0.00581162983627481	0.00823021402760368	0.00949164757984445	0.0141092339198919	0.00749271258829321	0.0177251443443565	0	0.00618149424237325	0.00762455459880124	0.000892656264845674	0.00327476105157883	0.0148318745799428	0.000100849693379407	0.0160813437625787	0.00471506348125287	0.00314094191720958	0.020000518549593	0.0160616730670835	0.000747070954030483	0.00931007809755472	0.00130317754421635	0.000619653198864362	0.00156124529857115	0.00434493454173561	0.0155296746731011	0.0180802519092332	0.00678821747344281	0.0102526218620013	0.00897502040730321	0.0179997821233341	0.0203031365354437
HMEC_5_3_1	0.0180692479761369	0.00134406213979774	0.000243331248484756	0.00341998603627526	0.00824177642221695	0.000288780649510363	0.00217018689081514	0.0165314202377401	0.004078968113727	0.00114230753328597	0.0119929744662509	0.00204875593868125	0.00331022069908965	0.00792797943398205	0.00131123941228691	0.0115440886166859	0.00618149424237325	0	0.00144308394876369	0.00707413695831739	0.00290675360748533	0.0086506553386327	0.00608064586522449	0.0222620686481499	0.00146644558987529	0.00932237332210402	0.0138196165986171	0.00988051894735242	0.00692855409068413	0.00312864630461443	0.0048783303357967	0.00556184843711777	0.00774271360303829	0.00183657681483908	0.00934849158747971	0.0118992187206233	0.000606732062754442	0.00407121710532226	0.00279357992058954	0.0118187437798985	0.0141222567068933
HMEC_5_3_3	0.0195121552709758	0.00278714421394071	0.00119975284630448	0.00197690547012267	0.00968482041000368	0.00115430346624217	0.00361326691535458	0.0150884610422301	0.00263588954396426	0.00258539000425143	0.0134359777207223	0.000605672610733655	0.00186713984259137	0.00648492120317513	0.000131844622673341	0.0101010629930568	0.00762455459880124	0.00144308394876369	0	0.0085171907452048	0.00434983122842481	0.00720760257875799	0.00752370691366989	0.0237048880733517	0.00290952740350596	0.010765407023349	0.0123766181976739	0.00843747669878269	0.00837160900350457	0.00168556499425735	0.00632139884940869	0.00700491288442533	0.00918576194632208	0.00327965774925609	0.00790544460616844	0.010456197004479	0.000836352139943602	0.00262813850958524	0.00135049785934275	0.010375721167241	0.0126792623166815
HMEC_5_4_2	0.010995599452381	0.00573009372179735	0.00731746383706274	0.0104940349339545	0.00116766309817677	0.00736291238939924	0.00490397619084716	0.0236046003097965	0.0111529934527661	0.00593184605614126	0.00491898243963169	0.00912284703277779	0.0103842733140324	0.0150018246424503	0.00838534938840761	0.0186176984463631	0.000892656264845674	0.00707413695831739	0.0085171907452048	0	0.00416741308684911	0.0157244586301378	0.000993505926464458	0.0151887633695972	0.00560771155266887	0.00224828784233696	0.0208930454644086	0.0169542450199645	0.00014558534441689	0.0102027049389568	0.00219583292204424	0.00151230917318736	0.000668589357440654	0.00523758375442528	0.0164222519739051	0.018972801979002	0.00768085758430391	0.0111452427338342	0.0098676492383861	0.0188923331136659	0.0211956595933369
