	HMEC_4_1_1	HMEC_4_1_3	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_4A_1	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_5_2_3	0.0203540554748589	0.0135068401238271	0.0043933491051095	0.0228923716429755	0.00326065338816119	0.0189391114211359	0.0237113492424421	0.00917787645856082	0.000426074901714456	0.00977682517708033	0.0126204935742386	0.00139841490812642	0.00795252448120337	0.0229704980956084	0.00117428343561902	0.00875839380198038	0	0.0137347231676965	0.013940376505986	0.0144373275063301	0.0144574021912742	0.024617321740299	0.00790070481317499	0.027539211498209	0.0154971879571908	0.0249290110584626	0.0317398651141128	0.00867138446602655	0.0098363862830186	0.0195906857554001	0.0054983413794051	0.0108083375273905	0.0169191017614761	0.0132420383677396	0.0284701570354932	0.00890763850984042	0.0265486491943261	0.0247611648494818	0.0105525210631843	0.0321677551047963	0.0384016223636804	0.0200367149322082	0.0197490886147653	0.017947053017252	0.0131855962912935	0.0218175196944475	0.0166306634198206	0.00687142438043852	0.0169764218446751
HMEC_5_3_1	0.00661997717192019	0.000227897792787317	0.0093415710506194	0.00915865149160204	0.0104742337445454	0.00520486013250613	0.00997775774463012	0.0229115873212532	0.014160769080518	0.00395808353606291	0.00111429698668004	0.0123363911140005	0.00578241924984171	0.00923678994153165	0.0125605105743312	0.00497653839318186	0.0137347231676965	0	0.000205667074453056	0.000702652937455537	0.000722729080154408	0.0108838800027277	0.00583423944663101	0.0138063059853761	0.0017625956239271	0.0111956226508046	0.0180078727841751	0.00506354927445194	0.00389852074922739	0.00585651175414943	0.0192325559036555	0.00292653727426831	0.00318463660998487	0.000492716063651805	0.0147374394311225	0.00482729086570383	0.0128155527918731	0.0110277476084926	0.00318236309871766	0.0184358652065855	0.0246714220078295	0.00630259617171985	0.00601493401450026	0.00421269183150097	0.000549161573627166	0.00808364038890589	0.00289617090825396	0.00686352504533563	0.0307086305149743
HMEC_5_3_2	0.00641431313402871	0.000433564860572751	0.0095472317317667	0.00895299027934436	0.010679892798429	0.00499919491902599	0.00977209764032529	0.0231172163306142	0.0143664215587579	0.00416374943038375	0.00131996395608353	0.0125420470911567	0.00598808384378923	0.00903112883082691	0.012766166147508	0.00518220362044746	0.013940376505986	0.000205667074453056	0	0.000496985887643726	0.000517062032121466	0.0106782212355767	0.00603990399665374	0.0136006523285589	0.00155692874554885	0.0109899643707647	0.0178022286071967	0.00526921443781605	0.00410418667796903	0.00565084704649481	0.0194381961300779	0.00313220369258199	0.0029789702140118	0.000698383113810612	0.0145317876582679	0.00503295620003357	0.0126098972661481	0.010822089064424	0.00338802940130534	0.0182302221363736	0.0244657980199352	0.00609693184528162	0.00580926943897604	0.00400702596438694	0.000754828618756357	0.00787797786784104	0.00269050439104229	0.00706918864322784	0.0309142292497608
HMEC_5_3_3	0.00591733380543545	0.000930550678375129	0.010044201009328	0.00845601747028229	0.0111768580062	0.00450221292158176	0.00927512740908243	0.0236141074276605	0.0148633704290865	0.0046607319594985	0.00181694942886322	0.0130390046379726	0.00648506300892756	0.00853415625769566	0.0132631226909092	0.00567918441388138	0.0144373275063301	0.000702652937455537	0.000496985887643726	0	2.00761485617044e-05	0.0101812541254407	0.00653688304936585	0.0131036972123886	0.00105994314332322	0.0104929983998485	0.0173052958886162	0.00576619506630347	0.00460116929748238	0.00515386619217968	0.01993511477884	0.0036291876132155	0.00248198560472165	0.0011953688570341	0.0140348369815592	0.00552993727029659	0.0121129377541484	0.010325122475858	0.00388501301120707	0.0177332920403227	0.0239689132792672	0.00559995185798134	0.00531228888471026	0.00351004250802134	0.00125181434283417	0.00738100202666471	0.00219351952383892	0.00756616527005671	0.0314110462452718
HMEC_5_4_2	0.00589725790263882	0.000950626818598319	0.0100642764484664	0.00843594182166662	0.0111969332768478	0.00448213691606203	0.00925505186164039	0.0236341796596773	0.0148834450264553	0.00468080795338835	0.00183702555191669	0.0130590795924209	0.00650513886032556	0.00851408061833372	0.013283197604021	0.00569926033398425	0.0144574021912742	0.000722729080154408	0.000517062032121466	2.00761485617044e-05	0	0.0101611787008069	0.00655695889604861	0.013083622261712	0.00103986700461473	0.0104729230201109	0.0172852218275459	0.00578627097942119	0.00462124529523287	0.00513379023048218	0.019955188137094	0.00364926366703177	0.0024619095009787	0.00121544499330375	0.014014762206859	0.00555001320211128	0.01209286262948	0.0103050470717807	0.00390508905155385	0.0177132180836526	0.0239488411322849	0.00557987592972679	0.00529221293456496	0.0034899664471944	0.0012718904781016	0.00736092625945571	0.0021734434107341	0.0075862410150174	0.0314311154558338
HMEC_5_4_3	0.00426400953453974	0.0111117682157817	0.0202247354781167	0.00172528822685551	0.0213572663421517	0.00567913162339469	0.000906156424389906	0.0337925285528216	0.0250433049537014	0.0148417412049222	0.0119981264074415	0.023219185747745	0.0166659344323752	0.00164714755825988	0.0234432747870891	0.0158601196326731	0.024617321740299	0.0108838800027277	0.0106782212355767	0.0101812541254407	0.0101611787008069	0	0.0167177502127753	0.00292257840797872	0.00912134518464617	0.000311755835973983	0.00712447727101959	0.0159471236192309	0.0147821826443174	0.00502747955711839	0.030114238931906	0.0138102643321889	0.00769933611354499	0.0113765748605648	0.00385377395841107	0.0157108837977025	0.00193176631730282	0.000143873601015019	0.0140660737006703	0.00755251099136747	0.0137888261106555	0.00458139298413185	0.00486905670354383	0.0066712944349301	0.0114330178236518	0.00280032517101347	0.00798779657857344	0.0177469438646874	0.0415876560314578
HMEC_5_5_3	0.0124540492147035	0.00560634425070962	0.00350739830512132	0.0149926122280271	0.00464009325976317	0.0110389828913237	0.0158116770021095	0.0170781466063666	0.00832676989685841	0.00187617101389504	0.00471995315174708	0.0065023150579573	5.18208076335438e-05	0.0150707468382072	0.006726443228218	0.000857709736241983	0.00790070481317499	0.00583423944663101	0.00603990399665374	0.00653688304936585	0.00655695889604861	0.0167177502127753	0	0.019639995386673	0.0075968078625232	0.0170294752187778	0.0238412417644168	0.000770698110634181	0.00193573404560737	0.0116906121663466	0.0133988420755311	0.0029077194763731	0.00901881770837635	0.00534152873258402	0.0205710639724498	0.00100695846861418	0.0186493073587308	0.0168616097256464	0.00265189350979283	0.024269197546383	0.0305041366795172	0.0121366802947062	0.011849028734061	0.0100468453093814	0.00528508377264351	0.0139176514432341	0.00873035898677242	0.00102929997425287	0.0248759531762355
HMEC_5_6_1	0.00718655687447213	0.0140341884352839	0.0231468385909802	0.00464785850619358	0.0242793182178043	0.00860166049978616	0.00382873131562895	0.0367138451956653	0.0279651719227427	0.0177640520796779	0.0149205232072911	0.0261411476935431	0.0195881815172322	0.00456971833631028	0.0263652254318189	0.018782395731784	0.027539211498209	0.0138063059853761	0.0136006523285589	0.0131036972123886	0.013083622261712	0.00292257840797872	0.019639995386673	0	0.0120438121746529	0.00261082339695637	0.0042019291954899	0.0188693966493742	0.0177044954875055	0.00795001744072751	0.0330358060755659	0.016732608277097	0.0106218315868218	0.0142989882506284	0.000931199187075928	0.0186331651250199	0.000990814030544802	0.00277870521244282	0.016988409646055	0.0046299680130956	0.0108663994868618	0.00750393653663287	0.00779159664664732	0.00959380794198914	0.0143554297395952	0.00572288733262329	0.0109102866060495	0.0206691499482152	0.0445083497115886
HMEC_5_6_2	0.00485740125333695	0.00199049313856214	0.0111041029614553	0.00739609736536371	0.0122367506285093	0.003442275489964	0.00821521233181292	0.0246738348603356	0.0159232260928125	0.00572066526402534	0.00287689064406337	0.0140988798529731	0.00754498809156744	0.00747423661110305	0.0143229956373048	0.00673911343194534	0.0154971879571908	0.0017625956239271	0.00155692874554885	0.00105994314332322	0.00103986700461473	0.00912134518464617	0.0075968078625232	0.0120438121746529	0	0.00943309170980053	0.0162454562092324	0.00682612368259469	0.00566110282894397	0.00409393082440444	0.020994903079886	0.00468912447774005	0.00142204376254265	0.00225531100604026	0.0129749608778522	0.00658986696446529	0.011053043909719	0.00926521456489195	0.00494494906615596	0.0166734577087117	0.02290917210577	0.00454001808327798	0.00425235406593611	0.00245010253459675	0.0023117564187773	0.00632107607213372	0.0011335772972011	0.00862608431857499	0.0324706111777972
HMEC_5_6_3	0.00457576326002676	0.0114235103133757	0.020536446318429	0.00203704368274083	0.0216689720358953	0.00599088377872344	0.00121791214105111	0.0341041593147594	0.0253549919608137	0.0151534726904641	0.0123098662568423	0.0235308823727796	0.0169776596276142	0.00195890304532955	0.0237549702697016	0.0161718476957611	0.0249290110584626	0.0111956226508046	0.0109899643707647	0.0104929983998485	0.0104729230201109	0.000311755835973983	0.0170294752187778	0.00261082339695637	0.00943309170980053	0	0.00681272668163217	0.0162588513794716	0.0150939143230482	0.005339232489346	0.0304258953821224	0.0141219990545359	0.00801108527582423	0.0116883163043486	0.00354201959818376	0.0160226123764083	0.00162001081968001	0.000167882237968719	0.0143778076418235	0.00724076106651944	0.0134770903571138	0.0048931463951841	0.00518080981075272	0.00698304523078466	0.011744759126107	0.00311208006437911	0.00829954524132913	0.0180586649909211	0.0418992225259299
HMEC_5_7_2	0.0113883668207505	0.0182357445852304	0.0273478444043589	0.00884972777738178	0.0284802386429578	0.0128034292176892	0.00803061571830772	0.0409135800670352	0.0321657883693339	0.021965412355767	0.0191220364960098	0.0303419195575923	0.0237894311792217	0.00877158913535061	0.0305659787298087	0.022983695457172	0.0317398651141128	0.0180078727841751	0.0178022286071967	0.0173052958886162	0.0172852218275459	0.00712447727101959	0.0238412417644168	0.0042019291954899	0.0162454562092324	0.00681272668163217	0	0.0230706910609449	0.0219058592108923	0.012151805869682	0.0372359390560966	0.020934026789423	0.0148235313222269	0.018500531835949	0.00327073444468808	0.0228344739134656	0.00519273573146439	0.00698060615124821	0.0211898140058404	0.000428041703882723	0.00666457575597596	0.0117057377444108	0.0119933896803414	0.0137955442696512	0.0185569706203005	0.00992473377661425	0.0151119755196663	0.0248703294634166	0.0487071086589773
HMEC_5_7_3	0.0116833901617946	0.00483565342540318	0.00427809237673655	0.0142219713306692	0.00541078461073891	0.0102683152142188	0.0150410426976843	0.0178487624281587	0.00909744759671172	0.00110547346095968	0.00394926005105707	0.00727300043113938	0.000718877314389289	0.0143001065543109	0.00749712775568981	8.70116458993441e-05	0.00867138446602655	0.00506354927445194	0.00526921443781605	0.00576619506630347	0.00578627097942119	0.0159471236192309	0.000770698110634181	0.0188693966493742	0.00682612368259469	0.0162588513794716	0.0230706910609449	0	0.00116503654139517	0.0109199483275356	0.0141694889761145	0.00213702303637077	0.0082481395766223	0.00457083718332684	0.0198004750681209	0.000236260421781718	0.0178786986668859	0.0160909843967191	0.00188119674045297	0.0234986522641138	0.0297336814495412	0.0113660192143787	0.0110783658627048	0.00927617222475048	0.00451439207393892	0.0131470024372519	0.00795967954053096	0.00179999758642497	0.0256464787400425
HMEC_5_8_2	0.0105184034712918	0.00367062409217626	0.0054431194462677	0.0130570100892479	0.00657580667638516	0.00910331659966981	0.0138760907786848	0.0190136605390124	0.010262446126305	5.95631077898418e-05	0.00278422797563955	0.00843801199535223	0.00188391330511302	0.0131351461788228	0.00866213786516381	0.00107802493388532	0.0098363862830186	0.00389852074922739	0.00410418667796903	0.00460116929748238	0.00462124529523287	0.0147821826443174	0.00193573404560737	0.0177044954875055	0.00566110282894397	0.0150939143230482	0.0219058592108923	0.00116503654139517	0	0.00975495500270337	0.015334436959185	0.000971987338861335	0.00708312674714145	0.00340580696408289	0.0186355880390092	0.000928776208559231	0.0167137832354331	0.0149260452204221	0.000716160746474292	0.0223338282731844	0.0285689886972663	0.0102010297086629	0.00991337387576073	0.00811116621620056	0.00334936167320484	0.0119820297834489	0.00679466495089728	0.00296503195788277	0.0268112342893929
HMEC_5_8_3	0.000763475703864235	0.00608440672266375	0.0151977932505733	0.00330220127058107	0.0163303965793439	0.000651658525551467	0.00412132964822067	0.0287667517116625	0.020016702279859	0.00981451612435199	0.00697079291749956	0.0181924449221305	0.0116387938163064	0.00338034171345787	0.018416550301906	0.0108329402668142	0.0195906857554001	0.00585651175414943	0.00565084704649481	0.00515386619217968	0.00513379023048218	0.00502747955711839	0.0116906121663466	0.00795001744072751	0.00409393082440444	0.005339232489346	0.012151805869682	0.0109199483275356	0.00975495500270337	0	0.0250880819458893	0.00878299665412365	0.00267189246836508	0.00634922144559989	0.00888119382414735	0.010683697505316	0.00695922242519505	0.00517135185991142	0.00903881623928776	0.0125798248881294	0.0188158534303675	0.000446090139738908	0.000158424199810171	0.00164383401999956	0.00640566616225298	0.00222716526876968	0.00296035830242711	0.0127198588093002	0.0365628434273251
HMEC_5_9_1	0.0258513851195211	0.0190046872000999	0.00989160661951307	0.0283894640499381	0.00875893963638531	0.0244365626547032	0.0292083598716176	0.00367960048624349	0.00507227065343675	0.0152748787317134	0.0181183945383736	0.00689673766130503	0.0134506596127967	0.0284675828115013	0.00667260968151411	0.0142564944712359	0.0054983413794051	0.0192325559036555	0.0194381961300779	0.01993511477884	0.019955188137094	0.030114238931906	0.0133988420755311	0.0330358060755659	0.020994903079886	0.0304258953821224	0.0372359390560966	0.0141694889761145	0.015334436959185	0.0250880819458893	0	0.0163063393103886	0.0224167133483883	0.0187399018581079	0.0339666420091375	0.0144057325234148	0.0320453567784972	0.0302580669185989	0.0160505360657156	0.0376637722547903	0.0438967333854819	0.025534072510366	0.0252464711792967	0.0234445849480695	0.0186834632456313	0.0273147155550636	0.0221282966333233	0.0123696018305926	0.0114784587331676
HMEC_5_9_2	0.0095464501049382	0.00269864010814805	0.00641509494022135	0.0120850761173512	0.00754777717526483	0.00813135430971844	0.0129041639916521	0.0199855186204966	0.0112343943195166	0.00103155042524183	0.00181224234584865	0.00940997238435217	0.00285589882009935	0.0121632128728018	0.00963409687817199	0.00205001152369122	0.0108083375273905	0.00292653727426831	0.00313220369258199	0.0036291876132155	0.00364926366703177	0.0138102643321889	0.0029077194763731	0.016732608277097	0.00468912447774005	0.0141219990545359	0.020934026789423	0.00213702303637077	0.000971987338861335	0.00878299665412365	0.0163063393103886	0	0.00611115406060666	0.00243382243268421	0.0176637119461149	0.0019007629491554	0.0157418848365905	0.0139541283047754	0.000255826654513748	0.021362002099258	0.0275972675125537	0.00922907422337397	0.00894141652867338	0.00713919847587182	0.00237737703129664	0.0110100870683372	0.00582269100476556	0.00393701533875909	0.0277829677978308
HMEC_5_9_3	0.00343536573778994	0.00341253354115805	0.0125260778329051	0.00597407543337865	0.0136587115934022	0.00202023516485224	0.00679319613982413	0.0260955589615732	0.0173451329522022	0.0071426888046408	0.00429892828834795	0.0155208151798513	0.00896699836257266	0.00605221519812795	0.0157449276457403	0.00816112997178602	0.0169191017614761	0.00318463660998487	0.0029789702140118	0.00248198560472165	0.0024619095009787	0.00769933611354499	0.00901881770837635	0.0106218315868218	0.00142204376254265	0.00801108527582423	0.0148235313222269	0.0082481395766223	0.00708312674714145	0.00267189246836508	0.0224167133483883	0.00611115406060666	0	0.00367735066606978	0.0115529911339042	0.00801188459456807	0.00963105272210641	0.00784320669890934	0.00636697724891357	0.0152515394716638	0.0214873712109595	0.00311798131699437	0.00283031625195396	0.00102806001734221	0.00373379591157773	0.00489904761154427	0.000288466626942595	0.0100480851673711	0.0338921077314705
HMEC_Root1_1	0.00711268516734293	0.00026481828105327	0.00884886918530892	0.00965135241372502	0.00998153564204153	0.00569757111380877	0.010470455914371	0.0224189597086409	0.013668086290003	0.00346536982620891	0.000621581041731227	0.0118437001595114	0.0052897084368129	0.00972949061097744	0.0120678205608259	0.00448382615941122	0.0132420383677396	0.000492716063651805	0.000698383113810612	0.0011953688570341	0.00121544499330375	0.0113765748605648	0.00534152873258402	0.0142989882506284	0.00225531100604026	0.0116883163043486	0.018500531835949	0.00457083718332684	0.00340580696408289	0.00634922144559989	0.0187399018581079	0.00243382243268421	0.00367735066606978	0	0.0152301170715466	0.00433457839334325	0.0133082396530368	0.011520441914687	0.00268964850372234	0.0189285215556865	0.0251640318962358	0.00679530489641487	0.00650764337041174	0.0047054044975145	5.64455162495377e-05	0.00857634457528245	0.00338888528935886	0.00637081648909567	0.0302160745003268
