	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1
HMEC_5_4_1	0.00853382783263132	0.00285109896290443	0.00205888032503646	0.0137954159609205	0.00163760513762615	0.00331086317416306	0.00915994442548071	0.00248380186212104	0.0152025425925426	0.0455092537671033	0.00122893869554163	0.00566547640970372	0.00363180653000192	0.0025576465749602	0.00518034075886901	0.0054906792477603	0.00790937875651944	0.00699077065216788	0.0217501242790246	0.00957117292293092	0.00421816594940413	0.00355410137372393	0.00561309040823515	0.00160412286504184	0.0042592921495292	0.00420601274269213	0.00143643837527274	0.00270417257895231	0.00206984377584907	0.00475057568676912	0.00222153905135948	0	0.0555224830110869	0.00777673208083785	0.023709603327638	0.0141209707698956	0.0248351140168505	0.00305097285672616	0.0103311950920052	0.00298955007532755	0.00248458600331097	0.00708105148647521	0.00483358655535048	0.00573558069456936	0.00641579658370951	0.00501747605697481	0.0317464566857954	0.00931661726080603	0.00686148096934245	0.00363669171983475	0.00526555945492341	0.00945663674336432	0.00548033916090015	0.00706662786730127	0.00822537684221062	0.00652113244648243	0.0112220403915369	0.0463605588569996	0.00379512692693152	0.0116853195947027	0.0419749095001084	0.00119249134129676
HMEC_5_4_2	0.0639199877950691	0.0582808578093079	0.0535630420692906	0.0690971730291014	0.0570317196170236	0.058614502975853	0.0642752658145142	0.0530422919193337	0.07021520760006	0.100501221421659	0.0546805323879174	0.0584537734589532	0.0588308673450606	0.0570789611591206	0.0606435346415666	0.0609983482525906	0.0609319998586119	0.0488290847308283	0.075681449852306	0.0650372498945084	0.0516585530448934	0.0560563773662531	0.0602956527576461	0.0555578544291295	0.059094839890826	0.0546494329722778	0.0566085680084921	0.0573047023571953	0.0552755110615893	0.0513381758541182	0.0536621618733497	0.0555224830110869	0	0.0602261091469269	0.0790237334913087	0.069525587227681	0.0802724522272075	0.0571013177724756	0.0649853028800291	0.0581589007126593	0.0572307606544514	0.0484951316433597	0.0578677837791067	0.0499235710861589	0.0495260118352802	0.0541547830048872	0.0246468414412735	0.0490005239982223	0.0496352244534709	0.0537574721168548	0.0504121894494383	0.0467954591047395	0.0501330595309335	0.0484683479578821	0.0474927468891527	0.0507431920202605	0.0446088386537744	0.00935001350920556	0.057175953658875	0.0458021712826765	0.0905220107277777	0.0547105540605074
HMEC_5_4_3	0.00633625844537902	0.00593546036290729	0.00947418991280577	0.00995897853066369	0.00762917843982281	0.00538678478230244	0.00562546058675335	0.0094013750004558	0.0104489405393889	0.0404321671254436	0.00761553908281647	0.0022024369663968	0.00803643696930093	0.00522234160338568	0.00572824921208244	0.00627243302865771	0.000855234015369172	0.0120081015937221	0.0155319576706131	0.00753408661307313	0.0115380526511257	0.00489836320763484	0.00338756898359954	0.00914257280894902	0.00413702393950969	0.00588533391127504	0.00639680934280456	0.0050960669734357	0.00639290133340583	0.00960889111190461	0.00815400240450628	0.00777673208083785	0.0602261091469269	0	0.0193750025354773	0.0106953726727935	0.0210051226489198	0.00473977915989374	0.0053451381841937	0.00529579619197375	0.00533155608650228	0.0127510319376585	0.00304331798897869	0.012538091588143	0.011269593708123	0.00617640379334177	0.0374732044198854	0.0112950171151234	0.014237162023424	0.00704979473154824	0.010853352577317	0.0135838884694758	0.0112272255141041	0.0130221297641831	0.0133382921667683	0.00958518461907381	0.0159006131481265	0.0513315893470084	0.00409350781673257	0.0144849694205868	0.043937112448551	0.00895564378490947
HMEC_5_5_1	0.0151895033869992	0.0208813535313112	0.0257427799914858	0.0099564538717529	0.0223203930322526	0.0205033421484943	0.0147851870459142	0.026171608695726	0.00894958363687723	0.0218569031939744	0.0244493079050578	0.0208265132718004	0.0207529107583363	0.0219944833594395	0.0185304685748743	0.0182493208355324	0.0185684144630845	0.0302504646955751	0.00724911633351969	0.0141526108795898	0.0278101957616039	0.0230597365189814	0.0187812497012374	0.0239718095577411	0.0199728744411554	0.0245211355064581	0.0225233118380726	0.0217684893540026	0.023798923985674	0.0277386200378647	0.0254435021842134	0.023709603327638	0.0790237334913087	0.0193750025354773	0	0.00959206457766879	0.00218868249668951	0.0219714661385527	0.0142044787555538	0.0209410051280693	0.0218487973857542	0.030627235068286	0.0213190534491646	0.0294344195802244	0.0295524457947316	0.0251043381590723	0.0554366904619309	0.0305489321729752	0.0302147496725028	0.0253401979154045	0.0286881268828848	0.0323339679905385	0.0289824387161446	0.0306986414405423	0.0315905490557795	0.0284581538578577	0.0344772213929384	0.069951390808728	0.0219320228843805	0.0336845795262183	0.033002891311362	0.0246523816832709
HMEC_5_5_2	0.00561870043632204	0.0112992839673516	0.0161525077513849	0.00090637723447187	0.0127334881939121	0.0109377184972397	0.00540516540212356	0.0165876701944646	0.00254116738839955	0.0314273148574231	0.0148840794986013	0.0117172019414396	0.0112175233971091	0.0124865827196347	0.00894236862018437	0.00865921766235334	0.00984119803908949	0.020742510333112	0.00944854452029824	0.00456264889097465	0.018223904040801	0.0136915106804576	0.00938849898914321	0.0144015229269017	0.010492248564254	0.0152035981557825	0.0129541217264043	0.0122608533063573	0.0142931718623356	0.0182436363392119	0.0158934559167004	0.0141209707698956	0.069525587227681	0.0106953726727935	0.00959206457766879	0	0.0107881134520318	0.0125143804201834	0.00537387153046952	0.0113889504902943	0.0123241997163732	0.0210736965180019	0.0120808885104787	0.0198448791663053	0.0200579538423178	0.0158633632067823	0.0458555291097491	0.0213947159836389	0.0206552841280977	0.0159190433481135	0.0191461414569996	0.0229098005800134	0.0194305528634605	0.0211296634414385	0.0220724400008498	0.0191219520088064	0.0249940158874374	0.0604169779689292	0.0125652427084627	0.0244510920324039	0.0348728264976389	0.0150634568292147
HMEC_5_5_3	0.0163968261241436	0.0220454235831599	0.0268386164417177	0.0112892765490148	0.0233807530387878	0.0217070208493149	0.0161407689744372	0.027314109284905	0.0105654549809067	0.0210799876874181	0.0256464454953608	0.0223316735641264	0.0217106163871512	0.0232731079774258	0.0196797569841594	0.0193462647177593	0.0201796997959747	0.0315254065570324	0.00943279425732774	0.0152764986412069	0.0288535144625539	0.024447267132654	0.020145727214032	0.0249724272337749	0.0212768504982499	0.025940674885687	0.0237158906476041	0.0230474492319785	0.0250792147477066	0.0290288596391441	0.026666120026231	0.0248351140168505	0.0802724522272075	0.0210051226489198	0.00218868249668951	0.0107881134520318	0	0.0232959352043844	0.0157367942006738	0.0221664550007914	0.023109249957559	0.0318376966952946	0.0227717897297832	0.0305231913738159	0.0308425658346301	0.0265650424942539	0.0565038245305622	0.0320594755070797	0.0311705142953018	0.0266942931037786	0.0299196648008353	0.0336878470158029	0.030197750392288	0.0318773464542935	0.0328524704492749	0.0298714220125294	0.0357773416417453	0.0711520408506109	0.0233186578213543	0.0351600487536402	0.0310276147781938	0.0257192279138124
HMEC_5_6_1	0.00696117805336543	0.00228777775956946	0.00477088262524321	0.0120314079883965	0.00328375395681489	0.00212792580499596	0.00718736522321939	0.00480083853731975	0.0131706881385481	0.0435982610630607	0.00295126330599014	0.00261581857861836	0.00453618745541517	0.000589784171935051	0.00406933175653477	0.00462518385102333	0.0049402189340202	0.00829446044700769	0.0193134652992019	0.00818358565579614	0.00689275308251421	0.00140790770149844	0.00321037915772731	0.00450896804321674	0.00202690877221155	0.00292214910815778	0.00175422250977771	0.000624971451283112	0.0019009256696765	0.00577612581156904	0.00369503799943083	0.00305097285672616	0.0571013177724756	0.00473977915989374	0.0219714661385527	0.0125143804201834	0.0232959352043844	0	0.00801131045815072	0.00163775108214325	0.000832276227607696	0.00877157948274712	0.00179363352088531	0.00808418177056309	0.00758745702867143	0.00375312703799699	0.0337343631883649	0.00917602489072682	0.00960189191488905	0.00341230596274605	0.00681005208888472	0.0103969402530921	0.00713996794562333	0.00892641744849779	0.00964315678994122	0.0066730622585615	0.0125101892609694	0.0480412491768738	0.000818885301034706	0.0120645794432213	0.0428058763006863	0.00421948819489837
HMEC_5_6_2	0.00304725068416462	0.0075497410657586	0.0123724915429318	0.00461531148345361	0.00932510201531803	0.00703328428082393	0.0017078677588517	0.0126200321962189	0.00526566389930724	0.0356388056496159	0.0107806462041071	0.00662303572318877	0.00848943001972347	0.00816214649990345	0.00558989369471499	0.00567810326553028	0.00449638042232195	0.0162697911789267	0.0114200280175251	0.00350561237549683	0.0145452907507764	0.00895005090268325	0.00482534442022098	0.0111054028418716	0.0061521309325078	0.0103596408484829	0.00895751559542342	0.00794400883980426	0.00990565178283755	0.0137538674165193	0.0116659172620734	0.0103311950920052	0.0649853028800291	0.0053451381841937	0.0142044787555538	0.00537387153046952	0.0157367942006738	0.00801131045815072	0	0.00734831000756986	0.00807991383660639	0.0167822819887552	0.00713979420477857	0.0159573608184116	0.0155491281240125	0.0109104158921531	0.0417409719183238	0.016350914600253	0.017184777992409	0.0112623880497755	0.0148208460278902	0.0182161041979269	0.0151501854319533	0.0169316155179044	0.0176232269022327	0.0142899813985259	0.0204247712716474	0.0559785201871825	0.00783729590608844	0.0194851402351901	0.0395034021297952	0.0114518286173794
HMEC_5_6_3	0.00577147287100751	0.000725685011497046	0.00502437054920268	0.0109888237208028	0.00235370104558927	0.000516510849157892	0.00624475489370278	0.00530532202943243	0.0122990402554912	0.0426823033035072	0.00351610645249481	0.00353414121332832	0.00303918445708191	0.00126403743374981	0.00259198909017815	0.00309213599539429	0.00522899238646949	0.00937024975157727	0.0187659850129506	0.00691928517000095	0.00719777240996958	0.00303671022008119	0.00264241702614124	0.00400602005982316	0.0013127305662685	0.00450653215960117	0.0016181533750203	0.00107752442915945	0.00297256580448064	0.00689531096147275	0.0045056842225678	0.00298955007532755	0.0581589007126593	0.00529579619197375	0.0209410051280693	0.0113889504902943	0.0221664550007914	0.00163775108214325	0.00734831000756986	0	0.00102043747061517	0.00968991858457607	0.00290783927003883	0.0086372697146894	0.00870125886112445	0.00536005008895998	0.0345706352492702	0.0106860760876081	0.00985093497231613	0.00478971634313597	0.00775797974191684	0.0116314921475865	0.00804508720558529	0.00976550796746031	0.0106911617249109	0.00808386929472823	0.0136350083494891	0.0490479882348967	0.0022947072026069	0.0134786232060816	0.0411698542110864	0.00414065443561703
HMEC_5_7_2	0.00671770755029568	0.0015443744289076	0.00438890554619796	0.0118936163556209	0.00247341591739487	0.00153615385200325	0.00709695389819082	0.00455081515206553	0.0131374435876669	0.0435509747842925	0.00270154249878139	0.00330710168748223	0.00372546784875701	0.000277324405203526	0.00360601302457339	0.00411253990267908	0.0054276573946762	0.0084193496155137	0.0194651168633462	0.00789279997345571	0.00655666657141527	0.00211466398532645	0.00326401714669819	0.00381737669015451	0.00192964980764416	0.00352075125411062	0.00106752141581879	0.00024360098737416	0.00197938479465868	0.005925550841383	0.00361485583820418	0.00248458600331097	0.0572307606544514	0.00533155608650228	0.0218487973857542	0.0123241997163732	0.023109249957559	0.000832276227607696	0.00807991383660639	0.00102043747061517	0	0.00879155331242091	0.00253207676194153	0.0078844378261913	0.00773796921292987	0.0043860845846872	0.0337214967664394	0.00966836482216339	0.00925134584690931	0.00377012345722557	0.00684335389752497	0.0106415837261748	0.00714641158673369	0.0088966491279453	0.00975122176016891	0.00706457241200145	0.0126753883281629	0.0481365165408908	0.00163991895235632	0.012460406638934	0.0420963493561952	0.00367698557111479
HMEC_5_7_3	0.0154559133110148	0.00980043000611732	0.00525348670652199	0.0206749291855539	0.00866068927036185	0.010137265469806	0.0158872366933729	0.00461880999788861	0.0219174443509365	0.0523316801334428	0.00619361822025935	0.0106422462984811	0.0105824010628376	0.0086644836693818	0.0121667656070648	0.0125354827216864	0.0132616668050908	0.00116444768560552	0.028025124227539	0.0165675473970402	0.00393386166279648	0.00796965893930265	0.0119726994503897	0.0074339183556415	0.0106989937359965	0.00688012683962089	0.00812467705532847	0.0088890423550952	0.00688271713281257	0.00314231091013385	0.00518559841970863	0.00708105148647521	0.0484951316433597	0.0127510319376585	0.030627235068286	0.0210736965180019	0.0318376966952946	0.00877157948274712	0.0167822819887552	0.00968991858457607	0.00879155331242091	0	0.00989669308154561	0.00236277957619852	0.00171118107090374	0.00678422037368017	0.0249659428287708	0.00549161746784748	0.00418751889480327	0.00570661179894362	0.00196166509674069	0.00315208793685964	0.00164573414275452	0.000544518787393046	0.00134162759877239	0.00406400635994	0.00423790552526704	0.0393672684145679	0.00901452555190824	0.00597090872170817	0.0477662290664246	0.00642622786275526
HMEC_5_8_1	0.00679393031560519	0.00363310756525833	0.00644060721258452	0.0114930657460182	0.00499471109189616	0.00323340372844536	0.00667682211161538	0.00635891124622058	0.0124013081268798	0.0427504307623923	0.00457695696438494	0.000848442582895911	0.00594307251163583	0.00235069796947787	0.00460904801132333	0.00521923523270561	0.00339811023009495	0.00925492895826926	0.0181532748420622	0.00807175457673719	0.00849485374092265	0.00192982159973344	0.00280614056123161	0.00630150695884354	0.00234738043203599	0.00322307636061436	0.00354056288592995	0.00228920305174493	0.0033504693656958	0.00677608538975433	0.0051241041118256	0.00483358655535048	0.0578677837791067	0.00304331798897869	0.0213190534491646	0.0120808885104787	0.0227717897297832	0.00179363352088531	0.00713979420477857	0.00290783927003883	0.00253207676194153	0.00989669308154561	0	0.00952559064824421	0.0085209303737591	0.00379445760781391	0.0347855265904794	0.00931517963522857	0.0111947003760727	0.00421626079321708	0.00795956219746313	0.011087846344672	0.00832122445072404	0.0101254578869528	0.010605752456342	0.00715064126195459	0.0133270576322557	0.0488805685628754	0.00105928992402404	0.0123934806500891	0.0436154407436185	0.00598644217250506
