	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_5_6	0.00656440803704007	0.00443810520649	0.00704157981624922	NA	0.00794801321504302	0.00192523123242266	0.0106816090893502	0.0105250699560753	0.0345328193714297	0.00370129787656296	0.0120209998792794	0.00216002992065129	0.00415079064695014	0.0121859015887402	0	0.00341168083913332	0.00683541656668886	0.000280271694769731	0.00219598238777999	0.000659441121108733	0.00440314872259297	0.00048518816017741	0.00175323085770002	0.0155442315341755	0.00162887253749501
HMEC_5_7	0.00315275325581666	0.00102643009637643	0.0104531686470541	NA	0.00453637780694763	0.00148645320087296	0.0140931021079692	0.0139365677682301	0.037942884002555	0.000289618385143315	0.0154324494156488	0.00125165431445876	0.000739113665479145	0.00877435579570745	0.00341168083913332	0	0.00342376519805372	0.00313141024579659	0.00560764779514076	0.00275224199598509	0.00781478649077929	0.00389686662780352	0.00516490034647684	0.018955545644196	0.00504054308460972
HMEC_5_8	0.000271013025863106	0.00239733821904842	0.0138767512295676	NA	0.00111261901555425	0.00491020916545423	0.0175165571195217	0.0173600289412	0.0413647002650878	0.00313414796249725	0.0188558492336134	0.00467541210835434	0.00268465404593593	0.00535065033633508	0.00683541656668886	0.00342376519805372	0	0.00655514949945813	0.00903134906872712	0.00617598570558397	0.0112384409656666	0.00732059578451765	0.00858860954001596	0.0223787791666884	0.00846425441428468
HMEC_5_9	0.00628414060197754	0.00415783541507873	0.00732184622504519	NA	0.0076677478180506	0.0016449598639965	0.0109618688015214	0.0108053300115419	0.0348129694170101	0.00342102748741014	0.0123012564513808	0.00187975864429606	0.00387052060909029	0.0119056449211179	0.000280271694769731	0.00313141024579659	0.00655514949945813	0	0.0024762535235092	0.000379169452227497	0.00468341830014026	0.00076545981660251	0.00203350218583145	0.0158244781169516	0.00190914391242821
HMEC_Root1	0.00876034396125881	0.00663406383239823	0.00484562480301585	NA	0.0101439304124846	0.00412120722529759	0.00848569928926059	0.00832915777819044	0.0323377213890325	0.00589726265521164	0.00982511201287709	0.0043560047239116	0.00634675177688477	0.0143817419439134	0.00219598238777999	0.00560764779514076	0.00903134906872712	0.0024762535235092	0	0.00285542199222754	0.00220717414221561	0.00171079489582096	0.000442752154443704	0.013348414916178	0.000567110593530869
HMEC_Root2	0.00590497633540585	0.00377866815593161	0.00770100785390038	NA	0.00728858618165771	0.00126579070200635	0.0113410210366469	0.0111844827254614	0.0351919711039489	0.00304185948723768	0.0126804043154906	0.00150058958537477	0.00349135304287315	0.0115264947053864	0.000659441121108733	0.00275224199598509	0.00617598570558397	0.000379169452227497	0.00285542199222754	0	0.00506258445817081	0.0011446291467544	0.00241267095541938	0.0162036121436511	0.00228831275675973
HMEC_STAT_2	0.0109674402609642	0.00884119050691348	0.00263846094765719	NA	0.0123510029730161	0.00632836028806809	0.00627856793862374	0.00612202459400892	0.0301313213801612	0.00810439813287614	0.00761799794756602	0.00656315575627921	0.008553881989448	0.0165887222150999	0.00440314872259297	0.00781478649077929	0.0112384409656666	0.00468341830014026	0.00220717414221561	0.00506258445817081	0	0.0039179636271777	0.00264992535024114	0.0111413599440709	0.00277428346636761
HMEC_STAT_3	0.00704958792852987	0.0049232894669416	0.00655639984675938	NA	0.0084331893898355	0.00241041856544801	0.0101964402166231	0.0100399005103937	0.0340478371037655	0.00418648327225603	0.0115358362599875	0.00264521706226179	0.00463597537323304	0.0126710620744053	0.00048518816017741	0.00389686662780352	0.00732059578451765	0.00076545981660251	0.00171079489582096	0.0011446291467544	0.0039179636271777	0	0.00126804309307928	0.0150590847279107	0.00114368470875497
HMEC_STAT_4	0.00831760366552658	0.00619131835507649	0.00528837281614748	NA	0.00970119428571535	0.00367845753198854	0.00892843922135075	0.00877189814519356	0.0327803044093695	0.00545451572788512	0.0102678479034014	0.00391325533719726	0.00590400571300438	0.013939022514302	0.00175323085770002	0.00516490034647684	0.00858860954001596	0.00203350218583145	0.000442752154443704	0.00241267095541938	0.00264992535024114	0.00126804309307928	0	0.0137911374427891	0.000124358450205968
HMEC_STAT_G2_3B	0.0221078153049843	0.0199818335927538	0.00850298953622999	NA	0.023491183558132	0.0174692721859323	0.0048629150186104	0.00501945916614024	0.0189922438407457	0.0192451254138332	0.00352347007596185	0.0177040447324637	0.0196945584379184	0.027728208467705	0.0155442315341755	0.018955545644196	0.0223787791666884	0.0158244781169516	0.013348414916178	0.0162036121436511	0.0111413599440709	0.0150590847279107	0.0137911374427891	0	0.0139154872154595
HMEC_STAT_G2_3C	0.00819324833136806	0.00606696162041516	0.00541272996674166	NA	0.00957684008682307	0.00355409967798294	0.00905279400824765	0.00889625305829527	0.032904614509236	0.00533015860497455	0.0103922015205628	0.0037888975632665	0.00577964882100459	0.0138146728959136	0.00162887253749501	0.00504054308460972	0.00846425441428468	0.00190914391242821	0.000567110593530869	0.00228831275675973	0.00277428346636761	0.00114368470875497	0.000124358450205968	0.0139154872154595	0
