	OM4_B_B_1	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_C_1F_1	0.022584896565354	0.0293716666515851	0.0130355015653832	0.0155489444870285	0.0257643314543066	0.0250573535022526	0.00480170649821585	0.0166703570842973	0.0101400040690511	0.0187424385988008	0	0.00772459615471673	0.00631666047575531	0.026688335414112	0.019031001217233	0.01186652624017	0.00106803953997407	0.00861946908842785	0.0131752701902221	0.0245634092416352	0.0207605078385624	0.000344003515444028	0.0149337244743506	0.0291307275012889	0.00497486179777256	0.0232761341928917	0.0073952485039796	0.0370634821899732	0.0294084732708614	0.0129032943412274	0.0192022528791077	0.00376760447469097	0.000563482879237111	0.00878833797932052	0.0114143854444912	0.0300480116681024	0.00897802440633818	0.0182849940645041	0.01424894676666	0.0211891384960703	0.0187100112631138	0.0147130058432442	0.00738201461393706	0.0159339485200056	0.000464102039516691	0.010305446043713	0.0034963298065158	0.0116804181241356	0.0206595444717931	0.00912856246255613	0.00100766487148866	0.0216856958586727	0.00170116776694395	0.014861734882879	0.0166649037738216	0.0329533984158185	0.0130089064007914	0.00625741813829756	0.0148094342573037	0.0256891040850196
OM4_C_1F_2	0.0148611994213209	0.0216487743362037	0.00531109078280994	0.0078246741184911	0.0180409805225384	0.0173339208905239	0.00292292723054874	0.00894616028883501	0.00241547349026496	0.0110183954898695	0.00772459615471673	0	0.00140795948891079	0.0189650952870053	0.0113069813379638	0.0041420616868337	0.00665657564792679	0.000894893584876475	0.00545086632681998	0.0168399211566582	0.01303663655066	0.00738059943638759	0.0072094166066881	0.0214078023722542	0.00274977097982823	0.0155525076983944	0.000329354171662006	0.0293418018320126	0.0216855859957047	0.00517887711014025	0.0114782469970475	0.00395703159239607	0.00716112407832888	0.00106376685381575	0.00368990205706192	0.0223252131344845	0.00125345838073701	0.010560915046071	0.00652459954608827	0.0134653065164402	0.0109859655716702	0.00698868501679563	0.000342588311576	0.00820970265057986	0.00818868801994213	0.00258092110000291	0.00422830592596317	0.0039559456857596	0.0129356640683821	0.00140400062138379	0.00873223746924109	0.0139619106497373	0.00602345582020455	0.0071374227598948	0.00894070660428066	0.025231030767361	0.00528449431348926	0.00146720259545376	0.00708511906022537	0.0179657443341997
OM4_C_1G_1	0.0162690408292753	0.0230564899262373	0.0067190328523822	0.00923259833946723	0.0194487686106798	0.0187417216913213	0.00151496990268324	0.0103540745544879	0.00382342847152547	0.01242628812563	0.00631666047575531	0.00140795948891079	0	0.0203728660212193	0.0127148706283707	0.00555000995474832	0.00524863320794721	0.00230285206793693	0.00685880756595606	0.018247730548681	0.0144445040831893	0.00597266145827766	0.00861734576710885	0.0228155232025214	0.00134181329158755	0.0169603383567089	0.0010786054906623	0.0307493201421489	0.0230933007802086	0.00658681994768075	0.0128861342635984	0.00254907702585177	0.00575318469364876	0.00247172505941044	0.00509785236441349	0.0237329137099714	0.00266141624142634	0.011968812818138	0.00793253376940244	0.0148731682039919	0.0123938585782656	0.00839661585914486	0.00106537135555516	0.00961762359226988	0.0067807556258227	0.00398887556404571	0.00282035225656502	0.00536389481732642	0.0143435329515255	0.00281195818339335	0.0073243091896011	0.0153697653411746	0.00461550989785702	0.00854535247412106	0.0103486209213164	0.0266386617326594	0.00669243653893406	5.92431490196519e-05	0.00849304917362528	0.0193735337983575
OM4_C_1G_2	0.00410429786178944	0.00268406233343523	0.0136544819870281	0.0111409952753471	0.000924224698471004	0.00163136082115609	0.0218876015744199	0.0100195253823954	0.016549884935688	0.007947276670845	0.026688335414112	0.0189650952870053	0.0203728660212193	0	0.00765868445246112	0.0148234378207677	0.0256205490749467	0.018070308133649	0.0135147139993114	0.00212541007681839	0.00592896804835548	0.0263444157533298	0.0117562368225662	0.00244305205896192	0.0217144733881592	0.00341293744745872	0.0192944076383826	0.0103787174920672	0.00272087991308734	0.0137866882756236	0.00748741449379049	0.0229215301341182	0.0261249887474095	0.0179014537686622	0.0152755642929864	0.00336061278267592	0.017711783029157	0.00840476496399701	0.0124410302538328	0.00550027681664205	0.00797970723631081	0.0119769614703857	0.0193076400680884	0.0107559741985644	0.0271523208579663	0.0163844525430545	0.0231927560245099	0.0150095404992792	0.00602994518709414	0.0175612569490454	0.0276957420703088	0.00500364501647953	0.0249875609909848	0.0118282284756234	0.0100249790278865	0.00626697900220902	0.0136810769894159	0.0204321006145112	0.0118805305387326	0.000999469340085594
OM4_C_1G_3	0.00355442547455222	0.0103426727173481	0.00599601548344948	0.00348241413585755	0.00673447635162019	0.00602734984897527	0.0142297454869886	0.00236090392954384	0.0088915920858228	0.000288598328467935	0.019031001217233	0.0113069813379638	0.0127148706283707	0.00765868445246112	0	0.00716503606719304	0.0179630882329668	0.0104121242953547	0.00585624023963503	0.00553330573119808	0.0017297437322347	0.0186870401059798	0.00409768063963396	0.0101016706672073	0.0140566007627317	0.00424578563202778	0.0116363204804645	0.018036901816531	0.0103794890132544	0.00612822873107797	0.000171273375383081	0.0152637761213631	0.0184675869815059	0.010243257218176	0.00761718952971362	0.0110191984198313	0.0100535723797645	0.000746097215726594	0.00478250421483302	0.00215843927316604	0.000321029608250206	0.00431841473131678	0.0116495539987171	0.0030973784648589	0.0194950435757365	0.00872614857220086	0.0155350297270899	0.0073511497238985	0.00162876543607288	0.00990303524640102	0.0200385328974442	0.00265507484132627	0.0173300279265522	0.00416967534443667	0.00236635775487914	0.0139254304678083	0.00602261187826364	0.0127741104406333	0.00422197964193496	0.00665923286055181
OM4_C_1H_1	0.0107193667087381	0.0175072577471464	0.0011690380145501	0.00368265382922728	0.0138992793573407	0.0131921879538616	0.00706495926572744	0.00480416035140231	0.00172659418636809	0.00687644267630383	0.01186652624017	0.0041420616868337	0.00555000995474832	0.0148234378207677	0.00716503606719304	0	0.0107985341327691	0.00324717227509159	0.00130881488778788	0.0126981668778356	0.0088947415123084	0.0115225390263978	0.00306738668859902	0.0172662722837217	0.00689180545509339	0.0114107011057365	0.00447141374355279	0.0252008044804781	0.0175440714836417	0.00103682313628607	0.00733630631600672	0.00809904726312683	0.0113030695549068	0.00307829953572877	0.000452162026108799	0.0181837353366088	0.00288860850599342	0.00641895076640056	0.00238256019043478	0.00932342525941212	0.00684401192544521	0.00284665190952814	0.00448464779198312	0.00406768894077728	0.0123306047444287	0.0015611463736275	0.00837031679555802	0.000186117058574791	0.00879376586086676	0.0027380665863161	0.0128741377591583	0.00982004601971698	0.0101654295944536	0.00299539178621921	0.00479870655911735	0.0210897346525997	0.00114244129872257	0.00560925246440173	0.00294308732904016	0.0138240397197489
OM4_C_1H_2	0.0215170369479433	0.0283039349950534	0.011967519771778	0.0144809882972364	0.0246965275237049	0.0239895365402442	0.00373367359456092	0.0156024138280465	0.00907199857974348	0.0176745216924986	0.00106803953997407	0.00665657564792679	0.00524863320794721	0.0256205490749467	0.0179630882329668	0.0107985341327691	0	0.00755145364168455	0.0121072896975209	0.0234955833952315	0.0196926196551405	0.000724036116684696	0.0138657615848856	0.0280629907160069	0.00390682945227111	0.0222082860439042	0.00632722628413958	0.0359959369763836	0.0283407424016122	0.0118353113304061	0.0181343422516242	0.00269956869967756	0.000504556765957963	0.00772032355394111	0.0103463896192985	0.0289802946392907	0.00791001115340422	0.0172170710672972	0.013180976749825	0.0201212568021642	0.0176420939199411	0.0136450406185378	0.00631399232694385	0.0148659966655212	0.00153214131618431	0.00923744174108637	0.00242829340930738	0.0106124244681089	0.0195916547796037	0.00806055015903422	0.00207570363715739	0.0206178218531052	0.000633128625779961	0.013793771227789	0.0155969604524266	0.0318857480951333	0.0119409243612878	0.0051893906181777	0.0137414700483899	0.0246212987501352
OM4_C_1H_3	0.0139663702756793	0.0207540203188818	0.00441620447571711	0.00692979736065961	0.0171461829981637	0.0164391157903944	0.00381781735395422	0.00805128905770954	0.00152058104493089	0.0101235365270066	0.00861946908842785	0.000894893584876475	0.00230285206793693	0.018070308133649	0.0104121242953547	0.00324717227509159	0.00755145364168455	0	0.00455598044772474	0.0159451109483883	0.0121417921025298	0.00827547407712264	0.00631453714878135	0.0205130451960284	0.00364466145595446	0.0146576848918877	0.0012242476313172	0.0284471677263453	0.0207908324641423	0.00428399040937176	0.0105833911185281	0.00485191922196361	0.00805599976980929	0.000168873324549136	0.00279501167201373	0.0214304681782234	0.000358564935149376	0.00966605314519929	0.00562971735930036	0.0125704654773977	0.0100911063962481	0.00609380464749594	0.00123748176475409	0.00731482770210133	0.00908355853439147	0.00168602886517821	0.00512319279150557	0.00306105585806612	0.0120408188338771	0.000509107258394322	0.00962710498037404	0.0130670737029656	0.00691833647956492	0.006242543001394	0.008045835344374	0.024336327984798	0.00438960792633524	0.00236209510528838	0.00619023908536537	0.0170709459889102
OM4_C_2A_1	0.0094105976577007	0.0161985718092275	0.000139776947579467	0.00237384291136273	0.0125905440118102	0.0118834443168492	0.0083737473055214	0.00349535308993426	0.00303540669499682	0.00556764517916724	0.0131752701902221	0.00545086632681998	0.00685880756595606	0.0135147139993114	0.00585624023963503	0.00130881488778788	0.0121072896975209	0.00455598044772474	0	0.0113894177182826	0.00758595727938809	0.0128312868303169	0.00175857425032967	0.015957582675513	0.00820059469424284	0.0101019385988168	0.00578021690050822	0.0238922636217106	0.0162353861110837	0.000271991879504636	0.00602751151510693	0.00940782757411913	0.0126118197615914	0.00438710829348303	0.00176097655245634	0.0168750599850575	0.00419741789015134	0.00511015077775789	0.00107374646422621	0.00801464432100961	0.00553521424543875	0.00153783900957308	0.00579345088727902	0.00275887914935472	0.0136393433251288	0.00286995922756447	0.00967909491851389	0.00149493182010949	0.00748498087626114	0.00404687644436598	0.0141828698029315	0.0085112691070672	0.0114741915560764	0.00168657919248655	0.00348989927711937	0.0197811095339301	0.000166373675169712	0.00691804974043561	0.00163427462531745	0.0125153034702688
OM4_C_2A_2	0.00197889379769894	0.00480946284298894	0.0115291882916273	0.00901565947987267	0.00120118620056835	0.000494049852489715	0.0197625109539018	0.0078941738089197	0.0144246512786947	0.00582190082665924	0.0245634092416352	0.0168399211566582	0.018247730548681	0.00212541007681839	0.00553330573119808	0.0126981668778356	0.0234955833952315	0.0159451109483883	0.0113894177182826	0	0.00380357466166723	0.024219476673109	0.0096309104710997	0.00456845386432187	0.0195893774703792	0.00128753062411024	0.01716924228971	0.0125040312518909	0.00484628021709207	0.0116613970524837	0.00536203412324019	0.0207964720669376	0.0240000415226741	0.0157762523649289	0.0131503026902164	0.00548600919403068	0.0155865769369565	0.00627939393268863	0.0103157150704712	0.00337488047900571	0.00585433172310188	0.00985163864312411	0.0171824750756168	0.00863063277704667	0.0250274123749812	0.0142592151230352	0.0210677067572317	0.0128842733644351	0.00390455253501946	0.0154360471736962	0.0255708547076647	0.00287824559986322	0.0228625726825905	0.00970290326570989	0.00789962752663163	0.00839235007439045	0.0115557837892801	0.018306966832515	0.00975520616296059	0.00112594157022591
OM4_C_2A_3	0.0018246856434684	0.00861298261775908	0.00772573138294979	0.00521214695952733	0.0050047529012319	0.00429762170272888	0.0159593528778427	0.00409064185687187	0.0106212790920161	0.00201834171045661	0.0207605078385624	0.01303663655066	0.0144445040831893	0.00592896804835548	0.0017297437322347	0.0088947415123084	0.0196926196551405	0.0121417921025298	0.00758595727938809	0.00380357466166723	0	0.0204165548644336	0.00582741002175998	0.0083719778503549	0.0157862112717692	0.00251604832593929	0.0133659708163086	0.0163073353835226	0.00864979933494246	0.00785794353046339	0.00155847051761198	0.0169933641425922	0.020197106857555	0.0119729272943812	0.00934689049158049	0.00928951632283204	0.0117832449639533	0.00247583983745119	0.00651222923189743	0.000428696097328285	0.00205077294462383	0.00604814276799	0.0133792041358817	0.00482711321103725	0.0212245389947056	0.0104558375001277	0.0172646124550895	0.00908085335332455	0.000100978394513753	0.0116327097902678	0.0217680148683095	0.000925332586760706	0.019059573405972	0.00589940429418128	0.00409609566105712	0.0121957890401823	0.00775232755817312	0.0145037429278704	0.00595170827361318	0.00492950888184276
