	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_3	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_2A_1	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4E_1	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_C_1G_1	0.0176415389089873	0.00445144071040082	0.034034913222555	0.00810974740169863	0.0175668800298777	0.0195208264997428	0.0282190232022313	0.0249336523895967	0.0472793771307209	0.00568637928890161	0.00886182894909775	0	0.00962907025345127	0.042194411231907	0.00829736629119762	0.0182113293419083	0.0213005324917592	0.022998725723824	0.0177564494279368	0.0177793836573454	0.0248583884494445	0.00766302995830208	0.0296146193718404	0.0335951103488508	0.0187207068650945	0.00924989606257212	0.00664836668854959	0.00294983016813273	0.0193294296750515	0.0130317263072044	0.0380482516743204	0.0462766605445439	0.00517421409690512	0.0135582206676934	0.0184035280587811	0.0345198947073822	0.00630866887953288	0.0106382060282218	0.0045005792317852	0.0136070719854383	0.017787873493258	0.0220116196349337
OM4_C_2A_1	0.0110282029890979	0.0107337811789473	0.0425959421498254	0.0172981013613848	0.0266919274347703	0.0277269226005158	0.0345970394294903	0.0235642888714113	0.0518974328878051	0.0107015434158332	0.0134003903204375	0.00962907025345127	0	0.0492504002989321	0.00244804381887512	0.0165772476359546	0.0293223499138988	0.0317190556995184	0.0265947401415113	0.0228009643888164	0.0325423516388667	0.0148284386363817	0.0360211999576148	0.042491789708171	0.0279075236642329	0.0114261937396015	0.015823136940472	0.0125652419659735	0.0284246060757427	0.0209971268465095	0.0463775148850838	0.0550849164994653	0.0147946393235579	0.0185824022299429	0.0253837942431876	0.0427258160714933	0.00384821831745331	0.0163922173032049	0.00788685358655065	0.02155606982039	0.0236058469988407	0.0303394921675643
OM4_C_2A_3	0.0594822442474961	0.0454636490212053	0.0135628327356854	0.0405394463116935	0.0271157717401679	0.0231065656145374	0.0148607213797052	0.0377130582890873	0.015749248606316	0.0386577822313682	0.0358775450530655	0.042194411231907	0.0492504002989321	0	0.0468593817752262	0.0392404808418374	0.0212141475109773	0.02138296380931	0.0259323937445892	0.0269412691913909	0.0174774704671717	0.0348650428246401	0.0134727639907366	0.0166072563278812	0.0266092835094543	0.0381779477355917	0.0359996231718502	0.0400104179495382	0.0257120794984093	0.0291860501547221	0.0103607330111378	0.0167121570216954	0.0385789185200026	0.0308361782980139	0.0239748022478412	0.0109105451325348	0.0476173250031972	0.032871856596397	0.0415528703057827	0.0286147058464278	0.0257638954733679	0.0210486203220764
OM4_C_2B_1	0.013431048093457	0.0103809749719199	0.0404244461804514	0.0163094447412356	0.0247469775497353	0.0255266373463525	0.0321789617081812	0.0216318593213234	0.0494654610386376	0.00842052619041568	0.0109922330852313	0.00829736629119762	0.00244804381887512	0.0468593817752262	0	0.0145817428055799	0.0270821858845274	0.0296164904716713	0.0245502964513887	0.020357607959121	0.0302408746258608	0.012620301178684	0.03360278076148	0.0404125804697952	0.0259824980749832	0.00897841387422739	0.0140200316151542	0.0111220414776483	0.0264585497228062	0.018803378073171	0.0441503347595911	0.0529623444630391	0.0133276674863095	0.0161498827884621	0.0230319068273106	0.0404811377411583	0.0039762866471613	0.0140129178400778	0.00571740079732675	0.0193539233214987	0.021184200055353	0.028150847195809
OM4_C_2B_3	0.0271724038544864	0.0223646989964435	0.0370488482813165	0.0250327357977023	0.0257756061265582	0.0235000608085833	0.024710800099346	0.00707111456032327	0.0378948053687269	0.013001480556219	0.0111939380106048	0.0182113293419083	0.0165772476359546	0.0392404808418374	0.0145817428055799	0	0.0241982749196626	0.0281945292262983	0.0246086991687344	0.013539229771172	0.0258682493826082	0.0148972413255934	0.0259813987397341	0.0381798279552318	0.0269849252744868	0.00922705505764341	0.019127896440971	0.0193722000171895	0.0269869963186223	0.0185285484735783	0.0397525822115171	0.0495103983592393	0.0206543720433314	0.0118344861431116	0.0189079301633447	0.036061746765064	0.0181099947592204	0.0127244746352128	0.0138131609043506	0.0187920325783868	0.0154650904048141	0.0258431722553034
OM4_C_2D_1	0.0388761270023728	0.024314478809176	0.0134962062428736	0.0194433194210777	0.00685432219018601	0.00190173286598231	0.00951271651269375	0.0264186278154509	0.029690004053197	0.0186643310832503	0.0165831895781678	0.0213005324917592	0.0293223499138988	0.0212141475109773	0.0270821858845274	0.0241982749196626	0	0.00436806366912862	0.00520791072694311	0.0109517018081756	0.00377247723864093	0.0144989250696922	0.0105177572241719	0.0141006768202884	0.00701520722831831	0.0193674563581114	0.0148824925731767	0.0189239480275499	0.00624789942975285	0.00837469998460065	0.0170785628473809	0.0261646863687311	0.0173917752849316	0.0127246443884173	0.00530845349166101	0.0134111611057828	0.0271173209406714	0.0135089246624625	0.0214379753848574	0.00780279351868639	0.00888844119579989	0.00176186990282408
OM4_C_2D_2	0.0406076584926712	0.0253897048040016	0.0110495505774138	0.0195680570020856	0.00591286940744915	0.00469915067903901	0.0124886815824226	0.0307221261570964	0.0319097976133885	0.0213078936713321	0.0197060472761529	0.022998725723824	0.0317190556995184	0.02138296380931	0.0296164904716713	0.0281945292262983	0.00436806366912862	0	0.00525135717163344	0.0151989774142243	0.005940001613232	0.0170549935822174	0.0131547086705396	0.0108112611206604	0.00524209987426753	0.0225873995145036	0.0163579309194922	0.0203272443321977	0.00435393361726475	0.0109420986481245	0.0151798681826564	0.023388103202313	0.01847394462962	0.0164858139876662	0.00950471028775422	0.0118620211741534	0.0291274472680815	0.0167590109485905	0.0239017655872384	0.0104391363097528	0.0131235941582969	0.0026137095806311
OM4_C_2D_3	0.035360677245453	0.020177166741175	0.0163004709252272	0.0146329621014073	0.00180606594324736	0.00351840973832067	0.0146713839044413	0.0281063269771481	0.034890262687564	0.0163549881385008	0.0151152498077505	0.0177564494279368	0.0265947401415113	0.0259323937445892	0.0245502964513887	0.0246086991687344	0.00520791072694311	0.00525135717163344	0	0.0127823143119842	0.00883748128093286	0.0121244240358213	0.0157168867713616	0.0159153750952762	0.00258511415870305	0.0180256419935516	0.011111409497287	0.015076901835122	0.00238411901296144	0.00631042270183676	0.0204041878325829	0.0285690564360758	0.0132426560777444	0.012790243269301	0.00759321543584158	0.0170039817631625	0.0239139030457102	0.0123795098504339	0.0188388829164619	0.00592195565043266	0.0108278010463269	0.00489152856406869
OM4_C_2E_2	0.0335600253108258	0.0219984253394247	0.0235152392686122	0.0203885431405023	0.0143758842324057	0.0106587751742114	0.0120839291788689	0.0155522708278464	0.0296084464897692	0.0128214382659751	0.00958913962263747	0.0177793836573454	0.0228009643888164	0.0269412691913909	0.020357607959121	0.013539229771172	0.0109517018081756	0.0151989774142243	0.0127823143119842	0	0.0123312054584174	0.0102707265372167	0.0134839306311422	0.0247137093231914	0.01536446967654	0.0114245013394892	0.0137379146588335	0.0167376055160168	0.0150731835804607	0.00841006873379344	0.0263006596714675	0.0360073802095541	0.016465177675033	0.00433656234547926	0.00569568219835089	0.0225855930422693	0.0218846823762943	0.00714643919729033	0.0156238739024633	0.00827112350082505	0.00207608972324488	0.0126810989359797
OM4_C_2E_3	0.0423505998852221	0.0280052501310851	0.0111859310315399	0.0232141603070959	0.0103408435992022	0.00567386159402184	0.00654891777422607	0.0271429420363136	0.0262764188953027	0.0218445193639256	0.0194726048161308	0.0248583884494445	0.0325423516388667	0.0174774704671717	0.0302408746258608	0.0258682493826082	0.00377247723864093	0.005940001613232	0.00883748128093286	0.0123312054584174	0	0.0177953524551977	0.00726436000126876	0.0125508378580426	0.0102453061157711	0.02212368359871	0.018545785095424	0.022573354033285	0.00938458007355869	0.0118368425854631	0.0142014062579092	0.0237380012711979	0.0211076871892239	0.0150578115402304	0.00741497046700135	0.0104622448576348	0.0305302873174791	0.0163694366915105	0.0246840609625756	0.0112600789206446	0.0104534056633486	0.00414523591077072
OM4_C_2F_1	0.0246442306766138	0.0117453676613493	0.0278109925785767	0.0109652099046027	0.0126082462480364	0.0129102493427787	0.0206340956390722	0.0204879720975691	0.0396440816017932	0.00425367385340186	0.00374178936446109	0.00766302995830208	0.0148284386363817	0.0348650428246401	0.012620301178684	0.0148972413255934	0.0144989250696922	0.0170549935822174	0.0121244240358213	0.0102707265372167	0.0177953524551977	0	0.0220414181915	0.0278636927201153	0.0138811921649579	0.00639488199748125	0.00438376157767565	0.00649671938344302	0.0142183629154016	0.00618376754972931	0.0315593561717788	0.0403708095605646	0.00662335523826601	0.00629072450484478	0.0109126198463711	0.0279070458292002	0.0127740314467505	0.0033495929000807	0.00694218027214792	0.00673549766741713	0.0101337056157952	0.0155332121497274
OM4_C_2F_3	0.0464992034341932	0.0332800627768805	0.0140392838767009	0.0293942397148955	0.0173653160183839	0.0122549481731385	0.00142531482912286	0.025302122945168	0.0191780568003444	0.0255696228115389	0.0226283992137943	0.0296146193718404	0.0360211999576148	0.0134727639907366	0.03360278076148	0.0259813987397341	0.0105177572241719	0.0131547086705396	0.0157168867713616	0.0134839306311422	0.00726436000126876	0.0220414181915	0	0.016570016424829	0.0174139176768184	0.0248040966105384	0.0239030115859944	0.0277537817584153	0.0165787429196059	0.0169483723534784	0.0150539106927568	0.0248979169642539	0.0266534813646168	0.0174795909681234	0.0112385270036653	0.0118652368186243	0.0346491796420537	0.0197114879456185	0.0284671070982845	0.0164161472612751	0.0124229434537456	0.0113505902501525
