	OM4_B_B_1	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_C_1G_2	0.00883385460362066	0.00510113325198583	0.00237724620603511	0.00365476475242225	0.00366577081976105	0.00592298025994967	0.000771170522020918	0.0237244722074622	0.0226208345125098	0.00655806500738002	0	0.0136291593818886	0.005768097531586	0.0102947311631399	0.00287902904544112	0.0010789605375553	0.0272090139047577	0.00924990015137234	0.0212831169425324	0.00637599240112585	0.010898077086251	0.0231284078243433	0.00411973838914035	0.00493946135077818	0.00582319883720641	0.00367918512743666	0.0207036429815972	0.012103965229844	0.00452065005901784	0.00243820697487031	0.00461141629095804	0.0123480017093278	0.0120177720196451	0.000683017005873716	0.0148638941212935	0.00667645136323749	0.00672770408847748	0.0171261496784277	0.00384430378912157	0.0132517917378319	0.00671201187275779	0.00549037386487434	0.00414565321763959	0.0100473777022841	0.00426659820315732	0.0418328705669868	0.0522564697488902	0.00464577092879158	0.00499657672855423	0.0106205082039979
OM4_C_1G_3	0.00479550587778156	0.00852823276925159	0.0160062246129634	0.00997456782872601	0.0172946285984419	0.00770639590243277	0.0128580359939085	0.0373493981958482	0.036246077691915	0.00707131459592937	0.0136291593818886	0	0.0193967244450038	0.0239227174096394	0.0107502774035467	0.0147080444600847	0.0135816044718514	0.00437945151976096	0.00765472958330978	0.00725338660745623	0.0027312235479712	0.00950028943822217	0.0177485498914133	0.00868990191994553	0.00780617643624877	0.00995014818340566	0.0070751777936377	0.00152528174877914	0.00910870493095879	0.016067180032004	0.00901794063516969	0.0259756325770405	0.0256454627753961	0.0143121299087439	0.00123482179035858	0.00695292845785147	0.00690167578559929	0.00349727427802467	0.00978503430679941	0.000377391368861704	0.0203405213836642	0.0191190336983695	0.00948369294280672	0.023675404029465	0.0178953943133875	0.0282092918442448	0.0386368524169126	0.0089835867097365	0.00863278754225563	0.00300880282910716
OM4_C_1H_1	0.0146016920826218	0.010869118915515	0.00339086761666515	0.00942279277853872	0.00210234229172475	0.0116909381035007	0.00653925786916918	0.0179572404217205	0.016853511474567	0.0123259994932134	0.005768097531586	0.0193967244450038	0	0.00452672799293342	0.00864707632329902	0.00468914721605902	0.0329753085517915	0.0150177176481042	0.0270500565110821	0.0121439337491297	0.0166658085985874	0.0288951615834963	0.00164837287234003	0.010707452167288	0.0115911602032463	0.00944721250819384	0.0264706380957547	0.0178716269322276	0.0102886537354009	0.00332990696546047	0.0103794172402058	0.00658006878458261	0.00624982663950282	0.005085087542284	0.0206313741268289	0.0124443813156978	0.012495632060858	0.0228934580170002	0.0096123267431267	0.0190193815790814	0.000943927158632627	0.000277726750631392	0.00991366780976306	0.0042793672270026	0.00150151228136868	0.0475969753037033	0.0580184943778117	0.0104137708371745	0.0107645657366332	0.0163882549597842
OM4_C_1H_2	0.019127977180639	0.0153955813276596	0.00791755292119543	0.0139493120875206	0.00662904811766079	0.0162173652454544	0.0110658708940273	0.0134308982366505	0.0123271157056362	0.0168523979213205	0.0102947311631399	0.0239227174096394	0.00452672799293342	0	0.0131736234269843	0.00921580651925768	0.0375000830661284	0.0195439802647694	0.031575433693382	0.0166703405392203	0.0211919768031793	0.0334203628655729	0.00617508467322321	0.015233921266943	0.0161175917410006	0.0139737309113295	0.0309960683182369	0.0223977206499449	0.0148151397755494	0.00785659335954343	0.0149058996559264	0.00205336233266968	0.00172311581427141	0.00961173785302233	0.0251572801767542	0.0169707742506721	0.0170220226040029	0.0274191924159481	0.0141388389720147	0.0235454001524132	0.00358280621773051	0.00480445262020889	0.0144401685484754	0.000247362452341655	0.00602822587508377	0.0521197937694472	0.0625395120648647	0.0149402518742853	0.0152910324831445	0.0209144396624933
OM4_C_1H_3	0.00595487840482909	0.00222211560199242	0.00525626267087495	0.000775738557967228	0.00654477570342036	0.0030439693366641	0.00210786015908116	0.0266028625925573	0.0254992800374229	0.00367906021070824	0.00287902904544112	0.0107502774035467	0.00864707632329902	0.0131736234269843	0	0.00395798528454225	0.0243306479716907	0.00637093030315951	0.0184044805875342	0.00349698576527229	0.00801913580362244	0.0202498481750047	0.00699873839431809	0.00206044253710165	0.00294418702491532	0.000800159042352214	0.017824983939591	0.00922504829258835	0.00164162847500403	0.00531722296728409	0.00173239527742871	0.0152268410312469	0.0148966204338911	0.00356204360269487	0.0119850438515101	0.00379744779813609	0.00384870106527249	0.0142473654089026	0.000965278475121062	0.0103729006766732	0.00959097604399043	0.00836935661532544	0.00126662945202055	0.0129262757665467	0.00714559654105272	0.0389554710214522	0.049380018596369	0.00176675013554425	0.00211755831997729	0.00774156172970895
OM4_C_2A_1	0.00991278214811735	0.00618008190295551	0.00129828683408513	0.00473371876487551	0.00258681386429956	0.0070019251630502	0.00185013052103716	0.0226457156300764	0.0215420589139883	0.00763700666639003	0.0010789605375553	0.0147080444600847	0.00468914721605902	0.00921580651925768	0.00395798528454225	0	0.0282876853501801	0.010328824694909	0.0223618985572938	0.00745493502119494	0.0119769884646502	0.0242071579433531	0.00304078258424688	0.00601841067922228	0.00690214422244323	0.00475813906244397	0.0217824339621674	0.0131828656850138	0.0055996010509375	0.00135924768891358	0.00569036693355345	0.011269093842716	0.0109388612381961	0.000395943633875938	0.015942765474316	0.00775539238396109	0.00780664482961711	0.0182049929229395	0.00492325718864862	0.0143306807829389	0.00563306562749745	0.00441142248033856	0.00522460558699303	0.00896845125371577	0.00318764280386432	0.0429111581275382	0.0533343864768253	0.00572472143756257	0.00607552581990681	0.0116994219422771
OM4_C_2A_2	0.0183766948622871	0.0221089479651966	0.0295855938073555	0.0235550640159845	0.0308737123233867	0.0212872267239334	0.0264380364443977	0.0509219975133172	0.0498191338985923	0.0206522303919442	0.0272090139047577	0.0135816044718514	0.0329753085517915	0.0375000830661284	0.0243306479716907	0.0282876853501801	0	0.0179606851551593	0.00592708859848585	0.0208342784320895	0.0163126180008647	0.00408149766045452	0.0313275292855127	0.0222705936182089	0.0213869935602491	0.0235306482326927	0.00650664352992603	0.0151067776141014	0.0226893346084184	0.029646536075868	0.022598583894866	0.0395523811953903	0.0392223133462324	0.0278918504773334	0.012346854527163	0.0205338596722696	0.0204826136339577	0.0100844963640233	0.0233655603211848	0.0139589710129048	0.0339188675042631	0.0326976862138813	0.0230642656795051	0.0372528413065012	0.0314743395371161	0.0146296299709722	0.0250598058206778	0.0225642350899112	0.0222134875700135	0.0165901719952043
OM4_C_2A_3	0.000416057397376686	0.00414883517607883	0.0116270570625671	0.00559520138723031	0.0129155179788619	0.0033269834549741	0.00847875074017589	0.0329718332957122	0.0318683953709185	0.00269189208204337	0.00924990015137234	0.00437945151976096	0.0150177176481042	0.0195439802647694	0.00637093030315951	0.010328824694909	0.0179606851551593	0	0.012034040984685	0.00287396685364816	0.0016482348275141	0.0138795404252623	0.013369460542553	0.00431050749164999	0.00342676568228511	0.00557078116289522	0.0114545060331305	0.00285417639989103	0.00472931907247023	0.0116880150603076	0.00463855287391983	0.0215970385432182	0.0212668448477323	0.00993289524698967	0.0056142627575258	0.00257350420360572	0.00252225079117238	0.00787668387772683	0.00540566341915398	0.00400206245029292	0.0159615656164136	0.0147400124083548	0.00510431521222272	0.0192966505211371	0.0135163119810277	0.0325873472938261	0.0430137810252548	0.00460419823487436	0.00425339198675677	0.00137065497147366
OM4_C_2B_1	0.0124500767200746	0.0161825952674078	0.0236599459606198	0.017628829623284	0.0249482092744069	0.0153608106494289	0.0205120636894066	0.0449996379931191	0.0438965577905332	0.0147257672512431	0.0212831169425324	0.00765472958330978	0.0270500565110821	0.031575433693382	0.0184044805875342	0.0223618985572938	0.00592708859848585	0.012034040984685	0	0.0149078286147169	0.010385877727732	0.00184560641577726	0.0254020788884523	0.0163442537157499	0.0154605850317801	0.0176044117708852	0.00057956268043999	0.00917997411589691	0.0167630283538493	0.0237208949247311	0.0166722702865807	0.0336280332429642	0.03329791573327	0.0219660226967754	0.0064199288580539	0.0146073879418736	0.0145561382027801	0.00415749393356826	0.0174393099336341	0.00803211289631189	0.0279937341201255	0.026772399964537	0.0171379901669231	0.0313281568047253	0.0255489063558043	0.0205561008038966	0.0309852989321746	0.0166379187071389	0.016287143134908	0.0106634471230504
OM4_C_2C_2	0.00245791047963078	0.00127487361850433	0.0087531922431915	0.00272124978266506	0.0100416811809081	0.000453018110283055	0.00560483150377817	0.0300988657772898	0.028995358759389	0.000182075262362987	0.00637599240112585	0.00725338660745623	0.0121439337491297	0.0166703405392203	0.00349698576527229	0.00745493502119494	0.0208342784320895	0.00287396685364816	0.0149078286147169	0	0.00452219422457142	0.0167532750322486	0.0104956344134259	0.00143654683833721	0.000552800725201033	0.00269682935547947	0.0143283089142352	0.00572812690085834	0.00185536100547028	0.00881415149133694	0.00176459421664545	0.01872347787169	0.0183932708858246	0.00705899866792792	0.00848818196425745	0.000300463424092143	0.000351716950618954	0.0107505660922866	0.00253171027144556	0.00687600178421433	0.0130878083670037	0.0118662210105556	0.00223035975938121	0.0164230018479414	0.0106424893921826	0.0354601619862495	0.0458857810997817	0.00173023935842943	0.00137943100799687	0.00424461600468029
