	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_C_2A_1	0.0107813929860109	0.00649460278247031	0.0254857371219034	0.0190793941920424	0.0178718730423675	0.0122632933253222	0.0230267204597426	0.0286547067111417	0.0121582271095732	0.046213717373488	0.0385877008077111	0.0303133613297146	0.0221440219504875	0.0482553707680375	0.0464157378235881	0.0583503483838159	0	0.0536002969344774	0.00233857355496322	0.0187419337752694	0.0278690371022832	0.0351342265405617	0.0486847249919479	0.0479133178235547	0.00841016039299684	0.0140665636028975	0.0196132133453355	0.00724775652329563	0.0277379152517665	0.0155989729243423	0.0323946445861897	0.0177601191907521	0.0480055893218205	0.0215562879833805	0.0370339324413381	0.0206328420052909	0.0300098838699369	0.0451107816443003	0.0304143630912165	0.0372260401796909	0.0406094147825876	0.0431684713819323	0.0301634325270398	0.0277554460702699	0.00766965836133978	0.00802963580311075	0.0390987000570958	0.012269740607803	0.0282128536794029
OM4_C_2A_2	0.0453429760103302	0.0500186289260709	0.0284509057725165	0.0347933799720265	0.035773301732093	0.0425261736410157	0.0316447271655679	0.0254008418435979	0.0415620659180276	0.00988751928644005	0.017626364449118	0.0691795644263333	0.031759866325829	0.0123230423309452	0.00757596594580605	0.0743772467799819	0.0536002969344774	0	0.0513723690085804	0.0353933088731316	0.0274727999503046	0.0187704341019625	0.0049518494258452	0.00624973830474246	0.0618976227188507	0.0668820845751472	0.0350582398129991	0.046581705569723	0.027385175867139	0.0380823297486424	0.0220130501833937	0.0411255567276854	0.00577175096286168	0.0320653655461249	0.017433788654067	0.0342680852089727	0.0237403228466796	0.010588900491594	0.0250942547490014	0.0193385776521974	0.0136766030822926	0.0107325467541808	0.0234861099553299	0.0261588441167838	0.046087957238069	0.0471194329486761	0.0147677438735645	0.0416451303137666	0.0254074341177745
OM4_C_2A_3	0.0095641236200613	0.00612927205144372	0.0231908529015462	0.0167778820464334	0.0156905330556615	0.00993710573000161	0.0206945620324194	0.0263572891715296	0.0100624003832403	0.0441008030775212	0.0362620363472576	0.0304366766302596	0.020033388754678	0.0462386148436083	0.044224765876473	0.0588135390153741	0.00233857355496322	0.0513723690085804	0	0.0167135042722751	0.0259001817503679	0.032969089720442	0.0464492004340066	0.0456518245886579	0.0105537011989051	0.0159669462246411	0.0176785663573028	0.00491712883867601	0.0257488807538596	0.0133271096999005	0.0302944095120623	0.0165370431497176	0.0457982097146921	0.0193227553311542	0.0349117964505172	0.018718589150353	0.0277422548180088	0.0429945478736342	0.0280815003286465	0.0352272261079202	0.0384572022210756	0.0409809231574555	0.0279160496024412	0.0254666463397008	0.0056993998231849	0.00678861875848248	0.0369183950026415	0.0102701648838312	0.0259928887812706
OM4_C_2B_1	0.0100853909741768	0.0146390435771373	0.00947468143366981	0.00608169896992423	0.00278367239816064	0.0108325402277358	0.00969581162523229	0.0122351229575795	0.00667802284377924	0.027537260527736	0.0224673403126011	0.0426291373860182	0.00366811800239294	0.0295377781382689	0.0280042745436646	0.0555979403947565	0.0187419337752694	0.0353933088731316	0.0167135042722751	0	0.00922409614883364	0.0166617546824732	0.0305653458664758	0.0300641117236272	0.0271482804290761	0.0326742425618093	0.00165268930349587	0.0124841556947142	0.00904891056939682	0.00554767038105826	0.0137128659128775	0.00863196496730632	0.0296821293825605	0.00498424604167931	0.0183902127351975	0.00258454194122636	0.0127619909078655	0.0264411921131297	0.0154649444267692	0.0185195707029797	0.0220482001437469	0.0247544229633089	0.0125693172867365	0.0112016155130649	0.0110734478709742	0.0117385812200899	0.0206718286294004	0.00647328209264786	0.0103654468071387
OM4_C_2B_3	0.0183092621938034	0.0232126074695802	0.00992085188189752	0.0123792600865803	0.0109684783827016	0.0194486911807042	0.0129689888986915	0.0103785489589862	0.0158984960716538	0.0188252661176443	0.0181784358867109	0.0509178806685704	0.0065131011319602	0.0204282005080739	0.0199090246849172	0.0549083433301175	0.0278690371022832	0.0274727999503046	0.0259001817503679	0.00922409614883364	0	0.00905885154970383	0.0229010970637565	0.0228257829599379	0.036253157204393	0.0418581530521133	0.00826587649694994	0.0216961466007024	0.000456777723048046	0.0140131885052362	0.0055711780821005	0.0136734417442671	0.0217044741692831	0.00900549600248915	0.0100424932058674	0.00727836603539245	0.0092048382277289	0.0177676154531665	0.0142326863954998	0.00937973360166503	0.0138044152898049	0.016759498403397	0.0083720753345167	0.00969156054368623	0.0202243203672923	0.0204621329351411	0.0128493693452964	0.0156324716283995	0.0067482684079726
OM4_C_2D_1	0.026583555651896	0.0312829244891753	0.0112032467420126	0.0169293606943	0.0172831279345332	0.0247982608395667	0.014903025929267	0.00896070903054712	0.0229966080528702	0.0113190338268282	0.0107872489661738	0.0543756271760162	0.0130638405445145	0.0143929100075913	0.011345890547397	0.0620289759303436	0.0351342265405617	0.0187704341019625	0.032969089720442	0.0166617546824732	0.00905885154970383	0	0.0140218162600738	0.0137986499273523	0.0435107073206041	0.0487526462561141	0.0162934634955817	0.0283099830680162	0.00887735929482432	0.0198647015227471	0.00350791847436725	0.0226452474335764	0.0130319169169157	0.0138052349114255	0.00250934689474623	0.0155162567179051	0.00680253390304886	0.010204828996159	0.0112230959458743	0.00597286702064032	0.00550938088935107	0.0080942709007937	0.00604464525719811	0.00922192257969459	0.0275241899723097	0.0283961491280382	0.00401204298565804	0.0230043051657641	0.00724722512803328
OM4_C_2D_2	0.040562182027963	0.0451925506943306	0.0235006120800979	0.0298471142992747	0.0308712835937896	0.0375780537264603	0.0267060960567934	0.0204529285434913	0.0366682941673967	0.0071994615181612	0.0130895485590803	0.0645155469774629	0.0269168525121504	0.011102923378836	0.00358593146377248	0.0718244735924852	0.0486847249919479	0.0049518494258452	0.0464492004340066	0.0305653458664758	0.0229010970637565	0.0140218162600738	0	0.00208746574227325	0.0569724404657958	0.0619420610074998	0.0302902171508281	0.0416478398574772	0.0227804418913326	0.03314883312389	0.0173692235365723	0.0365665840260677	0.00196449504298822	0.0271423553974636	0.0129287169611921	0.0295317292073774	0.0187917055433683	0.00743657352207664	0.0202468559919826	0.0153715780062431	0.00925681654596842	0.00621345895277382	0.0185492072288466	0.0212082902827242	0.041191369222259	0.042281801668376	0.0100690817032016	0.0367708864741663	0.0204964916416846
OM4_C_2D_3	0.0401188777653896	0.0446568801029553	0.0225519125296435	0.0289501411330507	0.0301875281423206	0.0365862618309893	0.0256066857704119	0.0194398226228669	0.0359930128876955	0.00875762669610558	0.0113927504990552	0.0629452296226192	0.0263989021299629	0.0129267696042289	0.00488096959847845	0.0729205290817779	0.0479133178235547	0.00624973830474246	0.0456518245886579	0.0300641117236272	0.0228257829599379	0.0137986499273523	0.00208746574227325	0	0.0561453779854897	0.0610008833016542	0.0298995304593549	0.0408092131960162	0.0226653768912256	0.0323342402519177	0.0172561216123812	0.0364381562079291	0.00375464974406963	0.0263964545495693	0.0130682149114491	0.0291951186847889	0.017921106499164	0.00878841427721532	0.0188974470346066	0.0159526598569918	0.00961421090063083	0.00664769471698387	0.0177797602249678	0.0202559384811494	0.0404974460864961	0.0417287709105897	0.0100276698060494	0.0361477620249832	0.0198298971166243
OM4_C_2E_2	0.0186842997807053	0.0138352289030597	0.0336442453049898	0.0272298813878014	0.0262393061209957	0.0199076243018815	0.0309518180374303	0.0367964360608263	0.0205614820764029	0.054609895916112	0.0465243758733394	0.0274795406225243	0.0305460805100416	0.0566448334864017	0.0547662542310606	0.061232612606385	0.00841016039299684	0.0618976227188507	0.0105537011989051	0.0271482804290761	0.036253157204393	0.0435107073206041	0.0569724404657958	0.0561453779854897	0	0.00607994282152984	0.0279928136892156	0.0153533201031492	0.0361296848131294	0.0238464180206252	0.0407974581894121	0.0254616358300672	0.0563366546855286	0.0298660103738894	0.0454305741434257	0.0290014365995751	0.0382449839800207	0.0535065398062842	0.0382884364364288	0.0456152866366735	0.0489921665181711	0.0515238899732542	0.0384430388497622	0.0359313563668231	0.016078763301292	0.0160804662079118	0.0474623378333562	0.0206766924114299	0.0365379297739852
OM4_C_2E_3	0.024642154297825	0.0198613807221966	0.0384829383017451	0.0321245950991804	0.0315205746566045	0.024454116131097	0.0355198918790048	0.0415851432105993	0.0260126262322175	0.0599554152632131	0.0509635292730132	0.0240498639386257	0.0359425358821194	0.0621767865607074	0.0599029049076452	0.0661180731068654	0.0140665636028975	0.0668820845751472	0.0159669462246411	0.0326742425618093	0.0418581530521133	0.0487526462561141	0.0619420610074998	0.0610008833016542	0.00607994282152984	0	0.0336287967017707	0.0204574548617878	0.0417080679994636	0.0289223147324247	0.0461914088092899	0.0314840477106002	0.0614145955795416	0.0349887143197478	0.0507705043066676	0.0346605952113566	0.0431740786946341	0.0588461209665519	0.0427129683811362	0.0511796537525927	0.0542531746886495	0.0566800669437518	0.0434536977818509	0.0407781801385091	0.0216471757255995	0.0219787797407334	0.0526515458205496	0.0262334516182731	0.0416543645627532
OM4_C_2F_1	0.0102955670064052	0.0150755290225475	0.010266664951593	0.00762487224618163	0.00442772948045628	0.0123812079335192	0.0109585698327008	0.0127897304859986	0.00779353096310457	0.0269064767011958	0.0228545443207476	0.0441670424342401	0.00386890499839742	0.0286885241762505	0.0275937269092868	0.0541849646256376	0.0196132133453355	0.0350582398129991	0.0176785663573028	0.00165268930349587	0.00826587649694994	0.0162934634955817	0.0302902171508281	0.0298995304593549	0.0279928136892156	0.0336287967017707	0	0.0136728954966004	0.0081593967764955	0.00717178695084498	0.0131590516090265	0.00766582115911971	0.0293134225758558	0.00602512810265235	0.0178475916773326	0.00107153792147774	0.0130491489551034	0.0258238437085653	0.0162330079667402	0.0176422459700786	0.0215638010154249	0.024359618799639	0.0127350528511681	0.0117622809888713	0.0119860483167751	0.0122568518278695	0.0202971074381307	0.00742076868792622	0.0104971520395633
OM4_C_2F_3	0.00817407027742268	0.00758491223963719	0.0183068962854682	0.0118889734334511	0.0110778390508068	0.00523657421356486	0.0157803519900755	0.0214682141107192	0.00588464643891847	0.0395255386362526	0.0313477677676732	0.0317389174362778	0.0155501278801557	0.041850273366264	0.0395023074029151	0.0595972748335564	0.00724775652329563	0.046581705569723	0.00491712883867601	0.0124841556947142	0.0216961466007024	0.0283099830680162	0.0416478398574772	0.0408092131960162	0.0153533201031492	0.0204574548617878	0.0136728954966004	0	0.0214999434194242	0.00850805362985419	0.0257756164577283	0.0143884030511571	0.0410453411945222	0.0145611258488671	0.0303346179362675	0.0147421693135068	0.0228985723478322	0.0384144007503118	0.02316950651138	0.0309051728749736	0.0338139055925066	0.0362676200645406	0.0231077349186491	0.0205904670647784	0.00308505553980699	0.00609506651957914	0.0322233692583116	0.00641086267441596	0.0212398136251383
OM4_C_2G_1	0.0182792754644603	0.0231619575134342	0.00946759557347761	0.0120224787758573	0.010704732984766	0.0191632413922843	0.0125350484625976	0.00993034624429825	0.0157264379791399	0.0188352633795946	0.0178274199873741	0.050582877346223	0.00621541822485017	0.0205365976654075	0.0198303408699533	0.0553242928154139	0.0277379152517665	0.027385175867139	0.0257488807538596	0.00904891056939682	0.000456777723048046	0.00887735929482432	0.0227804418913326	0.0226653768912256	0.0361296848131294	0.0417080679994636	0.0081593967764955	0.0214999434194242	0	0.0137366120176843	0.00541881162603718	0.0137955365072932	0.021615180514747	0.0086325859705372	0.0099666691843654	0.00719765196505395	0.00878154043694095	0.0177691347738938	0.0137884622173168	0.00949297154831654	0.0137295573118363	0.0166616249044625	0.00796014696641986	0.00923783031963169	0.0200835556048243	0.020390122580932	0.0127174769984919	0.0154858478449946	0.00630431257235784
OM4_C_2G_2	0.0101923140432997	0.0133447464235037	0.0099169336347778	0.00360506214181166	0.00306877187499856	0.00544708332385671	0.00797827247215437	0.0130894252404198	0.00435658460527403	0.0311346887144235	0.0232008571016348	0.0371747371491672	0.0075329709597589	0.0336552455508885	0.0310102814368193	0.0597795382189333	0.0155989729243423	0.0380823297486424	0.0133271096999005	0.00554767038105826	0.0140131885052362	0.0198647015227471	0.03314883312389	0.0323342402519177	0.0238464180206252	0.0289223147324247	0.00717178695084498	0.00850805362985419	0.0137366120176843	0	0.017495581319563	0.0122707142785368	0.0325447346559897	0.00606973981477877	0.0219623242495603	0.00813039723269065	0.0144179315239388	0.0300207883622323	0.0152217974106187	0.0228587392136699	0.0253727017340814	0.0277799793948709	0.0146038585657165	0.0121696714038361	0.00842149757853015	0.0104973587592159	0.0237473595811269	0.0050250533327306	0.012741696725404
OM4_C_2G_3	0.0234365734634985	0.0282269221145052	0.010062901591779	0.0149293059408639	0.0147024171540537	0.0226838351774822	0.013766728831034	0.00874547579618158	0.020245508628962	0.0138325798190164	0.0135758116145824	0.0531547411282373	0.0102640170128615	0.0161714501772874	0.0144837994742877	0.0590415748477622	0.0323946445861897	0.0220130501833937	0.0302944095120623	0.0137128659128775	0.0055711780821005	0.00350791847436725	0.0173692235365723	0.0172561216123812	0.0407974581894121	0.0461914088092899	0.0131590516090265	0.0257756164577283	0.00541881162603718	0.017495581319563	0	0.0192132209857063	0.0162442998085976	0.0115847575853001	0.00469067632119971	0.0123085953216954	0.00674529923001251	0.0127328894160101	0.011948513759041	0.00575474649580647	0.00841411246107986	0.0112817860759146	0.00577198645195525	0.00860191373562053	0.0247367954181746	0.0253818275329757	0.00730182687134781	0.0201585995707105	0.00579684922187099
OM4_C_3B_1	0.00699650807691371	0.0116292299146435	0.0179295084597211	0.0143467545795707	0.0108550543239068	0.015844796755498	0.0182985687388239	0.0204105144508128	0.00973143475302842	0.0322184160738081	0.0303127571619028	0.0461104325237105	0.0114826294301999	0.0331457849059456	0.0335579586636634	0.0475234281370919	0.0177601191907521	0.0411255567276854	0.0165370431497176	0.00863196496730632	0.0136734417442671	0.0226452474335764	0.0365665840260677	0.0364381562079291	0.0254616358300672	0.0314840477106002	0.00766582115911971	0.0143884030511571	0.0137955365072932	0.0122707142785368	0.0192132209857063	0	0.0353631957262694	0.0135822465964468	0.0237019277862499	0.00786585733771378	0.0204941875945725	0.0312056859669371	0.0238971346807503	0.0224101856142958	0.0274566390362398	0.0304269978598715	0.0200660903301889	0.0193902094200337	0.0115305471416697	0.0097787945810985	0.0265102403612177	0.00879543715937427	0.0178419777001864
OM4_C_3B_2	0.0396027076315516	0.0443042429325885	0.0230750133480847	0.0293361358176614	0.0301510420009563	0.0371386311092426	0.0264196553309176	0.0201172579289062	0.0359223677156644	0.00523819209233771	0.0136643078869763	0.0647269961058258	0.0260633555463943	0.00919552699585611	0.00185658734480509	0.0699308530593234	0.0480055893218205	0.00577175096286168	0.0457982097146921	0.0296821293825605	0.0217044741692831	0.0130319169169157	0.00196449504298822	0.00375464974406963	0.0563366546855286	0.0614145955795416	0.0293134225758558	0.0410453411945222	0.021615180514747	0.0325447346559897	0.0162442998085976	0.0353631957262694	0	0.0264962714613555	0.0116662140770903	0.0285126696182471	0.018327095703494	0.00552387336311445	0.0202866343884165	0.0137731013454909	0.00791416675806997	0.0049638909553844	0.017988103847615	0.0208034598132337	0.0404523572724367	0.0414136603140118	0.00902122041478307	0.0359771084613016	0.0198189836375866
OM4_C_3C_1	0.0144651977964158	0.018539790542912	0.00458337773044968	0.00343663506430248	0.00387104952023382	0.0111025980341237	0.00503959923066012	0.00756946637033668	0.00963580354039977	0.0250959963420988	0.0178842060822878	0.0420312747186024	0.00306406376998494	0.0277435980650815	0.0249482394493957	0.06006449456942	0.0215562879833805	0.0320653655461249	0.0193227553311542	0.00498424604167931	0.00900549600248915	0.0138052349114255	0.0271423553974636	0.0263964545495693	0.0298660103738894	0.0349887143197478	0.00602512810265235	0.0145611258488671	0.0086325859705372	0.00606973981477877	0.0115847575853001	0.0135822465964468	0.0264962714613555	0	0.0159465507895817	0.00625921774310258	0.00854426848079807	0.0239813247269375	0.010535359478345	0.0171310788792423	0.0193124888969762	0.0217143754365184	0.00861938901981118	0.00655986090246893	0.0141156884343844	0.0155950678933426	0.0176788042381934	0.00989214910240447	0.00668015972844592
OM4_C_3C_2	0.0281178364889764	0.0329152700371779	0.0136269072381301	0.0191686460531492	0.0192641815886822	0.0270148324878372	0.0173455344726645	0.0114658089862618	0.0248811177451217	0.00919853873217862	0.0122874678047452	0.0568374956384865	0.0148958313100431	0.0119672017542046	0.00986772707803634	0.0612389463512912	0.0370339324413381	0.017433788654067	0.0349117964505172	0.0183902127351975	0.0100424932058674	0.00250934689474623	0.0129287169611921	0.0130682149114491	0.0454305741434257	0.0507705043066676	0.0178475916773326	0.0303346179362675	0.0099666691843654	0.0219623242495603	0.00469067632119971	0.0237019277862499	0.0116662140770903	0.0159465507895817	0	0.0169874636948316	0.00930545173416085	0.00808918227118376	0.0136675470541385	0.00406524883734417	0.00376343594618386	0.00673763307040033	0.00852507703048467	0.0117009844782007	0.0293865554744912	0.0300701405789205	0.00312391290541765	0.0248204110662603	0.00955491849356233
