	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1D_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3E_1	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4F_3
OM4_C_1G_1	0.0435713478490696	0.0470831218615533	0.0614568119290052	0.0789093401624626	0.0565510399806509	0.0571530249557255	0.0792305718135254	0.109033916856894	0.0594412582865494	0.0656486731425383	0	0.00584963589688541	0.00735546173339224	0.00857434708708904	0.0133462076935985	0.0568840671143822	0.0629596041660236	0.074745282717718	0.104719164087768	0.0469667874736403	0.0270082738275945	0.0281014273873804	0.0636528687903326	0.0848914962796477	0.0227278305061281	0.0581866295207728	0.128502131554524	0.102742713244598	0.0611961385461723	0.0363691751466679	0.0503793999619177	0.0904664097130125	0.0497513712600761	0.0908526340639105	0.067623896008722	0.0787932180244258	0.0892641346754706	0.0623848569685482	0.0670711558798593	0.0654782255039603	0.0706605051128401	0.0357006648431603	0.0995108675136741	0.0738500107081972	0.10082090028586	0.0955001983199011
OM4_C_1G_2	0.0377364648331514	0.0413113848066723	0.0556166657938625	0.0730800596222044	0.0507379285951892	0.0513215414245996	0.0733960673205489	0.103270123826342	0.0538788044888693	0.059814276807586	0.00584963589688541	0	0.00202265294782253	0.0117177440999483	0.0116557820917553	0.0511506930857769	0.0571481900258033	0.0690607654810978	0.0989096904381743	0.0411777275954883	0.0213631581573891	0.0225235682945577	0.0578132684681822	0.0790906767504093	0.0169893452175505	0.052364087832996	0.122765449846819	0.0969258875059527	0.0555057548179126	0.0305223948503932	0.0445831768281269	0.0846600526810942	0.0439278784633256	0.0852473843099349	0.0618075782104859	0.0729700837131752	0.0835080742348163	0.0565580495195393	0.0612397334239224	0.0596402100916612	0.0648862897475601	0.0299079862152547	0.0937410158932618	0.0680386345970978	0.0952163006208436	0.0896730057326983
OM4_C_1G_3	0.0363209065610185	0.0397488898848393	0.0542641092220079	0.0716816743492789	0.0492575862350186	0.0499006505061015	0.0720803238556929	0.101735040880532	0.0521294483320405	0.0584197736939993	0.00735546173339224	0.00202265294782253	0	0.0137364899683111	0.0131581959058521	0.0495405817267008	0.0556675150553832	0.067407808372933	0.097474996728626	0.0396435826613619	0.0205970524279956	0.0218375011325024	0.0564623732878761	0.0776031925570541	0.015381655713005	0.0509112498995692	0.12120918665327	0.0955183017859385	0.0538524881402311	0.0292168708401047	0.0430632473088843	0.0831929147558758	0.0424730207154462	0.0835389217947193	0.0606262460780554	0.0715418490918112	0.0819441067847686	0.0551234285730591	0.0598308729335466	0.0582746631604717	0.0633374514670831	0.0283794909403105	0.092206756549436	0.0668642173882507	0.0935123963965416	0.0883220801556844
OM4_C_1H_1	0.0472356771002559	0.0513684559831124	0.0646152741249369	0.0821613137391842	0.060353223796661	0.06066954804232	0.082083207529134	0.112886504582033	0.0646190018175006	0.0689673174778556	0.00857434708708904	0.0117177440999483	0.0137364899683111	0	0.00969663086738435	0.0613223502269267	0.0667118533631252	0.0793280276205261	0.108054224343796	0.0511196970750127	0.0288600084309816	0.0295999731511952	0.0667836436123337	0.0885610090772291	0.0276659563537022	0.0618435996557052	0.132441806269667	0.105945317572683	0.0658349919654811	0.039726643819638	0.0544285967250406	0.0940113501559955	0.0535047849746015	0.0957152694364675	0.0699466270347958	0.082192263837067	0.0933188051167105	0.0659198119351888	0.0704474077780924	0.0686618396421843	0.0747067564196142	0.0399936316351983	0.103379620848127	0.0760865260128158	0.105642362099941	0.0984447561515934
OM4_C_1H_2	0.0395509305134392	0.0441289875779363	0.0563330022868435	0.0738341178639084	0.0525757278847834	0.0526727338018658	0.0735122368529646	0.104877272951894	0.0580434067521176	0.0607587562372766	0.0133462076935985	0.0116557820917553	0.0131581959058521	0.00969663086738435	0	0.0540671040652749	0.0588322033865141	0.0720366178535351	0.0997036680093216	0.0437676316597273	0.0204481614509467	0.0209312029860468	0.058466351975823	0.0804894413579056	0.0221338701133997	0.0539385426115308	0.12446945316166	0.0975162635643341	0.0587106178021375	0.0319846488563551	0.0469310432986623	0.085833572857106	0.0457796409494699	0.0885936301889751	0.0611399632114396	0.0739615531857203	0.0855145298597113	0.0578864160025125	0.0622676268301236	0.0603654849589157	0.0669928664391814	0.0330551334547139	0.0954033373370416	0.067209721899843	0.0984462991728446	0.0898780501602084
OM4_C_2A_1	0.0147525529827189	0.00997938931245437	0.0109192966872161	0.0240062839332228	0.00502568670316469	0.00717885588541793	0.0258250842782268	0.0524278897135722	0.00697860482299131	0.0123772133628792	0.0568840671143822	0.0511506930857769	0.0495405817267008	0.0613223502269267	0.0540671040652749	0	0.00805386715681704	0.0180517458952045	0.0488058990919775	0.010312318839755	0.0340193348158021	0.0339831536611513	0.0122198288552666	0.028651405054716	0.0341810461848123	0.00623444261617541	0.071896894217449	0.0471208949614117	0.00474465115060238	0.0221969389544102	0.00733249933523902	0.0343594989456326	0.00904170683827956	0.0346050079156822	0.0197225903056036	0.0234238496828021	0.032518573383235	0.00891356423776409	0.0131384667175425	0.0130356879826158	0.0140514752238515	0.0213655440400319	0.0428938651743715	0.0244827501845679	0.0445124629214864	0.0407087847573206
OM4_C_2A_2	0.0195188923022683	0.0161585144222842	0.00517731453244998	0.0164148820137101	0.00641881080913157	0.0062402568841096	0.0178776271975464	0.0463400705450554	0.0127056401957388	0.00443006785535103	0.0629596041660236	0.0571481900258033	0.0556675150553832	0.0667118533631252	0.0588322033865141	0.00805386715681704	0	0.0145712796824472	0.0419491455789687	0.0161224539109126	0.0384288698187967	0.0381089712548738	0.00517126974889303	0.0219879918222492	0.0403521886688824	0.00490105170932272	0.06599352476989	0.0400761411126567	0.00773988591524772	0.0270221043974087	0.0126782206990493	0.0275837373923476	0.0132573619263588	0.0309050848477843	0.0125734535279479	0.0160476360730983	0.0267453287993615	0.00193654724484619	0.00508555910402212	0.00528738444009948	0.00831761963419803	0.0273231334761616	0.0367851623308879	0.0166425775637723	0.0403766213974487	0.0332567064776109
OM4_C_2A_3	0.0325800161658508	0.0280280746080023	0.0191848180209424	0.0142332833040246	0.0199494528274311	0.0205622255846247	0.0180946516380925	0.0352314770163775	0.0161368677718953	0.0154996099318804	0.074745282717718	0.0690607654810978	0.067407808372933	0.0793280276205261	0.0720366178535351	0.0180517458952045	0.0145712796824472	0	0.0329933312205707	0.0283308043298763	0.0518718468263154	0.0517317677671087	0.0179907984918353	0.0139071061767489	0.0521015553211274	0.0190577156552331	0.0543691299326776	0.0318438961221731	0.0135789581049756	0.0401194890823209	0.0251549606951907	0.019162056603582	0.0264604405164652	0.0166681219727336	0.022654601173668	0.0128031786843201	0.0154990441586917	0.016240908445623	0.0142942893545272	0.0165923153411365	0.00698715535345906	0.0393965601430449	0.0259127000870241	0.0228830755078142	0.0264959796662505	0.0271963007918077
OM4_C_2B_1	0.0612762406982399	0.0580497578092908	0.0435769564938635	0.0259973233160963	0.0483465509244995	0.0476985272870485	0.0264747158147307	0.00862420465018776	0.0488437682967329	0.0392490521028724	0.104719164087768	0.0989096904381743	0.097474996728626	0.108054224343796	0.0997036680093216	0.0488058990919775	0.0419491455789687	0.0329933312205707	0	0.0580493405198759	0.0794105043572127	0.0788495369458466	0.0414069196270003	0.0201688190259831	0.0822287306593208	0.0466678140480072	0.0260027839427246	0.00271818060353221	0.0452744495553382	0.068595684868558	0.0546103324054505	0.0144580187102298	0.0551038942091698	0.0241864386215395	0.039293522288734	0.0260262309552416	0.0177182799342835	0.042458461280547	0.0377933809800401	0.0395252570688976	0.0347833010090578	0.0692272488906943	0.00870374441473953	0.0338541749955054	0.0210389707375478	0.0107214588208475
OM4_C_2B_2	0.00474694600284124	0.000891633940959715	0.0157467358694888	0.0324331273300682	0.00975972872773664	0.0108595891289995	0.0333954063627592	0.0622118446017214	0.0152436874577146	0.0193493505311289	0.0469667874736403	0.0411777275954883	0.0396435826613619	0.0511196970750127	0.0437676316597273	0.010312318839755	0.0161224539109126	0.0283308043298763	0.0580493405198759	0	0.0237582454337813	0.0237888715731673	0.0178566933663121	0.0380365286545893	0.0242835858077632	0.0115595947313207	0.0817788645645824	0.0561797450714574	0.0149943250818369	0.0119199313338843	0.00344455052047241	0.0436698415953494	0.00370227889210685	0.0449084327188553	0.0239180876734556	0.0321481816532215	0.0424086957136775	0.015820022412077	0.0206296995668694	0.0194575167002141	0.0237397311870841	0.0112762090699183	0.0526556518832729	0.0298392802729842	0.0548005477169399	0.049260318079804
