	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1F_1	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2D_1	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3C_1	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3H_1	OM4_C_3H_3	OM4_H_4A_3	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_2
OM4_C_1F_1	0.11041030444027	0.0120008307015771	0.0272412903812727	0.034695065780499	0.0255135352534043	0.0222810248266424	0.00252551003972936	0.0218360610055542	0.0105392341647365	0.00570393626842903	0	0.00439576308573658	0.0210552791909901	0.0258928755940364	0.0124969515684973	0.0299847473005384	0.00193503737596588	0.0201778337611851	0.00225352957572702	0.00678929151097952	0.0124997337121387	0.00356267503908253	0.00183638524464973	0.0149130995050048	0.0335733887953608	0.0189393120331774	0.0167159102606944	0.009803917165896	0.0096622451814098	0.0200450316872778	0.0323606338713601	0.00554140934146988	0.00530815978298563	0.00125396708735824	0.00111039341388682	0.0103801795070253	0.0156306087468558	0.0120791633139387	0.0109694344799632	0.012389574635749	0.00923558876855654	0.00512065363826886
OM4_C_1G_1	0.106033942931834	0.0163962866635682	0.0228465137184879	0.0303009745042341	0.0211186255127756	0.017885892016478	0.00187026045717207	0.0174409001266224	0.00614357298827516	0.0100996092395776	0.00439576308573658	0	0.0166600705987794	0.0214979942435471	0.00810134795508092	0.0255902018452563	0.00246073317926549	0.0245728250496275	0.0066492691923678	0.00239355396466064	0.00810413018918633	0.00795839373809232	0.00255938521363216	0.0105175837245275	0.0291791827839673	0.0145439839778897	0.0123204721337521	0.00540823750824993	0.00526656215975659	0.0156497642663016	0.0279663084425822	0.00114565622828249	0.000912404304446247	0.00564971907288448	0.00550614691953608	0.0147757030668611	0.011235122629815	0.00768354639527232	0.00657378491041713	0.00799396754977697	0.0136311551698892	0.00951634048061863
OM4_C_1G_2	0.0894342612985656	0.0330531262848374	0.00618730056250822	0.013643420833229	0.0044591256497522	0.00122595410556141	0.0185301232068582	0.000780911927479409	0.0105168864768124	0.026758064619197	0.0210552791909901	0.0166600705987794	0	0.00483855418526046	0.00855914034144586	0.00893151949696454	0.0191205216655456	0.0412268749052	0.0233084121560194	0.0142667218154604	0.00855635811548031	0.0246172923569113	0.0192191608886353	0.00614287649324914	0.0125213353373219	0.00211627257973791	0.0043399211820969	0.0112521992266793	0.0113938694500454	0.00101040191726432	0.0113081609735852	0.0155145211102253	0.0157477525713959	0.0223090349623894	0.0221654866766808	0.0314330029746609	0.00542531567286084	0.00897693961904831	0.0100866848417203	0.00866652036088665	0.0302887616230691	0.0261749219541824
OM4_C_1G_3	0.0846099149752182	0.0378894923690763	0.00134876124136192	0.00880508149468101	0.000379431546234487	0.00361260794749389	0.0233679157592086	0.0040576478854637	0.0153551555019532	0.0315951374942429	0.0258928755940364	0.0214979942435471	0.00483855418526046	0	0.0133974918394607	0.00409303052229518	0.0239582703240146	0.0460621229712504	0.0281458150323806	0.0191047955927538	0.0133947097211857	0.0294545748163028	0.0240569020965118	0.0109813112991678	0.00768295309371012	0.00695480066400667	0.00917840480842664	0.0160904338214979	0.0162320971948496	0.00584894561631457	0.00646973746276806	0.0203525190891608	0.0205857357842194	0.0271465258280266	0.0270029898994404	0.0362695638347442	0.0102637712769639	0.0138152746401725	0.014924973136652	0.0135048676823789	0.035125454678073	0.0310120534717063
OM4_C_2B_2	0.0979645778201064	0.0244964740347128	0.0147461554323024	0.0222016097844269	0.0130180845226777	0.00978505700647348	0.00997155421761182	0.00934002950963868	0.00195781003687217	0.0182004247747458	0.0124969515684973	0.00810134795508092	0.00855914034144586	0.0133974918394607	0	0.0174901703869376	0.0105620056255024	0.0326718600482007	0.0147503326804245	0.00570783376183526	2.78229166547319e-06	0.0160593711954192	0.010660653902389	0.00241631000907839	0.021079647144865	0.00644291024775603	0.00421927615541517	0.0026931529015309	0.00283482931012982	0.0075487622032872	0.0198665965604998	0.00695571491281192	0.0071889627334343	0.0137508416118447	0.0136072774679787	0.0228760737375179	0.00313387756252101	0.000417810926288059	0.00152759232990316	0.000107382910399393	0.0217316462752847	0.0176172027295009
OM4_C_2B_3	0.0805277776839796	0.0419801624232143	0.0027442748852082	0.00471211405967178	0.00447245950165423	0.00770559643637568	0.0274599873251017	0.00815062848169617	0.0194477379249151	0.0356864897859455	0.0299847473005384	0.0255902018452563	0.00893151949696454	0.00409303052229518	0.0174901703869376	0	0.0280502968236802	0.0501517380374155	0.0322374927713464	0.0231971623863465	0.0174873883972163	0.0335461331223102	0.0281489209678726	0.0150740928602536	0.00358996448272409	0.0110477153787047	0.0132712519551929	0.0201829772208613	0.0203246328927135	0.00994188844141991	0.00237673029001855	0.0244448049779772	0.0246780060450981	0.0312382914182767	0.0310947678706478	0.0403604203451243	0.0143565800973535	0.0179079336236729	0.0190175776519191	0.0175975412509042	0.0392164383420808	0.0351034631924844
OM4_C_2C_1	0.108483991602418	0.0139357532650545	0.0253067334799123	0.0327608232035598	0.0235789168430522	0.0203463027398224	0.00059047369268464	0.0199013258080718	0.00860425955695488	0.00763894366667606	0.00193503737596588	0.00246073317926549	0.0191205216655456	0.0239582703240146	0.0105620056255024	0.0280502968236802	0	0.022112565645742	0.00418856044959719	0.0048542769140419	0.010564787813692	0.00549769892922816	9.86522561072117e-05	0.0129781963295005	0.0316390938150433	0.0170044983295027	0.0147810443293177	0.00786893317350603	0.00772725946750112	0.0181102465512817	0.0304262842717728	0.00360638577162351	0.00337313477555358	0.00318900170770042	0.003045428459377	0.0123151290758252	0.0136957198475553	0.0101442108043292	0.00903446571236631	0.0104546269817606	0.0111705552527693	0.00705566615180485
OM4_C_2D_1	0.130480154322725	0.00817770079341828	0.047409821559671	0.0548591501647233	0.0456829792617337	0.0424520581613408	0.0227029343673558	0.042007301049206	0.0307147502364657	0.0144744855549728	0.0201778337611851	0.0245728250496275	0.0412268749052	0.0460621229712504	0.0326718600482007	0.0501517380374155	0.022112565645742	0	0.017924592199271	0.026965816114113	0.0326746412887274	0.0166155806305838	0.0220139303912709	0.0350871812022285	0.0537381953483293	0.0391118265910428	0.0368893195624174	0.0299796470649233	0.0298380153765924	0.0402170742973175	0.0525262000562225	0.0257182244241047	0.025485026665621	0.0189240359262406	0.0190675913648151	0.00979837770277223	0.0358044285225698	0.032254206134554	0.0311448218112097	0.0325645178852795	0.0109429640973459	0.0150577294189164
OM4_C_2E_2	0.112653310335878	0.00974739451916577	0.0294941689746211	0.0369475533869266	0.0277664912653867	0.0245341124108529	0.00477902993085098	0.0240891653499451	0.0127926552335122	0.00345042243901571	0.00225352957572702	0.0066492691923678	0.0233084121560194	0.0281458150323806	0.0147503326804245	0.0322374927713464	0.00418856044959719	0.017924592199271	0	0.00904277174673152	0.0147531147628584	0.00130914919779526	0.00408990879532622	0.017166422698983	0.0358259411776985	0.0211925175190837	0.0189691840300274	0.0120573516335002	0.0119156821296974	0.0222982001949684	0.0346132539160986	0.00779490421934538	0.00756165711868067	0.000999563492744718	0.00114313717905056	0.00812671731697835	0.0178839129066258	0.0143325534761047	0.0132228473025698	0.0146429581008436	0.00698211072332116	0.00286713581130887
OM4_C_2F_1	0.103650349617485	0.0187895781665663	0.0204533642565634	0.0279081550925356	0.0187254136021244	0.0154925773865443	0.00426380759084577	0.0150475727940677	0.00375003882270815	0.0124930554634483	0.00678929151097952	0.00239355396466064	0.0142667218154604	0.0191047955927538	0.00570783376183526	0.0231971623863465	0.0048542769140419	0.026965816114113	0.00904277174673152	0	0.00571061602904834	0.0103518772979546	0.00495292832252622	0.00812410332572116	0.026786307385411	0.0121505824241267	0.00992702355081597	0.00301469755095064	0.00287302119373854	0.0132563893118128	0.0255733750368625	0.00124789896246255	0.00148115081908041	0.00804323416894349	0.00789966367741562	0.0171690407836589	0.00884165421687787	0.00529002738376059	0.00418025456599687	0.00560045208936579	0.0160245228586536	0.0119097976450549
