	OM4_B_B	OM4_C_1A	OM4_C_1C	OM4_C_1D	OM4_C_1E	OM4_C_1F	OM4_C_1G	OM4_C_1H	OM4_C_2A	OM4_C_2B	OM4_C_2C	OM4_C_2D	OM4_C_2E	OM4_C_2F	OM4_C_2G	OM4_C_3A	OM4_C_3B	OM4_C_3C	OM4_C_3D	OM4_C_3E	OM4_C_3F	OM4_C_3G	OM4_C_3H	OM4_H_4A	OM4_H_4B	OM4_H_4E	OM4_H_4F
OM4_C_2C	0.00461591401598593	0.00514502141491934	0.00800193299824566	0.0056050417201406	0.0170792545976325	0.0211949624659104	0.00706930965695361	0.0095373296003811	0.00793136754332028	0.00912041994797694	0	0.0142415128317213	0.0180300682322298	0.0142811313723138	0.00533258812528891	0.0109069945342173	0.0112505777021403	0.00978332708726094	0.0102352026115283	0.00688557780297043	0.00790982552942298	0.0192462193759059	0.0196564307609893	0.00343536004443975	0.0122618510025278	0.00343994040487161	0.0120501709519868
OM4_C_2D	0.0107356709738936	0.0160300796972906	0.0132360556867898	0.0131897017402251	0.0235956985369694	0.033946755808742	0.00850216575337364	0.0180078932961042	0.00633976611877825	0.00758777007481266	0.0142415128317213	0	0.00784771746488241	0.0115092057101505	0.0106547171405646	0.0128488980601858	0.0137148885904172	0.00473410626019815	0.0141815014255207	0.0119475962816315	0.0132656729034811	0.0261065095340889	0.0317160369989012	0.0167014913755795	0.0044093048408712	0.0127254375903676	0.0144041924678053
OM4_C_2E	0.0161344264238867	0.0175228609491294	0.0131563086078321	0.0144507289874619	0.0207964037937253	0.0342131288166701	0.0109657487795789	0.0175489627017463	0.0110398439184368	0.00894832572162176	0.0180300682322298	0.00784771746488241	0	0.00737605935502498	0.0129343181943731	0.0110301809397394	0.0116920173193486	0.0111022372286316	0.0127880644906642	0.0127256964361635	0.0132365983359771	0.0231315323410469	0.0315011600475659	0.0192799926267942	0.00609790263052875	0.0152487002895683	0.0119443656568745
OM4_C_2F	0.0143597397806787	0.0119406646729518	0.00717536238637008	0.00922761135668695	0.013435855352018	0.0272351687640249	0.00811201490311728	0.0107550979642181	0.0102361839219414	0.00640815221493046	0.0142811313723138	0.0115092057101505	0.00737605935502498	0	0.00904007486110698	0.00428074320624009	0.00469141643912162	0.0118616280671267	0.00598009302121573	0.00756385157644271	0.00727564118879888	0.0158037492652786	0.024402340294675	0.0143056330855365	0.00723765946648585	0.0109080303775697	0.00471778225269302
OM4_C_2G	0.00596436469499007	0.00537582156389847	0.00406209352727999	0.00271818577043324	0.0149698495061614	0.0233053885960803	0.00221664281206082	0.00802515714044082	0.00477739332742873	0.00400660849473252	0.00533258812528891	0.0106547171405646	0.0129343181943731	0.00904007486110698	0	0.00620201533745985	0.00677981027144983	0.00727126524427001	0.00617228347236679	0.00241740407927492	0.00401661150881823	0.0174128918752373	0.0211523110205094	0.00643952105108111	0.00758742509382475	0.00233048440429143	0.007666873669566
OM4_C_3A	0.0121222429748869	0.00780743238639244	0.00309650778190431	0.00541611849292902	0.010754933155554	0.023203452257196	0.00634155720627504	0.00657273009606946	0.00928479836533008	0.00566573210600665	0.0109069945342173	0.0128488980601858	0.0110301809397394	0.00428074320624009	0.00620201533745985	0	0.000868432498413209	0.0115241345588838	0.00176679917251141	0.00404615312654861	0.0031993822486073	0.0132622923767216	0.0204752246552941	0.0103368054720329	0.00850374839727864	0.0074710932609781	0.00167446485056034
OM4_C_3B	0.0127361871796464	0.00778780022878721	0.00327398627116615	0.00567257581533585	0.00989386870974009	0.0226034845724913	0.00710071192339597	0.00606392745153975	0.0100877178943869	0.00651743823703318	0.0112505777021403	0.0137148885904172	0.0116920173193486	0.00469141643912162	0.00677981027144983	0.000868432498413209	0	0.0123565826211522	0.0013490944579331	0.00449814262919205	0.00337210106296073	0.0123991431559888	0.019829115824877	0.0104164428852644	0.0093635234716647	0.00784148790294065	0.000896188407828988
OM4_C_3C	0.00600796172416641	0.0124226122101821	0.0107997392447005	0.00998821015702599	0.0217800455151111	0.03027781298835	0.00557268678637373	0.015244191572223	0.00250720956701685	0.00590179117795554	0.00978332708726094	0.00473410626019815	0.0111022372286316	0.0118616280671267	0.00727126524427001	0.0115241345588838	0.0123565826211522	0	0.0123725782248795	0.00922575047465529	0.0107947618676985	0.0242801799653817	0.0282898184919752	0.0125743277902791	0.00532980512380944	0.008904584571326	0.013197958619494
OM4_C_3D	0.0121159443618616	0.00649711097479417	0.00226254494446592	0.00463135757062146	0.00948795704374342	0.0214388677617675	0.00690451026961402	0.0048094106446331	0.00999146675854387	0.0067248595637816	0.0102352026115283	0.0141815014255207	0.0127880644906642	0.00598009302121573	0.00617228347236679	0.00176679917251141	0.0013490944579331	0.0123725782248795	0	0.00376929544662647	0.00234578349696219	0.0120045588573077	0.0187225587175377	0.00917124417335491	0.00993153562226667	0.00689219778527215	0.00189183734432616
OM4_C_3E	0.00834681228961421	0.0047978744433404	0.0016627290476476	0.00175273677168087	0.0126695625207687	0.0222000597039942	0.00367089479930006	0.00610723059955015	0.00673266194674901	0.00447608639214965	0.00688557780297043	0.0119475962816315	0.0127256964361635	0.00756385157644271	0.00241740407927492	0.00404615312654861	0.00449814262919205	0.00922575047465529	0.00376929544662647	0	0.00162975842968292	0.0151410747468043	0.0198278401080539	0.0068147183722582	0.00822757704982732	0.00344615882196463	0.00536160879778385
OM4_C_3F	0.00987135423922268	0.00466610654570895	0.000102978086223192	0.00230904316418071	0.0110474153311904	0.0212162155661487	0.00522242262367371	0.00475833260698587	0.0083171280101729	0.00568626477749735	0.00790982552942298	0.0132656729034811	0.0132365983359771	0.00727564118879888	0.00401661150881823	0.0031993822486073	0.00337210106296073	0.0107947618676985	0.00234578349696219	0.00162975842968292	0	0.0135254993006893	0.0187171578406838	0.00713834055105319	0.00932042691239232	0.00454709747682254	0.00414268622024874
OM4_C_3G	0.022768829783115	0.0141020411243867	0.0135097759399432	0.0149034422019958	0.00251728922283549	0.015456861449759	0.0187202612058255	0.00977998327794135	0.021827903688345	0.0187285494625813	0.0192462193759059	0.0261065095340889	0.0231315323410469	0.0158037492652786	0.0174128918752373	0.0132622923767216	0.0123991431559888	0.0242801799653817	0.0120045588573077	0.0151410747468043	0.0135254993006893	0	0.0122616986649697	0.0163512221461537	0.0217604740062451	0.0169394191851882	0.011762996769113
OM4_C_3H	0.024237067441306	0.0158697039699946	0.0187717111961763	0.0185353281590232	0.0130229115091168	0.00320341316564478	0.0232307703858632	0.0140470263200385	0.0258674604633983	0.0242966727093572	0.0196564307609893	0.0317160369989012	0.0315011600475659	0.024402340294675	0.0211523110205094	0.0204752246552941	0.019829115824877	0.0282898184919752	0.0187225587175377	0.0198278401080539	0.0187171578406838	0.0122616986649697	0	0.0162527845217657	0.0280136577403575	0.0193989676275961	0.0196861355880678
OM4_H_4A	0.00798557647931155	0.00277952416236844	0.00724130082552484	0.00508960460483284	0.0143503661818497	0.0178978735695651	0.00861313752803772	0.00698983082630271	0.0103982982790036	0.0104269218613788	0.00343536004443975	0.0167014913755795	0.0192799926267942	0.0143056330855365	0.00643952105108111	0.0103368054720329	0.0104164428852644	0.0125743277902791	0.00917124417335491	0.0068147183722582	0.00713834055105319	0.0163512221461537	0.0162527845217657	0	0.0140127529246382	0.00412113053967644	0.0110623823240817
OM4_H_4B	0.0100395169055128	0.0127696857542183	0.00927399264917906	0.00972935195143447	0.0192566594023556	0.030424268798651	0.00540115831922968	0.0140676805986934	0.00494219925800077	0.00376817254540567	0.0122618510025278	0.0044093048408712	0.00609790263052875	0.00723765946648585	0.00758742509382475	0.00850374839727864	0.0093635234716647	0.00532980512380944	0.00993153562226667	0.00822757704982732	0.00932042691239232	0.0217604740062451	0.0280136577403575	0.0140127529246382	0	0.00989197520496157	0.0100224711627752
OM4_H_4E	0.00583036856472818	0.00355002725868023	0.00463316794753837	0.00230606996084478	0.0146085787581298	0.021387761506804	0.00449270539277005	0.00719753810961871	0.00654193679021452	0.00633570297766711	0.00343994040487161	0.0127254375903676	0.0152487002895683	0.0109080303775697	0.00233048440429143	0.0074710932609781	0.00784148790294065	0.008904584571326	0.00689219778527215	0.00344615882196463	0.00454709747682254	0.0169394191851882	0.0193989676275961	0.00412113053967644	0.00989197520496157	0	0.00866164334246388
OM4_H_4F	0.0136263957304816	0.00837725502437433	0.00404915172517123	0.00645161893934755	0.00927669881632128	0.022525409502889	0.0079859810447664	0.00619415839988941	0.0109544313681043	0.0073315728580851	0.0120501709519868	0.0144041924678053	0.0119443656568745	0.00471778225269302	0.007666873669566	0.00167446485056034	0.000896188407828988	0.013197958619494	0.00189183734432616	0.00536160879778385	0.00414268622024874	0.011762996769113	0.0196861355880678	0.0110623823240817	0.0100224711627752	0.00866164334246388	0
