	OM4_B_B_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_2	OM4_H_4F_3
OM4_C_2G_2	0.0545568421912363	0.0697981120857879	0.059239069073792	0.0447500880133921	0.0307253152719578	0.0674880307269844	0.0823493959987702	0.0399149385710165	0.0266459183885232	0.0399579665785415	0.0506570024932662	0.0136417211637111	0.0547007917191065	0.0401713632437804	0.0471659285492183	0.0190396841432637	0.0777514190425401	0.103240360678347	0.0135010463584155	0.0191776327684893	0.0079223802884079	0.0062048426322862	0	0.00430170398814346	0.0261031625383651	0.0280442872411213	0.0816532700656269	0.0548116965056805	0.0387937319629994	0.0130228762671488	0.0557423796817941	0.0565132511089866	0.00448715792856854	0.0207497408764962	0.0359689243862523	0.0396977471657324	0.00636016643304285	0.0538076588120785	0.0409408928207499	0.0216139346811744	0.0144363241867657	0.0328053294351603	0.0538739171463644	0.0181257695705086
OM4_C_2G_3	0.0585441231591674	0.0738931810677633	0.0632529479471733	0.0489591349473089	0.0349687166449669	0.0715189616443842	0.0863232548578736	0.0440370481624345	0.0308426584792975	0.0441913263462071	0.054867304268049	0.0179421559791582	0.0586031738141809	0.0442717091595894	0.0513976809475324	0.0230974061837874	0.0817219000509904	0.107204688447393	0.017802171742025	0.0154466852003336	0.0112031781268278	0.0104983453857486	0.00430170398814346	0	0.030147872528127	0.0320734201430583	0.0856809095708527	0.0586338782001998	0.0428826154947812	0.01714455121846	0.0598129428668819	0.0604465573075024	0.00194152050203488	0.0167643891149244	0.0401880994798939	0.0426138709181405	0.0102470977725749	0.0578243543417133	0.045009690867037	0.0257907384617538	0.0175170089203775	0.0370213749853249	0.0580049225831457	0.0218947114002276
OM4_C_3A_1	0.0284840706645292	0.0438080325419942	0.0331592461678159	0.0194511921749504	0.00732376707115713	0.041420964857163	0.0563092656117184	0.0140089806911331	0.00364701900030895	0.0151646989438443	0.0252908626086766	0.0144890864749002	0.0287514438077266	0.0141801153724727	0.0221193507044255	0.00706508181527154	0.0517075045027417	0.0772383686807448	0.0144397215303355	0.0452271358875438	0.0246755527409219	0.020245228203505	0.0261031625383651	0.030147872528127	0	0.00195797513562739	0.0556075968030405	0.029071035261638	0.0127709283937599	0.0131024275211876	0.0296917917476498	0.0305031538244704	0.0293562092747058	0.046836268942005	0.0111526198970791	0.0207301626346411	0.0229582774094551	0.0277223070151166	0.0148748974057137	0.00519725558918822	0.0150916467771385	0.00824241012245585	0.0279716388347027	0.00892226828298194
OM4_C_3A_3	0.0265355101513212	0.0419057515642658	0.0312194130196809	0.0177699587188063	0.00671693307659899	0.0394884334064341	0.0543646011230436	0.012179274582712	0.0042294196523437	0.0136661930337881	0.0235614903256794	0.0163988142201975	0.0267941935872109	0.0123134402199115	0.020478153947491	0.0090092796942644	0.0497611842688317	0.0752966974745205	0.016356488459352	0.0471746215312874	0.0266053373747494	0.0222010345374402	0.0280442872411213	0.0320734201430583	0.00195797513562739	0	0.0536764094363516	0.0271223049667438	0.0108936617496365	0.0150526475998792	0.0277772470928239	0.0285469827148811	0.0312584418988616	0.0487721647540955	0.00975074646031536	0.019728912628798	0.0249080091398614	0.0257822220306684	0.0129679141297408	0.00707251438870611	0.0167357147496729	0.00708857253285785	0.02610697410334	0.0106707255258822
OM4_C_3B_2	0.0272593618639554	0.0123903366429828	0.0224941700306226	0.038010317662175	0.0518307433918864	0.0142015421858959	0.00299978377217223	0.0419258635742147	0.0553562355326754	0.0429496930991357	0.0325289096645053	0.0692001076246118	0.0276421031968238	0.0416027619561328	0.0362514624555535	0.0626602323187904	0.00500457891797648	0.0219091419667006	0.0692309442940094	0.100677653085458	0.0793121960228619	0.0757250303085136	0.0816532700656269	0.0856809095708527	0.0556075968030405	0.0536764094363516	0	0.0283139506975489	0.0429515814519511	0.0686683063948003	0.0260074110207628	0.0256280276637066	0.0848220023572334	0.102322014122767	0.0465099069985133	0.050740355968285	0.0780259469375741	0.0279239465262594	0.0407823813801517	0.0602217950369804	0.0694630296041953	0.0495143362766691	0.0282272706696196	0.0640230131640465
OM4_C_3B_3	0.00525361053969692	0.0186360981798396	0.0079284928024656	0.0170673722531899	0.0274002718624319	0.0149561412204021	0.028348899821634	0.0173362133853694	0.0298103873931161	0.0206906399201522	0.0154418245802709	0.0434491589599908	0.00242169591771292	0.0167078143927568	0.0174519330298309	0.0359903422642203	0.0237750495434891	0.0490989895871112	0.0434238300963612	0.0739488459055715	0.0536824531808135	0.0491948299391751	0.0548116965056805	0.0586338782001998	0.029071035261638	0.0271223049667438	0.0283139506975489	0	0.017670314014256	0.0420124642622892	0.00859033370232351	0.0039030520003749	0.0575854508711712	0.075360829258989	0.0227519284511539	0.0229756476977114	0.0520141940717437	0.00633625269291754	0.0155267771506691	0.0341273313408453	0.041763223247608	0.025041349292836	0.0110625148284238	0.0367604551579718
OM4_C_3C_2	0.0160612232580742	0.0310559407201847	0.020584228714714	0.0077214804605243	0.00973206649877472	0.0287726509381023	0.043770053353388	0.00157471701747687	0.0125200897680976	0.00591553363140539	0.0130447320209175	0.0264082404690864	0.016809845633384	0.0014335343400713	0.0105100595924098	0.0197959214465885	0.0391889737110134	0.0646898138981563	0.0264197424823449	0.0578402062040074	0.0366311358071901	0.0328220048230557	0.0387937319629994	0.0428826154947812	0.0127709283937599	0.0108936617496365	0.0429515814519511	0.017670314014256	0	0.0257770171996437	0.0169681102870822	0.0183222956800884	0.0421178920807059	0.0595196713105258	0.00549961337492507	0.020734463983083	0.035200446502931	0.0151743429320037	0.00222432698221949	0.0172953820818556	0.0274542714820307	0.00737745558711943	0.0152158656693912	0.0215298710906353
OM4_C_3D_2	0.0415795001451554	0.0568025365970426	0.0462470626962511	0.0318715949877014	0.017997607092277	0.0544929348522702	0.0693883660382262	0.0269084438283543	0.0137457069681375	0.0271616606318204	0.0377840313769867	0.00474435757641485	0.0418003635561976	0.0271569090385313	0.0343606466416023	0.00604951813687688	0.0647902221731969	0.090298989408983	0.00448878778943257	0.0321333530491888	0.0125400202220088	0.00718936825471346	0.0130228762671488	0.01714455121846	0.0131024275211876	0.0150526475998792	0.0686683063948003	0.0420124642622892	0.0257770171996437	0	0.0427337755616142	0.0435797794606238	0.0165229904735846	0.0337678606383148	0.0231235164841627	0.0292205241937925	0.0103763807209262	0.0408129945632641	0.027925915079019	0.00867406474742284	0.00741795567098612	0.0199532860434332	0.0408823281074502	0.00614430300628023
OM4_C_3E_1	0.00344506975952235	0.0141607755116378	0.00416472836447822	0.0126369483953041	0.0259403680473345	0.0118619310209151	0.0269482191215392	0.0159277276588559	0.0293708510354648	0.0173895749322676	0.00851467654435688	0.043240995908784	0.00618521949723233	0.0156065779265709	0.0116964916305282	0.0367400004643847	0.0224193206502911	0.0478199804783549	0.0432681539552478	0.0747719228735297	0.0533954095882146	0.049774097113378	0.0557423796817941	0.0598129428668819	0.0296917917476498	0.0277772470928239	0.0260074110207628	0.00859033370232351	0.0169681102870822	0.0427337755616142	0	0.00519391697520622	0.0590106180691051	0.0764506863614315	0.0206665576947726	0.0293172812008759	0.0520718947986979	0.00289937559952254	0.0148215472561017	0.0342425626703187	0.0439538435735105	0.0235921743229745	0.00325204296977156	0.0382775803669577
OM4_C_3E_2	0.00267831164068513	0.015160359148639	0.00407570028679643	0.0160068539060328	0.0279104524574817	0.0117449471733755	0.0259922324311077	0.0176623823400013	0.0307967556559022	0.0202518066138213	0.0131322542837895	0.0446316128043779	0.00209777232455317	0.0171496560467484	0.0157746903919574	0.0375346805062149	0.0213737025075698	0.046922686372015	0.044628607436848	0.0756461223873547	0.0548705957023031	0.0507334479399909	0.0565132511089866	0.0604465573075024	0.0305031538244704	0.0285469827148811	0.0256280276637066	0.0039030520003749	0.0183222956800884	0.0435797794606238	0.00519391697520622	0	0.0594946940846418	0.0771686406274815	0.0229101852338831	0.0265137645271262	0.0533437602862875	0.00395094759549119	0.016100117091814	0.0353909264335067	0.0439234392300256	0.0255235580495831	0.00816306143114071	0.0386254406271617
