	OM4_B_B_2	OM4_B_B_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4E_1	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_C_2B_1	0.0117695032239442	0.0709989088227663	0.0374823293102564	0.0316488112571642	0.0389584745846942	0.0179247950268452	0.00749602432236977	0.0244748411736635	0.00905453517773337	0.0112272810819613	0	0.0283193796595505	0.0367894639186314	0.0331968402438184	0.0343700279043771	0.0508554650246079	0.0258605741283414	0.0374690247667309	0.0304139680172137	0.0382195690702401	0.0573551437052693	0.0388786714714769	0.00649677022047895	0.0108464697375558	0.00737894155945271	0.0154856854093562	0.0294633060702835	0.0170353551012283	0.0411295608484516	0.0244690760604708	0.0418699697137404	0.0401652783790033	0.0197716264236163	0.00865396027935765	0.0177695616470039	0.00501880097564948	0.00818532782860388	0.0297860071822199	0.0413735082705271
OM4_C_2B_2	0.0208532561521011	0.0992267593228872	0.0158211270514017	0.00725347339397366	0.0113270000587009	0.0178906202732714	0.0233094119490689	0.0119778354498284	0.0310457207040171	0.0220927442547418	0.0283193796595505	0	0.0108563402430947	0.0130544975582773	0.0130816458879309	0.0251773693062677	0.0150162609634731	0.0156646835780805	0.0100048751973649	0.0100086074551956	0.0830547292316992	0.0127648497617513	0.0283483422230553	0.018298015822001	0.0220136432748895	0.0202200501374307	0.00595605773576497	0.0117156098886721	0.0140869234028452	0.00777986853501824	0.0154463402906913	0.0125974916185124	0.00912495520052874	0.0243110015192716	0.0119286762551886	0.0260558280717555	0.0356829546782217	0.00401979857905768	0.01808145895434
OM4_C_2B_3	0.0270510012935164	0.107190783325469	0.00699718239041759	0.00514599221417029	0.00416601218602464	0.022041872820322	0.0305354687347649	0.0226589356780441	0.0374075357447505	0.0282136995418193	0.0367894639186314	0.0108563402430947	0	0.00744616842563859	0.0062835390007296	0.0145549239191964	0.0151947756456132	0.00678668238422629	0.00761174193607121	0.00961520270809119	0.0881350320879233	0.00210162733073333	0.0352821693213574	0.026024243220953	0.0297295371296595	0.0249877421225014	0.00733415356568014	0.0216347189076206	0.00460183751237603	0.0124048768651324	0.00508716621923602	0.0133380889423719	0.0171453845708355	0.0309378612110578	0.0190498508920407	0.0335332264900164	0.043271814081913	0.00751019704803855	0.00763945189276242
OM4_C_2C_1	0.0222936440739356	0.10242517541379	0.00428773615230801	0.00608734181575323	0.0116001049386953	0.0165377240598798	0.0262441540512347	0.02462831757115	0.0322572858832214	0.0233303161260131	0.0331968402438184	0.0130544975582773	0.00744616842563859	0	0.0014192932843305	0.0181534611257226	0.00865775907004998	0.00427757898264621	0.00342172822202383	0.0163756467199398	0.0818026373413994	0.00863442036668586	0.030569321555905	0.0224141104960821	0.0258479721554885	0.0195519922521936	0.00713852840899862	0.0205581287092452	0.0115081007848736	0.00959830327909631	0.0110129934247586	0.0201641507898203	0.015012262690321	0.0262174412884589	0.0158484116601498	0.0292739122187569	0.0387716767354073	0.00908516810559568	0.00825692009143711
OM4_C_2C_2	0.0235816608868044	0.103755413469756	0.00323599968799885	0.00588175287789278	0.0104486366188632	0.0178878469558458	0.0274883887159723	0.0248614856201763	0.0336012167975554	0.0246347197744232	0.0343700279043771	0.0130816458879309	0.0062835390007296	0.0014192932843305	0	0.0168132332808091	0.0100677373567192	0.0031737478065124	0.00415364382125008	0.0155078331639374	0.0832171393758008	0.00731019507755366	0.0318687490352667	0.0235586557912499	0.0270405824417053	0.0209034296764058	0.00732827780333427	0.0213002003059602	0.0101705816237728	0.0104632593745374	0.00961218866221093	0.0192946285244921	0.0158709379287437	0.0275104117032673	0.0168904432249679	0.0305209325003272	0.040058431476392	0.00906360269436891	0.0070117321563873
OM4_C_2C_3	0.0403630154382446	0.120477414224251	0.0141066740994455	0.0194890427763625	0.0143335183761607	0.0346866164299384	0.0441906663984775	0.0364908547764074	0.0503973393734929	0.0414308272059369	0.0508554650246079	0.0251773693062677	0.0145549239191964	0.0181534611257226	0.0168132332808091	0	0.0266938516922891	0.0140431896845359	0.0205106841824588	0.0195494296477508	0.0992048864378114	0.0125009541246953	0.0486541401086409	0.0400194664048994	0.0436183397872958	0.0376996669224059	0.0217089995741741	0.0361820588027117	0.0112798331368587	0.0264351188302569	0.00973570152746411	0.0217759369719974	0.0315140762235265	0.0442929398847796	0.0331290765774911	0.0472219604319078	0.0568195520738343	0.0220624818561639	0.0100353951493264
OM4_C_2D_2	0.0143497619974775	0.094035233133999	0.0125982470848041	0.011250884480768	0.0190182160194318	0.00824427323499109	0.018537025526481	0.0239137624665163	0.0238599111333391	0.0152494491254917	0.0258605741283414	0.0150162609634731	0.0151947756456132	0.00865775907004998	0.0100677373567192	0.0266938516922891	0	0.0126542886633889	0.00764904754803523	0.0222699053092206	0.0732230103051678	0.0168352855014104	0.0224430705370482	0.0155578523730182	0.0185166803099225	0.0111930183338437	0.0103102404224986	0.0168452274877304	0.0196823064209146	0.00757221671708529	0.019488425574141	0.0258500082601179	0.0112169807979313	0.0181751685253502	0.0103992538950134	0.0215004783065062	0.0306734473941219	0.0123611062466953	0.0166785741533078
OM4_C_2D_3	0.026543833944173	0.106582489926821	0.000212267511211646	0.00842696067687621	0.010619828596852	0.0207159321639088	0.0305151499067584	0.0275899803529572	0.0364292545301233	0.0275655772381392	0.0374690247667309	0.0156646835780805	0.00678668238422629	0.00427757898264621	0.0031737478065124	0.0140431896845359	0.0126542886633889	0	0.00732358814551173	0.0163996226655265	0.0854670858577009	0.00687032816405077	0.03480552076135	0.0266781677279318	0.0301235038642228	0.0237223053997003	0.0101938074290831	0.0244277823514045	0.00940987315590368	0.0136337476871527	0.00828403724336861	0.0201045981435694	0.0190369308366423	0.0304616263611465	0.0200522441156319	0.0335433369954405	0.0430159761514657	0.0116753039751524	0.00403256923258142
OM4_C_2G_1	0.0199342721152871	0.100217664931006	0.0073896030176823	0.00389869826425611	0.0113702388390128	0.0145764200034732	0.0236930415212151	0.0213164540485693	0.0301538370450784	0.0210428410652188	0.0304139680172137	0.0100048751973649	0.00761174193607121	0.00342172822202383	0.00415364382125008	0.0205106841824588	0.00764904754803523	0.00732358814551173	0	0.0150182521925405	0.080568546549539	0.00939761698136102	0.0282314506365487	0.0195750520364608	0.023130640640367	0.0175653586855203	0.00406755404764735	0.0171823994797933	0.0121762191867601	0.0063104360556013	0.0122288631544068	0.0187297693282271	0.0117178811138029	0.0238633454431133	0.0128052455113404	0.0267251445761366	0.0363617577222438	0.00621994100767547	0.0110255057062401
OM4_C_2G_2	0.0307104939694823	0.109045365439131	0.016610521642449	0.011138752423013	0.0062224049450451	0.0271237060529331	0.0333052556368974	0.0181667373350974	0.0409887021237228	0.03194818385678	0.0382195690702401	0.0100086074551956	0.00961520270809119	0.0163756467199398	0.0155078331639374	0.0195494296477508	0.0222699053092206	0.0163996226655265	0.0150182521925405	0	0.0928744977840533	0.0100147474667841	0.0383369518160759	0.0283032676751916	0.0320180786069584	0.0297144202046522	0.0120300658193856	0.0213422861298404	0.00899669956577489	0.0165341642061293	0.0109577894427414	0.00379022199607111	0.0190933710890553	0.0342589515141209	0.0218181981981627	0.036059718460015	0.0456717971544283	0.0102476544527592	0.0165321246169958
