	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2D_1	OM4_C_2D_3	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_C_1G_3	0.0311508499901105	0.033645978780514	0.0448815705248391	0.0365229274629345	0.0521405870909678	0.0474752541374556	0.0270137625099551	0.0275651986269553	0.0540594725456829	0.0399475525415733	0.0319741146894191	0.0189595477897761	0.0478446018616139	0.0474638641910308	0.0363280060264595	0.0195231121371493	0.0355739591624158	0	0.0484909251172241	0.0313240607093486	0.0398905189839195	0.0432748077310319	0.0345769322065517	0.0404937480526963	0.0470380480128251	0.0388046699281491	0.0374487601295691	0.0433939576744065	0.0253386076795726	0.0415374706179232	0.0337011130310272	0.0512849448449785	0.037037897177765	0.0103842769949683	0.0336013103458675	0.0356453160367224	0.0372596771624612	0.0401208310524049	0.0399655344343166	0.0427930861775054	0.0342305532511876	0.0226127831959994	0.0364733769635097	0.0403249670065459	0.0450010959047585	0.0380093274032218	0.0441504358078081	0.0422058915939458	0.0382940723367144	0.0398486366556177	0.0374410694877673	0.0411927472812936	0.0391396150389368	0.0426146172837882	0.0380209240125596	0.0250693799289551	0.0211264096897981	0.0207419963929027	0.0449141512951048	0.0340563398351791	0.0360010565585137
OM4_C_1H_2	0.079545818549773	0.0299670278278206	0.00405326986749475	0.0485023430543247	0.00863620104935039	0.0028087463975186	0.0301104929608292	0.0300825674452782	0.00729379004825741	0.010436731811165	0.0176933143826761	0.0305821234634879	0.00675543111613858	0.00412895202717277	0.0187124399375856	0.0488380597031728	0.0389822056909865	0.0484909251172241	0	0.0225901795271347	0.0114746559462246	0.00862706210812608	0.0453531052208199	0.0399044108575113	0.0085573506928543	0.0350539713286985	0.013042685716961	0.00512852050894385	0.0443564668468823	0.0231239394514108	0.0295150438805996	0.0174645566131021	0.0261606298345248	0.0393220011172154	0.0236563701116358	0.0270571800169668	0.0177498010066335	0.03465805684146	0.0453148627805393	0.0413420527695453	0.0473992495563314	0.0259032747403084	0.0267798135324536	0.0453400527937443	0.0182338813428955	0.0434627958115926	0.0182370843060872	0.0224930642574878	0.0330782195753752	0.0123673855636905	0.0304854428797019	0.00870403269139464	0.0127182454154564	0.00593154821957675	0.0327274146259323	0.0234388134056858	0.0277859507370849	0.0281004566450217	0.00825205519575866	0.0271190012428083	0.0224654799386422
OM4_C_1H_3	0.0609308636981307	0.00927275211111248	0.0185563852985211	0.0270525398381973	0.0298232096155103	0.0231518441865472	0.00753202425269688	0.0074959953128362	0.029760966330556	0.0121552824825637	0.00692164553328096	0.0196992106772463	0.0189330769138599	0.0239298783639496	0.00517144521398452	0.0266368248670705	0.018269946475607	0.0313240607093486	0.0225901795271347	0	0.0112375844007825	0.0146129438158481	0.0237749891557384	0.0438571410172255	0.0175241601988301	0.0163184208653336	0.00959435333312004	0.0180880101492371	0.0217774902935064	0.011065836171852	0.00887929402459695	0.020013630144765	0.00846691151228656	0.025337081702566	0.00346647242928156	0.00801010652107725	0.00621926064513192	0.0167178509023373	0.0251770748007227	0.0230725791981213	0.0255982280117283	0.0128119432768742	0.00844448351230307	0.0253144843353974	0.0136875313369649	0.0229820571332958	0.0128361098990563	0.0322307904271139	0.0144911588461087	0.0105768571866462	0.011958335235607	0.0138887751396431	0.0100535452538645	0.0173345126045234	0.0140614795287398	0.0125690346823935	0.0117884762501731	0.0122361530417312	0.0158824404932587	0.00688988191546118	0.00526531598170585
OM4_C_2A_1	0.0705144010144041	0.0186158105990277	0.00753258768053889	0.0371673155495871	0.0193077266162634	0.0124523149317792	0.0187640069824744	0.0186972194711139	0.0187420153559688	0.00146482574614807	0.0079328888856504	0.0240558461884583	0.00809040150353637	0.0134524625820992	0.00729983656878915	0.0377875047555894	0.0277469132694062	0.0398905189839195	0.0114746559462246	0.0112375844007825	0	0.00351543021304685	0.0339818214535412	0.041551197504958	0.00715560646074874	0.0242124865082305	0.00247377158081864	0.00756664065693897	0.032958278009462	0.013223185721496	0.0181633910143887	0.0138690291227867	0.015151248507173	0.0319202199877778	0.0122016272016691	0.0158614307026259	0.00641494371505146	0.0240125788671497	0.0342769834014839	0.0307746897768118	0.0359939043424041	0.0178520349494229	0.0156910421933996	0.0343321985833029	0.0103496688040414	0.0323213738245748	0.00986760207799469	0.0264891008617231	0.0222148507889553	0.0011446827538985	0.019541461039882	0.00300425867682827	0.00124928877577451	0.00697486885992497	0.021833703354069	0.0159433119368747	0.0187843944728331	0.0191827442305813	0.00505881325124055	0.0157620181245318	0.0111945298974784
OM4_C_2A_2	0.0739675811033498	0.0213951639629748	0.00513358471953368	0.0399126904003169	0.016975707232385	0.0101692710264048	0.0221061952554343	0.0220063254937406	0.0159005982436872	0.00338027985808148	0.0113143606145303	0.0269922757263971	0.0045981336299981	0.0113580937108628	0.0102483400919591	0.0412210391715819	0.030367471660384	0.0432748077310319	0.00862706210812608	0.0146129438158481	0.00351543021304685	0	0.0367813665629767	0.0425490820997346	0.0039550576135188	0.0264559844987346	0.00585250766394206	0.0060053924443513	0.0362167654851259	0.0147159486748661	0.0209442067887338	0.0122666790164061	0.0175357284171642	0.0350898345506414	0.0152180400976224	0.0184421512430093	0.00923236346203551	0.0260997689703736	0.0366991154557345	0.0328171883654012	0.038852532285554	0.0210437614445674	0.0181553518394089	0.0367273399147951	0.0105086872877123	0.0348416579346052	0.0102910864451608	0.0265864882125422	0.0244740285772715	0.00403796497395733	0.0218680418611868	0.00279477017151054	0.00458431348706313	0.0057537899153347	0.0241184253618158	0.0189861250718358	0.0221575491336126	0.0225451566560996	0.00169247737607368	0.0185563655367171	0.0138794082535675
OM4_C_2A_3	0.0547484367804718	0.0153957526543648	0.0415025697836015	0.00329319213731876	0.0532175354131139	0.0464020109523901	0.0174186016163794	0.0171019651035782	0.0526390067144981	0.0352094135006735	0.0305232361367277	0.0359980483122778	0.0402026261272843	0.0473253746305437	0.0266862477140824	0.0166668572903708	0.0068343289776373	0.0345769322065517	0.0453531052208199	0.0237749891557384	0.0339818214535412	0.0367813665629767	0	0.0637084466791763	0.0383796694925041	0.0121717809179279	0.0329665500533513	0.0414087595322343	0.00928298970513573	0.0239417468503311	0.0158477293821625	0.0355329639337509	0.0195295608671735	0.0358426774809313	0.0218311971499555	0.0184106189439826	0.0276182716946375	0.0133723017602291	0.00570770834123703	0.0106938837937904	0.0022907167204868	0.0312884402727027	0.0188201571206315	0.00608441859209758	0.0298556173292354	0.00457267293857964	0.0293287979560944	0.0551238372747938	0.0136519742268944	0.0330165662808144	0.0156424876584332	0.0369328552581865	0.032734736639253	0.0407164586464764	0.0138345882134345	0.032769952008952	0.0283992388390474	0.0286155758384853	0.0375309455455822	0.0182446320429831	0.022907389468536
OM4_C_2B_1	0.0653359642062116	0.0526104716160016	0.0393559241169676	0.0667856843251115	0.0359416202146677	0.0371836970915575	0.0471729591096227	0.0476569020152329	0.0397663626323097	0.0403114944548104	0.0377945605041694	0.0279180050532762	0.0448569031058931	0.0360470032361139	0.0451930792821405	0.0554347008680812	0.0603690222266134	0.0404937480526963	0.0399044108575113	0.0438571410172255	0.041551197504958	0.0425490820997346	0.0637084466791763	0	0.0457370839690756	0.0598623289258691	0.0400378530530382	0.0375234622985151	0.0568612579337168	0.0531588460961919	0.0522991358861606	0.0548017855778058	0.0522161472025286	0.031651080431562	0.0472576444055295	0.0518583650477619	0.0451962909866476	0.0604394036458413	0.0670994873579688	0.0664040859020437	0.0646816025825177	0.0326768529734081	0.0522728844886886	0.0673361623727249	0.0518285841602081	0.0647646907748824	0.051262172001661	0.0177938650573754	0.0581744652943276	0.0425116492594192	0.0557567541581968	0.0398685380622016	0.0420328786500924	0.0373371829110396	0.0577480220141139	0.0317468353836568	0.0353994193255009	0.0351542421181347	0.0438236507596014	0.0506548620874596	0.0483458376379664
OM4_C_2B_2	0.0775973007702507	0.0231560216128473	0.00666786419325282	0.0414029814355289	0.0171717702912341	0.0109183659467337	0.0248328359077695	0.0246608068254216	0.0152275518791276	0.00731272904679737	0.0150871774843676	0.0309433772448516	0.00193548328843483	0.0122662814281319	0.01266626606237	0.0440983378075386	0.0317513153462045	0.0470380480128251	0.0085573506928543	0.0175241601988301	0.00715560646074874	0.0039550576135188	0.0383796694925041	0.0457370839690756	0	0.0273690787452854	0.00961489303666001	0.00830772043821579	0.0386541925941335	0.0151080478118437	0.0227169528952127	0.0093889259000561	0.0188643097530204	0.0389974436710281	0.0174938100607488	0.0199989282330774	0.011575204899092	0.0268135013171131	0.0377297660076065	0.033369713601079	0.0405324967721577	0.024939213418196	0.0195660296894564	0.0377193186955342	0.00979883315879088	0.0360309131412111	0.00991002860772939	0.0292280386793032	0.0254460023555022	0.00727389568397238	0.0229886810285636	0.00662943058061824	0.00795696027534379	0.00841218252414068	0.0251317851424082	0.022921455147519	0.0259384900760656	0.0263364388516412	0.0022700183124156	0.0204072871064241	0.0157525781849902
OM4_C_2B_3	0.0636292796881986	0.00726426054462671	0.0314822981965608	0.0146793749425567	0.0433767854229192	0.0365234521857386	0.0135497252408179	0.0129682498922497	0.042258979429521	0.0256003504033541	0.0230987382989119	0.0338339582552459	0.0292716244727273	0.0376068803931408	0.0172036025430898	0.0250407196580787	0.00549829082616844	0.0388046699281491	0.0350539713286985	0.0163184208653336	0.0242124865082305	0.0264559844987346	0.0121717809179279	0.0598623289258691	0.0273690787452854	0	0.0238374772734985	0.0317707162049335	0.0171948087585306	0.0123532195661298	0.00757630188463141	0.0235059090633322	0.0090760110454457	0.0366854014574023	0.0132297883691304	0.00864740399365887	0.017887067330917	0.00144877583185489	0.01037122939128	0.00678689710731493	0.014462217780314	0.0276029470376451	0.00860857617948165	0.0103550401207689	0.01819059590677	0.00883230687290366	0.0177755435682278	0.048434459733059	0.00199833404693914	0.0231230936738926	0.00469249154550615	0.02721100580065	0.0230234281163538	0.0311820656636559	0.00239104377883135	0.0281694030859627	0.0254210886588302	0.0257852906830613	0.0268952202684561	0.00944585012243509	0.0132087277557407
OM4_C_2C_1	0.0681289712981878	0.0177481232713973	0.00899276495303813	0.0361990073370135	0.0203135027657496	0.0135764334816118	0.0170891958704658	0.017084023655227	0.0201729273092913	0.00270482246256219	0.00547810456028957	0.0216300283933444	0.01044960313741	0.0144077193989063	0.00663525086392611	0.0358623966276479	0.0269619808584393	0.0374487601295691	0.013042685716961	0.00959435333312004	0.00247377158081864	0.00585250766394206	0.0329665500533513	0.0400378530530382	0.00961489303666001	0.0238374772734985	0	0.00851729332496546	0.0313574388213776	0.0137253830627483	0.0173009463270691	0.0160343175652559	0.0147884446635848	0.0294490333548861	0.0111645115950628	0.0152717442268256	0.00604349199692054	0.0237854328191596	0.0336550542013514	0.0305285656866229	0.0349035051964278	0.0153805005035343	0.0152312369761953	0.0337363846220518	0.0118492920000151	0.0316117887064215	0.0112454294538334	0.0256363634923398	0.0218480092230335	0.00282862241557441	0.0191468932149095	0.00436005023946465	0.0021644752351993	0.0077858947636758	0.0214470687465497	0.0134993135932545	0.0163330775588804	0.0167276426612243	0.00747214477963337	0.0149270896005922	0.0106327173084919
OM4_C_2C_2	0.0744455869365471	0.0260995008188047	0.00193452722561167	0.0446200901738012	0.0118216183546975	0.00506483173799535	0.0255331436399627	0.0255560490088439	0.0117896959191743	0.00622931895668153	0.0127034194817057	0.0256576200165941	0.0073473974772444	0.00592311820787308	0.0147973799379192	0.043981962665593	0.0352687894426442	0.0433939576744065	0.00512852050894385	0.0180880101492371	0.00756664065693897	0.0060053924443513	0.0414087595322343	0.0375234622985151	0.00830772043821579	0.0317707162049335	0.00851729332496546	0	0.0398028821531735	0.0204761617931444	0.0256483061445772	0.0176447289694708	0.0227157739408259	0.0343232735719834	0.0195855794698344	0.0234143276173246	0.0139646219082541	0.0315454078562077	0.0418332670979757	0.0383020096371513	0.0433752882128684	0.0207942644563437	0.0232556191335741	0.0418909137571147	0.0165135701889233	0.039863774712083	0.0162831829776386	0.0209365184888136	0.0297738857339421	0.00865129753185428	0.0271046188346046	0.00456303300597484	0.00878021814903458	0.000814679374719899	0.0293947956710459	0.0183510905400224	0.0226596805577733	0.0229734699296763	0.00670646006375251	0.0232520713386034	0.0187418248467201
OM4_C_2D_1	0.046677036418742	0.0162773567511177	0.0403264214692827	0.0112725353157384	0.0514114797170178	0.044857365456499	0.0142773482382972	0.0142827904649592	0.051515481680856	0.0339267898680844	0.0275920161112118	0.028975949017245	0.0402751269023981	0.0455638308003514	0.0260582496662739	0.00798023292267401	0.0122208132949786	0.0253386076795726	0.0443564668468823	0.0217774902935064	0.032958278009462	0.0362167654851259	0.00928298970513573	0.0568612579337168	0.0386541925941335	0.0171948087585306	0.0313574388213776	0.0398028821531735	0	0.0261491966557279	0.0166412441070629	0.0380557176281291	0.0210164382052854	0.027418650828117	0.0211671317016561	0.0195335562197442	0.0271303590014997	0.0186390935604908	0.0148524708179624	0.0187481972809486	0.00895884251787724	0.0254994463049341	0.0202367195936212	0.015224063693249	0.0317164548345894	0.0131504226603821	0.0310155210909321	0.0503223160400554	0.017765188059741	0.0322008282117542	0.0185492499320894	0.0356611731242347	0.0317429276611991	0.039031752745219	0.0177204806443568	0.0274768881543813	0.0224156051846316	0.022514729922576	0.0373202808167124	0.0186175464866022	0.0230342783582726
OM4_C_2D_3	0.0698832281809056	0.00989336794589221	0.0198474580695253	0.0267742036444311	0.0316480802558055	0.0248803908435255	0.0148737787417812	0.0144090621099614	0.0302003785748782	0.0146876699542416	0.0154931889454188	0.030676732524426	0.0170317838058184	0.0260689233516417	0.00799463828813615	0.0329506474852455	0.0171356586383998	0.0415374706179232	0.0231239394514108	0.011065836171852	0.013223185721496	0.0147159486748661	0.0239417468503311	0.0531588460961919	0.0151080478118437	0.0123532195661298	0.0137253830627483	0.0204761617931444	0.0261491966557279	0	0.00955920888360785	0.0119326636810139	0.00519029634339555	0.0363070777591233	0.00806154114350228	0.00672986139536037	0.00799488149625088	0.0117173639478877	0.0227159855116577	0.0182795921897924	0.0261856289114157	0.0237540241395672	0.00595716691674475	0.0226857851486864	0.00591657874682423	0.0211382265222119	0.00543336228295709	0.039354391409898	0.0105015241803004	0.0120786873436817	0.00830270594722177	0.0160546383609669	0.0122276681030531	0.0200134387411703	0.0102329851380008	0.0231450894371052	0.0228495479519232	0.0232962150048245	0.014875083839664	0.00801445814126721	0.0058167870611067
