	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_C_1F_1	0.0165537731134161	0.0117527857894343	0.0131694070433431	0.0968925268522126	0.0941337546638503	0.00898292979903234	0.00567231025535762	0.00590100140792741	0.0253638037351482	0.0417530589018328	0	0.0183262366607475	0.0122958747465581	0.0311327666176126	0.0295725590663624	0.0113607702117103	0.00972441483536024	0.0128517820357218	0.00830718393742729	0.00673876192892455	0.0234236527779219	0.00744682996014286	0.0214292634015725	0.0254959328282681	0.0298178523106658	0.010119804202753	0.00464391548697091	0.00542222503693614	0.012979812496004	0.0322213191530167	0.027706362790022	0.0435683327338342	0.0173622565052288	0.0245534738090546	0.0239002774663088	0.00199072261689176	0.014339256005301	0.0123528195958689	0.0128369173110131	0.0171100780514912	0.0333395843368806	0.00577933079548225	0.0164777255490612	0.0235874512792196	0.0247944153692481	0.00880518421158731	0.018986187269268	0.00646392743083241	0.0143127634023763	0.0125421506799612	0.00474604524678293	0.0144548515137352	0.032782720549008	0.00454681539400009	0.00905829977190593	0.0159001789249278	0.0153003340483134	0.0124672860056845
OM4_C_1F_2	0.00340222410354251	0.00663659681129442	0.00840293933782645	0.114451966623997	0.112018135294817	0.012600274790249	0.012887640535368	0.0126728569271993	0.0172251730533567	0.0240923026831655	0.0183262366607475	0	0.0071522949085371	0.0133237409575657	0.0146434440683174	0.0116495713907444	0.0086122150799332	0.00568460870522718	0.0111910174603705	0.0141242103687935	0.00530837028178477	0.0108956522461816	0.00603619343786746	0.00759151264626269	0.0136741189786963	0.00871385517363263	0.013733771090444	0.0129259200048639	0.00604709990090303	0.0146959733253502	0.00952649565502374	0.0287785904254761	0.00328839764291367	0.00758701132233	0.00738438418289479	0.0163411061441208	0.00680931891985267	0.00672291232582553	0.00561564033268405	0.00162595715867022	0.0177695416574954	0.0138126770734009	0.00254255398205124	0.0052772156690408	0.00668442115329999	0.0126759114978367	0.00108677869714647	0.0123304668830833	0.00402751701883088	0.0149991271091187	0.0136748891231552	0.00448151691992369	0.0147484004076092	0.0140008305269736	0.00955849006514357	0.0029263784787524	0.00491259360194744	0.00608085791172422
OM4_C_1G_1	0.00735798986598038	0.00385453996822384	0.00861799879328029	0.107492738493808	0.10518092101947	0.0099751929186833	0.0066252608172265	0.00639666757528006	0.0156232413500531	0.0312164629138183	0.0122958747465581	0.0071522949085371	0	0.0204576919761867	0.0212678013572853	0.0104916950667852	0.00405338601994483	0.00205020123400393	0.00426651227519551	0.00708091002467408	0.0124339506348596	0.00566253271202791	0.0123607683617257	0.0147377870431494	0.0206162122478734	0.00222462005119793	0.00771353750041339	0.00738269444769078	0.00115262934671507	0.0218468983323144	0.0165634327941806	0.0355820967528528	0.00807060724370093	0.0146092957792486	0.014265324143288	0.0103468785285906	0.00809760661333185	0.00564550828674664	0.0042106314630003	0.00665197246923045	0.0246365398722662	0.00702338680953537	0.00473643168054765	0.0122262152005494	0.0128793378254132	0.00552408701604351	0.00812751166970994	0.00767448305513521	0.00418460765350532	0.0140746506084651	0.00757774504894278	0.00566730894651463	0.0206773095099913	0.00867979497772295	0.00333369221505439	0.00424826519654038	0.00302454141330304	0.00449069275462889
OM4_C_1G_2	0.0145854807050374	0.0194621570740405	0.0188148963881308	0.127608564564	0.125055793308197	0.0237496619888792	0.0259869435417837	0.0257843577210274	0.0251154902064926	0.0107716867800032	0.0311327666176126	0.0133237409575657	0.0204576919761867	0	0.00778042174153698	0.0218969386356865	0.0215175936610611	0.0189694263478138	0.0244991554602337	0.0274408371801613	0.00802476846858317	0.0237408341846178	0.0101017215656126	0.00574107733239	0.00517888545124614	0.022001763029254	0.0267048523991978	0.0257329492261366	0.0193672721928615	0.00174904735804412	0.00415976166272293	0.0176105638623012	0.0137841002233806	0.00673077976196117	0.00754330231745614	0.029195308517321	0.0172615395345757	0.0188105299892525	0.0183628729939612	0.0141879339583895	0.00781150079620353	0.0270692985906031	0.0157417266977969	0.00837989744332465	0.00904120759006684	0.0259760349277146	0.0124264163352909	0.0247707654785327	0.0170561952776069	0.0240700753471777	0.0266809105663744	0.0166842207771162	0.0088204196062265	0.0266250421145785	0.0227766939092982	0.016210357087759	0.0179044875768943	0.0186906633228427
OM4_C_1G_3	0.0140462651794041	0.0189277614581706	0.0164136988902367	0.126166269875765	0.123146041514763	0.0210408515295597	0.0252739888447185	0.0251125226490373	0.0301244800422189	0.0141150396603958	0.0295725590663624	0.0146434440683174	0.0212678013572853	0.00778042174153698	0	0.0187950920816677	0.0208321108442398	0.0193550757129469	0.0246097840673363	0.0275110559729453	0.0106977446614718	0.0227418964889741	0.00890954115346231	0.00892579170461707	0.00260268277405964	0.0221408193245275	0.0256846702571197	0.0245097068875319	0.0201171541620522	0.00695390159244838	0.00964604913021905	0.0143578845767199	0.0132655366949909	0.00737663952909534	0.00731046910040192	0.027817457322277	0.0152921878237215	0.0176412066967545	0.0179096389199537	0.0146579987170157	0.00381468998440731	0.0267573736725587	0.0171362131305295	0.0117755227652732	0.013839966053109	0.0265543105363923	0.0135570166017736	0.0231482362234494	0.0171737098795236	0.0199151280726729	0.0257283008211627	0.0160893037556385	0.0164435891867752	0.0250749528617921	0.0225968854629916	0.0173994335650161	0.01952648543061	0.0180322954906365
OM4_C_1H_1	0.00846143472377318	0.00680819419975639	0.00332547524065034	0.107541117907901	0.104462501998792	0.00238126712660561	0.00900115466894746	0.00896904534841592	0.0260286920670015	0.0319566119128861	0.0113607702117103	0.0116495713907444	0.0104916950667852	0.0218969386356865	0.0187950920816677	0	0.00669895713768888	0.00907254059925419	0.010332174111097	0.0122008232616768	0.0153236103105996	0.00676364636691963	0.0118009668513183	0.0168337490508433	0.0194867998438827	0.00916461573117713	0.00872690840339566	0.00746448717473995	0.0100606363171888	0.0226297786413829	0.019291203945988	0.0324250471002417	0.0090034171010855	0.0151887880613489	0.0143546772256596	0.00996346370413238	0.00500877443141668	0.00542005950701649	0.00708417931875698	0.0100266303679874	0.0226087616419458	0.0108768749194947	0.0113609525764232	0.0159853536924232	0.0180840749799483	0.0126069182241288	0.0116887112457321	0.00572899044332321	0.00853215909856372	0.00363429372091428	0.00888249515733428	0.00728169915077185	0.025942197375602	0.0073527670309215	0.00859255130901433	0.0108969378875378	0.0120215770884631	0.00657314416269261
OM4_C_1H_2	0.00704486989780681	0.00205583204792747	0.00566178914216824	0.106260337063889	0.103665241891767	0.00593295762933468	0.00452054338711269	0.0043358044610757	0.0196528023471975	0.0322203464380281	0.00972441483536024	0.0086122150799332	0.00405338601994483	0.0215175936610611	0.0208321108442398	0.00669895713768888	0	0.00345004987528292	0.00415012428895727	0.00680344242996827	0.0137143370278129	0.00228353289965622	0.012170868802709	0.0158293733825056	0.020679823348477	0.0024673866471075	0.00519136587539033	0.0043140559510887	0.00404484599096355	0.0226909215117408	0.0179976512117159	0.0351427794522746	0.00786944892826546	0.0150715209550007	0.0145042886903207	0.00774621443832546	0.00589239518949533	0.00325015514931129	0.00315553503966746	0.00739650406833863	0.0244642569140857	0.00592998683128208	0.00695457596124308	0.0138654905838137	0.0151671910020233	0.00642887979596596	0.0092649353271232	0.00393865777351526	0.0045902173958923	0.0101763082885989	0.00516479570598116	0.00490108276898209	0.0232142985408464	0.00541996886233101	0.00209702631863529	0.00637323086840841	0.00642438314341019	0.00287075917237961
OM4_C_1H_3	0.00536107634790987	0.00226852021854629	0.00682274592581287	0.108801082991419	0.106370391655943	0.0089597443845837	0.00727868654272279	0.00705745052728141	0.016977642673915	0.0297367529104097	0.0128517820357218	0.00568460870522718	0.00205020123400393	0.0189694263478138	0.0193550757129469	0.00907254059925419	0.00345004987528292	0	0.00553570855745426	0.00848917020707653	0.0109809278448375	0.00559948962587851	0.0104512760135664	0.0132290506763844	0.0188120110560081	0.00303399686015779	0.00821102793838889	0.00757044821585975	0.00108815231294596	0.0202842067588079	0.0152104586666447	0.0336941473041913	0.00610411184441811	0.0128825062233203	0.0124725734796887	0.0108622737366465	0.00613294927653653	0.00386062909707156	0.00226765581405835	0.00487843485242192	0.0227878325664261	0.00812836075592759	0.00362628102805355	0.0109343705340988	0.011949968947477	0.00723525489958834	0.00654445883274143	0.00738750405228728	0.00218761727454321	0.0127042760915273	0.0081255944249518	0.00361729377267922	0.0199381123574823	0.0087730696873333	0.00389511836391529	0.00304914607136747	0.00306814128150804	0.00264746599537784
OM4_C_2A_1	0.0105851804005841	0.00573883527833762	0.0097947254132782	0.103334849622365	0.100969035688868	0.00889488885103425	0.00287255306575625	0.00267390790752006	0.0177497184545994	0.0352659215560546	0.00830718393742729	0.0111910174603705	0.00426651227519551	0.0244991554602337	0.0246097840673363	0.010332174111097	0.00415012428895727	0.00553570855745426	0	0.00295889008108633	0.0164980513679114	0.00366344483226704	0.0157767545094297	0.0187597702750821	0.0242355719623869	0.00252072158415614	0.00404898956315828	0.00430798243973497	0.00521479669705228	0.0258181798746639	0.0206985944457152	0.0389574325905443	0.0113883345635396	0.018381267334325	0.0179289232594612	0.00646261274282278	0.0100070490783075	0.00732325140473185	0.00670843983696356	0.0103938246309819	0.0281449299595636	0.00276549694663977	0.00891665888367286	0.016386990033173	0.0171410216822843	0.00230972328834869	0.0120781029666199	0.00546298382331205	0.00757902320546073	0.0134771412792206	0.00385291757553353	0.00852400782620986	0.0249330417222148	0.00555853993990844	0.00208916221825137	0.00838599238968576	0.00726629355500965	0.00664174364611022
OM4_C_2A_2	0.0135138368017888	0.00859228567560198	0.0122580638778709	0.100450424052314	0.0981395809468242	0.0103600268352942	0.00326111757548724	0.00325244401853933	0.0186263883235529	0.0382069029301568	0.00673876192892455	0.0141242103687935	0.00708091002467408	0.0274408371801613	0.0275110559729453	0.0122008232616768	0.00680344242996827	0.00848917020707653	0.00295889008108633	0	0.0194317313481604	0.00552126615405427	0.0187076300358396	0.0217032432072928	0.0271798228225384	0.00547941298303002	0.00398425745025487	0.00498624719115909	0.00810576134887757	0.0287703217812936	0.0236121234988164	0.0418500434799985	0.0143225869277919	0.0213389957279505	0.0208817196855956	0.00533104893012235	0.0126862894497535	0.0100513649177819	0.00960557983729665	0.013352211200401	0.0310712241594943	0.00145217889504808	0.0117996706711074	0.0192873485186717	0.0199298784152007	0.00214046834471809	0.0150263211252292	0.00664433805682753	0.0105355319268304	0.014936119183858	0.00376059142036185	0.0114281109985106	0.0276036216513489	0.00581393863160468	0.00491596228553748	0.0112851462837957	0.00998788822194949	0.00949292949644113
OM4_C_2A_3	0.00712377748447538	0.0116733013850777	0.0120209278762587	0.119715103500542	0.117246249513317	0.0167950675642593	0.0181084550064869	0.0178989756877259	0.0194783848848677	0.0187894973127137	0.0234236527779219	0.00530837028178477	0.0124339506348596	0.00802476846858317	0.0106977446614718	0.0153236103105996	0.0137143370278129	0.0109809278448375	0.0164980513679114	0.0194317313481604	0	0.0159805372868247	0.00470787004863387	0.00233441929578266	0.00912396815570135	0.0140140299211901	0.0188952173967292	0.0180024530943331	0.0113457632564521	0.0094505306492389	0.00428419991831912	0.0241956249163299	0.00642200606662166	0.00338662478426177	0.00382374638857979	0.021454792856721	0.0103455108016002	0.0113038581593568	0.0105885734626183	0.00631811420091616	0.0132442173970986	0.0191039052773517	0.00772222960829573	0.0012382093995792	0.00386937493497985	0.0179536741917634	0.00446971762136134	0.0172124885478523	0.00915982425687825	0.0181673348485496	0.0188530736136545	0.00905541037901319	0.0107348274766659	0.0189908041738332	0.0148291090447667	0.00818617705922505	0.00993258608352618	0.0109752309644384
OM4_C_2B_1	0.00919951444830153	0.00430758942316441	0.0068391858910116	0.104095569992556	0.101454058099907	0.00523218404413651	0.00258326678999678	0.00246141413695242	0.0208480582073265	0.0344159907602418	0.00744682996014286	0.0108956522461816	0.00566253271202791	0.0237408341846178	0.0227418964889741	0.00676364636691963	0.00228353289965622	0.00559948962587851	0.00366344483226704	0.00552126615405427	0.0159805372868247	0	0.0142368226063801	0.0180730605915604	0.0227254770826852	0.00352437522495609	0.00299183736875858	0.00203067347500919	0.0059878148667956	0.0248811803875424	0.0202641260114069	0.036985978884515	0.0100197404362886	0.0172351425218516	0.0166323803705819	0.00547535363004037	0.00752103808793743	0.00512714513430211	0.00539684622949574	0.0096645813414868	0.0264287560245834	0.00432874303533541	0.00918346761201584	0.0161469820620492	0.0174369040749326	0.00587335965228971	0.0115401396048776	0.00205194530447887	0.00687299718003207	0.00981603996333569	0.00300473023570918	0.00706868396118575	0.025474347325036	0.00317443025005442	0.0024891688167382	0.00860107982121551	0.00840565475192999	0.00505132686157801
