	OM4_B_B_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4F_3
OM4_C_1G_3	0.0100122159378717	0.0254735556921268	0.00860574796543667	0.076037633238164	0.067430564787497	0.0110798224563967	0.0151108851924856	0.0444818361784316	0.00971228698920515	0.0021473101731399	0	0.0273780523171219	0.0308761742519689	0.0384551247622966	0.0516067915114104	0.0416904643122872	0.0454743527285784	0.0351652094371	0.0485976872683875	0.0580037522787974	0.0386094506981161	0.0388131226552915	0.0690218900660202	0.0799933405097226	0.0369962399384472	0.0400124972661772	0.0367274345279218	0.0228585823637901	0.0266667990046646	0.0066290884755692	0.00726376718537894	0.0424014103838285	0.0464800048124551	0.0340346432716813	0.0311195164656249	0.0533206031719341	0.0347343692351001	0.0380386932633402	0.0487161294874993	0.03301647587483	0.0489345849109942	0.0347429196622005	0.0441426715253276	0.0351906349793305	0.0440220698384425
OM4_C_1H_1	0.0207935213872262	0.0507575959794452	0.0356932836269227	0.102977668565783	0.094068717584503	0.022717928426621	0.012327310255172	0.0186952683172626	0.0354322418734959	0.0294794055934926	0.0273780523171219	0	0.00611243393877042	0.012950673693546	0.0244261499289667	0.0213773557478726	0.0187343851837184	0.00934195663814541	0.023345259852671	0.0310467158601157	0.0162258951952297	0.0117334159856633	0.0424778446349974	0.0531960670780968	0.0140503243205983	0.0161621698602598	0.0109874900740979	0.0488390165493976	0.0521235538917361	0.0326243699510904	0.0343962394072469	0.0150682373631076	0.0196678455224	0.0118413401146283	0.00407415938475196	0.027166378013449	0.00997151090464151	0.0161188222078513	0.0224109557534613	0.0183522478172552	0.0248654082008991	0.00816587202849362	0.0192313318886412	0.00814347615503035	0.0192897908273355
OM4_C_1H_2	0.025612860602791	0.0552634874729781	0.0393044463830692	0.10671024258847	0.0981061722081082	0.0277810387798652	0.0162671010459563	0.0157043868472793	0.0387513445353156	0.0329954470505706	0.0308761742519689	0.00611243393877042	0	0.00928536933695095	0.0221045965227029	0.0186010346656006	0.0147573018849322	0.00704293123673624	0.018325478508243	0.0277305323912842	0.0115192745454206	0.00886075126650102	0.0384089230823134	0.0492334062843893	0.0100854054730611	0.0109132849125458	0.00611272104192851	0.0529242451282425	0.0565575538907483	0.0364038780887978	0.0380944047388041	0.0132614575358709	0.0157200075580218	0.00912370978484596	0.00376663872646821	0.0236186672587061	0.00428924962673299	0.0120306709661612	0.0178663983194252	0.0148882520603473	0.0203336077159946	0.00469181866568321	0.0138254756898547	0.00847918480780117	0.0137761528397559
OM4_C_1H_3	0.0324217821989034	0.0622561149195499	0.0470241418548098	0.114259819904545	0.105467549572602	0.0342801390336172	0.0237113828337439	0.00659849804866783	0.0454296519161504	0.0405015901155601	0.0384551247622966	0.012950673693546	0.00928536933695095	0	0.0149589173767455	0.0116731045232062	0.0106034078404732	0.00391104460671687	0.0115446705457255	0.0199600917029644	0.00624179881601178	0.00508424718787018	0.0308068280163443	0.0420372644178638	0.00462408922453379	0.00545544315642278	0.00433082319863376	0.0607548976302252	0.0639782019674478	0.0443161990397546	0.0455607001057495	0.00863542127848993	0.00981256979020806	0.00621345739933584	0.0098630553565691	0.0149371419463147	0.00622485752162161	0.0065122787593387	0.0120929766911651	0.0147202377272046	0.0120119727827491	0.00555606168129601	0.00894352125841763	0.00810057614818833	0.00945852699743687
OM4_C_2A_1	0.044318957817878	0.0742291773818885	0.0599820636137021	0.126989900424322	0.117870371832933	0.0457775459934782	0.0365152438527903	0.0101063350897935	0.0589968110668859	0.0536717904000124	0.0516067915114104	0.0244261499289667	0.0221045965227029	0.0149589173767455	0	0.0211786837739751	0.010527375557976	0.0170768885436142	0.0129988084691135	0.00784997159056377	0.0193289136619403	0.0132740704178106	0.0201142201214907	0.0302145024815823	0.018856922620678	0.0172124386811326	0.0167872063214304	0.0729544413911771	0.0758624054410282	0.056956468158942	0.0585624522519297	0.00949553011254758	0.00869132468155705	0.0207245470632296	0.0209729823953454	0.00820920819123218	0.0192938082938207	0.0197992466879168	0.0104055582671263	0.0289801578675023	0.014967380630504	0.0175337453765545	0.0149440619159751	0.0165308323893215	0.0155627803182448
OM4_C_2A_2	0.0362998178450849	0.0645582763470909	0.0501457868970331	0.115961752031071	0.107195391315206	0.0379427161605934	0.0286109605277291	0.0114402995410667	0.0466366856238005	0.0434905496864936	0.0416904643122872	0.0213773557478726	0.0186010346656006	0.0116731045232062	0.0211786837739751	0	0.0205558839293223	0.0134515612005111	0.016482393694899	0.0238229975507109	0.00910914832807765	0.0165459824140164	0.0327566315670874	0.0442392004259776	0.00883388782566775	0.0119231615133696	0.0153313373032932	0.0641686941280798	0.0669439070012074	0.0481062293070775	0.0483529854275987	0.0187918908715782	0.0186713678032989	0.00977610874195335	0.0198085591743269	0.0171642479877615	0.0161146510037334	0.00741195187657721	0.0197168796739392	0.0126416971623442	0.0115313394465911	0.0164416938546679	0.01645797942638	0.017989670361173	0.0170735218713184
OM4_C_2A_3	0.0395195148961051	0.0694108282324017	0.0538062575416498	0.121084014818842	0.112423536716955	0.0414200594085025	0.0306797458112311	0.0106667019441323	0.0534465647737621	0.0476039696418471	0.0454743527285784	0.0187343851837184	0.0147573018849322	0.0106034078404732	0.010527375557976	0.0205558839293223	0	0.0127632083503771	0.00879194688620334	0.0145306021711056	0.0143236666995477	0.00794087254959229	0.0247122207134485	0.0349554955292873	0.0144284282901005	0.0110255809041206	0.00965539876420116	0.0670701559923876	0.0706277122257215	0.0507464865589827	0.0526488445232519	0.00738270350705413	0.00281276746179988	0.0166060162159373	0.014686066359167	0.0129837178792184	0.011648640947115	0.015676710533686	0.00476762703726358	0.023535140195175	0.0141109722600686	0.0112765929393973	0.00723242568933719	0.0129851049428901	0.00741938286796357
OM4_C_2B_1	0.0287455658583685	0.0586757584558137	0.0437002638728968	0.110937947270931	0.102040278780336	0.0305472997713099	0.0202538669639509	0.00955049674054178	0.0422884627306189	0.0372140994363294	0.0351652094371	0.00934195663814541	0.00704293123673624	0.00391104460671687	0.0170768885436142	0.0134515612005111	0.0127632083503771	0	0.0152907006002836	0.0229694733735079	0.00871652783207265	0.00526014952700247	0.0342483228047683	0.0453554559652101	0.00627371199254372	0.00859901430429199	0.00490622996892404	0.0572618867152486	0.0603899640529807	0.0409210629069892	0.0422204456740907	0.00914536565014067	0.0125320284997329	0.00553987189385318	0.00676877599466803	0.0182833164073843	0.00592877521986542	0.00851894539044977	0.0152314753565127	0.0149805460520212	0.0158377218978252	0.00358234445300765	0.0122109465602831	0.00521747883103844	0.01259030945347
OM4_C_2C_2	0.0433912925246617	0.0730773573037391	0.0571111816138413	0.124284559650009	0.115818610382506	0.0454035834546892	0.034206945455912	0.00976786065240692	0.0556764144779868	0.0506658825496374	0.0485976872683875	0.023345259852671	0.018325478508243	0.0115446705457255	0.0129988084691135	0.016482393694899	0.00879194688620334	0.0152907006002836	0	0.0131007702114557	0.0115696695523258	0.0127910731905114	0.0210453696796385	0.0321670701929399	0.0131185043777841	0.00889373213273701	0.0124181697543217	0.0710077129533825	0.0745967197921406	0.0544198125568515	0.0558140496602054	0.0134702230751442	0.00704137075730146	0.0164302108683788	0.0195612316909622	0.00918042776630245	0.0141137809717035	0.0130353272862893	0.00492357655821303	0.0208288695390469	0.00666018610101418	0.0152221511333891	0.00500686917828719	0.0180515931440402	0.00552874758773758
OM4_C_2C_3	0.0512424360450463	0.0812127516717046	0.0664815076987472	0.133636397109359	0.124690147102955	0.0528307411262518	0.0429956543380562	0.014478934669726	0.0652103336536161	0.0600759979586013	0.0580037522787974	0.0310467158601157	0.0277305323912842	0.0199600917029644	0.00784997159056377	0.0238229975507109	0.0145306021711056	0.0229694733735079	0.0131007702114557	0	0.0225351524641068	0.019382783145235	0.0123222181238294	0.022870797305893	0.0229637642945012	0.0203677065090258	0.0218349469568202	0.0797913111587284	0.0828678224713288	0.0635595676789319	0.06507325828385	0.016508959049984	0.0124605481715701	0.0255631846468841	0.0273537553600047	0.00672810298148582	0.0242115914211413	0.0232405982020374	0.0117627872279886	0.0322158996402254	0.0146967697990066	0.023423588345308	0.0170304631001944	0.0235203199447767	0.0175844816656938
