	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_3	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_3
OM4_C_2F_1	0.0104425491890895	0.0193281417624721	0.0110316502117633	0.0526238548181674	0.0609519518484785	0.0491651225610316	0.00890209050908195	0.0208701331937921	0.0100292366277498	0.00922679464876813	0.00105293964428213	0.0139891256676829	0.0105334066414495	0.0138434550212581	0.00569700019164444	0.00384133842586775	0.00781733153958732	0.00402165991062035	0.00347892261955038	0.0154582892117002	0.00570104608236271	0.0103647856632992	0.0104858790224264	0.0120905544893499	0.013179485602056	0.00773717942920121	0.0151252168299217	0.0169711492997406	0.00895309710840781	0.0203537569787033	0.00927752160947461	0.013776509022926	0.0119145789327902	0.00615273060418802	0.0218120941270612	0	0.0144351153542475	0.00262883916861643	0.00323986203513601	0.0215766351497239	0.00489961687738826	0.00747678986942409	0.0128115785973487	0.00680775358697427	0.0135341346473963	0.00653237756568262	0.004242501891247	0.00453958446432436	0.00552484035448638	0.0102226357291658	0.0161267701425719	0.0109918478049747	0.00574408553176739	0.00867747472641234	0.0062525587804248	0.01663270940729	0.00707152702319083	0.0322115561178681	0.00410401848247931	0.00742655726221127	0.0102445524807864	0.00833441008117101	0.016645573985774	0.0157130545639983	0.00658531944197609	0.0171164964687168
OM4_C_2F_2	0.00466043578659655	0.00553159533642983	0.0042937090704546	0.0401015685518469	0.0484245832102944	0.0367895327488663	0.00612843381326007	0.00994492726017828	0.00464526014335338	0.0228817611336965	0.0140761685067417	0.0275566341629442	0.0249045405415687	0.00588928144496089	0.017513876040076	0.0106672574230008	0.00671984252701457	0.0111662082575128	0.0127481447164902	0.00304475464991604	0.0115498618697742	0.00444903413990229	0.00996830627331247	0.00393049314171606	0.00278892519553653	0.00988754777526078	0.00402900178759629	0.0285091143625631	0.00568858837498637	0.0333685148629233	0.0233464244388785	0.0266796949858936	0.0252016537651431	0.0130757234063437	0.0347151693041157	0.0144351153542475	0	0.0167777450503781	0.0129315969757096	0.00775328818803037	0.0152959859912478	0.0169965994753044	0.00332737223194375	0.00878469377415749	0.000937345571988522	0.00804394924590541	0.0102981120880539	0.0171391626360372	0.00915170402394758	0.00569072752187984	0.028888004438812	0.00605245504900032	0.019462965217068	0.021643492854669	0.0157648872684207	0.00860941643289244	0.0198212256119812	0.0448415777387305	0.0174444231354591	0.00729759243869708	0.0186212830017761	0.00960933800277874	0.00384307656732638	0.00405789216252054	0.0101761732064939	0.0267670831439403
OM4_C_2F_3	0.0129678626519963	0.021810948614498	0.0131253543556631	0.0552441210244766	0.0635724430128875	0.0517875900022954	0.0114528570567648	0.0234926543029711	0.0125020156115275	0.00659857636038978	0.00270414193830847	0.0113608750942501	0.00813539714002509	0.0164624824075	0.0039349278748797	0.00611500233966724	0.0100730553540603	0.00580371148931838	0.0045743861759701	0.0179736409585621	0.0067378158243249	0.0128556631040301	0.013048134340974	0.0146400806790395	0.0156895873776709	0.00900098392418422	0.0176888750612589	0.0145383601698519	0.0111672335088345	0.0177328978351647	0.00669012158596189	0.0111849015170748	0.00929785703666689	0.00651204055448878	0.0191945180420213	0.00262883916861643	0.0167777450503781	0	0.00570550621829815	0.024070833729418	0.00425180385507446	0.00631020470486335	0.0153446977662639	0.00860044508190412	0.0158994683195218	0.00875263896931764	0.00648018543982041	0.0026622156977203	0.00808578877862349	0.0121577559826706	0.0135357691400347	0.0136070374936138	0.00313193899069276	0.00614770559629418	0.00545643777217908	0.019259907002011	0.00467725996757483	0.0295962096095291	0.00182626619994919	0.00995998336133576	0.00896647581889325	0.00960258769164048	0.0191673551243425	0.0182691167809738	0.00918806430024179	0.0150369243552881
OM4_C_2G_1	0.00847987441135888	0.0173113178579134	0.0102892830720666	0.0498750161872489	0.0581841205631971	0.0463967655769567	0.006903203965516	0.0181787555248961	0.00829800757173088	0.0122168084047921	0.00393409504699532	0.0169149224550393	0.0129169891097003	0.0112490141213317	0.00890607371918831	0.00389438957701988	0.00695917383428751	0.00503746858147552	0.00554663666131483	0.0133870965208108	0.00728044561801185	0.00854666562581557	0.00736190784388985	0.00995844276046018	0.0111808159349873	0.00873176181628157	0.0128591803683155	0.0201918056917422	0.00808402789526917	0.0233663131436664	0.0120534330240189	0.0168789982377338	0.0149607392113075	0.00831476501699778	0.024838121969878	0.00323986203513601	0.0129315969757096	0.00570550621829815	0	0.0194972628069974	0.00782098508408934	0.0104679364912179	0.010730631839603	0.00711410438435112	0.0119961164192243	0.00595869092096753	0.00422668864560467	0.00777503950609766	0.003855751354839	0.00986991404213067	0.0192284611320414	0.00848883187975509	0.00882512241156837	0.0118466743404007	0.00913790052985068	0.0137742785638033	0.0102912022186372	0.0352369024543017	0.00732452361278168	0.00563515910831364	0.0132128441257424	0.00925464378954202	0.0145294463155944	0.013471886031184	0.00363472275040784	0.0203313632915768
OM4_C_2G_2	0.0111415811486477	0.0022742436821237	0.012040992584199	0.0324092611410313	0.040718341651291	0.029134787252807	0.0127045923879987	0.00573993829017279	0.0115708585356135	0.0303912213782714	0.0213806527802883	0.0351175642082442	0.0321036578484288	0.00882403123110159	0.0251676394066508	0.0179997203062074	0.0142323913934766	0.0187008912182579	0.0203265023199635	0.00613149566788632	0.0192740405917493	0.0112188791280069	0.0141354021984264	0.00955102935704285	0.00839986843122926	0.0176373495107398	0.00669231724230058	0.0362573564345839	0.0133109607436107	0.0410442911384923	0.0307357203341505	0.034342297300207	0.0328015481883482	0.0208211412824926	0.0424068715834749	0.0215766351497239	0.00775328818803037	0.024070833729418	0.0194972628069974	0	0.0229758138970047	0.0247438729793523	0.00879511706549765	0.0164880879689138	0.00845517113696005	0.0155296648825746	0.0176683037438439	0.0247090304166351	0.016067472908352	0.013427631381372	0.036576227599861	0.0111441927042492	0.026917490747215	0.0292571647996354	0.0234977365415563	0.00858761088468873	0.0274355027340538	0.0525687155131816	0.0249262620086199	0.0141548333406844	0.0263532863311908	0.0173440650688445	0.00496912010574943	0.00607114078124558	0.0161356953392075	0.0344742092818865
OM4_C_2G_3	0.0124142908984122	0.0207082453549189	0.0111621552265079	0.0549616352395485	0.0633049942929934	0.0515657869636195	0.0111507861455748	0.0234264207373477	0.0117336982185307	0.00792005986633439	0.00394794603792056	0.012379774447096	0.0109139018296816	0.0164936360841753	0.00225108614417764	0.00573554148068669	0.00880840171158108	0.00452347544711333	0.00291405237809854	0.0171340299721264	0.00382248262577144	0.0121421327942762	0.0143437060377649	0.0141267470737199	0.0149114193022626	0.00596090468673377	0.0171415219437435	0.0135605648241629	0.00966723482327697	0.0180802480821882	0.0087806777448035	0.0113860646227376	0.00997247738057193	0.00274581387506482	0.0194398995945874	0.00489961687738826	0.0152959859912478	0.00425180385507446	0.00782098508408934	0.0229758138970047	0	0.00265156020952913	0.0147029168632584	0.00651336746214437	0.0145299102324424	0.00758553887514396	0.00589067432021366	0.00238724406145043	0.00822712056472954	0.00992097837581222	0.0136056825848561	0.0136989132679319	0.0049994055261028	0.00641850605407005	0.0013532796059665	0.0196607217813931	0.00462380857273314	0.0296571055169002	0.00325709256291073	0.00970443486020849	0.00539372257349689	0.00649329443014081	0.0183242317252305	0.017652882001572	0.0104096467088038	0.0128528568833901
OM4_C_3A_1	0.0145820125726978	0.0224993918144115	0.0127357040402382	0.0569469603164293	0.0652831510663246	0.0535819872708846	0.0134328879462206	0.0256080524440387	0.0138434772900443	0.00764227852977649	0.00657031579292325	0.0114855998255498	0.0112601015801237	0.0187750409699911	0.0026314128896981	0.00822141668344111	0.0108420968567078	0.00689221727090929	0.00540580068986822	0.0190946298362666	0.00553269401727644	0.0142602309129042	0.0169218639588748	0.0162692611570817	0.0169383091108256	0.00718079354715412	0.0192181671058442	0.0115229365134895	0.0115530833929376	0.0165869870299601	0.00886657869419158	0.010068819646959	0.00904622712838361	0.00392532666634835	0.0178640116166502	0.00747678986942409	0.0169965994753044	0.00631020470486335	0.0104679364912179	0.0247438729793523	0.00265156020952913	0	0.0167867593067105	0.00832866597199772	0.0163052140006359	0.00972879522621889	0.00832091357830637	0.00374937386724917	0.0107069187487271	0.0113903590259673	0.0121001284646708	0.016038993922939	0.00574848173787186	0.00576653827141144	0.00143087527129169	0.022014877813356	0.00435211214217975	0.0278689338308638	0.00476250487710756	0.012042670836938	0.00276786359705544	0.00758041818149957	0.0202645720937943	0.0196954355656609	0.0130117842397873	0.0103574184126465
OM4_C_3A_3	0.0023782079802719	0.00658406360228106	0.00528568415325421	0.0402766464900507	0.0486261298155299	0.0368753435228791	0.00391492766737266	0.00886572456884599	0.00296996144749699	0.021773680595416	0.0126776374334403	0.0265353675009917	0.0233288226969542	0.00289626040343942	0.0167973464620852	0.00935693304090266	0.00594519619610943	0.010240128624865	0.0118923501888093	0.00266452824091143	0.0112657308600848	0.00256599402289469	0.00669262800117922	0.000787208636194389	0.000566848317791503	0.0101661945592869	0.00243930204171353	0.0282316347257188	0.00534867944587148	0.0326328084845028	0.0220305660901888	0.0259232176049979	0.0242780590357735	0.012924674187583	0.0340342799169353	0.0128115785973487	0.00332737223194375	0.0153446977662639	0.010730631839603	0.00879511706549765	0.0147029168632584	0.0167867593067105	0	0.00850761815109035	0.00266984587580411	0.00711798164409689	0.00906050818495677	0.0161984619186625	0.00728897201047068	0.0065322344472588	0.0282112996678894	0.00283816781907942	0.0182705720224053	0.0207739905907264	0.0154328082523224	0.00613100065717358	0.0189667087753407	0.0443227129731321	0.0163156359837791	0.00538793485697518	0.0188004741155453	0.0100797260835206	0.00383764161530438	0.00296360134518885	0.00751909235155178	0.0269724034788994
OM4_C_3B_1	0.00642566182072597	0.0142270025582501	0.00468886883319169	0.048629523205769	0.0569701382539212	0.0452623279779518	0.00557229162507345	0.017368189930056	0.00562490237071561	0.0142261458859805	0.00607598465667371	0.018832542588674	0.0166362698107853	0.0107293202604383	0.0087413189133831	0.00328205753178139	0.00262375417726744	0.00282742872070767	0.0041430489629597	0.0107667707737093	0.00280116994990568	0.00604324813800241	0.0102611053153229	0.00804921431811092	0.00862655670742467	0.0020946042820866	0.0109226585236697	0.0198383238975139	0.00322460977645219	0.0245872312288633	0.0148366716432237	0.0178986038360852	0.0164522502814543	0.00442701489249872	0.0259368458516325	0.00680775358697427	0.00878469377415749	0.00860044508190412	0.00711410438435112	0.0164880879689138	0.00651336746214437	0.00832866597199772	0.00850761815109035	0	0.00803368982594077	0.00193829306360988	0.00290743594598351	0.00845642642201393	0.00427260996580819	0.00357520539317896	0.0201067705477369	0.00820864481908959	0.0109153367751441	0.0128908292167903	0.0070277500518767	0.0140780115848553	0.0110728647708893	0.0360994215200176	0.00889100882298389	0.00451460776945402	0.0103012192310511	0.00240478610401704	0.0119376141867211	0.0113828518285312	0.00711788286338875	0.0184675236848479
OM4_C_3B_2	0.00374236494436596	0.00619795314425181	0.00372482454228337	0.0407102483161787	0.0490426323904594	0.037376914863632	0.00519395777391428	0.0101667119743781	0.00370792922892142	0.0220523574233346	0.013196095418127	0.0267444286276235	0.024020046036029	0.00543483048708673	0.0167338889705792	0.0097853108657682	0.00586692502135967	0.010332395449663	0.0119315815639931	0.00316324732034379	0.0108205085060253	0.00351530449977542	0.00917863030662244	0.00316778394878479	0.00219424972382466	0.00925908867989965	0.00391903409554944	0.0278254823390784	0.00487706588552103	0.0326059326306665	0.0224902738128578	0.025907920873195	0.024401783408605	0.0123802494876099	0.0339628153777057	0.0135341346473963	0.000937345571988522	0.0158994683195218	0.0119961164192243	0.00845517113696005	0.0145299102324424	0.0163052140006359	0.00266984587580411	0.00803368982594077	0	0.00718799334750047	0.00942209154836619	0.0163239837039045	0.00822312858283925	0.00513085937888766	0.0281317865269899	0.0052544946383728	0.0186176163987334	0.0208473412067134	0.0150463402931986	0.00838637264927014	0.019024373018342	0.0441234260992314	0.0166038522757634	0.0063628954497213	0.0180153277707215	0.00902224937119291	0.0041646321746744	0.00409060169999076	0.00925005633849205	0.0261825316955446
OM4_C_3B_3	0.00485677187430194	0.0132556891458245	0.00452211767110766	0.0473856102189951	0.0557322781841858	0.0439879736475269	0.00377288595392988	0.0158879904762467	0.0041493737781524	0.0148779746645713	0.00606172978753883	0.0195937870070707	0.0168873617987106	0.00906901924931025	0.00970100739009453	0.00269188899320707	0.00132425950189643	0.00317283280952583	0.00481095339887382	0.00957600985613301	0.0042936308331278	0.0045599356244746	0.00832324887455188	0.00655657181169084	0.00733315321667669	0.00403206439319806	0.00955702948336283	0.0211222861659172	0.00242605026028625	0.0255734015315789	0.0153052855235644	0.018860418193582	0.0172792786021246	0.00597276081515331	0.0269605669762545	0.00653237756568262	0.00804394924590541	0.00875263896931764	0.00595869092096753	0.0155296648825746	0.00758553887514396	0.00972879522621889	0.00711798164409689	0.00193829306360988	0.00718799334750047	0	0.00229664583555069	0.00918215416739233	0.00252973520483335	0.00391952453912472	0.0211293834643808	0.0064215033129042	0.0114311426834785	0.0137413769010936	0.00834715397734384	0.012365257147888	0.0119220769966108	0.0372237950826007	0.00942032144901922	0.00259192079063665	0.0119211849474968	0.00430328569943049	0.0107725137537863	0.0100688536492723	0.00529814165048192	0.0200223745062069
