	OM4_B_B_1	OM4_B_B_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2F_1	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3E_1	OM4_C_3F_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4F_1
OM4_C_2A_1	0.0116789503468234	0.0111018709270855	0.00306025385403418	0.00246180319912904	0.00446134485972401	0.0181157531008084	0.00466420404471232	0.00467959593602426	0.0200187152103926	0.00566562690737028	0.00473525029272785	0	0.00162530394434449	0.00237127229435121	0.00156280189956853	0.000848773381341784	0.000205450829183524	0.00979334230619474	0.0230343779093661	0.00107621772405022	0.0017596386831225	0.018409489736491	0.0165105083477792	0.0186868322435211	0.0151987810218841	0.0210505268506368	0.0038285654056468	0.00202534626301377
OM4_C_2A_2	0.0100537126230057	0.0127270949923517	0.00468554970006794	0.00408710146127446	0.00283604805565155	0.0197408546664361	0.00303890809910467	0.00630488321393914	0.0183936188165326	0.00404033587967084	0.00310995465875832	0.00162530394434449	0	0.00399657088672848	6.25020995458702e-05	0.000776530935101232	0.00141985327992498	0.00816808348285438	0.0246593601637157	0.000549086553742438	0.000134334871961892	0.0200345849512664	0.0181356428850051	0.0203119213717077	0.0168239403251623	0.0226755605477304	0.00220326622192793	0.00365064603196273
OM4_C_2A_3	0.0140500875784627	0.00873067862325798	0.00068898329786891	9.05310891556891e-05	0.00683259204651131	0.0157447164471284	0.00703544931108575	0.00230833254845341	0.022389618817312	0.0080368617015044	0.00710649487051892	0.00237127229435121	0.00399657088672848	0	0.00393406912826111	0.00322004342363344	0.00257672268720194	0.0121645165270677	0.0206634991623231	0.0034474869612529	0.00413090498856091	0.0160384613827378	0.0141394288681923	0.0163158118581104	0.0128276697238181	0.018679579568208	0.00619981814771351	0.000345926608832266
OM4_C_2F_1	0.0101162125173536	0.0126645963959486	0.00462304807058755	0.00402459971859238	0.00289854997713538	0.0196783610184967	0.00310140999447195	0.00624238196886292	0.0184561135585781	0.00410283761990462	0.00317245654456507	0.00156280189956853	6.25020995458702e-05	0.00393406912826111	0	0.000714028847203312	0.00135735122180856	0.008230584124636	0.024596871270467	0.00048658445990097	0.000196836971765809	0.0199720915575046	0.01807314791475	0.0202494282214016	0.0167614443580774	0.0226130696090868	0.00226576821351454	0.00358814421652152
OM4_C_3A_1	0.0108302142206675	0.0119506051346015	0.00390902370683799	0.00331057417667587	0.00361257622849869	0.0189644249399168	0.00381543590825073	0.00552836168501933	0.01917005479738	0.0048168615684049	0.00388648233526138	0.000848773381341784	0.000776530935101232	0.00322004342363344	0.000714028847203312	0	0.000643322591223869	0.00894459472986862	0.0238829885648269	0.000227444414787112	0.000910865774263927	0.0192581583261621	0.0173591970385338	0.019535497718009	0.0160474823461692	0.0218991639176962	0.00297979538686852	0.00287411792756196
OM4_C_3A_2	0.0114735090717227	0.0113073127835427	0.00326570396955109	0.0026672535594143	0.00425589538527411	0.0183211801823157	0.00445875469933808	0.00488504513251392	0.0198132926446103	0.00546017828511071	0.00452980099393167	0.000205450829183524	0.00141985327992498	0.00257672268720194	0.00135735122180856	0.000643322591223869	0	0.00958789817296829	0.0232397904063695	0.000870766961845549	0.00155418804917702	0.018614916044917	0.0167159394347307	0.0188922578106103	0.0154042151067075	0.0212559456498528	0.00362311556628548	0.00223079676955078
OM4_C_3B_1	0.00188568283885511	0.0208944238400401	0.0128534624142508	0.0122550429290161	0.00533207827949653	0.0279073734727413	0.00512921955366181	0.0144727079236532	0.0102260679191332	0.00412779485982822	0.00505817340030509	0.00979334230619474	0.00816808348285438	0.0121645165270677	0.008230584124636	0.00894459472986862	0.00958789817296829	0	0.0328251431905513	0.00871715646948627	0.0080337516694354	0.0282010637046363	0.0263023718650631	0.0284783618547534	0.0249908301197917	0.0308416570080325	0.00596485450440889	0.0118186071874611
OM4_C_3B_3	0.0347100794329696	0.0119335727756788	0.0199746150755184	0.020572981499042	0.0274947386655189	0.00491934274753598	0.0276975455465041	0.0183554721515557	0.0430461942519268	0.0286987005838168	0.0277685733210617	0.0230343779093661	0.0246593601637157	0.0206634991623231	0.024596871270467	0.0238829885648269	0.0232397904063695	0.0328251431905513	0	0.0241103873453828	0.0247936664249497	0.00462557422718228	0.00652473712548733	0.00434820033505186	0.00783655583473097	0.00198418775941408	0.0268621181426995	0.0210093733882232
OM4_C_3C_2	0.0106027788683236	0.0121780380362353	0.00413646684382173	0.003538017665943	0.00338513277935668	0.0191918405330788	0.00358799257443385	0.00575580358461877	0.0189426390254275	0.00458941889907958	0.00365903904338294	0.00107621772405022	0.000549086553742438	0.0034474869612529	0.00048658445990097	0.000227444414787112	0.000870766961845549	0.00871715646948627	0.0241103873453828	0	0.000683421408695455	0.0194855730236385	0.0175866172836837	0.0197629115571813	0.0162749060880996	0.0221265699439971	0.00275235161972303	0.00310156163801495
OM4_C_3E_1	0.00991938239879508	0.0128614222178119	0.00481988351835915	0.00422143552836959	0.00270171354070563	0.0198751711919033	0.00290457363846039	0.00643921619110102	0.0182592995895643	0.00390600174332067	0.00297562021804663	0.0017596386831225	0.000134334871961892	0.00413090498856091	0.000196836971765809	0.000910865774263927	0.00155418804917702	0.0080337516694354	0.0247936664249497	0.000683421408695455	0	0.0201689009277532	0.0182699622672208	0.0204462368223992	0.0169582618618908	0.0228098712232744	0.0020689315623012	0.00378498025944164
OM4_C_3F_3	0.0300861908489726	0.00730813999820363	0.0153495372115994	0.0159479383654417	0.0228701808299235	0.000293770868424399	0.023073004246474	0.0137303060811071	0.0384232859626812	0.0240742428415929	0.0231440378433228	0.018409489736491	0.0200345849512664	0.0160384613827378	0.0199720915575046	0.0192581583261621	0.018614916044917	0.0282010637046363	0.00462557422718228	0.0194855730236385	0.0201689009277532	0	0.00189918302310857	0.00027737585196921	0.00321102246082831	0.00264139498947207	0.0222375095737903	0.0163843563091695
OM4_H_4A_1	0.0281875692229341	0.00540898325921786	0.0134504912326624	0.0140489040459615	0.0209713157064039	0.00160541246885805	0.0211741450320587	0.0118312309232177	0.0365250307639562	0.0221754135904993	0.0212451807112173	0.0165105083477792	0.0181356428850051	0.0141394288681923	0.01807314791475	0.0173591970385338	0.0167159394347307	0.0263023718650631	0.00652473712548733	0.0175866172836837	0.0182699622672208	0.00189918302310857	0	0.00217655847289458	0.00131184224121879	0.00454057001914929	0.020338626365649	0.0144853307910358
OM4_H_4A_2	0.0303634783467542	0.00758551046402707	0.0156268897991718	0.0162252891235735	0.0231475054136764	0.000571146703893378	0.0233503279243513	0.0140076632728031	0.0387005181877137	0.0243515619318487	0.0234213612020785	0.0186868322435211	0.0203119213717077	0.0163158118581104	0.0202494282214016	0.019535497718009	0.0188922578106103	0.0284783618547534	0.00434820033505186	0.0197629115571813	0.0204462368223992	0.00027737585196921	0.00217655847289458	0	0.00348839722343586	0.00236401974565498	0.0225148369324732	0.0166617056895562
OM4_H_4B_1	0.0268760732038099	0.00409715118928645	0.012138723803946	0.0127371437883445	0.0196596621156711	0.00291725255719588	0.0198624952242047	0.0105194457278888	0.0352137756040025	0.0208637830047543	0.0199335322370604	0.0151987810218841	0.0168239403251623	0.0128276697238181	0.0167614443580774	0.0160474823461692	0.0154042151067075	0.0249908301197917	0.00783655583473097	0.0162749060880996	0.0169582618618908	0.00321102246082831	0.00131184224121879	0.00348839722343586	0	0.00585240003660429	0.0190269612152144	0.013173575969251
OM4_H_4B_2	0.0327266785964216	0.00994946767527347	0.0179906770196162	0.0185890594417701	0.0255110375053852	0.00293516505818942	0.0257138518519857	0.0163714932795854	0.0410632291848213	0.0267150445709445	0.0257848822545386	0.0210505268506368	0.0226755605477304	0.018679579568208	0.0226130696090868	0.0218991639176962	0.0212559456498528	0.0308416570080325	0.00198418775941408	0.0221265699439971	0.0228098712232744	0.00264139498947207	0.00454057001914929	0.00236401974565498	0.00585240003660429	0	0.0248783940578803	0.0190254633099943
OM4_H_4E_1	0.00785050672603965	0.0149302156612825	0.00688879122022421	0.00629034800942914	0.000632783206103324	0.0219437887569319	0.000835643819164265	0.00850810837670474	0.0161905801015227	0.00183707533337804	0.000906690593167844	0.0038285654056468	0.00220326622192793	0.00619981814771351	0.00226576821351454	0.00297979538686852	0.00362311556628548	0.00596485450440889	0.0268621181426995	0.00275235161972303	0.0020689315623012	0.0222375095737903	0.020338626365649	0.0225148369324732	0.0190269612152144	0.0248783940578803	0	0.00585389590108405
OM4_H_4F_1	0.0137041840938322	0.00907659568884745	0.00103490982094638	0.000436457692624755	0.00648667076437843	0.0160906125129299	0.0066895283585052	0.00265425842011499	0.0220437514425502	0.0076909425204692	0.00676057403568993	0.00202534626301377	0.00365064603196273	0.000345926608832266	0.00358814421652152	0.00287411792756196	0.00223079676955078	0.0118186071874611	0.0210093733882232	0.00310156163801495	0.00378498025944164	0.0163843563091695	0.0144853307910358	0.0166617056895562	0.013173575969251	0.0190254633099943	0.00585389590108405	0
