	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_C_2C_2	0.0385656461818514	0.0624216421065019	0.0469047596813908	0.0226701700495337	0.0164549622222915	0.0403630198220602	0.0296838993221383	0.0366085179835064	0.0273162831137209	0.0245342362504274	0.0273032234461584	0.0399260061306327	0.0211579897149638	0.035415212586493	0.0408251032495594	0.0581818326218809	0.029526568281582	0.0288955092641667	0.0432681270894798	0.0388043133585006	0.0237671791789329	0.0196537065611961	0.0600481817369522	0	0.0177346664910733	0.0337617680072252	0.0214544280601248	0.0266089425886772	0.0459787973064362	0.0177098941789918	0.0266583611269441	0.0353548162848588	0.0343039978466647	0.0238556561150327	0.0166445225561934	0.025009872947991	0.0199681906535874	0.0502572307336758	0.0233245538492191	0.0193318487834543	0.0206440453894799	0.0211498221868546	0.0193282242440477	0.0242767477397508	0.0164890844138817	0.0212831615651697	0.0190829763263347	0.0207421979065052	0.0417368568620446	0.0214653704312517	0.0235088532507288	0.0160985645513736	0.0763785410480763	0.01993769191562	0.0336405952204495	0.0240337041445303	0.032028314097622	0.0325740365976437
OM4_C_2C_3	0.0286822706517266	0.0627488631949888	0.0355786489057609	0.00995878814213734	0.0044434301618608	0.0298997943563537	0.018559269633003	0.0253046569393242	0.0141287704903638	0.00720323444266466	0.0188399020403959	0.0292964785654389	0.00542112650269858	0.0242328947338421	0.0289692554266935	0.0497219514046491	0.0163766460200118	0.0139430002011605	0.0338849794617416	0.0316626286088317	0.0135873926700757	0.0116538284532411	0.0617473011318797	0.0177346664910733	0	0.0233360000200293	0.0039326118742825	0.0122027653978701	0.0371732315091722	0.010537118789545	0.0252547761221355	0.0238936021273435	0.0235012351088747	0.00981698219043109	0.00725632400680116	0.0123465732137516	0.017345114856529	0.0408065123517325	0.0086074127095318	0.00439129197886772	0.00981484786439878	0.00589216039467886	0.00183986726437141	0.00696648320421179	0.0022650370145433	0.00368828117967238	0.00244327480890647	0.00386848247705702	0.0313792783936492	0.00614939365688921	0.0203059490636873	0.00266826277839689	0.0918960759293275	0.00221900310685389	0.025895790217849	0.0105597398759924	0.0175564647159661	0.0225723403281281
OM4_C_2D_1	0.00534980951940124	0.0857330761280663	0.0131661680296094	0.0134085511350772	0.0277693705861962	0.00676745110901025	0.00477788994178596	0.00308602730350729	0.00952963564952303	0.024768804187678	0.0410669856169292	0.00624948534367312	0.0269786984102809	0.00202946630939674	0.00727154216810532	0.0264003384930237	0.00775227713427437	0.0115398798470144	0.0105530572367868	0.00961810066764871	0.0104372662645074	0.0348437562415434	0.0849297016329344	0.0337617680072252	0.0233360000200293	0	0.0209834889432191	0.0119293998920073	0.0573131018790686	0.0338625439469069	0.0485442940739494	0.00239484030218446	0.000834297693075885	0.0136526536912166	0.0305894610153486	0.0109985541641603	0.040672180817614	0.0175251787755822	0.0149678311136504	0.0189662248815687	0.0326227999217855	0.0276359591991582	0.0237733143619626	0.0247889869225575	0.0255139715298804	0.0213103520480899	0.0209381711074873	0.0199818974056747	0.00822691672384447	0.0173132174193064	0.0435752298286262	0.0221731384620676	0.0923712715032607	0.0229528469327929	0.00523230851790867	0.0128253693351894	0.00923966908656212	0.00129488625970685
OM4_C_2D_2	0.0262693542217677	0.0648023392920923	0.0326495360598746	0.00819187844719792	0.00773039741035571	0.027300855132766	0.0162756914715234	0.022624433180876	0.0114848097484584	0.00513300223818806	0.020175550857584	0.0266713602635821	0.006011345547749	0.0216261628626488	0.0260386335995412	0.0472505190036384	0.0135621891008749	0.0106266376594811	0.0314561367672107	0.0298557125255978	0.0121955362283827	0.0140282270076401	0.064058714033623	0.0214544280601248	0.0039326118742825	0.0209834889432191	0	0.00924480893298197	0.0375411560071224	0.0133356415406192	0.0277737912091329	0.0212215360717826	0.0210328988618682	0.00738546792870843	0.0102875222232616	0.0101386222289758	0.0201656191519761	0.0382297385056203	0.00604826119247865	0.00381874109731333	0.0116653506786721	0.00666562070283792	0.00316226357614002	0.00499177007556898	0.00596612839338084	0.000338791184005261	0.00254402849132284	0.00148113725651114	0.0287688807094038	0.00398231797673623	0.0227823714632255	0.00546955361425242	0.0946228633901665	0.00223413914087366	0.0241663235160024	0.008276227980754	0.0142357318527709	0.0203816278530142
OM4_C_2F_1	0.0171245093361236	0.0739430424208702	0.0234505813933662	0.0041048497631	0.0165892273557879	0.0180763611729777	0.00743054694367202	0.0133890823174312	0.0024814916745047	0.0128544965595292	0.0291688492068178	0.0174415901057996	0.0151582308732121	0.0124133833474982	0.0168326355251224	0.0380429706649777	0.00432317142022014	0.00233425960102678	0.0222830655479747	0.0212050765386728	0.00608031266940025	0.0232659300164868	0.0732648615697963	0.0266089425886772	0.0122027653978701	0.0119293998920073	0.00924480893298197	0	0.0455734720374358	0.0224894934175502	0.0370105800161768	0.0119904746144539	0.0118931969419064	0.00277252544484201	0.0193237461368897	0.00282407554056961	0.0293364012975904	0.0290012397766385	0.00365975323865399	0.00819873586422292	0.0208946268741062	0.0158166195759224	0.0122448334083544	0.0128676849142822	0.0144663589495365	0.00958141907273139	0.00976772440129002	0.00847469080214278	0.0195398443902093	0.00609366554839973	0.0320208915236676	0.0118319714293666	0.0944629134446965	0.0113605807627215	0.0157422264693369	0.00265570764654123	0.0055649298851448	0.0114956814695172
OM4_C_2G_1	0.0621808481228825	0.0344877888175561	0.0664397548256711	0.0456836478753664	0.0340177063579111	0.0626649168706214	0.052995546279669	0.0580863534893472	0.0480514814644457	0.0328720646361948	0.0191491597590694	0.0619995001011515	0.0319466162123053	0.0573585804455423	0.0603771065181368	0.0821075582402526	0.0495757759389629	0.0457976956308505	0.0670705666029447	0.0667455251886104	0.0497066230500109	0.0273627278911396	0.0362555359241361	0.0459787973064362	0.0371732315091722	0.0573131018790686	0.0375411560071224	0.0455734720374358	0	0.0293025321737355	0.0215819173675449	0.0568177932835556	0.0571268321299306	0.0445977006034382	0.031865169574234	0.047322304502459	0.0261207646985127	0.0730759302322111	0.0432940081213889	0.0409101250688632	0.0278720991558802	0.0313792768776448	0.035785504778668	0.0329085934298274	0.0359220099266051	0.0372805908841911	0.0388260459175717	0.0389201097616863	0.0640079330178681	0.0415140992531695	0.0228236757747397	0.0396449671474212	0.120729584705925	0.0362657497129256	0.0612720995713427	0.0455262405436128	0.0486186424164192	0.0570207184294119
OM4_C_2G_2	0.0392048385818659	0.0523573374587557	0.0459274412605994	0.0204942281632819	0.00614062982096045	0.0403880715252359	0.0290881052052224	0.0357637730712643	0.0245687569803253	0.0121967856882748	0.0101570296042037	0.0397770745304607	0.00819218722253639	0.0347135386283504	0.0393143725301574	0.0602359239476539	0.026760068960595	0.0239601663124702	0.0444066041734926	0.0421219421827419	0.0240403096867607	0.00198758513148213	0.0512516024871463	0.0177098941789918	0.010537118789545	0.0338625439469069	0.0133356415406192	0.0224894934175502	0.0293025321737355	0	0.0147282001179001	0.0343535213344803	0.0340124156347308	0.0202814815760885	0.00331436685412423	0.0228696036040755	0.00685018089077569	0.0513034717043199	0.0190180713013395	0.0149249841835362	0.00359619319116999	0.00765413464447082	0.0102484534917373	0.0119858552274401	0.00842885237910804	0.0129976384681957	0.0129304660085616	0.0140250362209982	0.041865371805905	0.0165951086141174	0.00980898022479757	0.0121381428128493	0.0940226014521985	0.0111461486731855	0.0363516500123323	0.0210620805189006	0.0275645479500438	0.0331057150606839
OM4_C_2G_3	0.0538765426791996	0.0377868313172856	0.0603764377030059	0.0352086035093193	0.0208664005490972	0.05500854118449	0.0437767953358907	0.0503580588797444	0.0391794035151006	0.0253873226104897	0.0105651482208703	0.0543887642240428	0.0220246873694288	0.049333571521554	0.0537813162431537	0.074885931918332	0.0413168002280811	0.0382967657086843	0.0590745851412068	0.0568218135493956	0.0387546411396062	0.0137512159098708	0.0365420568256942	0.0266583611269441	0.0252547761221355	0.0485442940739494	0.0277737912091329	0.0370105800161768	0.0215819173675449	0.0147282001179001	0	0.0489518066588746	0.0486704287359102	0.0349278670500523	0.0180365093269196	0.0375561417442876	0.00811670766645375	0.0659255878924648	0.0336397774248442	0.0296441776949312	0.0162224593081422	0.0213815203501593	0.0248175324193486	0.0252461351474237	0.0231525059413554	0.0274363613818676	0.0276249332774877	0.0286195343328342	0.0564811385105643	0.0312507605928076	0.00499311303033392	0.0268028621632485	0.0995091261261498	0.0256736154890286	0.0510551015296148	0.0357327867220452	0.0418409828726664	0.047809631123918
OM4_C_3A_1	0.00537600379589356	0.0858821971282433	0.0118628750442104	0.0141458082347864	0.0283337364213047	0.00608749110145606	0.00574053955337599	0.00141163914206697	0.00978949056059114	0.0246230436882319	0.0410885530749637	0.00545193100905349	0.0271449013061989	0.000630866458269311	0.00547938480214519	0.0260612199751921	0.0076677178760334	0.0111395682675138	0.0103675980958775	0.010843992123864	0.0116983306779982	0.0352147767736879	0.0852188350988223	0.0353548162848588	0.0238936021273435	0.00239484030218446	0.0212215360717826	0.0119904746144539	0.0568177932835556	0.0343535213344803	0.0489518066588746	0	0.00156055178516804	0.0140842012960142	0.0311258863674013	0.0116195241247104	0.0411933027776107	0.0170149800267467	0.0153410957671271	0.0195958808033276	0.0328783157556223	0.0278029816320586	0.0241525995096693	0.0246681683197741	0.026120089736286	0.0215562801547559	0.0214603431528249	0.0203519941727673	0.00755047230700095	0.0177689300480582	0.0439673216578148	0.0229749991815097	0.0947560746436756	0.0232927115659618	0.00733312878875374	0.0133431633056349	0.00826040233504369	0.00359819093843211
OM4_C_3A_2	0.00523899271835069	0.085774622630708	0.0126784703397034	0.0136194045404066	0.027941156339882	0.00644103410208967	0.00500263141958239	0.00236771511450518	0.00955014340649879	0.024688873263445	0.0410557552215944	0.00587661688727442	0.0270097254103216	0.00123423923180616	0.00660582599784322	0.0262608285630723	0.00763525573150798	0.0113419209785486	0.0104294897188348	0.00999979103562036	0.0108307245446386	0.034951970408769	0.0850200548074291	0.0343039978466647	0.0235012351088747	0.000834297693075885	0.0210328988618682	0.0118931969419064	0.0571268321299306	0.0340124156347308	0.0486704287359102	0.00156055178516804	0	0.013754404966844	0.0307534048619456	0.0111577675868422	0.0408357151078464	0.0173144414421442	0.0150528475295586	0.0191511459539345	0.0326892476324301	0.0276678431754361	0.0238760057848104	0.0247177430594906	0.0256986105211977	0.0213630012621858	0.021087853272237	0.020076323518993	0.00791871969360162	0.0174331578025034	0.0436944737585381	0.0224239723968472	0.0932022196755638	0.0230406965182481	0.00594042988237174	0.0129550890544899	0.00883477382011691	0.00207306492473042
OM4_C_3A_3	0.0189746384905768	0.0721356565196117	0.0257786258580218	0.00182183678651281	0.0142550793335081	0.0201149403852334	0.00890988067798231	0.0154956818031999	0.00431367523629532	0.0117356408239237	0.0275567167141061	0.0195035503178927	0.0133960315775078	0.0144371989546787	0.0191749634486188	0.0400085979703557	0.00659021587526462	0.00504297272007343	0.024176769515799	0.0224850531309196	0.00538822673866678	0.021203567169428	0.0713170865405019	0.0238556561150327	0.00981698219043109	0.0136526536912166	0.00738546792870843	0.00277252544484201	0.0445977006034382	0.0202814815760885	0.0349278670500523	0.0140842012960142	0.013754404966844	0	0.0170455101083816	0.00276392304879825	0.0271203148172166	0.0310410076845315	0.00133913005527357	0.00560185325972392	0.0189811852939094	0.0140492409117924	0.0101253366316609	0.0116954449878975	0.0120569194508712	0.00770291336602895	0.00737896955472792	0.00633003585074237	0.0215929460789957	0.00368707260997498	0.0299486306383002	0.0091741771167346	0.0926030609125773	0.00930184785264641	0.0168226308481173	0.000929834909356931	0.00831902561790386	0.0130070935765394
OM4_C_3B_1	0.0359348670921831	0.0556628802480889	0.0427554178900231	0.0172042878168233	0.00283144216725514	0.037144558183326	0.0258134517071952	0.0325367935521995	0.0213471086446543	0.0100198436232923	0.0128093952146261	0.0365383049246266	0.00590533443993714	0.031474497001016	0.0361419679060611	0.0569681149227298	0.0235642170715494	0.0208855802481355	0.0411361567058389	0.0388104622092382	0.0207277593727063	0.00477348642437457	0.0545590387410093	0.0166445225561934	0.00725632400680116	0.0305894610153486	0.0102875222232616	0.0193237461368897	0.031865169574234	0.00331436685412423	0.0180365093269196	0.0311258863674013	0.0307534048619456	0.0170455101083816	0	0.0196016438408109	0.0100894569182337	0.0480530652283358	0.0158018264539483	0.0116341797941614	0.00423034228101401	0.00554116321566841	0.00713980958641175	0.00978006660824276	0.00511700257957406	0.00995422796706818	0.00967295995831129	0.010850923071592	0.0386232030097478	0.0133613619168491	0.0131231086186672	0.00883546401947327	0.0928584586142204	0.00806074556484191	0.0330394950676627	0.0178078398760895	0.0245033552352722	0.0298175069669935
OM4_C_3B_2	0.0163422573988201	0.0748412889986711	0.0234314461965513	0.00255817254276915	0.0167863846044928	0.0175715421416227	0.00622587397133538	0.013025427316613	0.00230792180480143	0.0144588192020256	0.0303116228920329	0.0169769992962677	0.0161455657584946	0.011922683098842	0.0168747928247814	0.0373906482077714	0.00456386684659959	0.00483500017331688	0.0215475195523354	0.0197235828674109	0.00326453533461561	0.023860146622357	0.0739796467947159	0.025009872947991	0.0123465732137516	0.0109985541641603	0.0101386222289758	0.00282407554056961	0.047322304502459	0.0228696036040755	0.0375561417442876	0.0116195241247104	0.0111577675868422	0.00276392304879825	0.0196016438408109	0	0.0296880833431447	0.0284695337685894	0.00410168740364652	0.00799764615416303	0.021691523668207	0.0167970345812744	0.0128006590506259	0.0144274274306839	0.0145439558817283	0.010452402485671	0.00994111028390759	0.00903135784675826	0.0190520301957383	0.00633304928582678	0.032587151734214	0.0113661428289915	0.0917126036928509	0.0120035187444796	0.0140598174042035	0.00186328204174131	0.00714821046637763	0.0102929730885208
OM4_C_3B_3	0.0460158552957739	0.0458977049909429	0.0527675848663085	0.0272853028481558	0.0129111907215188	0.0472195625848228	0.0358976793187564	0.042603410315957	0.0314119614747001	0.0185288770276981	0.00861832448555077	0.0466111082936441	0.0147578908841926	0.0415488816017689	0.0461568550737955	0.0670382568648747	0.0336067642018357	0.0307830025298257	0.0512147002727679	0.0487928450057897	0.0307404885299317	0.00638751352062523	0.0445956160529742	0.0199681906535874	0.017345114856529	0.040672180817614	0.0201656191519761	0.0293364012975904	0.0261207646985127	0.00685018089077569	0.00811670766645375	0.0411933027776107	0.0408357151078464	0.0271203148172166	0.0100894569182337	0.0296880833431447	0	0.0581265334425997	0.0258628456640335	0.0217179281189574	0.00917118613064083	0.0141572864418546	0.0170956649863522	0.0183472007439993	0.0151793033873599	0.0198271098512768	0.0197575915579478	0.0208741063327268	0.0486970757997721	0.0234346251705843	0.00367045058159323	0.0187490754953401	0.0950625428203382	0.0179889931349269	0.0430265837047386	0.0278915298503221	0.0343782633180003	0.0398930236579664
