	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1D_1	OM4_C_1E_1	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1H_1	OM4_C_1H_3	OM4_C_2B_1	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2D_1	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_1	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_3	OM4_H_4F_2
OM4_C_1F_1	0.024048156133639	0.0192763414332094	0.0166781383028283	0.0225639921581146	0.0321319238106376	0.039567280180995	0.0210864105489685	0.0213293783561811	0.0199424070753323	0.0398269837900812	0	0.0133220406753607	0.0360743741343625	0.00715246353152026	0.0117145880330914	0.0303824045902121	0.0357356611492205	0.028874509684083	0.0220859446944083	0.0199245297158818	0.031846198663777	0.034282256202064	0.0390912478330388	0.00992557677283459	0.0288349259414667	0.00680430669279395	0.0129739675283247	0.0313071352936082	0.0339827003646234	0.0363683517816849	0.0248788811078322	0.018852398742335	0.0204463816290421	0.0362205884581934	0.0420275184016448	0.0113904105469168	0.0126966784117443	0.0606707484993722	0.0139569600424293	0.0236160978855248	0.00388383766211035	0.026111948493295	0.0180863075327491	0.0100489650796756	0.0353359868657943
OM4_C_1F_2	0.0130569190953664	0.00773141454372508	0.0115261229599228	0.0101880355204246	0.0215138522045366	0.0273019274167355	0.0168377349822515	0.0132024079111785	0.0148772835141967	0.0282698110836344	0.0133220406753607	0	0.0487965021415668	0.0121761363408997	0.0156808949239357	0.0209694851648603	0.0257854345488451	0.0203410320260853	0.0156597597768917	0.0123209308850255	0.0231162523303742	0.0224144103198908	0.0268598338194161	0.0121061653987098	0.0158308599269886	0.0110887564017345	0.0133139375633525	0.0210518183633026	0.0241963026792025	0.0240057818938727	0.0131360072159428	0.0130556268332704	0.007457024771937	0.0233312303617427	0.0307107582471087	0.0123502611717239	0.0253936780699156	0.0490458326658042	0.0131789509151689	0.036572466857254	0.0154104011794222	0.0161954191129324	0.0063266534825839	0.00781089365918447	0.0252068154201819
OM4_C_1F_3	0.0600121253073843	0.0553034293340196	0.0517818127289002	0.057195377436849	0.0633327912685463	0.075423997488193	0.0549221273593742	0.0568042867046034	0.0544085605975597	0.0757683188598271	0.0360743741343625	0.0487965021415668	0	0.0414142323528307	0.0434505312301163	0.0656404055885054	0.0709960679807919	0.0639898088431267	0.0568600426186823	0.0550045915494896	0.0669290514457096	0.0698148883360659	0.0743743226850395	0.0439901483310213	0.0642679011801746	0.0416432978893304	0.0463606600443001	0.0669841804493827	0.0691499860414346	0.0721303395476477	0.058359220623455	0.0475026886647682	0.0561449787222677	0.0717028757399807	0.077745875605046	0.0452878440940394	0.0269432616056502	0.0965084866382946	0.0477268613365394	0.0148744217107388	0.033497886018034	0.0612358314277569	0.0540957843063598	0.0457827543406698	0.0708626249566389
OM4_C_1G_1	0.0194300609516144	0.0153619680737533	0.0104851295649282	0.021156408763778	0.0324078666252457	0.0353172822508101	0.0144238349012741	0.0156619006765146	0.013514766049447	0.0347827298847459	0.00715246353152026	0.0121761363408997	0.0414142323528307	0	0.00501965578530012	0.0249371836945718	0.0303628168375023	0.0228604912214895	0.0158158731951635	0.0151716013123381	0.0256365264718936	0.0303644235437536	0.0355747453155074	0.00399381198605845	0.0260616711957011	0.00181736098053687	0.0076011269208264	0.0258734917568639	0.028728273207702	0.0324254032314958	0.0243462459306472	0.0221962721531809	0.0178011613295145	0.0330145380447192	0.0370442927628551	0.00571525502923457	0.0163554468500306	0.0553838385748807	0.00785980290606619	0.0284227906821448	0.0109707410511927	0.0219356162012166	0.0145836959210903	0.00558889377578291	0.0297225374209763
OM4_C_1H_1	0.0199805350174971	0.016738961190111	0.0100122524583379	0.0240422781450411	0.0358733612101379	0.0356413564766685	0.0124293622166019	0.0153275729623447	0.0121558986805297	0.0343095629950417	0.0117145880330914	0.0156808949239357	0.0434505312301163	0.00501965578530012	0	0.0243425403114719	0.0296857612102382	0.0216046615143643	0.0145550768026421	0.015906789268098	0.0239518645618938	0.0311392976170628	0.0365609436525448	0.00582247770053837	0.0278200821931098	0.00601094356368233	0.00828102067497	0.025246817550021	0.0282235715255995	0.0330974474213486	0.0275897219754282	0.0267290328011286	0.0200177632433977	0.0342585899775416	0.0366451110935535	0.00688475212745402	0.0185365320156463	0.0543861403562168	0.00769554570649116	0.0305135695939097	0.0154890788913427	0.0227786149677359	0.0164532745241798	0.00861945262467125	0.0287683834179263
OM4_C_1H_3	0.00842870555077948	0.0142852838107642	0.0146657779960922	0.0175692615610303	0.0265710634014909	0.0135511069448499	0.0126632018112065	0.00947596822866592	0.0122771350597944	0.0121407303358307	0.0303824045902121	0.0209694851648603	0.0656404055885054	0.0249371836945718	0.0243425403114719	0	0.0054307407139316	0.00427885581647557	0.00988551998734111	0.0108980198051082	0.00710768838869592	0.0100477525949107	0.0151446580897673	0.0218710954947894	0.0142779904777246	0.0251154824551873	0.0195514135509801	0.0037677243625674	0.00395397594651032	0.0121298486753786	0.0206416967197166	0.0321342889149651	0.0155157420675864	0.0155513966440821	0.0128362168383521	0.0205192980514499	0.0391905393165226	0.0316453921978708	0.0182900801883303	0.0517395062152877	0.0333735200125225	0.00733651704380469	0.01485629481768	0.0203788453907229	0.00600421573088565
OM4_C_2B_1	0.0129260532788967	0.0189416065204003	0.0200617110782896	0.0209801891701537	0.0281480662242882	0.0106385980748138	0.0177745911379196	0.0148376674069508	0.0175843940835052	0.00879738293957548	0.0357356611492205	0.0257854345488451	0.0709960679807919	0.0303628168375023	0.0296857612102382	0.0054307407139316	0	0.00854933108930851	0.0151538245449854	0.0161222174131378	0.00905877619358439	0.00921800378952045	0.0128781330351562	0.0272892055249977	0.0161555099525299	0.0305170265363446	0.0248916061753994	0.00590712477987788	0.00211734922796899	0.0105663662675062	0.023477076533626	0.036181626214963	0.0196332114371612	0.0147456074885332	0.00803877619034462	0.0259165599514869	0.0444990241347952	0.0266697759378058	0.0236677748173775	0.0570323492770875	0.0386552168400692	0.011213706829256	0.0196110484391034	0.0257520324720232	0.00389107103842588
OM4_C_2B_3	0.00847113732174241	0.013373354461106	0.0123903481890481	0.0190059471193075	0.0293242533782745	0.016414046866588	0.00981859224077963	0.00764341032578221	0.0097290727207419	0.0139010030471099	0.028874509684083	0.0203410320260853	0.0639898088431267	0.0228604912214895	0.0216046615143643	0.00427885581647557	0.00854933108930851	0	0.00719930840813588	0.0107274288418002	0.00423709321125035	0.0136369520471501	0.0188192108784184	0.0200303894790864	0.0162621288181644	0.0230409108361905	0.0180123124793419	0.00486051492526026	0.00774114465241541	0.0151683799138161	0.0225337466997473	0.0323653469513586	0.0157395044383754	0.0184033897120938	0.0155524889772366	0.0188043487426537	0.0376791058071619	0.0332757009375802	0.0164357950505172	0.0502674169741632	0.0321615727121107	0.00987832903613133	0.0142862385047607	0.0188669431389733	0.00734379084474897
OM4_C_2C_1	0.00847408107471555	0.0103537578821132	0.00553401094405736	0.017570592367627	0.0292405662206743	0.0221578149995258	0.00334655556263952	0.00319999247842276	0.0025550666265713	0.0204870248324473	0.0220859446944083	0.0156597597768917	0.0568600426186823	0.0158158731951635	0.0145550768026421	0.00988551998734111	0.0151538245449854	0.00719930840813588	0	0.00652399139841258	0.0103855327450661	0.0180591552681	0.0235782714714576	0.012927287244084	0.0178151099761552	0.0161606437667752	0.0110838023475157	0.0110914197898349	0.0137783739708968	0.0200778698432064	0.021466947720864	0.0285214664486359	0.013645986768635	0.0223432144214349	0.0223276390144061	0.0117446369079654	0.0305956183934001	0.040394730422709	0.00935645313710503	0.0431742325529759	0.0254985104462978	0.0106992834899836	0.0107927608843299	0.0122740207180557	0.0144218796719564
OM4_C_2D_1	0.00742133268224245	0.0088809159416801	0.00688801122321793	0.0126503638101687	0.023703543535156	0.0216936218012729	0.00820917209745568	0.00496915040724199	0.00661373192017021	0.0217437446984225	0.0199245297158818	0.0123209308850255	0.0550045915494896	0.0151716013123381	0.015906789268098	0.0108980198051082	0.0161222174131378	0.0107274288418002	0.00652399139841258	0	0.0147029766969845	0.0161543024431361	0.0214623022836719	0.0119088034852838	0.0148545321518532	0.0154728221580708	0.00963846411088046	0.0127915833326622	0.0142325409518863	0.0188594219255834	0.0162366612840078	0.0242404042452951	0.0103473081666704	0.0202985467226525	0.022969302130828	0.010536165537867	0.0286841257149569	0.0421721270221316	0.0089027218686787	0.0411287016745513	0.0227223258657014	0.0069945736837876	0.00807783150298831	0.0102666370319771	0.0165311351171597
OM4_C_2E_1	0.0111672719868656	0.0156994400724578	0.0152952237665516	0.0218706224947271	0.0320426648212284	0.016095037127653	0.0126800177692409	0.0109390946160473	0.0128184396148386	0.0122614824047086	0.031846198663777	0.0231162523303742	0.0669290514457096	0.0256365264718936	0.0239518645618938	0.00710768838869592	0.00905877619358439	0.00423709321125035	0.0103855327450661	0.0147029766969845	0	0.0150573389564948	0.0197165840723627	0.0231564810584413	0.0180272731923711	0.0256934356737464	0.0214655378559055	0.00560012561127127	0.00924447398783933	0.0156594718480116	0.0253511568339502	0.034980550464087	0.0182459337040495	0.0191391911418987	0.0145868044689902	0.0220810494200102	0.0409087246253575	0.0306707039114551	0.0197238667553468	0.0534511651495679	0.0352665655545577	0.013562457909258	0.0170050129586067	0.0219635597237969	0.00626101527223648
OM4_C_2E_2	0.0115095126222089	0.0166597886208738	0.0211786368372461	0.0147351053215458	0.0196659974432227	0.0066344981795355	0.0212245593111836	0.0161036217916235	0.0201609032239482	0.0100949206549292	0.034282256202064	0.0224144103198908	0.0698148883360659	0.0303644235437536	0.0311392976170628	0.0100477525949107	0.00921800378952045	0.0136369520471501	0.0180591552681	0.0161543024431361	0.0150573389564948	0	0.00552817460914806	0.0276998082334293	0.00875617975602596	0.0301510579193407	0.0257784960576779	0.00951756040297509	0.0086834147586683	0.00369488263326703	0.0161589498190425	0.0302132784342353	0.0152966184569517	0.00636681432407334	0.01001268308548	0.0265180450061379	0.044216879528009	0.0287781161746857	0.0249072560376156	0.0563235302488401	0.0366139381961931	0.00956453065658882	0.0169556739169425	0.0249908987451714	0.0104830224093397
OM4_C_2F_1	0.0168430129020503	0.0215776500527347	0.0266386692164522	0.0181121919362061	0.019642674336136	0.00596437952158667	0.0267306491651363	0.0216137426846251	0.0256833137901371	0.0114226861039646	0.0390912478330388	0.0268598338194161	0.0743743226850395	0.0355747453155074	0.0365609436525448	0.0151446580897673	0.0128781330351562	0.0188192108784184	0.0235782714714576	0.0214623022836719	0.0197165840723627	0.00552817460914806	0	0.0329714655624835	0.0117749898368933	0.0352992334962428	0.0310617630588272	0.0144355416220047	0.0129020186631363	0.00496908281100078	0.0184545598789406	0.0330424186562824	0.0196501772633595	0.00574319450170451	0.0101368774395819	0.0318054088323878	0.0490880313994962	0.0264287292964622	0.0302859126459668	0.0609979681158065	0.0411891913419052	0.0146989005857906	0.0218268447882121	0.0301162962339494	0.0143238933479973
OM4_C_2F_3	0.0171510761229324	0.0140998338346645	0.00802445634229544	0.0196256331339059	0.0308702559637788	0.0328916039263185	0.0114238597502335	0.0129937750358368	0.0105446562147067	0.0323879211435607	0.00992557677283459	0.0121061653987098	0.0439901483310213	0.00399381198605845	0.00582247770053837	0.0218710954947894	0.0272892055249977	0.0200303894790864	0.012927287244084	0.0119088034852838	0.0231564810584413	0.0276998082334293	0.0329714655624835	0	0.0242750630705415	0.00528278746828311	0.00361087036711986	0.0232241860586094	0.0255723874286076	0.0300297365376118	0.0229351998254707	0.0232376289778716	0.0165328016628799	0.0309234635507849	0.0342807339067413	0.00172808940092791	0.0178940559107714	0.0529026130836248	0.00411184588765981	0.0303881963141056	0.0133783475919994	0.0188321347202463	0.013179405243089	0.00433287057478283	0.0269808897802484
OM4_C_2G_1	0.00939924872176109	0.0114354660674636	0.0186796177255562	0.00780486777921703	0.0150773776225375	0.0126984525417435	0.0209696977204432	0.0148548152542128	0.0192956772836947	0.015732406645746	0.0288349259414667	0.0158308599269886	0.0642679011801746	0.0260616711957011	0.0278200821931098	0.0142779904777246	0.0161555099525299	0.0162621288181644	0.0178151099761552	0.0148545321518532	0.0180272731923711	0.00875617975602596	0.0117749898368933	0.0242750630705415	0	0.0254131117135441	0.0233510959417692	0.0131217853821338	0.0152134439555343	0.00924660661344579	0.00939204777166202	0.0220775479485589	0.00857182624666231	0.00754437476253639	0.017640106440052	0.0235216391411324	0.0399979259010964	0.0351806630298307	0.0226103582052951	0.0515919190584933	0.0308579802794774	0.0107718690739875	0.0115746559366501	0.0206299932151177	0.0160103969279733
OM4_C_2G_3	0.0191271094375849	0.0146261029862654	0.0106829487454233	0.0205016191706789	0.0318205378766767	0.0349795506423897	0.0150684176520058	0.0157263050783705	0.0140030784692328	0.0345166845052844	0.00680430669279395	0.0110887564017345	0.0416432978893304	0.00181736098053687	0.00601094356368233	0.0251154824551873	0.0305170265363446	0.0230409108361905	0.0161606437667752	0.0154728221580708	0.0256934356737464	0.0301510579193407	0.0352992334962428	0.00528278746828311	0.0254131117135441	0	0.00884195389119156	0.0258163970843198	0.0289200833056887	0.0320624772582617	0.0236687483926282	0.0209152822479296	0.0170075129375435	0.03247626479659	0.0369489637830303	0.00691896339611929	0.0172152637843855	0.0551736533013029	0.00892145394490627	0.0289947077551862	0.0106633052913554	0.0220433958642719	0.0139067768748666	0.0054706496220793	0.0297351238717927
OM4_C_3A_1	0.0159004095351055	0.0140976755563618	0.00730197795596119	0.0190706229428829	0.03004141721527	0.0311720752253074	0.00947614605943441	0.0114667841029407	0.00874590918562462	0.0306962062719145	0.0129739675283247	0.0133139375633525	0.0463606600443001	0.0076011269208264	0.00828102067497	0.0195514135509801	0.0248916061753994	0.0180123124793419	0.0110838023475157	0.00963846411088046	0.0214655378559055	0.0257784960576779	0.0310617630588272	0.00361087036711986	0.0233510959417692	0.00884195389119156	0	0.0213712918430721	0.023098361942966	0.0283741269018765	0.0223932561929315	0.0248369204352664	0.016384092201988	0.0295789078143908	0.032177950330263	0.00192646023918619	0.0197321881259705	0.0509927114808167	0.00205872822448812	0.0323396923743539	0.0160802729413755	0.0165371933168792	0.0130984339751615	0.00606262371370771	0.0249604657658963
OM4_C_3B_3	0.00802857865477085	0.0137192765801995	0.015523954463167	0.0176344113094845	0.0268340775034696	0.0116061044930863	0.0141448251918912	0.0102564279141949	0.0136089855052122	0.00947074129433029	0.0313071352936082	0.0210518183633026	0.0669841804493827	0.0258734917568639	0.025246817550021	0.0037677243625674	0.00590712477987788	0.00486051492526026	0.0110914197898349	0.0127915833326622	0.00560012561127127	0.00951756040297509	0.0144355416220047	0.0232241860586094	0.0131217853821338	0.0258163970843198	0.0213712918430721	0	0.00556198347912189	0.0104929880237961	0.0207396255870575	0.0319399041237713	0.0150406365804659	0.0139323164130858	0.0114390339332905	0.0220597924109492	0.0409033834258316	0.02972220885732	0.0199288181126485	0.0534127150628095	0.034376838808027	0.00935814633482317	0.0147334305611805	0.0213131531323075	0.00416325874516306
