	OM4_B_B_1	OM4_B_B_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_2A_1	OM4_C_2C_3	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2
OM4_C_2D_2	0.0990719450137156	0.0787639046338982	0.103721748795601	0.0943698713794097	0.0859532559069772	0.0831995811979077	0.0375957928561977	0.0371546075256329	0.0152917230069761	0.0214159177911722	0.071305163069236	0.0322817033513166	0	0.170939341554868	0.167585442507095	0.0646888387726621	0.0424650569935781	0.0575402585643167	0.0619112343899976	0.0787137118433526	0.175115118300147	0.165344463049089	0.0920109681388888	0.0841243956709659	0.113581025391097	0.103481523450267	0.0994109522891598	0.0993300652930688	0.094402374649279	0.129628757768419	0.12571844315911	0.170041603553887	0.12697313779433	0.120005909256237	0.118897231662499	0.159593572280626	0.120872312173883
OM4_C_2E_2	0.0729819081181717	0.0929101419073928	0.0682122536404339	0.0774605563649305	0.0857368549199456	0.0884152308884153	0.133883082993934	0.134265041180165	0.183902910187156	0.191402514427878	0.100931321984095	0.198597696674608	0.170939341554868	0	0.00375133976431239	0.106966407755365	0.128999650724702	0.114218722783067	0.109782399041109	0.0932635258507287	0.0048150335369379	0.0464711325446765	0.0800752560779341	0.0875095238593963	0.0579949399369468	0.0682572865074393	0.072624999077691	0.0725191734418309	0.0789147235513571	0.0417991572082421	0.0457340417361676	0.00685036799799296	0.044991118169214	0.0517460142234639	0.0539450292459836	0.011772674409215	0.052520709773926
OM4_C_2E_3	0.0697559803916707	0.0894927409109133	0.0647110133581532	0.0739922220875742	0.0823098808445493	0.0850356466155524	0.130537432016096	0.130894983131481	0.180627420082154	0.188101203727138	0.0976811825057795	0.195133039963934	0.167585442507095	0.00375133976431239	0	0.103627740371179	0.125634035947689	0.110790888438473	0.106363414525596	0.0899892712022211	0.00856099003404601	0.0441893700816226	0.0768383501220155	0.0841064966690827	0.0545619550054337	0.0649714656514775	0.0693967292273526	0.0690396752420981	0.0753237904276996	0.0383923154453925	0.0423803103351139	0.00571957000034407	0.0418703563260324	0.0485230637887844	0.0503188251104064	0.00815724006416068	0.0488581521753096
OM4_C_2F_1	0.0345666340021346	0.0148915851206829	0.0398897208935368	0.0305192089954751	0.0219233310502694	0.0187770925363202	0.0271414432430489	0.0276454603354748	0.077874962600565	0.0854399303422713	0.00798648490024483	0.0939842443125485	0.0646888387726621	0.106966407755365	0.103627740371179	0	0.0223101501303133	0.00961292575743844	0.00612420774388673	0.0142701491581354	0.11113300153233	0.106320814099696	0.0275258183839149	0.0198871780970894	0.0493305456287601	0.0389416630438712	0.0349005530728566	0.0354402826245275	0.0325535084036272	0.0653799064285694	0.0613877689715124	0.106311990030475	0.0625724057224564	0.0555585514744419	0.0555063372893099	0.0956030991232757	0.0577154392211591
OM4_C_2G_1	0.056851520652273	0.0364429571807979	0.0615651736723381	0.0521590674597123	0.0436531854105184	0.0408278593205684	0.00514885214060464	0.00533712358456432	0.0560354973707904	0.063426365053031	0.0293463284568051	0.0719546600555671	0.0424650569935781	0.128999650724702	0.125634035947689	0.0223101501303133	0	0.015572217868174	0.0197065337749107	0.0364961202290742	0.133197055420074	0.125690886615562	0.0498018453126579	0.0417787718712746	0.0713478572167474	0.0611987316220035	0.0571861147935364	0.0571351909134661	0.0528095873323449	0.0874548250107708	0.0835154472845741	0.128173155395643	0.0848108381193498	0.0777927019947921	0.0769634707972682	0.117600539727533	0.0790367334105304
OM4_C_2G_2	0.0428154407197443	0.0214445211539108	0.0463676114041373	0.0369864015530128	0.0286238373275798	0.0261527527738669	0.0207190235699417	0.0206354906177864	0.0714319468813698	0.0786705644148319	0.017592427979248	0.0857360290574368	0.0575402585643167	0.114218722783067	0.110790888438473	0.00961292575743844	0.015572217868174	0	0.00452373452923311	0.0231923529475439	0.118506154717654	0.11032720917779	0.0359882595898927	0.0269105017930149	0.0564065379525117	0.0467785136243437	0.0431265312798581	0.0419669330850593	0.0372748295243153	0.0725926611945452	0.0687370253909068	0.113165336309337	0.0703926875447688	0.0633000323596624	0.061636266202604	0.102710334003163	0.0636612870457249
OM4_C_3A_1	0.038300154559955	0.016961532391535	0.041978744877547	0.0325775269216504	0.0241603930220283	0.021635928208888	0.0248218321202228	0.0248931921823305	0.0756671958032504	0.0829769054404109	0.0137882413168155	0.0902381965197795	0.0619112343899976	0.109782399041109	0.106363414525596	0.00612420774388673	0.0197065337749107	0.00452373452923311	0	0.0188141898178286	0.11405866433369	0.106587417973876	0.031490827287461	0.0224138405060643	0.051952437740431	0.0422615831382722	0.0386103120080961	0.0375620724103907	0.0331949074328794	0.0681361640859082	0.0642638098591097	0.108781845498489	0.0658862104958649	0.0587942755599682	0.0573299836278348	0.0982852332802061	0.0593923562122851
OM4_C_3A_3	0.0204594489497832	0.00787560141594318	0.0275313495770158	0.0187522942046857	0.011057006650526	0.00733831317380386	0.0412043232579148	0.0418229483735458	0.091561128438616	0.0992468189768307	0.00780363807061654	0.108182343156461	0.0787137118433526	0.0932635258507287	0.0899892712022211	0.0142701491581354	0.0364961202290742	0.0231923529475439	0.0188141898178286	0	0.0973495633912887	0.0957778179612087	0.0133511483338519	0.00890370386836548	0.0360438606958104	0.0250943864609478	0.0208050261538472	0.0232291739266987	0.0233886138827656	0.0518181526002383	0.0477394378814528	0.0928978435186314	0.048588390117862	0.0416509173042969	0.0431339408797367	0.0820173341374908	0.0455124024216855
OM4_C_3B_1	0.0770202903974107	0.0971901026479974	0.0726196749112068	0.0818176794542016	0.0900332127991691	0.0926457896146985	0.13805177147294	0.138467603727805	0.187968094323903	0.195503592868589	0.104980766232159	0.202932600037574	0.175115118300147	0.0048150335369379	0.00856099003404601	0.11113300153233	0.133197055420074	0.118506154717654	0.11405866433369	0.0973495633912887	0	0.0499000763581358	0.0841211932287517	0.09177237142764	0.0623198393349278	0.0723788212969794	0.0766668145497875	0.0768943464276266	0.0834426701208714	0.0461154200925065	0.0499760341995492	0.0104991180456524	0.0489483202401085	0.0558121766647566	0.058533593332506	0.0164395571352206	0.0571622201902452
OM4_C_3B_3	0.0796211664125728	0.0916894252605413	0.0687307892665669	0.0771079364424396	0.0852476152741681	0.0888733063178523	0.130772195090652	0.13044139216426	0.179802116139055	0.186257022530435	0.10313931907798	0.18812094068043	0.165344463049089	0.0464711325446765	0.0441893700816226	0.106320814099696	0.125690886615562	0.11032720917779	0.106587417973876	0.0957778179612087	0.0499000763581358	0	0.0852856746449236	0.0874459754696358	0.063130596811219	0.0744829706385623	0.0792782090403304	0.0727815854069687	0.0739197524147744	0.0533552238186887	0.0568006525563105	0.0396692807734419	0.060540277224926	0.0633788045988318	0.0540816116118823	0.0425342112087548	0.051512687117472
