	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4F_1	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_5A_1	HT29_G2_5B_2	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6C_2	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6F_1	HT29_G2_6G_1	HT29_G2_6G_2	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2
HT29_G1_4B_1	0.0674689824043172	0.0438451357940439	0.0577690089741444	0.0772944337743582	0.0375356514797279	0.0444106044865237	0.0722130278857186	0.0589007648016259	0.0337586435505207	0.0537416832136041	0	0.01476935019928	0.0317287972038765	0.0385947049998446	0.0034961592317589	0.0131443932726346	0.0301801016980648	0.0155938337785899	0.021650026381205	0.121465268780132	0.179818381225237	0.0597059128700044	0.074475055407119	0.0240967179014636	0.0468359543076947	0.00845053258364098	0.0321780517760088	0.0435416145296529	0.0259644020412683	0.0539540471504041	0.0209519566729798	0.00978190086293973	0.0299559150373847	0.0348844135056741	0.0427338585013301	0.066883155559391	0.0581359853039716	0.0847270564347067	0.0441359090669438	0.0542745575864836	0.0585058654947915	0.0278335214911544	0.0710265616264227	0.0245122904856229	0.00807180277358886	0.0234961009313938	0.0438541177983893	0.0323832494464072	0.0169672170974957	0.0318815539759263	0.0255417398675448	0.0550884174769443	0.0428518252158543	0.0306923118303232	0.0256719733948916	0.0302545033655526	0.0548128235372842	0.0158220918579228	0.0170955986194158	0.0301874790530948	0.0178561242532206	0.0291980285878295
HT29_G1_4B_2	0.0696704562199783	0.0481115735117597	0.0634851812845251	0.0803219620173573	0.0431485744002785	0.0495914545372963	0.07668311809578	0.0617722745883089	0.0359450301928635	0.0564206168849241	0.01476935019928	0	0.034534925977329	0.0408019515124241	0.0155599437760315	0.0173876182096067	0.032619901792979	0.0198108363952195	0.0285595658622581	0.116305447885145	0.176554371939146	0.0646863518789366	0.0787772193603727	0.0271099587541978	0.0512973032789743	0.0172574775612868	0.0338084077331624	0.0486007061589954	0.0257378135073909	0.057068652110347	0.0199539190129719	0.0175905481961349	0.0329421514032454	0.0377786922375146	0.0488263004639193	0.0705889926063116	0.0650882559790686	0.0898004707089377	0.047454656942603	0.0596149542213007	0.0625696593958272	0.0276967991866985	0.0768919672007886	0.0138625821019263	0.0199429242731461	0.0247150184257804	0.0452281009114686	0.0262426596884066	0.00903207692625516	0.0343516004692834	0.0306112553380373	0.0591282920011404	0.0474675058531545	0.0360138382886613	0.0320911543919201	0.0322677138335417	0.060777366426055	0.0125292341503496	0.00546307291426966	0.035257617394039	0.0155861598378928	0.0329873997429839
HT29_G1_4B_3	0.0359805083872196	0.013950837617665	0.0293784631503872	0.0470850073610226	0.0113391782677723	0.0168135783124883	0.0424031828990916	0.0278903746587611	0.00587048407938792	0.0223424510334356	0.0317287972038765	0.034534925977329	0	0.00725204295855138	0.0305338857480218	0.0393340520935336	0.00249609603224834	0.0366398704815454	0.0132045083814805	0.149474169342716	0.20909259083855	0.030573260763163	0.0448504384043902	0.0119012603365566	0.0168687347988097	0.0264047842186618	0.00524980848121073	0.0158112277163945	0.0104958514054419	0.0230388469663995	0.0165171182097739	0.0291503460771318	0.00358489968855638	0.00366504157411738	0.0164239928428639	0.0364221711989401	0.0322381066900375	0.0558516876595544	0.0130159661903933	0.0254542936150586	0.0281902151864444	0.0105040522037286	0.0428732786408417	0.0452575378670643	0.0253966713004953	0.0121986836636672	0.0135222500371372	0.0594476551781651	0.0422818125590477	0.00562388459595157	0.00868667909034424	0.0248945239512159	0.0165453304720727	0.00647041576506944	0.00958421882870019	0.00754085891431819	0.0283211726039149	0.0341417561966129	0.0356524374202621	0.0125258773870258	0.0194928427262243	0.00311407437440004
HT29_G1_4C_1	0.02957213849528	0.0105501724797851	0.0244728798034822	0.0401392057700519	0.0099619719890789	0.0124105973302547	0.0361549049310615	0.0210540120988469	0.00969887407469458	0.0157370510754638	0.0385947049998446	0.0408019515124241	0.00725204295855138	0	0.0375909469356426	0.0465366507417373	0.00852377456817088	0.0438502667235859	0.0201220860671577	0.156095162233316	0.21576694513158	0.0247698965027871	0.0383799091359178	0.0188352636658463	0.0119876549521106	0.0336029440755777	0.00748871237888186	0.0114752008337198	0.0153951256209202	0.0177437284711768	0.0230552914603052	0.0363911011866515	0.00872646303099725	0.00392422393839084	0.0134529817736347	0.029882224249036	0.0278982965367018	0.049631585413494	0.00801416351327016	0.0203617813632813	0.0220207564650178	0.0142782272416261	0.0373430309293538	0.0516562957700158	0.0323512334805192	0.0189812846034973	0.0065828496126442	0.0661420374917681	0.048891446701356	0.0108213610217086	0.0156066411291155	0.0186706687974688	0.0122895316680897	0.0114942358570328	0.0159390375963754	0.0102774570740706	0.0233366020709329	0.0410646342044191	0.042078620009887	0.0178931006852722	0.0259304780414144	0.00970823409252465
HT29_G1_4C_2	0.0660767714213746	0.0423060759027731	0.0565037526629667	0.0765598540912061	0.0366969968164549	0.0436611253174928	0.0711377078287534	0.0578947892619644	0.0320404128399733	0.052554623572015	0.0034961592317589	0.0155599437760315	0.0305338857480218	0.0375909469356426	0	0.0114591882016109	0.0291802169609244	0.0127951795167612	0.0197516557013334	0.122078133751574	0.180648415828063	0.0586884173370477	0.0735882064166562	0.0219692787494386	0.0455591269657733	0.00538719243677251	0.0314991160949124	0.0427892475626955	0.0254599439348171	0.0523658700830347	0.0192983874779456	0.00633137052903971	0.0291112792586614	0.0338254494012948	0.0418371978105994	0.0658388121091908	0.0571798696193826	0.0838247126240054	0.0427622896468693	0.0530950684397741	0.057369763668954	0.0275518194791187	0.0699502753123332	0.0242949292171496	0.00665610439580189	0.0216574316798161	0.0431507821052158	0.0329090256427268	0.0176492546092243	0.03013694258382	0.0237753787238631	0.0540530377877111	0.042468939739131	0.0291621563786308	0.0240969959795025	0.0298802120212093	0.0541847862819886	0.0138963033871437	0.0168607650350875	0.0278251144052255	0.0167743607325861	0.0280737203674317
HT29_G1_4F_1	0.0741504645986745	0.0506742132187476	0.0655086383744539	0.0860645515024791	0.0466082938955592	0.0535977801810713	0.0802880988412257	0.0669441982282266	0.0395599033696285	0.0612367774469521	0.0131443932726346	0.0173876182096067	0.0393340520935336	0.0465366507417373	0.0114591882016109	0	0.0382034318817153	0.00594785134962882	0.0283484992866192	0.112638339299383	0.171782784351424	0.0680737827838245	0.0830512683451096	0.0288664766367431	0.0544758765103468	0.0135045974436898	0.0407664071924108	0.0527106606781055	0.0342389599770855	0.0602839992139902	0.0254435472337497	0.0105684158862562	0.0385240935210715	0.0428733363150923	0.0516644927197405	0.074952718783234	0.066811267546229	0.0933105429983032	0.0512761598686018	0.0622600653810479	0.0664109178779707	0.0366774380622289	0.0792396170111311	0.018397661230113	0.0174051142900223	0.0285466523498519	0.0523435900037564	0.0246434053319617	0.0139699647686819	0.0377057362790694	0.0321417014084233	0.0632946633105817	0.0528155072990715	0.0379435099984063	0.0330976064953558	0.0396316741936525	0.0643130271546202	0.0102900039357694	0.015709653250198	0.0344930493387202	0.0232810723290747	0.0372681118908421
HT29_G1_4F_3	0.03784566078611	0.0162638873026278	0.0313319426983856	0.0484481526307856	0.0124463525170624	0.0180529081621576	0.0441497338542149	0.0294626291065673	0.00774361188813676	0.024095791571879	0.0301801016980648	0.032619901792979	0.00249609603224834	0.00852377456817088	0.0291802169609244	0.0382034318817153	0	0.0358145576156666	0.0130612792528571	0.147937048104779	0.207560250361293	0.0322805264769436	0.0464243562803109	0.0117973225172346	0.0188722213966148	0.0252913699900077	0.00373934129644621	0.0170287593627694	0.00816906379475794	0.0252086405341965	0.0153060548568167	0.0281710644171856	0.0019331756938161	0.00516247864901916	0.0178326820451452	0.0381013493415944	0.0338816001912744	0.0574822298760973	0.0151299211970121	0.0273300956913266	0.0299832928977739	0.00808840928703814	0.0446606262321562	0.0436916633174393	0.0241976288416299	0.011486858112357	0.014205799392494	0.057829589293958	0.0405423244871791	0.00719438935592823	0.00897698202583384	0.0265796672018721	0.0171056849204736	0.00798886332617477	0.00990491082144444	0.00547212945861253	0.0295926912720244	0.032945797974607	0.0339799184253636	0.0139404509682956	0.0178394230887968	0.00303965131625693
HT29_G1_5A_1	0.0704657328476416	0.0471903585950477	0.0621946937233587	0.083190914055283	0.0442194979940889	0.0511514681448736	0.0770281613862908	0.0638772171377461	0.0361162853823305	0.0579988542833718	0.0155938337785899	0.0198108363952195	0.0366398704815454	0.0438502667235859	0.0127951795167612	0.00594785134962882	0.0358145576156666	0	0.025495498855858	0.116204182654808	0.175585774209026	0.0650333657894882	0.0800218495138625	0.0254318825104937	0.0512746906376425	0.0123546490892061	0.0386971075973201	0.0502740934729853	0.0326875754880042	0.0565206331373465	0.0229417008445752	0.00873598060884681	0.036334165972073	0.0402331933046856	0.0490968020098965	0.0717609885278356	0.0639657578161714	0.090218575037484	0.0479810448189064	0.0590903630820323	0.0631993436683634	0.0352975817012542	0.0760455376789874	0.0206888036886869	0.0171593151894459	0.0255305886294386	0.0499187901703421	0.0289584372037472	0.0181197110865441	0.0343073507163558	0.0290938734167372	0.0602618542268283	0.0508594653493058	0.0349197660267892	0.0303151892692961	0.0380029799371253	0.0618925750518818	0.00934307086338052	0.0172655620606168	0.0304159145498825	0.0218368859712236	0.0347773579456176
HT29_G1_5A_2	0.0468890305706979	0.0227732494765669	0.0372548884311778	0.0581731718904999	0.0188268733908936	0.0257283884086286	0.0520246224514873	0.0391982246503176	0.0142082942678269	0.0336919967113517	0.021650026381205	0.0285595658622581	0.0132045083814805	0.0201220860671577	0.0197516557013334	0.0283484992866192	0.0130612792528571	0.025495498855858	0	0.140439815557696	0.199353523237364	0.0397740567966708	0.0548173794373859	0.00745699371077137	0.0263004117928247	0.0152523292638385	0.016500953643146	0.0248792047213532	0.0152585834162384	0.0329296630146835	0.0133852659889526	0.0177835382991198	0.0131413007870488	0.0162571617454148	0.0236251667137597	0.0468329675626698	0.03887403649991	0.0650463524662774	0.0236754005554202	0.0339406088641944	0.0382440311644998	0.016990625653707	0.0510197065184817	0.0384853028478217	0.0141371031632486	0.00994263022246228	0.0264414389757996	0.0508992723180783	0.0344912567951705	0.012376925566134	0.00487309594075619	0.0351629183366892	0.0259066239964603	0.00980187289908914	0.00484071663133647	0.0162878430889347	0.0364581516515558	0.0255877622775046	0.0292888962634165	0.00948588725419593	0.0156927444648723	0.0107892266543883
HT29_G1_5B_1	0.183293347446644	0.161769812603586	0.177158109771901	0.195544656727202	0.15780716050939	0.164566168075335	0.191168319245071	0.176798169605389	0.149465683301538	0.171103900947457	0.121465268780132	0.116305447885145	0.149474169342716	0.156095162233316	0.122078133751574	0.112638339299383	0.147937048104779	0.116204182654808	0.140439815557696	0	0.0649109773797753	0.179280053720591	0.193674000978097	0.139459806426154	0.165617337558197	0.125559309004366	0.149581044395531	0.163626460493062	0.141651875091483	0.170433196021908	0.133568076869649	0.12301219553872	0.148394077251014	0.152953536510663	0.16314879632623	0.185372073231024	0.178570500892663	0.204281960449688	0.161780774893281	0.173752576049403	0.177193815078689	0.143720271191311	0.190772830133192	0.105169952391591	0.12862863789018	0.13807361243306	0.160844134196219	0.0905732576170076	0.107981959108335	0.147845819049815	0.143671826241435	0.174021493452941	0.162866526808124	0.149543773392589	0.145004410185555	0.148211603512758	0.175399480533672	0.116115564641917	0.114489055439755	0.145809687975703	0.130440371942983	0.147866877398058
