	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_3	HT29_G1_4C_3	HT29_G1_4F_3	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_5E_3	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_3	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_2	HT29Root1_3	HT29Root2_3
HT29_G1_5B_3	0.00860935933465173	0.0974124033887975	0.00422686979062172	0.00760773477506096	0.0134724308915935	0.0124673040682224	0.0106029120304786	0.010703669388341	0.0166478586903822	0.0131859242162516	0	0.0198488557124365	0.014743636722683	0.00882045689090862	0.0149787976908942	0.014113780131972	0.00824189614237566	0.0207735530535598	0.0031722916032904	0.00907537801857913	0.0209089063472791	0.0089804065492975	0.00224912504550581	0.012051988853644	0.0128052346323695	0.00625612521019833	0.00755408379960079	0.00446304425911894	0.0315441174930162	0.0207166211920295	0.0105892660463938	0.019656348751835	0.0164786026613642	0.0188153423506819	0.0182457925784415	0.0119569748249516	0.0110300908432558	0.00496682801137761	0.00956926870770612	0.00776922156826552	0.0251445477002607	0.0147320219613385	0.00569780146772363	0.0103891964486584
HT29_G1_5C_1	0.0186789726015619	0.0782577817256185	0.0226002298144311	0.0166668270802639	0.0128964234167808	0.0223136341052327	0.0130325569714842	0.0272943820689394	0.0217172094965199	0.00955150748995966	0.0198488557124365	0	0.0233589586650118	0.0114442962802739	0.0150843692344851	0.00584201593747201	0.0159673638164329	0.0164203683813299	0.0201753277725552	0.0216663373255672	0.0133230606140038	0.0169594416124005	0.0213415626246896	0.0280253407277017	0.0228853560028111	0.0142456649797368	0.0127142124935461	0.0186411682457325	0.0268936983091972	0.0229221538558935	0.00969387317083001	0.0134686533991029	0.0232365548632703	0.0301802716183157	0.0168052321534776	0.0118373982535153	0.0308591711964486	0.0149588004569248	0.0103339183315126	0.0130888976741309	0.0338624870224433	0.0148288416803	0.0156365913412901	0.0261849766109211
HT29_G1_5C_3	0.00671881260063348	0.100166627177946	0.0119775824419942	0.00886532605060891	0.0105153759501365	0.00227924001564413	0.0107322837703147	0.00954480352375926	0.00358463608682525	0.0138488424282102	0.014743636722683	0.0233589586650118	0	0.0144053068133389	0.00885310081647496	0.0185087899144898	0.00900099710332826	0.0123682907953888	0.0116089868108992	0.00577031333572814	0.0149162980738857	0.00764309573440701	0.0132691940767195	0.0261873474141983	0.00203537490617148	0.0174965708651107	0.0175583227635935	0.0187878417007406	0.0193437515224705	0.00747623381450378	0.01530069666042	0.0135890956452464	0.0021426215509741	0.00685268053838119	0.00954506089613015	0.011620665966626	0.0199425508121061	0.0142748892798433	0.0160007156233914	0.0127950260602376	0.0113295420827855	0.00899348313883409	0.018271378844423	0.00825329062473635
HT29_G1_5D_1	0.00822969204765422	0.0896153513791386	0.0111649437891034	0.00593589602348933	0.0068726950376076	0.0126811157914242	0.00434627860373359	0.0160840986319269	0.0142998452579164	0.00484373336582875	0.00882045689090862	0.0114442962802739	0.0144053068133389	0	0.00935242861471552	0.00560414194376492	0.00551272505454298	0.0143824973046505	0.00873702812273864	0.0109763096790083	0.0134220704688849	0.00682889963966009	0.0100109894441069	0.0192706866032094	0.0132405892857116	0.00518363109606544	0.00420573126072503	0.00925920691361367	0.0260176482231593	0.0173240063521888	0.00179793648556319	0.0124162442745686	0.0151536532774194	0.0206891616905336	0.0126570869776122	0.00475261323517687	0.0197852418537462	0.0038893310782137	0.00160863713543739	0.00180316696075452	0.0257153244609712	0.00902008070016101	0.00672718526416058	0.0150869245587398
HT29_G1_5D_3	0.00756224563856348	0.0913450487012348	0.0146364109001991	0.00745260101830703	0.00265446180372253	0.00861938484299105	0.00510856119464394	0.0159829381758767	0.00665058399192991	0.00622565746126373	0.0149787976908942	0.0150843692344851	0.00885310081647496	0.00935242861471552	0	0.0111884616190333	0.00674682881970474	0.00580926365220834	0.0128185333276965	0.00992149734670362	0.00681192148417544	0.00629566313366036	0.0147669054715519	0.0269249252328421	0.00910572486794529	0.0142252872333807	0.0135120184797267	0.0174575439690025	0.0169144006463067	0.00835894104541686	0.00922197399817173	0.00540473920631109	0.00827612442592574	0.0156407378370046	0.0033982232499277	0.00473145881860075	0.024078846567579	0.0116360991557666	0.0105652642584582	0.00864077895427383	0.0187859955160094	0.000336732356359261	0.0155888179128197	0.014610387278795
HT29_G1_5E_1	0.0131781861084111	0.0840440314870357	0.0167594282491652	0.0110428407349547	0.00861264499061765	0.0171729768858576	0.00780547440427749	0.0215619969873715	0.0174685635578647	0.00497101211217942	0.014113780131972	0.00584201593747201	0.0185087899144898	0.00560414194376492	0.0111884616190333	0	0.0104094369748396	0.0144105022998313	0.0143340232800457	0.0161152135370241	0.0121874261172263	0.0115269201812384	0.0155253706565153	0.023204924052717	0.0177489207896199	0.00891120355152391	0.00739130007333792	0.0134066987202843	0.0259232307742134	0.0195206622793048	0.00387483765814405	0.0117078574936815	0.0187462497605453	0.0251887789274787	0.0137778743902078	0.0069533954202676	0.0251421796056272	0.00917530288580323	0.0045462417464815	0.00727857776399444	0.0295009467790875	0.0108746145560088	0.0104355219502435	0.0204970776178102
HT29_G1_5E_3	0.00277997262236554	0.0940749702761523	0.00825834840231069	0.000844859593194393	0.00558599909713007	0.00717886955273212	0.00326484945241049	0.0114496404419784	0.00949046700525486	0.00685673076227005	0.00824189614237566	0.0159673638164329	0.00900099710332826	0.00551272505454298	0.00674682881970474	0.0104094369748396	0	0.0125531895909522	0.0061880919222892	0.00571291268924536	0.0129972524037316	0.00135855027902465	0.00809689597996221	0.0202422760887804	0.00773398914521188	0.00875141502357232	0.00861643086398167	0.0111009451482691	0.0233910024506203	0.0131297349833547	0.00672378084059458	0.0116683911964051	0.0100018680534591	0.0151771888376061	0.010009001591596	0.00478634817565254	0.0177207311290067	0.00563983454916094	0.00712104022509976	0.00381349691192101	0.020328581009026	0.00651173859454453	0.00978860630988204	0.0102666568346921
HT29_G1_5F_1	0.0131896062667181	0.0891070757010444	0.0203578139605973	0.0132606352690594	0.00762550548386149	0.0130431341467868	0.0105422456497337	0.0209772961322584	0.00899405989873943	0.0100936843354454	0.0207735530535598	0.0164203683813299	0.0123682907953888	0.0143824973046505	0.00580926365220834	0.0144105022998313	0.0125531895909522	0	0.0186119855546012	0.0151850432570296	0.00347987020438469	0.012068155717629	0.0205651352632638	0.0326712364507646	0.0133908044290454	0.0195028865534902	0.0185790033168308	0.0230559865150828	0.0117072034304374	0.00761841909675642	0.0137474962980361	0.00295226567074817	0.0108721153275293	0.0183578917692856	0.00295966059030867	0.00965566244677609	0.0297416889275209	0.0171947580180883	0.0152824336233227	0.014054478291025	0.019567579674161	0.00604370029610041	0.0209647872217104	0.0195884778220555
HT29_G1_5F_2	0.00578452883892313	0.0982466572887098	0.00242898144534945	0.00540126480657376	0.0117517424523596	0.00932994172038824	0.00913141022635583	0.00820558004125206	0.0136862074022526	0.0122952779313721	0.0031722916032904	0.0201753277725552	0.0116089868108992	0.00873702812273864	0.0128185333276965	0.0143340232800457	0.0061880919222892	0.0186119855546012	0	0.00590766253572545	0.0191836253375081	0.00655210011733975	0.0019627585865995	0.0148290169470124	0.00965059177155908	0.00806068965318419	0.00898789298601529	0.00751528387513853	0.0289521516204434	0.0178297710260977	0.0105144297498637	0.0178553482968322	0.0133983671214225	0.0157164719193253	0.0159152488235206	0.0106270411762353	0.0116141622579282	0.00554136156367401	0.00992251574579397	0.00720598739901788	0.0219902102004739	0.0126142343237081	0.00804306459769031	0.00763608312034279
HT29_G1_5F_3	0.00300216855272555	0.0996765442992784	0.00625647074749002	0.00508924492251227	0.0101413972439423	0.00351064830233508	0.00873442914262626	0.00613438804506738	0.00835145197804888	0.0123747229715175	0.00907537801857913	0.0216663373255672	0.00577031333572814	0.0109763096790083	0.00992149734670362	0.0161152135370241	0.00571291268924536	0.0151850432570296	0.00590766253572545	0	0.0167326382488682	0.00475667977626702	0.00750246306419256	0.020426012720834	0.00376597079209437	0.0127318903286485	0.0131454674352787	0.0132960262931787	0.0242244368506845	0.0125894678536804	0.012372569702502	0.015325189780631	0.00770252230041456	0.0102274466280604	0.0122451623385946	0.0101391247083989	0.0148878641028018	0.00957508246427454	0.0125456671501737	0.0091779728108537	0.0162097852070014	0.00985950991846513	0.0132158161737881	0.0048091573726
