	HT29_G1_1B_1	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_3	HT29_G1_5A_3	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_3	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_3	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_3	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_3	HT29_G2_6E_3	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_4A_2	0.0099392163523806	0.0115260830533235	0.00755956167943764	0.00557718064834811	0.00716136898778075	0.0211461826479438	0.00520750400005144	0.00670115899609772	0.0107460029543909	0.00978392203027119	0	0.0151380087260448	0.0141795666725222	0.0102456596338878	0.00786328643946405	0.0214678429031415	0.0110253257657016	0.0106275028013541	0.00679621529841028	0.0148310215047063	0.0139001212108954	0.00879670277722159	0.004188446181844	0.0090056439763685	0.00197986845107918	0.00825470110741844	0.00856389972560151	0.00902053120684458	0.00842219546535754	0.0138898544494787	0.0030642446159187	0.00454054269248133	0.00814219154690727	0.0139653368272863	0.011144973468877	0.00428740590310229	0.00867022105151029	0.00831433020936274	0.0104500631907344	0.0144051220035692	0.011480671231631	0.0126499283265728	0.0102153932228228	0.0133987537948623	0.00566912302991962	0.0110840307030887	0.019691986498445	0.0139484668265095	0.00896165099581288	0.00786769643197367	0.0186720414105479	0.00717372287577693	0.00449056512030502	0.00910156027555903	0.00873260473577359	0.0112824181052981	0.00979629823109609	0.00482028190141783	0.0107421921521675	0.00768714717262845	0.019234823935973	0.0057370271092069
HT29_G1_4A_3	0.00858600561042195	0.00453652869869868	0.0153987290924091	0.0111827880599765	0.00896223516813364	0.0170169908888278	0.0136945470201138	0.00939191411708676	0.00961822502885368	0.0124575707306804	0.0151380087260448	0	0.00677473335370542	0.0052541289575287	0.0144443314779819	0.0139227896095966	0.00739678354858613	0.00728789053279046	0.0131307084083126	0.00724752196872968	0.00545814282937331	0.012781840317925	0.0112680129065297	0.0166014121797153	0.0140161889670572	0.017269178413146	0.00814600713320533	0.0193932744446715	0.0082376027749776	0.00184547970710674	0.0161932760436472	0.011038358269976	0.0143940442533661	0.00751329352664029	0.00901554383695759	0.0137282950536174	0.0161831029787421	0.0142149510973009	0.00633867567598056	0.00702823354283676	0.00817179937790834	0.0167620018536897	0.0202758378287905	0.00911933991661871	0.0112291193002037	0.0130239506634787	0.0123579093585404	0.0197982907698107	0.00636531448396607	0.00913909286991549	0.00983120194942347	0.0133325747467037	0.0131669605189293	0.00927368165896272	0.0213915185861041	0.00865307021347664	0.0194517601783932	0.0147281153685676	0.00875015072902726	0.0191148990080578	0.0146910276142658	0.0179191377564395
HT29_G1_4B_1	0.00648468079509479	0.00556879121030114	0.0132063496381618	0.00910253020475224	0.0107615482356669	0.0216861548376194	0.0120303736669266	0.0101395770064252	0.0130535267145422	0.0126875939766582	0.0141795666725222	0.00677473335370542	0	0.00709161964544998	0.0155515009725056	0.0152982671765205	0.00603815414360744	0.00577966745301442	0.0111466326674635	0.00564265938300369	0.00340027286517482	0.0118761426149977	0.0104595010250134	0.015716654743373	0.0139062925900568	0.0163671216997448	0.00886634041764352	0.0178767024258804	0.0105989729900302	0.00552956848278328	0.015737019323343	0.00985567742544926	0.0153960930992617	0.0110180322450025	0.0069628133905555	0.0137393117271606	0.0174969891678112	0.0152758468044549	0.00859768945014244	0.0106609194065185	0.0103794889945267	0.0195651590300766	0.0197752546900877	0.00412663773832338	0.00873114788392488	0.0143874422212356	0.0132449783015619	0.0213861851959878	0.00690593471553179	0.0100815387434833	0.0144673404892534	0.0132032336914563	0.0118509368822474	0.0109850557483723	0.0211908143514449	0.00504653377051641	0.0207176820870832	0.0117941525868658	0.00860956286070979	0.0178421040088389	0.0196901854063607	0.0182603253184165
HT29_G1_4B_2	0.00603973223644376	0.00312102182836847	0.0114992703034386	0.00653440068834224	0.00431949558845311	0.0161906784725782	0.00952850445287506	0.00486704715965752	0.00642857366368522	0.00978185608904123	0.0102456596338878	0.0052541289575287	0.00709161964544998	0	0.0109793590159314	0.0147105242152521	0.00407992896172459	0.0045962218853455	0.00899955876709155	0.00777025879993925	0.00563385152686508	0.00967314221924664	0.00649080429450257	0.0134141428188889	0.009153413666453	0.0136097744917553	0.00310597399684421	0.0154291377143997	0.00411506872069719	0.00392783021391998	0.011752111648476	0.00647695900491873	0.0107367347963109	0.00698781352312747	0.006652603407895	0.00969627706538753	0.0125309967832637	0.0111954912917339	0.00340357203128153	0.00642742819553059	0.00655995864848837	0.0128690367156306	0.0167374870536809	0.00764925694469648	0.00689559978001716	0.0105447164509494	0.0128079652811106	0.0164693294530921	0.00156185952229502	0.00531161206273923	0.010256584380885	0.0100263563891745	0.0091674181927266	0.00648418102265802	0.0171518746135251	0.00748095124779884	0.0157675806407308	0.0104689283963789	0.00658651272997534	0.0150657562953343	0.013664034693028	0.0136527764344889
HT29_G1_4B_3	0.00971611416356305	0.0110147445028968	0.00767999816749483	0.0105837578412097	0.00759937293159485	0.0178715568897042	0.00629441113256685	0.00648516611649309	0.00869207871465747	0.00481442145527548	0.00786328643946405	0.0144443314779819	0.0155515009725056	0.0109793590159314	0	0.0247936853423704	0.0137276446067016	0.0108338692928254	0.00768969373630572	0.0136452151191907	0.0141994396595082	0.00580767495221883	0.00713788355753948	0.00536150817313862	0.00662312601258889	0.00520871084664385	0.0101081183113461	0.00768881044056629	0.00744919117312746	0.0139212260247674	0.0068243393631569	0.00761160979103546	0.00221738241812502	0.0157472473413867	0.0107701245423476	0.00704514062509958	0.0023838877413059	0.00245823814077002	0.00892849636609564	0.0161020655575104	0.00757414569257675	0.0127846079038788	0.00680409587047838	0.0165862868867456	0.0100779236984213	0.00478726183670422	0.0231272389915507	0.00877630792566487	0.0102019523428976	0.0109228258559135	0.017686627240227	0.00350928618837229	0.00640752606724646	0.00531216265113003	0.0130495669242289	0.0129054323053135	0.00561766390681718	0.0106622175204986	0.00840481143304908	0.0068699339499621	0.0181165951410481	0.00592084582218842
HT29_G1_4C_1	0.0195978927557031	0.0164846947155925	0.0251267175161922	0.0171349897109526	0.0174408801296061	0.0246617688596134	0.0229303757862163	0.0190191951764186	0.0189760438590485	0.0243789704304764	0.0214678429031415	0.0139227896095966	0.0152982671765205	0.0147105242152521	0.0247936853423704	0	0.0136384263910541	0.0179909094927252	0.0226123839651342	0.0193997106920635	0.0161074386082563	0.024093705892979	0.0193821552453586	0.0272668397629179	0.0209017280459953	0.0275222077180475	0.0162250686756404	0.0291016224948477	0.017917985896599	0.0136116144815722	0.0231010252713485	0.0191363510763697	0.0248898222899497	0.00948570211005576	0.0200323915483436	0.020711171899524	0.0261988947892959	0.0245697036698115	0.0178595003534106	0.00930148275738921	0.0208574694944992	0.0218173119333112	0.0302082417273498	0.0140198880556723	0.0180866215708308	0.0251193545824498	0.00244023407341674	0.0302164574881635	0.0154647373702745	0.0143977750417468	0.0160728474864194	0.0238348476493404	0.0217713452706001	0.0208525581528665	0.0250376360847808	0.0170871843283834	0.0283787744259747	0.0207419864314187	0.0209555885903174	0.028308852322347	0.0187294468577608	0.0254645167467471
HT29_G1_4C_2	0.00691978309209094	0.00547257730623579	0.0120639953460556	0.00604953776407802	0.00717117775460196	0.0181796540498382	0.0105247867369723	0.00728014664173725	0.00935595387602489	0.0121466786712937	0.0110253257657016	0.00739678354858613	0.00603815414360744	0.00407992896172459	0.0137276446067016	0.0136384263910541	0	0.00506761655071271	0.00943329780945141	0.00827125651028606	0.0052945355034471	0.01136101594618	0.0076675057251397	0.0153172981526387	0.0105321951090064	0.015269411747678	0.00424131792146286	0.0165077202962324	0.00741530364626466	0.00558154124736458	0.0132599134445049	0.00755618525795737	0.0132048657903066	0.00842161436456306	0.00690824050624102	0.0116342492108427	0.0151473992683714	0.0141346576251975	0.00659563422933938	0.00731885029036162	0.00967499903101758	0.0143034207393589	0.0187048179429563	0.00442594298534722	0.00670765212508018	0.0132659364773449	0.0113767722716715	0.0186214773158388	0.00406486526493572	0.00699875183041763	0.0113273234735764	0.0123674944494127	0.0105835690241811	0.00971871938395668	0.0183740753547493	0.00784231129484839	0.0183862354215651	0.0102233156739607	0.00849555365758094	0.0163835685587341	0.0153531461747764	0.0156589045276722
HT29_G1_4C_3	0.00241068043582528	0.00306895081237326	0.00880206180993486	0.00689113807600884	0.00679430204937262	0.0175793377330524	0.00784404452572695	0.00540755518225418	0.00845575817078243	0.00789300589095222	0.0106275028013541	0.00728789053279046	0.00577966745301442	0.0045962218853455	0.0108338692928254	0.0179909094927252	0.00506761655071271	0	0.00643700198668445	0.00451043209147808	0.0037975724157149	0.00716148484074823	0.00652563153802095	0.0116894316685626	0.0100027654582039	0.0118913836822697	0.00483848042663215	0.0133655088218742	0.0062804334181114	0.00589352286374885	0.012288978020003	0.00638818727143755	0.0101805209938057	0.011364022623697	0.00215708938400767	0.0109101789347956	0.0124543727586335	0.0112536853541327	0.00414278139415392	0.0106500202720613	0.00585219799341726	0.0150058668867987	0.0155637249372329	0.00684053792984418	0.00653046923685437	0.00926662409045459	0.0158500708019708	0.0157019611189414	0.00409287454893464	0.00866018095925227	0.0123680926257652	0.00912065299554311	0.00857443588598759	0.00645642962870839	0.0186804100180278	0.00673902062366574	0.0161828212944562	0.00983314626781778	0.00369124120128273	0.0136179407365337	0.0166356300936587	0.0142399724584712
HT29_G1_4F_1	0.00531937906840983	0.00863361712455578	0.00270009518735505	0.00653411760547051	0.007698486769028	0.0195170537198071	0.00266211496579869	0.00545858499089837	0.0099301142532044	0.00580775459571854	0.00679621529841028	0.0131307084083126	0.0111466326674635	0.00899955876709155	0.00768969373630572	0.0226123839651342	0.00943329780945141	0.00643700198668445	0	0.00984459324555806	0.0101199038260165	0.00390173820269672	0.00454029823537889	0.00715918746418229	0.00682038152189859	0.00654793955234293	0.00735062862188355	0.00726133880735716	0.0078160277732224	0.0118287628977656	0.00835736696583359	0.004775129921902	0.00681880938144204	0.0153313393135549	0.00569773900378091	0.00865994374240074	0.00885167246441778	0.00865494744555398	0.00782257681984821	0.0150364611126033	0.00802959688836356	0.0143125475243352	0.010392193147336	0.0111520501068468	0.00578733996949861	0.0076838382219264	0.0204839407932286	0.0122976596377556	0.00777921911762095	0.0102627346550761	0.0168614888438549	0.00595161848040157	0.005249575131319	0.00692223191993553	0.0152236109977587	0.00960962403401791	0.0121446906677907	0.00683468892270448	0.00584783557068146	0.00775418820685049	0.0193158644754463	0.00999560762516371
HT29_G1_4F_3	0.00504787363915866	0.00494570136614316	0.0116204944203129	0.0110779318395367	0.0106507199726041	0.018697070759451	0.0112701937017743	0.00933135934646565	0.0113509382733128	0.00968882952149983	0.0148310215047063	0.00724752196872968	0.00564265938300369	0.00777025879993925	0.0136452151191907	0.0193997106920635	0.00827125651028606	0.00451043209147808	0.00984459324555806	0	0.00344642291143834	0.00934503821287659	0.0107268423597496	0.0138603924615403	0.0141953039729671	0.014466143488695	0.00896120166433802	0.0160476468784393	0.00974675812862015	0.00658307370321984	0.0161302925745856	0.0104573280344775	0.0130448464663584	0.013643577533584	0.00430967395851003	0.0145780642816715	0.0153628555577114	0.0137927911009301	0.00684298771303662	0.0128663983432689	0.00715793332431578	0.018577735367498	0.0180668636869979	0.00843300285342943	0.0104860850202758	0.0108994439695015	0.0173605347607102	0.0179728446191205	0.00780789334062759	0.0122856256986344	0.0131660942548399	0.0117719034741323	0.0120137815786082	0.00890827396130536	0.0226337546445206	0.00810340083930576	0.0192392997221419	0.0135236155254392	0.00532861066862016	0.0165788850205981	0.0185883824753235	0.017879582135848
