	OM3_B_B_2	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7G_2	0.0423094383703977	0.0243656333651883	0.00939599468932966	0.00354839218119546	0.0148617022449168	0.0192178331791855	0.0261768538087607	0.0177262707877084	0.000857890326233966	0.0268170063027191	0	0.0164971749554612	0.0100236158301482	0.0104492668843245	0.0379138985536195	0.0607981001700846	0.0549753057763628	0.0116708868632602	0.0135096696006603	0.0142368859569664	0.0066486397778679	0.0415837654339321	0.0138022541800149	0.0281000550018132	0.0381662800858006	0.0264869029575761	0.010816582230733	0.0233724696991429	0.00962280567680279	0.0149212365383714	0.0139257205292933	0.0274229766594607	0.039483732787124	0.0145855881621225	0.0117021288972576	0.0364482368602668	0.021118448786905	0.0198218219443276	0.0237259413751469	0.00691976615551229	0.0128340166447375	0.00934180094803496	0.0314959107247918	0.0305969948333548	0.00856126155006725	0.00956841008151659	0.0197597653649409	0.0165612998696545	0.0176852465433829	0.0067113270559583	0.0147330882261679	0.0185511710069545	0.00637381485384907	0.0293351908541765	0.0121807314363278	0.016189746567203	0.0176249609249443	0.00392621626831617	0.0495405611343992	0.0297225931469328	0.00280932712721777	0.023591153626302	0.0031076868592978	0.017524954223637	0.042969576164661	0.041994424613258	0.0064102826262398	0.0307104354875595
OM3_C_7G_3	0.0568505945971963	0.03931611442887	0.00729952168764697	0.0158062092570549	0.029078377663392	0.0344854337679447	0.0405620111591849	0.0298754649736457	0.0168417945742226	0.0416109849477149	0.0164971749554612	0	0.00686565085023806	0.0258510552044908	0.0246684989076047	0.0748231987481952	0.0697968458908692	0.0209769565887766	0.0267225094760873	0.0287691374837124	0.0104051381856525	0.0563063252076027	0.0248535959694451	0.0444276507415768	0.0528271603463282	0.040790622870076	0.0218515030100266	0.0113839433747962	0.0126940097580204	0.00569493671921723	0.00285774019427439	0.0125406211085362	0.0246850482518512	0.0267708174453987	0.00620259919114444	0.0222103930983056	0.0103222606760491	0.00720901343393998	0.00981122770677577	0.0114025813556682	0.0052268168543901	0.0096031948702087	0.045972706718665	0.0461359524595764	0.0135534636434125	0.0230866745779291	0.0338866385620278	0.000193641848001952	0.0302105224238401	0.0106576582717961	0.00809520794434768	0.0327124294201411	0.0106519246495514	0.0225680802729447	0.0261054027366764	0.000337107525373069	0.0325625597882796	0.0128338530751052	0.0342567403615628	0.0442282894214738	0.0162872116818649	0.00721467453548449	0.0133898492318372	0.00650257286725508	0.0290915349249976	0.0568427046773196	0.0186279644927018	0.0153975937024839
OM3_C_7H_1	0.0516900557757651	0.0338655041423134	0.000749960913717924	0.0102080851034769	0.0238500658208695	0.0288393865198687	0.0354009576118456	0.0255224360749543	0.0105098039738358	0.0362542286593371	0.0100236158301482	0.00686565085023806	0	0.0200452386980677	0.028562252404884	0.0699777334502195	0.0645120017579046	0.0172308233310175	0.0218430557332345	0.0233990124433179	0.00526256793149657	0.0510475872504908	0.0207305506403624	0.038118568845382	0.0475903605030195	0.0356707523270488	0.0175354642340639	0.0140557885105223	0.00671597916273587	0.00533257568266134	0.0040628403603467	0.0175008681453416	0.0296719196087434	0.0222977988727906	0.00203407470832364	0.0267670938959619	0.0120348891824762	0.0101131278251533	0.013920689419357	0.00459423794157769	0.00294971067350636	0.00338018707346498	0.0408011978920341	0.0403915609913375	0.0100966568759723	0.0179423925699839	0.02877775099852	0.00697578692807447	0.0257133542608334	0.00575395672885964	0.00620823158529139	0.0275714061910331	0.00539542734835443	0.0225535669406625	0.0209233355040692	0.00653290018162773	0.0270624031001396	0.00616423772048946	0.0396454678310679	0.0390324707945224	0.0104580520953164	0.0136773733224279	0.00698901485265142	0.00796358727205385	0.0334520299712282	0.0515173009665243	0.0135723416991483	0.0207442632246557
OM3_C_7H_2	0.0318674706728649	0.0139238911144457	0.0193424379911569	0.0100488030725594	0.00495404898991365	0.00881082056146153	0.0157619233222171	0.00933032355513028	0.00975015351387755	0.0163703959533536	0.0104492668843245	0.0258510552044908	0.0200452386980677	0	0.0483193146403238	0.0503693145629673	0.0445733315905816	0.0096963679914331	0.00526133665081272	0.00412226956656162	0.0154522617100487	0.0311509852161982	0.00822518847629649	0.0189921634831815	0.0277253386114624	0.0160844528474809	0.00763259464798195	0.033765379672561	0.0198645989108728	0.025197096191473	0.0236169169132576	0.0375350358130077	0.0496993381818386	0.00718900901173044	0.0218972595085912	0.0467480033200576	0.0315379360210228	0.0300852159889676	0.0339446881845673	0.0173684826233686	0.0229686656456253	0.0197796965652939	0.0210547489174413	0.0203664362229382	0.0136572103306002	0.00423718328185118	0.00953335315347479	0.0258722871732973	0.00892641152704159	0.0152007318183564	0.0251635737559946	0.00835959988164139	0.0152115677077555	0.0394698600462371	0.00356035678686099	0.0255823792581698	0.00718112336169292	0.0142753794973996	0.0596593460690378	0.0192819418748431	0.00963142075945971	0.0330625324208016	0.0131457515151498	0.0278315915131504	0.0533364685167548	0.0315760864534949	0.00769498046876285	0.0407471561055224
OM3_C_7H_3	0.0801014831393025	0.0622203201452727	0.029305498554357	0.0387451766724581	0.0523635557139045	0.0571063543282602	0.0638793045696847	0.053972512471506	0.03858066706946	0.0646459336814019	0.0379138985536195	0.0246684989076047	0.028562252404884	0.0483193146403238	0	0.0984318005275889	0.0927993112918818	0.045338834322925	0.0503890962786301	0.0518739281930014	0.0337106011499448	0.0794129895200299	0.0490677099543493	0.0651641613123084	0.075983374833351	0.0641602011267342	0.0459304713743182	0.0145709039103896	0.0292025109710303	0.0232500985605082	0.0257682593677446	0.0123782527637276	0.0056500749556552	0.0507734524555551	0.0265863384726813	0.00378374023590067	0.0168022677803959	0.0184917113261631	0.0149555553863718	0.0310345942172265	0.0256227695362261	0.0285813833572959	0.0692529483793981	0.068430451510053	0.0378928627112313	0.0464915050423596	0.0572957618173087	0.0247592887984171	0.0542056781852003	0.0341395506951432	0.0231906507686388	0.0560874956407522	0.0338823669994691	0.0151570362796652	0.0494588016755939	0.0247816116888026	0.0554465600579024	0.0340544320368748	0.0139655261830092	0.0674827428109874	0.0389250365241785	0.019145439507027	0.035214942332734	0.0206062456491951	0.00528374046015868	0.079840762147835	0.0421214516183405	0.0106578535820607
OM3_C_8A_1	0.0186421551566915	0.0365223484064208	0.0692414471347828	0.059793171320461	0.0461738125557027	0.0417195704504816	0.0346664109088887	0.0450312694784337	0.0600753408840518	0.0340442316944508	0.0607981001700846	0.0748231987481952	0.0699777334502195	0.0503693145629673	0.0984318005275889	0	0.00845750320409591	0.054021175000648	0.0482370301602021	0.0466758158096068	0.0649323868773979	0.0195566300450304	0.0500754478980947	0.0374231174060191	0.0227998959785314	0.0343751281225809	0.0530120884001859	0.0839226881026729	0.0701317051858126	0.0752611907831639	0.0730910168796949	0.087143299862446	0.0993398200439395	0.0480967642373626	0.0719327377260956	0.0966104628470732	0.0817597711629516	0.0800627236667932	0.083796314392139	0.0677022674044687	0.0729195377804983	0.0700844890310547	0.029328688893148	0.0313927774962915	0.0613214806708934	0.0520712652620631	0.0412403628254133	0.0747929232388504	0.0446636712695875	0.0645447101677787	0.075434652777324	0.0424487007429798	0.0647407412135362	0.08943503405717	0.0490865822633019	0.0746170136223717	0.0431956405843969	0.0645569238902634	0.108946280503685	0.0311013422579105	0.0596100578500803	0.0817752407102371	0.0633465228928371	0.0779006034325573	0.1033185862585	0.0193792548402153	0.0564860643807591	0.0901544883014549
OM3_C_8A_2	0.0130307267456491	0.0306807219436452	0.0637918287064295	0.0543483905948444	0.0407838268520652	0.0357774050886389	0.0292728738508205	0.0404192917604706	0.054305611045517	0.0282907855570987	0.0549753057763628	0.0697968458908692	0.0645120017579046	0.0445733315905816	0.0927993112918818	0.00845750320409591	0	0.0493946784712735	0.043126510881635	0.0411646091194813	0.0596376480685223	0.0135146358482253	0.045425250589103	0.0299503147514907	0.0169979435850656	0.0290512268189854	0.0481485552308998	0.0782854648129454	0.0640505183032585	0.0697176034694288	0.0678588392888266	0.0818922283024089	0.0940782338301079	0.0432834882945203	0.0664076545661594	0.0912039044078882	0.0760532203557755	0.0745818967980462	0.0784003618938522	0.0618673235792175	0.0674496978895914	0.0643020673523591	0.0238632938377502	0.0246796426471337	0.0564501493824821	0.0467707257730355	0.035948839824683	0.0697846372217529	0.0399379239086882	0.0592935816441188	0.069683286314671	0.0371239692399478	0.0594261830070006	0.0830284828471949	0.0437513955571518	0.0695665524307895	0.037480987897169	0.0588298327630076	0.103884717095596	0.0256042554869734	0.0540711529730807	0.0768899934851142	0.0576959621515653	0.0723525967892677	0.0978038131520773	0.0130141333031088	0.0512306914749712	0.085012129692153
OM3_C_8A_3	0.0363748382639904	0.0197083258985237	0.0164903659294161	0.00848809424506645	0.00981565756524192	0.0157739037070283	0.0203391091250059	0.00901798355776234	0.0108563347062451	0.0217051445820999	0.0116708868632602	0.0209769565887766	0.0172308233310175	0.0096963679914331	0.045338834322925	0.054021175000648	0.0493946784712735	0	0.00693549671580229	0.00999078983725075	0.0119838112363036	0.0359599678296818	0.00397535816220498	0.0275415723969273	0.0324878255176282	0.0204967573896792	0.00206796788935628	0.0310944706980071	0.0203073281958546	0.0224710840235262	0.0195802702872698	0.0334830840630667	0.045651602902603	0.00617533045794972	0.0192615291841809	0.0431181027409244	0.0292075411029732	0.0269307156589031	0.0304045450530585	0.0168633399986846	0.0200151101901811	0.0186369044928206	0.0256413736889196	0.0269724230630767	0.00746042378403319	0.00548132123495072	0.0138548190600688	0.0209288236935271	0.00946545193009195	0.0114787101048286	0.023364713363096	0.0128264838947685	0.0118818946244266	0.0394297682440564	0.00734453291229904	0.0207985084665291	0.0136122917799898	0.0137005519414958	0.0551190250516804	0.0239674917429423	0.00896930570655383	0.0278249043697925	0.0123141286643706	0.0250143454809424	0.0499661136416008	0.0365854899663901	0.00530372950319599	0.0363616952821781
OM3_C_8B_1	0.0301500705523159	0.012912843110817	0.0210981623790487	0.0117197231433105	0.0028990063684907	0.00884500646523851	0.0138675874501361	0.00435471884657662	0.0126763100270789	0.015045459638656	0.0135096696006603	0.0267225094760873	0.0218430557332345	0.00526133665081272	0.0503890962786301	0.0482370301602021	0.043126510881635	0.00693549671580229	0	0.00324759093206517	0.0167252605700197	0.0296244857511203	0.00374002363344563	0.0207160347806637	0.0261399173045012	0.0140832307749874	0.00521201929708048	0.035884774317563	0.0231155284273804	0.0271676271211086	0.0248962472345981	0.0389856309320415	0.051220660879511	0.00198286884802691	0.0238359571882366	0.0484783885271676	0.0337955094087073	0.0319237822356409	0.0356321942186443	0.0201303042841821	0.0247802278714401	0.0223477821272933	0.0192721149857041	0.0201132771293352	0.013369930159425	0.00399139380899621	0.00720450443892239	0.026705504307653	0.00419341658267245	0.0163309671833733	0.0275705392831602	0.00607343610538585	0.0165389639760064	0.0428094872533991	0.00172327256298346	0.0264992348553819	0.00668085331578313	0.0168469620364695	0.0609400464348564	0.0175376173508248	0.0116845712440276	0.033814476678783	0.0155198134578316	0.0298040115824999	0.055229750633445	0.030186663036666	0.00827638170638799	0.0420388138145098
OM3_C_8B_2	0.0283064631596473	0.0105532240761995	0.0226711945243621	0.0132019195269199	0.000931500097106612	0.00592031755102955	0.0120232000877372	0.00587901697317975	0.0134738149921761	0.0128841142064365	0.0142368859569664	0.0287691374837124	0.0233990124433179	0.00412226956656162	0.0518739281930014	0.0466758158096068	0.0411646091194813	0.00999078983725075	0.00324759093206517	0	0.018501724518024	0.0276722334994557	0.00698534658615234	0.0175564273605366	0.0242066269398698	0.0123096416596707	0.00809267591054512	0.0373183934865893	0.0237902399559555	0.0286583598694518	0.0267383425937056	0.0407897790667172	0.0530071459256478	0.00499371176279504	0.0253279198651148	0.0501505801926617	0.0351435903155801	0.0335044989932115	0.037304741793659	0.0211145699940186	0.0263466769486638	0.0234660206822213	0.017413184427756	0.0175046717816054	0.0157800168149709	0.00571983878832064	0.00552563262177948	0.0287696691036149	0.00528927872024739	0.0181716673290075	0.0288106018497683	0.00432115006299909	0.0182861806567827	0.0434560984333041	0.00278882329602038	0.0285237103629434	0.00383916105344557	0.0179201823104733	0.0628583502117338	0.0156417558713683	0.012963834470981	0.0359424656210689	0.0166933564757985	0.0313038594598384	0.0568194379013054	0.0281623992020096	0.0101488811931092	0.0439293032904985
