	OM3_B_B_1	OM3_B_B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_1	OM3_C_7G_2	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_2	OM3_H_3H_3
OM3_C_8C_1	0.0527640963301595	0.0410901787206925	0.0221060294461237	0.0608777201390811	0.0420798023558904	0.0673113772089139	0.0607221852916995	0.0569557712808174	0.0470597561354031	0.0314528181754585	0	0.0157550340170637	0.0155897812573144	0.0204941478367065	0.0285806528141936	0.0188053003913283	0.037145390188501	0.00721872696733623	0.0103931709394024	0.0287047398860624	0.0532015310384648	0.0482333858664895	0.02893929326516	0.028496910210631	0.0352345586442937	0.0160422548848113	0.0172496903878844	0.0210395160987954	0.011782976462423	0.0121191215583715	0.0303569455115554	0.0452467425625682	0.0337622494730639	0.0552048617784346	0.050384535004487	0.0258301043522341	0.026039145220218
OM3_C_8C_2	0.0629474589387472	0.0538893944325318	0.0326449328411454	0.0725610148930033	0.0520537264796494	0.0781668368100403	0.0708710169125752	0.0683240463156257	0.0585413927042363	0.0441244188700874	0.0157550340170637	0	0.00537387691188877	0.0325231481816148	0.0363879261750821	0.017604785438287	0.046843889936152	0.011748567038998	0.0168965127135393	0.0404467491068283	0.0645475525285867	0.0586763374888751	0.0385275302904214	0.0425729813396355	0.0471231657614208	0.00786751366515732	0.00532459782311379	0.0294059765793266	0.0173778645864031	0.0234209539199098	0.0408218585693974	0.0547188286963607	0.0464271614309538	0.065099643792101	0.062462729592431	0.0113104762997951	0.0271090103878236
OM3_C_8C_3	0.0586025682326745	0.0504568824518323	0.0288602311248827	0.0685876261375115	0.0477446529318068	0.0739223573055984	0.0664741721830606	0.0642740072342265	0.054593496284025	0.0407716287218415	0.0155897812573144	0.00537387691188877	0	0.0292214324999043	0.0318299516409597	0.0123491380877181	0.0425271861709992	0.00952575576515762	0.0133543269299164	0.0368247510497025	0.0605134972353136	0.0544282112897472	0.0343230333898516	0.0399030470416943	0.0434346037523677	0.0129647197532198	0.010690367734729	0.0251781861221515	0.0134872145552102	0.0203967871238068	0.0368012417969206	0.0502653958826525	0.0430347161865881	0.0606714973239448	0.0586824731272205	0.0103967892980126	0.0218251287796458
OM3_C_8E_2	0.0323337412543843	0.0213839036312668	0.0036875565916065	0.0405834967939842	0.0217898383339216	0.046864598036595	0.0402793852635502	0.0365577100332085	0.0266467996868547	0.0116110352457898	0.0204941478367065	0.0325231481816148	0.0292214324999043	0	0.0117814776936835	0.0216318451633578	0.01711190927851	0.0208389550991384	0.0158723630435486	0.00823667009928731	0.0327847631177381	0.0277793191050566	0.00968667258599391	0.0115505243785424	0.0148708658782206	0.0357286217783412	0.0360007179934762	0.00791048264228926	0.0158363545541069	0.00915026377101626	0.0101844948234	0.0251011625618764	0.0139135741077821	0.0348191504036599	0.0302060311701177	0.0386240986656503	0.0205084452444615
OM3_C_8E_3	0.0268915695681231	0.0225175762177117	0.00819114738835547	0.0375561703746814	0.0161646993401121	0.042306953521967	0.0347085302894481	0.0330945187385783	0.0239324043891171	0.0153017736001701	0.0285806528141936	0.0363879261750821	0.0318299516409597	0.0117814776936835	0	0.0206682853587443	0.0110338846417418	0.0260183554926567	0.0201600408632148	0.0108621447218714	0.0294304005865122	0.0228985261803492	0.00463524379724644	0.0196274574837226	0.015017942484955	0.0415462801907205	0.0409053434556825	0.0075715543040281	0.0192968572944289	0.0166189751992945	0.00768272358729888	0.0184677473356691	0.0166393549824389	0.0288860955694029	0.0285034914591428	0.0392148433287495	0.0144454239125291
OM3_C_8F_2	0.0474989309803076	0.0414638375391425	0.0199504100081268	0.0581483649227554	0.0368273230577367	0.0629165944913162	0.0552209273930563	0.0537146498786636	0.0443578941480983	0.0322838642837291	0.0188053003913283	0.017604785438287	0.0123491380877181	0.0216318451633578	0.0206682853587443	0	0.0316770059573683	0.0120331068520417	0.00937720910427057	0.0278393145230361	0.0500226862284862	0.0435575189705127	0.0239605532259864	0.0331611615074365	0.0340289211619383	0.0245280143013538	0.0227986441123751	0.0153004344963676	0.00818954108061971	0.0150851386224799	0.0268075956960458	0.0390195155301167	0.0343596350285707	0.0493928844706349	0.0487538818937549	0.0185534229678866	0.00951048945254492
OM3_C_8F_3	0.0161260678960541	0.0137790174537929	0.0150509553969665	0.0265286654092301	0.00522303501540412	0.0314419406531114	0.0240794933158316	0.0220647275942968	0.0130639585064935	0.0114890420902723	0.037145390188501	0.046843889936152	0.0425271861709992	0.01711190927851	0.0110338846417418	0.0316770059573683	0	0.0358986273994461	0.0301556105445185	0.010063139813634	0.0184039980727191	0.0119309889456032	0.00839153234129025	0.0179536808842393	0.00795097673370431	0.0514017762325458	0.051092001192539	0.0174503534057269	0.0295065739858041	0.0251083646949503	0.00692846728469882	0.00811370326506296	0.0111435629725969	0.0183385149072433	0.0177675880638725	0.0502136593659351	0.0251144776706034
OM3_C_9A_1	0.0519533916646219	0.0422074856723499	0.0212434866840204	0.0611502442027545	0.0410605374414428	0.0670122673560258	0.0599271123412497	0.0569835582154605	0.047131989167803	0.032428836723944	0.00721872696733623	0.011748567038998	0.00952575576515762	0.0208389550991384	0.0260183554926567	0.0120331068520417	0.0358986273994461	0	0.00586165580848368	0.0288727339160568	0.0531991316685134	0.0475712292016958	0.0275119111383961	0.0308725569876604	0.0355638902542981	0.0155614895561661	0.0152948047812795	0.0186096412192463	0.00686508833777787	0.0117016118051106	0.0295618146251267	0.0439276566896028	0.0347401116854242	0.0542193399954076	0.0509281829647398	0.0198969779260052	0.0202864381337119
OM3_C_9A_2	0.0462481551860383	0.0371670857573868	0.0157529003945799	0.0556982926622261	0.0353419892625442	0.0613931105755996	0.0542122861030353	0.0514695353329986	0.0416658387191309	0.0274458311076155	0.0103931709394024	0.0168965127135393	0.0133543269299164	0.0158723630435486	0.0201600408632148	0.00937720910427057	0.0301556105445185	0.00586165580848368	0	0.0236035446949541	0.0476874716999172	0.0419074433624642	0.021779543667188	0.0266846805429388	0.0302668912723489	0.0214038795162623	0.020952910733225	0.0127848423675013	0.00139779210687209	0.00717947080019862	0.0239613370688375	0.0381504903640563	0.0297222743802117	0.0484781730060071	0.0456016829747272	0.0230348276662241	0.0156504538149005
OM3_C_9A_3	0.0242698048425213	0.0137216406895292	0.00802858869882479	0.032377855840322	0.0140670347041031	0.0386438299879214	0.0321675441835178	0.0283266709905667	0.0184142222584974	0.00465690776123343	0.0287047398860624	0.0404467491068283	0.0368247510497025	0.00823667009928731	0.0108621447218714	0.0278393145230361	0.010063139813634	0.0288727339160568	0.0236035446949541	0	0.0245515598182652	0.0196875809040485	0.00635112346854668	0.00913181739206205	0.00669449387376339	0.0439283150822381	0.0441116469183685	0.0125687916372476	0.0233432375264569	0.0172788704490274	0.00409702587300601	0.0175314823300233	0.00653907111853658	0.0268157119010652	0.0220706840359861	0.0457451964479287	0.0241478429620239
