	OM3_B_B_1	OM3_B_B_3	OM3_C_7A_2	OM3_C_7B_3	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_H_3C_2	OM3_H_3D_1	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1
OM3_C_8B_1	0.00956956856902028	0.0422659875252909	0.0295181351114555	0.00813499158176797	0.0116238427876187	0.00802666869536855	0.0270307727020255	0.0230366928651287	0.0727436828743327	0.0987613030470663	0	0.0320419186656814	0.0268795090495707	0.0367569732402532	0.0422047895494914	0.0269010557213047	0.0342123805536897	0.0267249645046332	0.0190332838985508	0.0189060830913568	0.0240486977258547	0.0184810961171184	0.0180875594882537	0.0205242542265614	0.00579918855786156	0.0313807180845469	0.0365964158592092	0.041048265329549	0.0291428251973329	0.0297542261792958	0.013560439235434	0.00822535400171469	0.00577690566452871	0.00588406608075385	0.00684262808219743	0.0125230979633308	0.00975389136292536	0.0154578614769968	0.0230834707426197
OM3_C_8B_2	0.0342718383192095	0.0104922796844406	0.0279230936478702	0.0388401750324571	0.0212211514586228	0.0254931460285594	0.00749938878995904	0.00901654957005059	0.040984463895229	0.0668206150376265	0.0320419186656814	0	0.00611432737691178	0.00523384728471872	0.0118403401597679	0.00768280489507625	0.00279681126136497	0.00558844889780829	0.0195961126857622	0.0160570735705047	0.00800371747588428	0.0144024763038457	0.0139991147475135	0.0116243300150832	0.0341939326520316	0.00214786108435115	0.0111323757938758	0.00925607333992559	0.00633450991475256	0.00306789526662908	0.0185046205662452	0.0241947689143671	0.0262687015956255	0.0377010074842751	0.0310712138709116	0.0203147327296262	0.0244403540496362	0.0176389815061466	0.00918224648333799
OM3_C_8B_3	0.0302996210233509	0.0164818941312444	0.0283561910196392	0.0341267585354061	0.0168826751264993	0.0210655503163519	0.00809490411825631	0.00495561259706181	0.045916686022794	0.0721681411024484	0.0268795090495707	0.00611432737691178	0	0.0113467880141599	0.0154393287381121	0.00820449197138254	0.00754637176058876	0.00455821233489076	0.0176497381868516	0.0135144036359791	0.00423956619405367	0.00862454748943488	0.00944206653683359	0.00752755861933676	0.0296670039532938	0.00680806439724448	0.0113353589137291	0.0142864833019696	0.00304882711650867	0.00578595804981009	0.0133900431048626	0.0194573996993496	0.0211677984115971	0.0323568089425529	0.0268124678438451	0.0146920120643114	0.0203002647010682	0.0137979720691799	0.00391330703408299
OM3_C_8C_1	0.0382210227703248	0.00551398421861771	0.0287540582245415	0.0432344643127378	0.0255972228413292	0.029841602549499	0.0104822770433353	0.0138083690650691	0.0369368535260688	0.0622713966336109	0.0367569732402532	0.00523384728471872	0.0113467880141599	0	0.0105942994589079	0.0106568429912048	0.00493532207601882	0.0100392531180829	0.0226002175113276	0.01963646992241	0.0128124185590614	0.0195384936144216	0.0186833983787136	0.016239111105848	0.0385026450638242	0.00537936628342902	0.013268823739335	0.0064591814590516	0.0111783316479833	0.00700624985053584	0.0233237061577132	0.0287380361680067	0.0309903199100232	0.0424992387503294	0.0352422535186786	0.0253482652003994	0.0286388805721135	0.0218520305809763	0.0142699667760623
OM3_C_8C_2	0.045584039504046	0.00962556391523945	0.0391103095965175	0.0495496964109998	0.0322468498877012	0.0364655183380361	0.0193045992557329	0.0199729713724747	0.0308572130675061	0.0575611350364881	0.0422047895494914	0.0118403401597679	0.0154393287381121	0.0105942994589079	0	0.0194894251758777	0.00905628968103313	0.0172068666230081	0.0314255706537625	0.0277875909818733	0.0190242475255407	0.023751969148792	0.0248085380047207	0.0226766963044456	0.0450900581161163	0.0136669527515472	0.00765643737904625	0.00459355896742135	0.013087702018353	0.0149018818747023	0.02880628297735	0.034891058886937	0.0365463628740569	0.0475335254137981	0.0421846908309082	0.02980941674319	0.0356176496382632	0.0289404735718014	0.0193422155680509
OM3_C_8C_3	0.0276131728167642	0.0159975737187135	0.0206417698329672	0.0328833525171492	0.0153926012880948	0.0195376734130478	0.000185316399723696	0.00592330320931681	0.0475825938161839	0.0727009634228213	0.0269010557213047	0.00768280489507625	0.00820449197138254	0.0106568429912048	0.0194894251758777	0	0.0104781951784742	0.0036514587977027	0.0120775861512959	0.00899143549701672	0.00543512683234054	0.0121286059237047	0.00941667836592079	0.0071168701008478	0.0280951614507783	0.00586393797502326	0.018110931305027	0.0164503968657048	0.0107913744223146	0.00462086764555869	0.0140763654448758	0.0187045814859315	0.0212371490163396	0.0327563012124309	0.0247476387032631	0.0167844769318112	0.0182084901730734	0.0115487616222903	0.00768246177021962
OM3_C_8E_1	0.0368340057296607	0.00919594469970038	0.0305954795541976	0.0412029481614126	0.0236551591664971	0.0279197767986933	0.0102945281190077	0.011338841915431	0.0386243859511056	0.0647047234679383	0.0342123805536897	0.00279681126136497	0.00754637176058876	0.00493532207601882	0.00905628968103313	0.0104781951784742	0	0.00821770537682806	0.0223728562843886	0.0187731080367467	0.0103413868454128	0.0161579409667293	0.0163114759649882	0.0140186932283371	0.0366114498531412	0.00478332570381784	0.00895245606943201	0.00684301330583187	0.00654917153900092	0.0058645634476066	0.0206582348219452	0.0265193125234008	0.0284567969451288	0.0397827636114604	0.0335588651798435	0.0221995464221523	0.0269393077364192	0.0201690335919604	0.0111477549209881
OM3_C_8F_2	0.0286861653814649	0.0155498669381098	0.0240822807595724	0.0333355823843966	0.0156890768429898	0.0199586215006965	0.00353766293196039	0.00385030926898915	0.0465311328648135	0.0722070182875664	0.0267249645046332	0.00558844889780829	0.00455821233489076	0.0100392531180829	0.0172068666230081	0.0036514587977027	0.00821770537682806	0	0.0143512178399488	0.0105846657353369	0.00291996305758087	0.0100323791109834	0.00864489110936711	0.00620239835583285	0.028656872636744	0.00466064262784252	0.0148453737750236	0.014843219369254	0.00718800631301653	0.0030379184845072	0.0133014226936774	0.0187454516907129	0.0209549960070362	0.0324672603176808	0.0255010194078601	0.0154940962616919	0.0188685045965063	0.0120603678675715	0.00490219343136749
OM3_C_8F_3	0.0166108611705285	0.0277174412910628	0.0131451827724089	0.0229405690667499	0.00865872684489753	0.0110348494701832	0.012261518610607	0.0127841622121638	0.0593893401647416	0.0839305141700527	0.0190332838985508	0.0195961126857622	0.0176497381868516	0.0226002175113276	0.0314255706537625	0.0120775861512959	0.0223728562843886	0.0143512178399488	0	0.00426469927804095	0.0134107647041421	0.0146470572542506	0.0102625713217362	0.0106896677386925	0.0181565476750602	0.017923571380578	0.02891055360427	0.0285249111655025	0.0206977566764509	0.01655211135654	0.0115356106512995	0.0116090270483421	0.0145598307603039	0.024710437122663	0.01459983106322	0.0147233979836325	0.00928779731211395	0.00670341596574968	0.0144800055785044
OM3_C_9D_1	0.0186344151974199	0.0249830392822274	0.0168469116220023	0.024155480950971	0.00737204875743384	0.0110618024275689	0.00916197583572203	0.00859373590306038	0.0565504511275072	0.081613820345705	0.0189060830913568	0.0160570735705047	0.0135144036359791	0.01963646992241	0.0277875909818733	0.00899143549701672	0.0187731080367467	0.0105846657353369	0.00426469927804095	0	0.00928707368882138	0.0106364011302096	0.00617984099425593	0.00642523186912731	0.0193297610115362	0.0146036902866553	0.0248296351420649	0.0252079431353294	0.0165592181594016	0.013104685665162	0.0085268419863209	0.0107771806214727	0.0136445138777854	0.024775277868641	0.0158938484491385	0.011823867967053	0.0095369312165695	0.00390247345463642	0.0102309859486399
