	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9E_1	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7C_3	0.00907887842822964	0.024828963278482	0.00897632881864962	0.0218365271126577	0.0791965083639561	0.022927060658921	0.0293916570908575	0.0447764690442779	0.0349813884700101	0.00525709272763021	0	0.0542556508983728	0.0723439058610625	0.0367082387271174	0.0594612810367158	0.0533862272153986	0.0102696557168571	0.0059862433371409	0.00718531608825317	0.0130701236074621	0.0556631412487155	0.0325858839553906	0.025043409420459	0.0271283352068353	0.0241111603655516	0.0365589037338583	0.0347800263018236	0.00904881663920491	0.0177254056445982	0.0080071137833017	0.0189554344902107	0.0223868686135026	0.0167050355229829	0.0080206266273569	0.0102974739434388	0.0119545815042211	0.0524068590780728	0.0454775829808553	0.0399169606842398	0.0377732901402542	0.03591219776874	0.0435528573337988	0.0298036026966617	0.063740506457549	0.0382190004624415	0.0457426806138629	0.042343814078817	0.0502812554557671	0.067222951425522	0.0241475602381265	0.035289054477857	0.0251688270826094	0.0316447145017827	0.0414072773023448	0.0360305549996193	0.0504641892688772	0.0418547369172535	0.0339658593948858	0.040428337401261	0.0273946027874518	0.0337582462332398	0.0272714752070691	0.0359359421638954	0.0378574253088102
OM3_C_7G_1	0.0601643869472967	0.0352671118770304	0.045963377732014	0.0363117034238904	0.0274106373523653	0.034243291543367	0.0282748318429923	0.0163831248663912	0.0201590774720464	0.0540983128595297	0.0542556508983728	0	0.0209857458300325	0.0186856900868614	0.110545235586347	0.104545880011045	0.0531385808997243	0.0520859886615414	0.0527636180126654	0.0417827820790948	0.0121872574947874	0.0231752287630046	0.0330896894510352	0.030023533392699	0.0344936865900002	0.0229242301877267	0.0234372475873659	0.0621524932312875	0.0703806174996671	0.0500900356199342	0.0691705215905	0.0738849736246041	0.0694760842301195	0.0535871438453946	0.0446288839110005	0.0426963106615856	0.104427008747092	0.0965849495582189	0.0918090201012524	0.0240359561080755	0.0209868933678066	0.0126636618394218	0.0279754511078875	0.0178006645359076	0.0206859043267207	0.013625991604006	0.0178830360457701	0.0114363455992701	0.0166722075990864	0.0336117455816959	0.0296816000322167	0.0302163370728542	0.0236838023148226	0.0189581377148411	0.0205946822579774	0.0210412765528263	0.0143037772206742	0.0237723067915889	0.015468937984402	0.0279300868097859	0.022949598059449	0.0272694547984407	0.0192117210905881	0.019999761979623
OM3_C_7G_2	0.0785033984567564	0.0500806147567595	0.06403981759719	0.0520452046362119	0.00738843958298186	0.0514241330284505	0.0439038444839875	0.0287840056680498	0.0377515403895395	0.0724860477314667	0.0723439058610625	0.0209857458300325	0	0.0363353885605491	0.129497914503975	0.123662741668854	0.0722790613956298	0.0699149788899798	0.0717664250142098	0.0593812235498278	0.0172086578839079	0.0407830598885245	0.0491470510367739	0.0464549311945449	0.0502173299907247	0.0370949682765824	0.0383930058403303	0.0802880896459161	0.0891707125179095	0.0674455666645361	0.0884580139577268	0.0928416494308338	0.0880362423508151	0.0726239447298721	0.0633878039131503	0.0607900159010434	0.122990221644663	0.115664355684122	0.110644282033949	0.0365883256217814	0.0370173620315141	0.0301557328023844	0.0433578118814495	0.0115169442046253	0.0350911847659586	0.0275951679810386	0.031769196947654	0.0230589764924594	0.00595924838170215	0.0498706912468454	0.0415840982886131	0.0473988424809926	0.0408055482234005	0.0320341479120221	0.0377185393717763	0.0260248005317129	0.0324642120778852	0.0389919318831156	0.0324600904630835	0.0453140799561797	0.0394941126420929	0.0457455728348207	0.0373866596194126	0.0355168037581383
OM3_C_7G_3	0.0432037065659691	0.0175575365518657	0.0282041679906342	0.0183468646349746	0.0431315206661435	0.0174678324481885	0.0104423074101151	0.0106681287389862	0.00501183621548099	0.0369574402473605	0.0367082387271174	0.0186856900868614	0.0363353885605491	0	0.0945810972992703	0.0884732045466256	0.0371599763049485	0.0348916439742383	0.0364147984589618	0.0241530675542959	0.0200042362847906	0.00477911499281469	0.0156255116341789	0.0115296944894804	0.0169517424675928	0.00781159553199028	0.00713134302029546	0.0448088599528345	0.0536349025693162	0.0323096361986104	0.0530062570740354	0.0574170600119974	0.0523718898161197	0.0374023143426232	0.0276981776243579	0.0249308582196695	0.0879863569807335	0.08053755697592	0.0755589620329764	0.0107172446822522	0.00470539859748171	0.00807669446727315	0.0107229396438247	0.0280925297958492	0.0089153701829447	0.0100544134235345	0.0083081137562621	0.0149020732152831	0.0309620108156866	0.0159123615651663	0.0157304247705684	0.012008615162003	0.00628863504487704	0.00855578705775692	0.00470613517073761	0.0189533572284466	0.005904620457039	0.00751138512649624	0.00408479758177823	0.0110097887210279	0.00496954807731639	0.00969143784864136	0.00363830334856445	0.0062654679452631
OM3_C_7H_1	0.0518986751634619	0.083609258428286	0.0671872008417718	0.0806737433483121	0.135950618744614	0.0818568706747517	0.0877771850905387	0.103503322885105	0.093095474219989	0.0580412558525072	0.0594612810367158	0.110545235586347	0.129497914503975	0.0945810972992703	0	0.00694113581091369	0.0577208473525933	0.0607798252954385	0.0591970032823036	0.0718480117097986	0.113600514373818	0.0904000499192842	0.0843787514183838	0.0861491663505467	0.0833948795671286	0.0954028395956882	0.0931310125025848	0.0509257173271452	0.0422354378779849	0.066414645792359	0.0421688317981853	0.0374451691467226	0.0430659853950196	0.0586422325240378	0.0679002822050395	0.0709615877114436	0.00873854235759955	0.0142580941420393	0.020082166002197	0.0964329264805716	0.0937802574064746	0.100270589797634	0.0885796112236753	0.121414548111348	0.0969264146253345	0.104187402290414	0.101104189574134	0.107297429265232	0.124578914958076	0.0835049059030282	0.0942086526284584	0.0837995616933908	0.089970988844254	0.0997859351679621	0.094574616214958	0.108784858290722	0.0990827034424014	0.0921596419756658	0.0984508318638753	0.0859457066833485	0.0924337044466055	0.0851599374190181	0.0929967719727709	0.0952481224117998
OM3_C_7H_2	0.0459750720792947	0.0777366935465238	0.0610700058759594	0.0747824193999519	0.130153160251584	0.0757749207431088	0.0818238431190293	0.0974864303904552	0.0870641787810382	0.0520077442534657	0.0533862272153986	0.104545880011045	0.123662741668854	0.0884732045466256	0.00694113581091369	0	0.0516883015374412	0.0549487469395004	0.0530953972333583	0.065875431599577	0.107689248746235	0.0842642565078354	0.0783379865664026	0.0800215999023865	0.077416010514274	0.0893984615781204	0.0871770610058043	0.0449595208524287	0.0361174313928616	0.0603709818574037	0.0359130642633509	0.0313009424471916	0.0369215130700828	0.0525551830565731	0.0617332770865624	0.0648020215583352	0.00709697389523626	0.00822426570956571	0.0146883710251906	0.0905472409900313	0.0877926478702655	0.0942609774899894	0.0826538101514939	0.11553002753898	0.0909980011007141	0.0981104311174217	0.094983252526653	0.101415389939172	0.118671849927959	0.0774453426260277	0.0883696594954638	0.0777541629501625	0.0839603714028678	0.0938272888113353	0.0883883718503322	0.102994873408897	0.0929157195808968	0.086247209304179	0.0923708296603622	0.0799351169011719	0.0863038155224633	0.0790185135720554	0.0869438094050875	0.0893045703376166
OM3_C_7H_3	0.00897866324974655	0.0291872289052532	0.0123133040203546	0.0258743469774927	0.0788912694356915	0.0263399613460625	0.0314961718956979	0.0464919343444735	0.0356942608568503	0.00633272469317692	0.0102696557168571	0.0531385808997243	0.0722790613956298	0.0371599763049485	0.0577208473525933	0.0516883015374412	0	0.00887933726092665	0.00624191075116406	0.0163695673544145	0.0563805222909232	0.0332026038479115	0.0290251783071432	0.0299779562915366	0.0284461779165014	0.0388799297495942	0.0364848645105037	0.0119433722603835	0.0182542539429182	0.0165555827663202	0.0164295877760036	0.020858198140536	0.0173086542993419	0.00729036205521944	0.012034617845434	0.0156400340511965	0.0515003544485378	0.0436529835421709	0.0388801888146529	0.0403506483915635	0.036727352018132	0.0429081177699155	0.0323326095065179	0.0644233397250851	0.040143645032378	0.0468978029770995	0.0441530097202916	0.0501884316563531	0.06729370663043	0.0281304936765018	0.0394300722858577	0.0270259726229485	0.0327464553553121	0.0429974081517285	0.037434193874125	0.0526829974339242	0.041686081076946	0.0354639178607043	0.0410057465922055	0.0289933746930867	0.0354581329560809	0.0277652321770975	0.0355485189685214	0.0383129074218228
OM3_C_8A_2	0.00907127307674275	0.0232981877683087	0.008064429400741	0.0201815546503757	0.0766096255989528	0.0227941793656333	0.027241495870135	0.0430871340869531	0.0332559136866217	0.00441290717694819	0.0059862433371409	0.0520859886615414	0.0699149788899798	0.0348916439742383	0.0607798252954385	0.0549487469395004	0.00887933726092665	0	0.00874455492318954	0.0114824388598133	0.0534222481582928	0.0307826997079434	0.0244683528962389	0.0260398550063298	0.0233586304917791	0.0348663629572419	0.0326237270048464	0.0106451533097713	0.0203370392990565	0.0109557647745689	0.020837660068641	0.0239802093755149	0.0186967449254033	0.00997248435951549	0.010659620451163	0.0119788193825264	0.0537159901733837	0.0469390254171066	0.0415319558117727	0.0357872227153868	0.0336171032568475	0.0411219234798646	0.0279148103893655	0.0613480976465089	0.0365041022507627	0.0440767351128141	0.0409257497640956	0.0476123295680314	0.0648785086067073	0.0236038682291102	0.0339797268796216	0.0234582477311014	0.0297573535035628	0.0393136672495784	0.0349084493098272	0.0482316944402127	0.0400659767226854	0.031633253855997	0.0386104745628592	0.0258885346520239	0.0323576370247316	0.0257315957100805	0.033674750225098	0.0352842980980004
OM3_C_8A_3	0.0104307286530783	0.0273339045575886	0.0111492509879097	0.0240831486807673	0.0786240469905093	0.0232069138915852	0.030628692049885	0.0451730414381029	0.0344043050461346	0.00707732374155326	0.00718531608825317	0.0527636180126654	0.0717664250142098	0.0364147984589618	0.0591970032823036	0.0530953972333583	0.00624191075116406	0.00874455492318954	0	0.0144225050008194	0.0556358038909371	0.0326301598990052	0.0263687854135236	0.0283700276865999	0.0258331747606923	0.0375547634917424	0.035641966631384	0.0119942618163685	0.0177637125233019	0.0120962680968056	0.0173511436869445	0.0220266753857677	0.0180203704589979	0.00160662326711642	0.00906670543076485	0.0131601372468768	0.0528159232658534	0.0450367289870435	0.0396868702763709	0.0390846304818967	0.0362438402311116	0.0428999338125124	0.0309002084689334	0.0639582818480401	0.0384770628280367	0.0457597013140564	0.0428470682315774	0.0500996343784816	0.0668226374112429	0.0255223238622119	0.0372102815593563	0.0257725429306926	0.031587793645532	0.0421275680801389	0.0359393551802004	0.0516253793897329	0.0412498409182339	0.0346863165209592	0.0401191951195363	0.0272226099779677	0.0341650474538654	0.0267629643085058	0.0353580151228133	0.0381747295361545
OM3_C_8B_1	0.0201463384630756	0.0130212447794749	0.00606158185838407	0.00971527523028813	0.0662504045171045	0.0117000779925793	0.016683514434313	0.0319603207387534	0.022254494588871	0.0141519172871755	0.0130701236074621	0.0417827820790948	0.0593812235498278	0.0241530675542959	0.0718480117097986	0.065875431599577	0.0163695673544145	0.0114824388598133	0.0144225050008194	0	0.04269111484644	0.0202640983702055	0.0131447669644396	0.0149237316993193	0.012247461685679	0.0238310934703481	0.0219411600255239	0.0213166360428672	0.0304076218863502	0.00976100988021945	0.030806514917643	0.0346709614194111	0.0293002280915144	0.0155220448945722	0.00697741858421541	0.00401916795907322	0.064862472757317	0.0578714308537952	0.0523938497962683	0.0250293344958541	0.0231276965408408	0.0310185560837178	0.0169351073283821	0.0508221416955538	0.0253374082230492	0.0330000731718313	0.0297749566160275	0.0374276528771015	0.0543027584433624	0.0122760285064834	0.0232355473083394	0.0123988341491171	0.0187620885420045	0.0285540629911392	0.0237070811852236	0.0376694017021561	0.0296030091691006	0.0210365885471616	0.0277324829382913	0.0146605232661098	0.0212295555905029	0.0150836783329005	0.0234973900510582	0.0251473854516645
OM3_C_8B_3	0.062123344657292	0.0329899838980736	0.0473553516636468	0.0350185390305871	0.0240934897899203	0.0349218421128213	0.0268774324352788	0.011820359948528	0.0215370911446778	0.0560395937654916	0.0556631412487155	0.0121872574947874	0.0172086578839079	0.0200042362847906	0.113600514373818	0.107689248746235	0.0563805222909232	0.0534222481582928	0.0556358038909371	0.04269111484644	0	0.0242889368432941	0.0322556398699348	0.0294177692181629	0.0332641419157046	0.0199162111049519	0.0213312852032587	0.0637081513990498	0.0728233199499589	0.0506110812465569	0.072420215642039	0.0766630069690528	0.0715596974743462	0.0565538646133195	0.0470353880282621	0.0440901595906184	0.10685070823232	0.0997004026014176	0.0945561736141098	0.0194929892273775	0.0202607016247447	0.0151349305659806	0.0263360612348628	0.00887660070483439	0.0184433433712144	0.0110437762285366	0.0149659115474695	0.00813839644115765	0.0120156538789382	0.0329516641636628	0.0248901178114096	0.0305752417949117	0.0241710858953112	0.0148674240503105	0.0213168759702963	0.0107542474668673	0.0172098497638069	0.0220433506274876	0.0161233322165998	0.0288064172908906	0.0226377481850112	0.0294121140133824	0.0214875155621868	0.0190121500433737
