	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7C_3	0.0211974061765848	0.0174107780358794	0.0101452160657804	0.0180235298071678	0.0102582171916357	0.00988859270283734	0.00489981746411558	0.00550233109633946	0.0206325088999261	0.00959242632398903	0	0.0154530688081076	0.0104635854234735	0.00451114270873889	0.0270995711788511	0.0096972100840397	0.0129512716278589	0.00812137405023135	0.00758488213749666	0.010003243143831	0.0234962498129993	0.0143606769527865	0.0146508830477793	0.00471249274510356	0.0667822550494969	0.0630744751525247	0.0433630108026056	0.0102568297455891	0.00458200284934214	0.0139199581881603	0.00410841663460511	0.0109753508112571	0.0113356447731368	0.00432175413561137	0.0106252922686766	0.0237375010317599	0.00520261273241231	0.00614823038781354	0.0169754735616245	0.0152756517720978	0.0118268129903161	0.0218139746075788	0.0148744677019423	0.0501330122596034	0.0375107173954896	0.0129214245054663	0.0189244649676402	0.00670090730976903	0.00917748145381331	0.00952192468771886	0.0147988004925369	0.0153144417607646	0.00767266236900165	0.0111074385098904	0.00618378746342012	0.0210320419806196	0.0116466726815222	0.00675989328588372	0.00404604429219972	0.00308357661191549	0.0147691384735166	0.0175352762392484	0.00711302825870875	0.00856944910914305
OM3_C_7G_1	0.00773021623792136	0.00512746482731313	0.00647770560015564	0.00373326873569001	0.00806360178014752	0.0123071271518935	0.0168429609756238	0.0209089231974384	0.00637575119768254	0.00651070525183792	0.0154530688081076	0	0.0187077568614109	0.0145430419248728	0.0126056724480327	0.00791355149194439	0.00758153146987101	0.00864363959407557	0.0120850020545016	0.022986408064277	0.0100439884634302	0.00781685889537363	0.00420046465154772	0.0138636283832825	0.0527867352000349	0.0486255074236825	0.02881293589968	0.0134171615236034	0.018020128877179	0.00617580955423466	0.0148967373479654	0.00731355363415216	0.0149901983528537	0.0146579657130177	0.0227254417415326	0.0100170228014504	0.0107321092280647	0.014351702141475	0.00555260638214522	0.00255744004488918	0.0220631859797348	0.00974143025834717	0.00628651297993653	0.0352666869628447	0.0230843716535836	0.00628748203595781	0.00742685733765888	0.010786480320026	0.00796293183025776	0.0156398223249358	0.0297416925579991	0.00394606609774603	0.0139225963376612	0.00730862958974009	0.0165832649933507	0.0359397645485607	0.00558932405465256	0.00948257045139407	0.0190438082361176	0.0157940970300391	0.0289904189916722	0.00619981772194236	0.0121708390461838	0.0110550071845984
OM3_C_7G_2	0.0255248016587195	0.0227649176281504	0.0123119542319904	0.0221246038761652	0.0107981164233393	0.00691393018921086	0.00744280387419928	0.0123333936486006	0.0236104059900953	0.0141255877006778	0.0104635854234735	0.0187077568614109	0	0.00645882636973817	0.030537527124632	0.0111904426054668	0.0120768555204656	0.0118841190750215	0.00681696195259197	0.0142163747794949	0.0237094237991425	0.0204816223919911	0.0180637371350663	0.00671687835091974	0.0702826283707391	0.0665075460595779	0.0470236124199489	0.00633078285485884	0.00778812228607522	0.0143817575702453	0.00743995308660976	0.011620339454844	0.00478721875035992	0.0072313855445222	0.0135271578645712	0.024366237914035	0.0103265556490072	0.00565959715138906	0.0187164039225563	0.0177306643000794	0.0146447434652674	0.0266585272932736	0.0143942917998189	0.0523166211516057	0.0411807257116452	0.0167241943277964	0.0182276051879345	0.0139675587045002	0.0157420277531382	0.0137404755659447	0.0152749508353964	0.0162847285449505	0.0092688179290105	0.0115244518475206	0.0127647331841303	0.0202081354398318	0.0133096478740358	0.0116261932433705	0.00959351490635589	0.010356497464499	0.0156416606690727	0.0171372983665374	0.0165376702437629	0.00889034065609729
OM3_C_7G_3	0.020977110384954	0.0177078534250962	0.00825505771808144	0.0176249530495048	0.00753872205888659	0.00605099952551052	0.00352180093939853	0.008495599547646	0.0197091812346985	0.00897455607383212	0.00451114270873889	0.0145430419248728	0.00645882636973817	0	0.0265350642469477	0.0073464274201153	0.00999418282464787	0.00684969876355503	0.00381954261727274	0.0119646697731058	0.0214004603257239	0.0150064090641477	0.0137284145829609	0.000916224888225574	0.0664947083008619	0.062748242889634	0.0430690526496024	0.00602985497895263	0.00465959911638178	0.0115249484926862	0.00261974706718005	0.00840022843458106	0.0069686963500325	0.00238518621467489	0.0118958676052808	0.0218202722926523	0.00458266698709751	0.00239421519045612	0.0153320775342685	0.0139060585918963	0.012898761170032	0.0218827778991291	0.0121942277977967	0.0491818663241046	0.0371746674015763	0.0121361738245709	0.0163327132185848	0.00786543322379833	0.00989390389075844	0.00950280313287161	0.0157025466015012	0.0133145884716858	0.0063367564963838	0.00851506909279733	0.00834358697569986	0.021650389527285	0.00973776551355371	0.00633651857252876	0.0059205513984461	0.00526857479286383	0.0158007274650341	0.0150938180564362	0.0100869482577226	0.00594747376581584
OM3_C_7H_1	0.00605976494210808	0.0106663003378714	0.0186408107119337	0.00934770165468573	0.0197943070382868	0.0244337838131026	0.0281883888443542	0.0322630101823084	0.0069521610641729	0.0177336817355495	0.0270995711788511	0.0126056724480327	0.030537527124632	0.0265350642469477	0	0.0195303494690828	0.0189779463018972	0.0198752092047067	0.0242758587439821	0.0351603620353735	0.0098535845594336	0.013957898853558	0.0129374970601565	0.0259838826617404	0.0402147060514177	0.0362443342220964	0.0166339903244266	0.0245606479963257	0.0302655632468953	0.0162793001708047	0.02722490325119	0.0189541745447193	0.0267273087667105	0.0269899038251981	0.035072617511101	0.00883838434333608	0.0229557663895066	0.0266659185543291	0.0121521139439226	0.0128702986871059	0.0343481247026808	0.00669650413621053	0.0167801421138969	0.0231274176085347	0.0106814287281718	0.0150485529199269	0.013989091529408	0.0210938794559113	0.0181449971143711	0.0244353303931712	0.0417735903118385	0.0150306290016391	0.0265182093008983	0.019374709911323	0.0286779387036276	0.0479215325489221	0.0179840792820311	0.0218686737433004	0.0309797449389236	0.0279230958504097	0.0412976809208781	0.0154201566586217	0.0221917467734185	0.0235875399413405
OM3_C_7H_2	0.0143411308206854	0.0118987640579849	0.00195252510122093	0.0110465825427974	0.00119212087107326	0.0059761279635624	0.00950891556817378	0.0149051972004602	0.0126116797776643	0.00371475603287457	0.0096972100840397	0.00791355149194439	0.0111904426054668	0.0073464274201153	0.0195303494690828	0	0.00408672116111504	0.00266838117643035	0.00499971798141349	0.0180925513931971	0.0141122061108947	0.0100538369584715	0.00692894377642711	0.00682401044268835	0.0594984549402768	0.055704043910251	0.0361033484795728	0.00579053430009168	0.0116209614824223	0.00428868064636649	0.00856653025447248	0.00151157070780843	0.00822114112127393	0.00823985696131781	0.0178479269650938	0.0145017367440531	0.00535964220335634	0.00743620861340103	0.00810683772723929	0.00675019086694678	0.017968743326499	0.0155350253450236	0.00545976361621788	0.0419202471823706	0.0302070703629772	0.00599447675747302	0.00926769260249045	0.006806949086721	0.00639931056953197	0.00998387543447886	0.0230423800496647	0.00653126827455801	0.00919476773994261	0.00277958479575038	0.012600145436127	0.0289772731492551	0.00383352440796252	0.00550159688764139	0.0128004207735077	0.0105296595210054	0.0229093034450178	0.00858260293137558	0.0101399756511469	0.00582028456678261
OM3_C_7H_3	0.0146161715568262	0.0125295738848205	0.00376226665494364	0.0111089268958009	0.00304678737810076	0.00572681028454691	0.0126684323672326	0.0181344976231638	0.012273744991762	0.00690377134234396	0.0129512716278589	0.00758153146987101	0.0120768555204656	0.00999418282464787	0.0189779463018972	0.00408672116111504	0	0.00670846199538164	0.00647590677180846	0.0200087080536921	0.0124551402807291	0.0125170352165056	0.00807433424631243	0.00932852786443832	0.0587799834412624	0.0547214707789827	0.0351985383451389	0.00689957718133103	0.0139097803776763	0.00383314733138269	0.0107874653149459	0.00261891051524272	0.00782312721380361	0.0104291518183515	0.0193756070878948	0.013040573979557	0.0081217796938816	0.00914380889418789	0.00804624093605879	0.00656100404072144	0.0190547916226637	0.0163324713901178	0.00245892280066085	0.0405863567751566	0.0294828573816801	0.00833325371130168	0.0068851024201432	0.010744304792059	0.00975017516366633	0.0138381037701344	0.0253239934391458	0.00433909323709103	0.00996063010975912	0.00201781552570526	0.0145685008431636	0.0311485115109223	0.00321579262824684	0.00762498386032972	0.0155600701630385	0.0130481733871057	0.024801966902906	0.00528852222400714	0.0135521545359022	0.00617880288773156
OM3_C_8A_1	0.0142830711042553	0.0116237888321236	0.00358178178427563	0.0112533422057346	0.00382024699969918	0.00769066360290272	0.00838123939261244	0.0132763610427602	0.0130850288454667	0.00249732388025783	0.00812137405023135	0.00864363959407557	0.0118841190750215	0.00684969876355503	0.0198752092047067	0.00266838117643035	0.00670846199538164	0	0.00593851471795485	0.0173258179406903	0.0154578570028622	0.00861494240793449	0.00697507635121648	0.00649510303538977	0.0597020456670051	0.0560530101772007	0.0364532639061511	0.00703222544057073	0.010962462258695	0.00611095684682108	0.00815506338247752	0.00410977168842184	0.00985379813061734	0.0079038458545608	0.0173815192204062	0.0157033781813295	0.00464768080485215	0.00770343977278935	0.00891519388328791	0.00765816988565187	0.0177371891363043	0.0151072553441996	0.00781753605337897	0.0425941779695302	0.0304999205940496	0.00530548170707952	0.0112087589484992	0.00417772238807832	0.00432370353477076	0.00795120465966174	0.0221697261922464	0.00839836677680322	0.0096446248011473	0.00518980423340475	0.0118253424395887	0.0281716006803763	0.00563718847426097	0.00521170073074302	0.0116642812583171	0.00954047689169152	0.0222414957796499	0.0107774207141699	0.00789340316593394	0.00702228523873353
OM3_C_8A_2	0.0190911088078586	0.0160103789159766	0.00568316061782393	0.0155129425334947	0.00464767662073974	0.00248593928147934	0.00699398712198915	0.0121888752260458	0.017416297944932	0.00774241255468811	0.00758488213749666	0.0120850020545016	0.00681696195259197	0.00381954261727274	0.0242758587439821	0.00499971798141349	0.00647590677180846	0.00593851471795485	0	0.0142639436618391	0.0185236738275784	0.0143640664983549	0.0118510892162369	0.00313521087577175	0.0643416024749799	0.0604118594313105	0.0407377267206349	0.00419598318293035	0.00758199489644899	0.00876993558862561	0.00467560330991316	0.00550009488473673	0.00454073413311311	0.0042834614261491	0.0137613498292816	0.0190311337780601	0.00435393264382755	0.00271675314647713	0.0129915817526021	0.0114175358556391	0.0140763348785803	0.020357941819853	0.00883804173539787	0.0465775545447718	0.034920531095754	0.0108113553755111	0.013145746027225	0.0087373809582409	0.00963771113496689	0.0112531372114046	0.0188533266389351	0.0101365428734733	0.00554452598614238	0.00521872527473803	0.00978418832938997	0.0247141492404458	0.00673828780319778	0.00526087950409507	0.00935817548212152	0.00755342987200582	0.0185034759321944	0.0115914201376583	0.0112735892858102	0.00303157571945748
OM3_C_8A_3	0.0294444800497141	0.0248457402833595	0.0180285492016755	0.0258281256113426	0.0181918389385241	0.0154099270777079	0.0127444531361294	0.0085196634317359	0.028975371222751	0.0184769704934381	0.010003243143831	0.022986408064277	0.0142163747794949	0.0119646697731058	0.0351603620353735	0.0180925513931971	0.0200087080536921	0.0173258179406903	0.0142639436618391	0	0.0317654782949393	0.0233503369773885	0.0234610878553015	0.0119959786577614	0.0748941185057786	0.0707186146684015	0.0508654134456386	0.0175096924692552	0.0074857778656893	0.0222439291561542	0.00980104902898003	0.018931805501227	0.0161863529711244	0.0101709719893452	0.00205165229501127	0.032081904751153	0.012995627165665	0.0118066062697436	0.0257375284832094	0.0234528457585094	0.00441081286913804	0.0304002816793172	0.0222336343402411	0.0580825336447863	0.045305848203782	0.0222198629296953	0.026701358998821	0.0163430784861856	0.018202596304296	0.0191753710055199	0.0100771926966918	0.0224522596967384	0.0104103677672777	0.0183230562196715	0.00652785485975307	0.0160131035349923	0.0187393574943545	0.0136662566565104	0.00721394431810547	0.00780263985625445	0.00728303898203002	0.0241743963973457	0.0149101821383045	0.0139331010272441
