	OM3_B_B_3	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_H_3C_2	OM3_H_3D_1	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1
OM3_C_8A_3	0.021752207467751	0.0343419658957835	0.0566249725177026	0.0394314802457912	0.0459203757282633	0.0323593736848416	0.0127931398030641	0.0144863549853032	0.0413653433412156	0.0389438122895948	0	0.0481455068117682	0.0572442381709059	0.0179862569857007	0.0281098647814929	0.0389083985106497	0.00911136277226251	0.0272217673167006	0.0303949187422932	0.0141073761153041	0.00950291085397257	0.0102280354254722	0.0206201439255086	0.0206835254531951	0.0363144663631853	0.0136923709212243	0.0147770383705461	0.0187477906852897	0.0278534276471527	0.0401848305115992	0.0366954086350314	0.016812620459138	0.0100696561733101	0.0176621278900775	0.0302937180739444	0.00966363639599518	0.0400799294927471	0.023193642906502	0.0193403714894825	0.0143049903937071	0.0400898302309184
OM3_C_8B_1	0.0280676546650831	0.0141043178914933	0.0128548678125949	0.00911206831031458	0.0181968850875591	0.0171492173766532	0.0391557785796046	0.0537073393307097	0.0121098369921855	0.0092125813541244	0.0481455068117682	0	0.010371255379548	0.035437888028006	0.0204914216480547	0.00975072664547934	0.0418091374259218	0.0716498815873342	0.0177649732138421	0.0535220719179767	0.0493243350351455	0.0500495289591003	0.0433501427219008	0.0588717929795669	0.0815513176185494	0.0357439680975124	0.0598093190171756	0.0296800704623936	0.0735688277167757	0.00808882894118032	0.0119720665076596	0.0318355738775352	0.0418618119172443	0.0306081152043791	0.0211395775136881	0.041204005080546	0.0878371038743516	0.0270559172635685	0.0299272590092179	0.0391089727642163	0.00859545475126975
OM3_C_8B_2	0.0380472669681642	0.0229480729985749	0.00519753512137593	0.0179033038016456	0.018737640641382	0.0251128308208273	0.0490531719294032	0.063714634603326	0.0171200879128367	0.0189166902584485	0.0572442381709059	0.010371255379548	0	0.0455742852453278	0.0303410237875429	0.0199541770835218	0.0515055310514164	0.0815504958917786	0.027207399310091	0.06351444398448	0.0591497390493299	0.0599065312631013	0.0536644079953652	0.0690232348851122	0.0914158142365055	0.0454433519282946	0.0695336357946326	0.0392266481136651	0.0833363978460032	0.0173400269814754	0.0205755431264983	0.0414341328972259	0.0516514050672136	0.0400312492212067	0.0314619774642263	0.050918862465946	0.0971567779752335	0.0371293973797272	0.039748111273707	0.0491246846666857	0.0188461305349441
OM3_C_8C_1	0.00781165566155812	0.0238425355100452	0.0464007656326094	0.0282279361106916	0.0397627578497767	0.0238726605104684	0.00524547514821989	0.0183917734993514	0.0327582885873452	0.0267292041075032	0.0179862569857007	0.035437888028006	0.0455742852453278	0	0.0154916641456565	0.0256937058553307	0.0089461904240176	0.0364537637004147	0.0191599905732363	0.0182381010083755	0.0147093752062674	0.015265426737912	0.00948668796155487	0.0234821731708517	0.0463909174076217	0.00603866194311393	0.0252328342079603	0.00929059887486406	0.0386567519941543	0.0284539969526229	0.0261241615294697	0.00779288810036498	0.00823579887045023	0.00973254105467202	0.0146980771789126	0.00835271211537023	0.0540476928691167	0.00848417284759185	0.00712739904097732	0.00417040125208321	0.0268469729969741
OM3_C_8C_2	0.00775588596233542	0.00848254449593077	0.03093300157486	0.012748314027233	0.0252164086415968	0.00955361521063297	0.0187275792776189	0.0334150330253548	0.0175911248004005	0.0114314122093228	0.0281098647814929	0.0204914216480547	0.0303410237875429	0.0154916641456565	0	0.0109001348022866	0.0213290834846615	0.0512723196865808	0.00388187946561189	0.0332092542233641	0.0288677951160714	0.0296092634497197	0.0243747933337921	0.0388781830419514	0.0611673145904054	0.0152662135588337	0.0393412959220609	0.00937329316017638	0.0531275850376615	0.013051261108282	0.0106779277460069	0.0114353862854108	0.0213843165950866	0.0104652919094289	0.00573009195410121	0.0207215899397394	0.0674911524318403	0.00704943179344023	0.00944297319843508	0.0188279023682517	0.0120917468510961
OM3_C_8E_1	0.0183480942592904	0.00690344339569824	0.0214228888777771	0.00520162214461606	0.0204387303598979	0.0107552485200772	0.0294513075017059	0.0439708593105703	0.0121180636765262	0.00257328150936248	0.0389083985106497	0.00975072664547934	0.0199541770835218	0.0256937058553307	0.0109001348022866	0	0.0321949541091569	0.0619363079397204	0.00879511878021075	0.0437876398568685	0.0396377615354753	0.04035077272002	0.0337523012894955	0.0491449365708906	0.0718487453812691	0.0261475829069679	0.0501562063737839	0.0202356406944315	0.06389420684821	0.00428007803039798	0.00622554623896034	0.0223303225669209	0.0321996276197129	0.0212585542825681	0.0115739016455501	0.0315812463858158	0.0783638614776901	0.0173109605857614	0.0202816285345647	0.0293705336804723	0.00119181392617784
OM3_C_8F_2	0.0140286268085516	0.0287537164806115	0.0515884017894767	0.0336585310941931	0.0427212744939086	0.0276335271178758	0.00370619330859798	0.0131527897685183	0.0368698562442695	0.0326906649273518	0.00911136277226251	0.0418091374259218	0.0515055310514164	0.0089461904240176	0.0213290834846615	0.0321949541091569	0	0.0302610244513162	0.0243206559134028	0.0128586668641459	0.00782995595965439	0.00868038193982385	0.0126768361161171	0.0194472221617026	0.040074089696445	0.00607433463954473	0.0180572583599375	0.0123307178842128	0.0318977258716083	0.0341823252377137	0.0311470925604233	0.0101011557338874	0.00123341371806335	0.0117006024247057	0.0223571543426778	0.000640314028990352	0.0462988049772121	0.0153158723777802	0.01191989478749	0.00520887083973962	0.0333850001815776
OM3_C_8F_3	0.0436224046368151	0.0589700125652154	0.0817848015691614	0.0638113494119368	0.0724922375208191	0.057830995912899	0.0325588970007358	0.0180727158214903	0.0670518251140776	0.0626872063654436	0.0272217673167006	0.0716498815873342	0.0815504958917786	0.0364537637004147	0.0512723196865808	0.0619363079397204	0.0302610244513162	0	0.0544798969860484	0.018221381709368	0.0224841119133996	0.0217012680295755	0.030635406469171	0.0143624637726577	0.00994548959770407	0.0362591362258691	0.0125893539843938	0.0425697387761278	0.00368775711275934	0.0642626959401224	0.0613570948805478	0.0403366753232605	0.0299964958626198	0.0419483522638873	0.0511348936849008	0.0308129112976619	0.0204487055331249	0.0446580335410805	0.0418644889634652	0.0326042058446936	0.0631096776368103
OM3_C_9A_1	0.0113530528102692	0.00468408915952217	0.0274414679767064	0.00934745245722251	0.0213472862090281	0.00588919881762696	0.0220125977693379	0.0367741997092076	0.0137309290028816	0.00855392233061469	0.0303949187422932	0.0177649732138421	0.027207399310091	0.0191599905732363	0.00388187946561189	0.00879511878021075	0.0243206559134028	0.0544798969860484	0	0.0365509561300947	0.0320179469349221	0.0327965736974279	0.0281885049188319	0.0423967022145503	0.0643335606804864	0.0182614869276247	0.0423673706968588	0.0120268178802838	0.0561984860313551	0.00989294433134315	0.00698957022923691	0.0142340925676556	0.0245044356578435	0.012877346604357	0.00874450889254305	0.0237388757709732	0.0701666295670095	0.0108251534865339	0.0126897425636196	0.022282513927708	0.00992292163001261
OM3_C_9C_2	0.0254985035604318	0.0411273028185941	0.0639590779326815	0.0458612063768912	0.0555545871027615	0.0403146200932971	0.014545042875397	0.000379023841481648	0.0495282319360416	0.0446219088419976	0.0141073761153041	0.0535220719179767	0.06351444398448	0.0182381010083755	0.0332092542233641	0.0437876398568685	0.0128586668641459	0.018221381709368	0.0365509561300947	0	0.00532967121284335	0.0044133933043783	0.013521227795584	0.00684722727867098	0.0281642366978233	0.0185271021394721	0.00804989000391176	0.0248402375147538	0.0205260390936733	0.0462461302472799	0.043499544964625	0.0226189523472254	0.0123033327982077	0.0243897493064168	0.0329292696029703	0.0133079337678216	0.0365585013987149	0.0264859446351555	0.0238684359658652	0.0144267522258266	0.0449567569102461
