	OM3_B_B_2	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_3	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9H_2	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7H_2	0.00590442151237539	0.00589292127900065	0.010324267562152	0.0206661415911765	0.023427214138723	0.00749404082552287	0.0393512450755958	0.0214447835338274	0.0104753880451438	0.0726069792065903	0	0.0190579134644337	0.0242251618015684	0.0182433901267328	0.00873089448499688	0.0141957827829688	0.0123854355656157	0.002402071977705	0.00749485273494763	0.036009570747487	0.0573123938027387	0.0187235677485383	0.0838007996030322	0.0115764666633072	0.0193192092486945	0.0185192760687618	0.0231398074968037	0.0413219449089488	0.0255867422076926	0.020835190661543	0.0234263273264254	0.0542182643047255	0.0167660878997577	0.0168523408084062	0.00764168496245812	0.0116165401135619	0.0129947592157747	0.0172537588954119	0.0118117410926362	0.0227937052313984	0.0158585384057193	0.0153636724368767	0.0290127323370306	0.0113175445714298	0.0214375475914831	0.0336842597763298	0.0160313245032853	0.0164952216386742	0.0565635039209458	0.0251404496674087
OM3_C_7H_3	0.0193470028747569	0.0150614112249941	0.00951622458727621	0.00465557276309096	0.00943917478426258	0.024381652603167	0.0220239933294496	0.00265686541660912	0.0128898863407653	0.0553231678251102	0.0190579134644337	0	0.00830714928791983	0.0133205651916443	0.0118214284335545	0.0313100595277585	0.0257569521561135	0.0187207687846114	0.0138079591761421	0.017889966734188	0.0413252647935771	0.0106912877874075	0.0677348449756359	0.0100976286218714	0.0104210494524836	0.0105815203912306	0.0113063475591074	0.0243382065685225	0.00834268974499728	0.0120549333954664	0.0119581064880625	0.0375357581330493	0.0111672062683049	0.00964403503288342	0.0114380831001593	0.00930562326463712	0.0113302189735387	0.0107001580121414	0.0113386367560766	0.0102709536109781	0.0101050559936497	0.0050929831354593	0.0146580219084267	0.0117558931770581	0.0136861082211575	0.0176466408689881	0.00778935247886142	0.00880811105961122	0.0404659660316132	0.0107608510686663
OM3_C_8A_3	0.0245994362216746	0.0189918142331274	0.0164250153409022	0.00501684535150763	0.00499360245583623	0.0306685888645504	0.0151362585344554	0.00631859503472259	0.0165387545558245	0.0485652497950823	0.0242251618015684	0.00830714928791983	0	0.0108950296814999	0.0156401882946318	0.037698605220843	0.0328761975843934	0.023177395141826	0.0188806158912937	0.0120591757426707	0.0340595922099933	0.00805005767627931	0.0602895397487271	0.0153661205162031	0.00730198567064597	0.00806717089255299	0.00561235822099267	0.0172092890062163	0.00346456216629563	0.00797799545208189	0.00780389963357527	0.0303273469116812	0.0103755318205782	0.0103032721501349	0.0172373214905424	0.0145743999717759	0.0126172898139419	0.0108048096126402	0.0133434986617484	0.00549933919645406	0.0109767194860614	0.0107075283932081	0.00804611891499281	0.013873390248726	0.0101010722167273	0.0104122392710505	0.00999590093221898	0.00986885206394512	0.0330158926505625	0.00276468625579564
OM3_C_8B_1	0.0184434965937408	0.0127770879364921	0.0148999770300443	0.011433975140487	0.0116081319203581	0.0254918900281427	0.0239996999515942	0.0134245585529869	0.0130438466247148	0.0563326998983988	0.0182433901267328	0.0133205651916443	0.0108950296814999	0	0.0102630975620349	0.0321280889740618	0.028955315690824	0.0163781516372185	0.0153008705334402	0.0221071437519175	0.0411538888947086	0.00299978178683866	0.0664860492391684	0.0142440417388389	0.00369117311318028	0.00316699218725466	0.00895476889749469	0.0256491210185073	0.0129625369200289	0.00672090120394763	0.0116532579756095	0.0378492703641262	0.00708658500980988	0.00997210491861165	0.0138798004609807	0.0116161846027629	0.00681620975008095	0.0100786359363728	0.00680589353637597	0.0101025949784433	0.00938852658580138	0.0124203297814968	0.0153170449516125	0.00735761701630559	0.00932891322613142	0.0176417113284116	0.0076948162934203	0.00647098272443217	0.0392540704519532	0.00989520581175871
OM3_C_8B_3	0.010407153015488	0.00350659968016068	0.00674267616135456	0.0125059145430058	0.0150379379585937	0.0157903860567508	0.0307295707005935	0.0138046661732163	0.00566551608160135	0.0639447439359734	0.00873089448499688	0.0118214284335545	0.0156401882946318	0.0102630975620349	0	0.0227361355779115	0.0193836902453404	0.00755980681936613	0.00572438727543537	0.027588829402311	0.0487102374726106	0.0101710453183985	0.0751106282967727	0.00661955429379509	0.0107010066668659	0.00993719256220639	0.0145515860031805	0.0326580915807016	0.0172749620100079	0.0124041881031574	0.0152559028728762	0.0455259760076262	0.00862859771863547	0.00908634104796528	0.00412123530213513	0.00603707844675104	0.00473349813091825	0.00963476215719699	0.00345831740916616	0.0143121705355859	0.00808483018613248	0.00828691859466685	0.0205817301912041	0.00305037901846817	0.0134946088401044	0.0251170290125844	0.00828670089571403	0.00861161859222883	0.0478893532759837	0.0164269590952226
OM3_C_8C_2	0.0146098875711456	0.0200844321221473	0.0218264194803389	0.0338539024741583	0.0371024280149881	0.00709249539507673	0.0527403638518401	0.0338782534021918	0.0238841314355147	0.0861447689092354	0.0141957827829688	0.0313100595277585	0.037698605220843	0.0321280889740618	0.0227361355779115	0	0.0076232675667006	0.0160048888775301	0.0204029063646609	0.0490210874537408	0.0711736845606429	0.0326770387331956	0.0976692717833599	0.0242338777393327	0.033280618147331	0.0325123391456774	0.0371640911194858	0.054873604200057	0.0385623757291095	0.0349885433669937	0.0372729870578662	0.0679330860294816	0.0308808418129446	0.0306091913426455	0.0205409053917406	0.0238523320445959	0.0271680984491743	0.0310475892495063	0.0258492696309594	0.036679186569205	0.0297203099393963	0.0281516721642361	0.042810168856113	0.0254350046806657	0.0355007603528464	0.0470184859396789	0.0290131958562114	0.0296514893176011	0.0701750079951002	0.0388856376913702
OM3_C_8C_3	0.0115220446529617	0.0176777696430045	0.0165023157290129	0.0289752507438559	0.0328075346380317	0.00610781981532605	0.0475682538618455	0.0283174053485827	0.0210871881783901	0.0809802012998152	0.0123854355656157	0.0257569521561135	0.0328761975843934	0.028955315690824	0.0193836902453404	0.0076232675667006	0	0.0144827573618682	0.0173676738173952	0.0435434767237722	0.0666768957481147	0.0289699127332316	0.0930135714926046	0.0203014472089829	0.0294898447374005	0.0288370567346461	0.0333043244702652	0.0498752567624967	0.0332475560762139	0.0316050023974585	0.0335468538685455	0.0630703758113337	0.0277150692271426	0.0270691929791538	0.0163026402418226	0.0189033691734972	0.0240850554955573	0.0277294237904129	0.0225664785830595	0.0326714368060537	0.0263442942356848	0.0233805656437291	0.0386323939210114	0.0223183733889383	0.0324644400088092	0.0419971646261721	0.0243270910726977	0.0252083050600218	0.0652951735628491	0.0344007149100933
OM3_C_8E_2	0.00607993327691118	0.00453370243171117	0.0106173394109108	0.0199562618791584	0.0224478316712923	0.00960926367507739	0.0382485911408215	0.0209535590689474	0.00992283099397637	0.0714072495419337	0.002402071977705	0.0187207687846114	0.023177395141826	0.0163781516372185	0.00755980681936613	0.0160048888775301	0.0144827573618682	0	0.00764995328528284	0.0351140810113704	0.0560298031365713	0.0171325182001327	0.0823272934391902	0.01158139578846	0.0177748770402522	0.016943041604523	0.021830257546137	0.0401643350240309	0.0246684469237056	0.0193560176622912	0.0223254475428889	0.0529549660735101	0.0154059393567099	0.0159156208721602	0.00765129274837911	0.0110449283963398	0.0115142689644553	0.0162489709983678	0.0102533147001088	0.0216521300368577	0.0148372006717686	0.0150573264326829	0.0279053505409395	0.00975545977669955	0.0200492482898478	0.0324043102066373	0.0149176565181435	0.0152039282507494	0.0551087016157948	0.0238633731736966
OM3_C_8E_3	0.0116740033524109	0.00484444705416341	0.00753169536726226	0.0146960672575406	0.0171487004986713	0.0134548738916502	0.0337496280528097	0.0161560651667824	0.00375640246906701	0.0666770913649125	0.00749485273494763	0.0138079591761421	0.0188806158912937	0.0153008705334402	0.00572438727543537	0.0204029063646609	0.0173676738173952	0.00764995328528284	0	0.030337326213703	0.0511866524780205	0.0148025642062193	0.078281971134542	0.00443072578708825	0.0151609060478069	0.0144630794620976	0.0174944738973547	0.0355861309108578	0.0206561664195815	0.0155882636662165	0.0170392026294427	0.0483933226454938	0.0113230787930931	0.0103648947597756	0.00454630513346669	0.00990916050265339	0.00866746023200296	0.0108020165188198	0.00875424620129463	0.0167517731510153	0.00959161386164137	0.0091588994689014	0.0227021042536604	0.00809928183769819	0.0156723657936914	0.029041038758937	0.013123776084158	0.0137233964535656	0.0516015794784584	0.0200728280718833
OM3_C_8F_1	0.0360832307964092	0.0309571803788442	0.0272601303293771	0.0156471597879984	0.0143366398800974	0.0420396733658144	0.00489838424395986	0.0152683948831854	0.0280128325869304	0.0375477132596559	0.036009570747487	0.017889966734188	0.0120591757426707	0.0221071437519175	0.027588829402311	0.0490210874537408	0.0435434767237722	0.0351140810113704	0.030337326213703	0	0.0247771230762677	0.0196340406677418	0.0502908399357177	0.0263619284801094	0.0188689504413669	0.0197261482051643	0.015559747379004	0.00747027674225867	0.010832390103079	0.0186711545631573	0.0165214689447679	0.0201956491645088	0.0218828909328996	0.0213996498512064	0.0286997397309878	0.0257387634191901	0.0246140410700791	0.0217342401042478	0.0253920383869782	0.0154350002450912	0.0223248759452199	0.0214679050187592	0.0116403897515819	0.0259299703764094	0.019906003344322	0.00751574255316334	0.0212714815673814	0.0212053622752565	0.0235867307167357	0.0122969571478846
