	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_3	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_3	OM3_C_8B_3	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_3	OM3_H_3F_3	OM3_H_3G_3	OM3_H_3H_3
OM3_C_8A_1	0.0244420131798977	0.00745597745317607	0.0133532236220313	0.000989781754096454	0.00937784942308053	0.00723244369296562	0.00807745010292807	0.0086934645465145	0.01886412274429	0.00625781154914234	0	0.0062864945441784	0.00520693752471879	0.0103291470032961	0.00996632837394661	0.00885045443233359	0.0159802940177328	0.00749925713285307	0.0118343412961848	0.0067578478522223	0.0240390692366388	0.0151755289596124	0.0236570159633669	0.0157008187594881	0.00945086175466866	0.00708520911005158	0.0133279707625022	0.0110027271157816	0.00540532104365322	0.00733681431425241	0.00657447880014393	0.0105190286371615	0.00873979345350373	0.026509669084754	0.0238362516773952	0.023867734999679	0.0227776906322875	0.0274402436794424	0.0177824513142507
OM3_C_8A_3	0.0284924671318319	0.0124730714568647	0.0145043871220791	0.00716787536441866	0.00457394828339859	0.00976405391030203	0.00549506838085945	0.0108746056489326	0.0159733172193136	0.00264705606231111	0.0062864945441784	0	0.00725142886933471	0.0043625782967202	0.0139135928955072	0.00840892438167973	0.00980769240904757	0.00896885143582254	0.0123420759438309	0.000573546363323978	0.0188992224031148	0.00951129540254676	0.0177228913591202	0.0113218828519321	0.0055879538336452	0.000799228315451652	0.0140960595011552	0.0137310861922696	0.0114674910166258	0.00722302418447985	0.00041375251736931	0.00699434083445005	0.00589770191990184	0.0220983479568223	0.017976779778024	0.0191266163714927	0.0191046614100896	0.024165960472778	0.023674287324342
OM3_C_8B_3	0.0212432869904066	0.0059585419665956	0.00827135183468409	0.00501370965958082	0.011703557851344	0.00255659178599563	0.00482998763071295	0.00385546824516124	0.0226440747586691	0.00893243361882437	0.00520693752471879	0.00725142886933471	0	0.0115091276317088	0.00670738746246881	0.0133642342941347	0.0164680837951038	0.0023162368701397	0.0066323694502338	0.00781933407961104	0.0261344505782077	0.0166783810661935	0.0245882724041642	0.018478323876972	0.0066533460324164	0.00786012534854836	0.00816902176361852	0.0065988082782036	0.00681274450740911	0.00261627864736229	0.00725050753843815	0.0137330169818201	0.00539577650448629	0.0293132178406514	0.0249139297151265	0.0263718727336838	0.0261229266186272	0.0310690947116338	0.0175265767166948
OM3_C_8C_3	0.0327022306601898	0.0168340777116093	0.0181320985700107	0.0112775891561493	0.00253076201790552	0.0139591294734026	0.00865312907279727	0.0149559364439249	0.013164031310701	0.00444214377473305	0.0103291470032961	0.0043625782967202	0.0115091276317088	0	0.0182090078936666	0.00869768210107509	0.00569628306591727	0.0130083417743442	0.0158600146600886	0.00379477150235	0.0146537991480676	0.00517184934528323	0.0133958060100685	0.007732299933181	0.00784061132216616	0.00366469518061763	0.0176069263692202	0.0178265475915125	0.0156702679993417	0.0110323672498982	0.00428036054140322	0.00511148510676746	0.00878605838566165	0.0181395051540189	0.0136293393567122	0.0150459642378763	0.0156246866237886	0.0208028333994049	0.0279661928605447
OM3_C_8E_2	0.0146739547666998	0.00329909669797131	0.00660413518447745	0.00917362807564976	0.0182500956128457	0.0044303378651705	0.0108583520478915	0.00411209876312536	0.0287221405417951	0.015310311850438	0.00996632837394661	0.0139135928955072	0.00670738746246881	0.0182090078936666	0	0.0188156128432901	0.0231223176481135	0.00578838014816174	0.00704645138968293	0.0144857893634894	0.0328082845185975	0.0233793236271823	0.0312577766427483	0.0249826918773281	0.0126344211076714	0.0145518237805929	0.00722731889922844	0.00279564149153303	0.00692239719648728	0.00799782822362838	0.0139388953494999	0.0200353204362246	0.0112337047876348	0.0358537405278802	0.0315977139665388	0.0329797850108245	0.0324518634358274	0.0372608211126903	0.0120750103115583
OM3_C_8E_3	0.0331975239707086	0.0161654985731193	0.0215883284637355	0.00966973207732141	0.00619067456800527	0.0157670771385075	0.0136755050968649	0.017178802119594	0.0103261066442588	0.00577529711768001	0.00885045443233359	0.00840892438167973	0.0133642342941347	0.00869768210107509	0.0188156128432901	0	0.0133152397432061	0.0156227425680392	0.0197142840085478	0.0082436197041666	0.0174661298104408	0.0108934999691218	0.0189728167463299	0.00891866642858229	0.013994072695657	0.008655825550091	0.0213851821461256	0.0197184960983193	0.0133490152204434	0.0145898050798127	0.00878501992009066	0.00448143435589311	0.0141722533033527	0.0188268543846645	0.0188936098194945	0.0167044559756617	0.0145764625608846	0.0188808742998567	0.0251190458633661
OM3_C_8F_3	0.0372448213973868	0.0221328621011568	0.0218623661091617	0.0169105446463257	0.0075151958733486	0.0187254882038898	0.0126122791880622	0.0194922246841074	0.0136652131244406	0.0101068795201957	0.0159802940177328	0.00980769240904757	0.0164680837951038	0.00569628306591727	0.0231223176481135	0.0133152397432061	0	0.0175517675751299	0.0195421986062431	0.00927941499240372	0.0110080035860638	0.00320598021863583	0.00814782732160892	0.00777533891111142	0.0111696990850973	0.0090269004489085	0.0211940479957105	0.0223074219273845	0.0212636544504997	0.0153854197865684	0.0096150393437	0.00891559087651338	0.0124772982716336	0.015441674591192	0.00853186041801973	0.012129838713083	0.0144431540033334	0.0195125205607738	0.0334637099563285
OM3_C_9A_1	0.0197541430998706	0.00626375911604639	0.00597356756857048	0.00722595643031968	0.0135268689755874	0.00150739106276398	0.00508724175384037	0.00195580851669148	0.0246984436486186	0.0109411930660886	0.00749925713285307	0.00896885143582254	0.0023162368701397	0.0130083417743442	0.00578838014816174	0.0156227425680392	0.0175517675751299	0	0.00433972844683129	0.00951171947816724	0.0276493944371227	0.0181207368803584	0.0256959664301669	0.0202893819690231	0.00684725581086291	0.00946652470447143	0.00585282965738069	0.00482184650422355	0.00818285954725966	0.00221948800420832	0.00888620169502806	0.0157293233496586	0.00544558643050471	0.0310436278311833	0.0260735338792101	0.0280226529427172	0.0280383299969431	0.0330481377174141	0.0175095061119975
OM3_C_9A_2	0.0181728682177138	0.00916075814675418	0.00232140578422111	0.0115584802396906	0.0168738178991364	0.0050406115452694	0.00721116985789867	0.00381038069206051	0.0283099928684638	0.0146481264499467	0.0118343412961848	0.0123420759438309	0.0066323694502338	0.0158600146600886	0.00704645138968293	0.0197142840085478	0.0195421986062431	0.00433972844683129	0	0.0128198704089608	0.0302072736779405	0.0207106270332073	0.0275332513920505	0.0234833891097007	0.00838616167349116	0.012658532349347	0.00175773507878781	0.00447444562515993	0.0119454783732135	0.00518885324550273	0.0121550774555188	0.0193196743830039	0.0071623076200909	0.0339775492026005	0.0279993205118072	0.0308305034032498	0.0313527414686137	0.0364628822064689	0.0189965727151649
OM3_C_9A_3	0.0290593804467297	0.0130397916454189	0.0150003928097796	0.00765854937565094	0.00406250246319426	0.0103265899106635	0.0058794642220031	0.0114247014123429	0.01551339569333	0.00247582969110815	0.0067578478522223	0.000573546363323978	0.00781933407961104	0.00379477150235	0.0144857893634894	0.0082436197041666	0.00927941499240372	0.00951171947816724	0.0128198704089608	0	0.0183272945895567	0.00893874188281372	0.0171666841861638	0.0107853991733743	0.00581694121665106	0.000456252019471476	0.0145760138997244	0.0142845293508741	0.0119864880344272	0.00772888858540888	0.000667656691132672	0.00655974854478835	0.00624113204519559	0.0215443765061723	0.0174154852639621	0.0185634155807217	0.0185881590432592	0.0236639830854679	0.024218201776749
