	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7G_1	0.0349909785509452	0.0128093799921572	0.0135762857503957	0.00635032316664298	0.0341406658667343	0.0342177162222533	0.0312165358244282	0.0104264147094979	0.0168064633934036	0.00206962826851805	0	0.0207819816143458	0.0058218695362924	0.00883294995042327	0.012796076566789	0.0126563749081805	0.029370883541376	0.00564584965185542	0.00777235875143953	0.0392492733599425	0.0268932557076646	0.0352745326011838	0.029226872849154	0.0185060161208039	0.00972715508391357	0.00190386632315632	0.0158438008899713	0.00847279332157866	0.0202442178182774	0.0417850061700567	0.00495566483180938	0.00703423329189615	0.013331792810569	0.0101356627406378	0.0206249209958616	0.00989637050598872	0.00672166827516813	0.00214873106403679	0.0138898306082863	0.00527990846024745	0.0068158215634835	0.0110416052923808	0.0169041105252083	0.0157301286097588	0.00885319860581451	0.0146725438748186	0.015224962733021	0.01573627442725	0.00883392971108746	0.0169258473044591	0.00824166425414687	0.00338909163199572	0.0262722686085813	0.0214268728718108	0.0136289805348316	0.0134990057850707	0.0117037374278449	0.00815295853419253	0.0191229470592302	0.0109347700090124	0.0197058515326436	0.0276538052426607	0.0283003217929077
OM3_C_7G_2	0.0556104228665709	0.0327199674809491	0.013301718900246	0.0210858066759003	0.0546464916810662	0.0548671036722066	0.0514962688116263	0.0309177920802962	0.0361339962044543	0.0196158478602077	0.0207819816143458	0	0.015632588989111	0.0139833486452425	0.0334977452048478	0.0315895979896214	0.00993185281516881	0.0165841177186174	0.018127785611288	0.0593708497435109	0.0476218019169563	0.0550129189934345	0.0499247302841167	0.0371489401060315	0.0297012491222709	0.0206647255375159	0.0361347665569838	0.0158316503146553	0.00628521688679	0.0235904372866555	0.0202723052579885	0.0170772680533494	0.0316890171337438	0.0129949456899784	0.0399851603357936	0.0301965500040226	0.0188684857655834	0.0207737739904166	0.0338269082267476	0.0163278628414963	0.0206169729935757	0.0297590013391418	0.0367362784021325	0.0355465171371728	0.0295426576686161	0.00649878058332049	0.0358084573088472	0.0359274264346011	0.0134684782841643	0.0366956156026918	0.0169835915838506	0.0174336776752087	0.0463813452461146	0.00458011083514774	0.0328473321623991	0.0316696119488001	0.0130252351372747	0.0269656170166468	0.0383911305337142	0.0117689362116477	0.0400524750449063	0.0476692358999685	0.0484051246726781
OM3_C_7G_3	0.0401981491954549	0.0185686002313118	0.0108453916989612	0.00918824727261107	0.0397550379340355	0.0398353937230853	0.0368820465595692	0.0153466173382091	0.0223651744653744	0.00526921157832822	0.0058218695362924	0.015632588989111	0	0.00556325436790108	0.0180163594658662	0.0177619792206047	0.0238341882421025	0.00195034180455411	0.00849439320856715	0.0448638813432688	0.0323736019366254	0.040932117877427	0.0348136935220186	0.0239277209022779	0.0154307335409437	0.0056313203616664	0.0215204077550312	0.00390527230161976	0.0144963675345069	0.0359791785357832	0.00590142898336931	0.00309940428199851	0.0185262957372181	0.00777820457862436	0.0262394468311962	0.0155968899410792	0.00506313394088738	0.00529603511901224	0.0195642445885754	0.00170625283851737	0.0093372303343963	0.0164372456370328	0.022350210880097	0.0211080835206594	0.0143085793909203	0.00959878116198563	0.0206160810645603	0.0213749916041449	0.00640883476484523	0.0225466579642588	0.00711481071388428	0.00300052306881095	0.0319145366103793	0.0157741606102289	0.0191632383869983	0.0182686313780821	0.00768315321553465	0.0123912028627581	0.0245590091503206	0.00585671898046558	0.0250470727157628	0.0330267204474136	0.0341012906861983
OM3_C_7H_1	0.0432195027148485	0.0198863804883871	0.0053589917762217	0.00787819595952667	0.0413668724361332	0.0418879068423175	0.038213852581766	0.0182069523852615	0.0229064015065348	0.00703821037078805	0.00883294995042327	0.0139833486452425	0.00556325436790108	0	0.0209156042543191	0.0179263774173138	0.0217275117362067	0.00502328296393778	0.00566006661841605	0.0459400871389418	0.0344796341163278	0.0417205084664513	0.0371241167427417	0.0239858199582105	0.0167461841950726	0.0079169114146409	0.0229476444540943	0.0087987992955644	0.014401300744251	0.0349445869345934	0.00693995447464056	0.00764529429373948	0.0184087344095546	0.00420909064904704	0.026814218272191	0.0171690098566287	0.0106030982320491	0.0094092297660892	0.0206834477773973	0.004623286538785	0.00771183810104085	0.0167851676317082	0.0231707096323507	0.0219279833098178	0.0165735012458724	0.00752081128902973	0.0224974869751638	0.0226514565548581	0.00346656687130458	0.0234214510792208	0.00320004941980563	0.00655017503745193	0.033030844958838	0.0150627929841645	0.019710301313684	0.0179119566493619	0.00335207561924535	0.0131838214864524	0.0249144401592681	0.0037635583582866	0.0264756545554021	0.0339522849343425	0.0357544604565742
OM3_C_7H_2	0.0223415455650981	0.00765956895508059	0.0251449267612132	0.0154377285711436	0.0224426724394139	0.0221692736399784	0.0201613477542407	0.00313412851110576	0.0106898207528118	0.0142422043147699	0.012796076566789	0.0334977452048478	0.0180163594658662	0.0209156042543191	0	0.00978324818856469	0.0417426257269408	0.0173892904746715	0.018528334960461	0.0281667374837781	0.0146217044991541	0.0250721074168893	0.0170759377629898	0.0131653771827201	0.00755795229786406	0.0130964297383305	0.00716601152066243	0.0192098190368613	0.0322617338561684	0.0533606902734889	0.0145315041907594	0.0176204120712782	0.0113700620102513	0.0224828621843948	0.0130710576097845	0.00637337389088853	0.0162127054222362	0.012800202588398	0.00772990179055472	0.0174363260214532	0.0161988151722122	0.010427430945615	0.00910394323433486	0.00843789025521979	0.00469652518531431	0.0273507079435456	0.00465464446659044	0.00746303918118521	0.0213167058276819	0.00955181894221127	0.0192041031730518	0.0161048345188394	0.0159245629635288	0.0337181933452838	0.00969380162173118	0.0114105888762466	0.0233059015984288	0.00960226285594043	0.0120816475091605	0.0229943102406724	0.00905148903292686	0.017095305512734	0.0178678773812218
OM3_C_7H_3	0.0281565076673756	0.00545286134172696	0.020392232503078	0.0106261176932541	0.0239177915322705	0.0249696694466134	0.0205902354141841	0.00925006104925205	0.0056592832330881	0.0127317391860389	0.0126563749081805	0.0315895979896214	0.0177619792206047	0.0179263774173138	0.00978324818856469	0	0.0395975926521638	0.0166681275703784	0.0138543211438632	0.02809607611315	0.0179801666101525	0.0238944042312116	0.0208241879988782	0.0069482673058528	0.00486094701041435	0.0121987190733372	0.00651011047633175	0.0205752028732585	0.0317864392289959	0.0525426115032797	0.0128926650759572	0.0184310107986621	0.00282434825991175	0.0189547187644376	0.00937427194283158	0.00497972865942504	0.0187308587452458	0.0139334737733786	0.0046083900368737	0.0164854030078837	0.0112636577149139	0.00415876739274805	0.00550914399216733	0.0044154913224947	0.00688636474040421	0.0252387524993848	0.00738814509422287	0.0059128853847925	0.0182368402779915	0.00611792301271501	0.0151818157959495	0.0156446418505424	0.0153346232893721	0.0327487633038942	0.00368098162147598	0.00184779818263937	0.02021405790521	0.00658587961571574	0.00708337727504947	0.0210605520921604	0.00966061570414313	0.0162528658735881	0.0189888396306963
OM3_C_8A_1	0.0639284560493374	0.0414458223026111	0.0201151738210316	0.0293676070454588	0.0629991011890692	0.063383551095667	0.0599055287743199	0.038916423418994	0.044573101869654	0.0281104176241327	0.029370883541376	0.00993185281516881	0.0238341882421025	0.0217275117362067	0.0417426257269408	0.0395975926521638	0	0.0243727120864339	0.026432853383954	0.0676222709675372	0.0558831984269086	0.0633866707106986	0.0584814450483213	0.0455205381622912	0.0383235517053586	0.0288952417586413	0.0445996260420577	0.0234378137696242	0.0107629885899963	0.0146811284640736	0.0277671867275196	0.0244962039635219	0.0399849500443171	0.0216857125560965	0.0484601964974501	0.0387289975410802	0.0268755989491909	0.0291267975410903	0.0423545616791732	0.0243641636861747	0.0289800888600103	0.0383508170529671	0.0448709439086901	0.0436125502510863	0.0378298472472387	0.0149523370490164	0.0439242806600575	0.0443323286066565	0.0222030969768348	0.0451262483541705	0.0244485808611654	0.0261367630152449	0.05473807053512	0.00897505119307443	0.0413587673858008	0.0394306327189664	0.019555037369579	0.0345353091033923	0.046575448685626	0.0189310960067754	0.0480024604264338	0.0555337750282659	0.0572831189797517
OM3_C_8A_2	0.0396610913371251	0.0179740924605546	0.010361985155612	0.00836655090883357	0.038949847723891	0.0391612359249479	0.0360718523664541	0.0145742852279371	0.0215364621090019	0.0048015357390505	0.00564584965185542	0.0165841177186174	0.00195034180455411	0.00502328296393778	0.0173892904746715	0.0166681275703784	0.0243727120864339	0	0.00795099002509437	0.0439703452947809	0.031600197431302	0.0400759516465441	0.0342049141306092	0.0230660853489929	0.0147843165462828	0.00482690790782415	0.0207533636945712	0.00495510815015638	0.0153830762660664	0.0365193212008818	0.00421822363417499	0.00304396522375581	0.0176172771273534	0.00806449858914434	0.0254302072720176	0.0149060020093629	0.00597451538711367	0.00520322733876366	0.0188158439604186	0.000926885502341253	0.00864107582644858	0.0157317617472073	0.021360464203476	0.0200799354677404	0.0135568832202609	0.0103150100477764	0.0197226020875704	0.0205602891650126	0.00673009162883572	0.0217208591834855	0.00594536831638319	0.00369768277017722	0.0310624607174161	0.0166571600618173	0.0183862402421055	0.0170511732274723	0.00694573195315384	0.0110247253705014	0.0235864842308029	0.00571373827981828	0.0240335241591127	0.0319550132734693	0.0335640304601333
OM3_C_8A_3	0.0403155832485752	0.0156904848608173	0.00743372910703024	0.00331936086916954	0.0374206984519767	0.0381003084617265	0.0340472406251172	0.0162912865263024	0.0183724629785833	0.00581654352837257	0.00777235875143953	0.018127785611288	0.00849439320856715	0.00566006661841605	0.018528334960461	0.0138543211438632	0.026432853383954	0.00795099002509437	0	0.0416868986216768	0.0310540736976218	0.0371947459301275	0.0335317328657669	0.0191766279891666	0.0128031499563226	0.00713891438998764	0.0190316465708812	0.0123960158216577	0.0195619665606919	0.040159560990302	0.00742225211385972	0.010957205325428	0.0137123227915109	0.00522695294187069	0.0221943192251079	0.0135238574368228	0.0127187635053977	0.00947343500562164	0.0165301310754019	0.00725223617308239	0.00266355202063533	0.0121223774712025	0.0191879043304303	0.0180751444567037	0.0138839018323949	0.0120734384772199	0.0193693672902996	0.0186991537865624	0.00487283968104409	0.0191223583657563	0.00396344821442178	0.0071668997108113	0.0288185802486977	0.02002074351283	0.0151822424535778	0.0138212783012853	0.00851168095110672	0.0108951205497774	0.0204936881275845	0.00939838673262346	0.0230609838360499	0.0300997754911478	0.0314127051531941
OM3_C_8B_1	0.0170982240149273	0.0268692926701563	0.04834919867071	0.0385138072102003	0.00647352470819727	0.00912448402509337	0.0081935041553934	0.0306630370465818	0.0233804763185268	0.0400217442652686	0.0392492733599425	0.0593708497435109	0.0448638813432688	0.0459400871389418	0.0281667374837781	0.02809607611315	0.0676222709675372	0.0439703452947809	0.0416868986216768	0	0.0143706332687516	0.00539380025331511	0.0133772415506804	0.0228538395579778	0.0297936682915871	0.0392971607690284	0.0234262619721178	0.0468756345139178	0.0592968841137449	0.0801981758530432	0.040286645682191	0.0449909410510494	0.0280374326339256	0.0467120107580628	0.0196797264327646	0.029399706878097	0.0441147118158346	0.0400236792030814	0.0256074966250151	0.0438730584161815	0.0390495838512585	0.0297718140129687	0.0227918059570883	0.0240665307723426	0.0307162464506696	0.0531126353490981	0.0245713329385188	0.0235608773831524	0.0460001426680777	0.0227059935128454	0.0432646960585623	0.0425751516030934	0.0130271962297263	0.0604398208424625	0.0266312682566889	0.0284666386077776	0.0482221269658939	0.0334408965341381	0.0212520137958177	0.0489112766276956	0.020246651369809	0.012615961613073	0.0130798690529048
OM3_C_8C_1	0.0108268823267949	0.0159297349104895	0.0378929147526136	0.0277563686642115	0.00816374006437905	0.00792953824258008	0.00730727274559137	0.0173371909332069	0.0142907009935617	0.0280418346429434	0.0268932557076646	0.0476218019169563	0.0323736019366254	0.0344796341163278	0.0146217044991541	0.0179801666101525	0.0558831984269086	0.031600197431302	0.0310540736976218	0.0143706332687516	0	0.0128902186215051	0.00395773089298871	0.0153257070392803	0.0184483545752701	0.0270720244913496	0.012194518175661	0.0338044076240265	0.0467520514096186	0.0677216715402365	0.0282205894058957	0.0320971721872274	0.0187165457236766	0.0357135223521408	0.0121732699734635	0.0176873370028225	0.0308255174202568	0.027245022697127	0.0148492910724281	0.0316047317512287	0.0284297761724835	0.0196297956726202	0.0126522687941138	0.0135999362393503	0.0181248114088932	0.0413755410002497	0.0120146752656744	0.012554525155871	0.034746867279396	0.0128915974876423	0.0322012007676633	0.0302751383466216	0.00686756765861729	0.0481318470382473	0.0167397122318098	0.0189705961549072	0.0368045522403027	0.0217805043330567	0.0130773781219431	0.0369821913744452	0.00872364796476083	0.00748530715391783	0.00815310802142763
OM3_C_8C_2	0.0185626387141377	0.0226370946715218	0.0438875710567291	0.0341079304303708	0.00690116491592876	0.00986304188962523	0.00561668932652745	0.0274715897357506	0.0189040926505344	0.0359256774986576	0.0352745326011838	0.0550129189934345	0.040932117877427	0.0417205084664513	0.0250721074168893	0.0238944042312116	0.0633866707106986	0.0400759516465441	0.0371947459301275	0.00539380025331511	0.0128902186215051	0	0.0123326041233373	0.0181068996935473	0.0256269231075901	0.035347987848611	0.0195054697229135	0.043208711646263	0.0553128252766702	0.0763199002346275	0.0364351691922982	0.041328936912858	0.0235005314526158	0.0422206147713371	0.0150537763095287	0.0253855089530803	0.0405430086389227	0.0362432992274462	0.0214235093454687	0.0399043803127672	0.0345796162584975	0.0252796008227467	0.0188072227131233	0.0201392822379951	0.0270682866993789	0.0488344422794066	0.021255753468794	0.0195937046349546	0.0415875741309741	0.018444510488034	0.0390211799932144	0.0385277753948319	0.00922340803608441	0.0563366692752348	0.0221879471296462	0.0242330099686944	0.0440953823472724	0.0296761713344651	0.0168594385619211	0.0448559212974944	0.0171290565879292	0.00995949182487461	0.00966177798304085
