	OM3_B_B_2	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7H_1	0.000196396611434557	0.020300255271647	0.0608865742402751	0.0167977985822074	0.0246723605831613	0.00914497321125265	0.0394235286115959	0.0111085686858436	0.00882083675385953	0.0158439381384014	0	0.015047546272701	0.0417507575117485	0.0472437607282083	0.027646983484384	0.0334598467342992	0.000114569278024177	0.00338379940323159	0.0247694274789087	0.0109721398932882	0.0339695941717262	0.0142338796538266	0.032984102405489	0.0239765567541621	0.00995385296389194	0.0662566433639484	0.0149006994326546	0.019422747980544	0.0532301897450018	0.035821603327999	0.00796592834220896	0.0279066201024641	0.0119407901750092	0.0138239050228547	0.0324769178002617	0.0255363254882009	0.0129335771815469	0.00347178990787881	0.0451531426924232	0.0876751192739628	0.0291460135157129	0.018745759255839	0.0180261830690476	0.0539032852676735	0.0321580662757504	0.0189373621282949	0.0259424215543504	0.045180029222503	0.0234478759778952	0.0342076569391904	0.0465342706855738	0.0176863798687608	0.0245493720395565	0.0114742928347215	0.0513049155581787	0.0213379259049865
OM3_C_7H_2	0.0151228116366054	0.00528093744614788	0.0459106628593181	0.00211033944237891	0.00965545636807331	0.00618589520172966	0.0243901109829564	0.0254275503697276	0.0236763320079204	0.00594644535094944	0.015047546272701	0	0.0268579535665065	0.0322074703663928	0.0148796741448313	0.0188514543947275	0.0149691379787118	0.0154814358631169	0.0101289958084647	0.00474246612941037	0.0189368179460176	0.00269601882561467	0.0480205197699312	0.0373023118879765	0.00808994657871339	0.0512904153494407	0.000518575822792743	0.034430100197397	0.0679034829889304	0.0507962293155263	0.0190870045291238	0.0429379003660073	0.00634291542603161	0.00234727041303313	0.0181736153120764	0.0105032137376319	0.0279688823101922	0.0153285165338253	0.0601816524993827	0.102274841347679	0.0143277011661111	0.00372107185348096	0.00329999539158718	0.0389029331074879	0.0171170622033273	0.00403337214920772	0.0108981131557928	0.0301462008082588	0.00842304439879768	0.0193818140821383	0.0315626296908609	0.00325394475419427	0.00959544807493972	0.00393823188412258	0.0366916790832127	0.00629705734157133
OM3_C_8A_2	0.0418044752216395	0.0215887014974501	0.0212944749079464	0.0254423474763977	0.0177590016707797	0.0330326718596388	0.00422829191429313	0.0522656323883343	0.0500569309446136	0.0268341372655608	0.0417507575117485	0.0268579535665065	0	0.00713611884849106	0.0169658813601824	0.0086710155720165	0.0416633985654688	0.0415676676191163	0.0189142921312441	0.030828359704826	0.0094001780940443	0.0275674478186997	0.074552375560969	0.0617601172062424	0.0328524419304499	0.0246013200466484	0.0271006595702314	0.0611493643914252	0.0934045199140052	0.0770588686588181	0.0456331338277054	0.0695799224861226	0.0305693635025524	0.0279411130688088	0.0102861862361585	0.0168391296527682	0.0546543631041956	0.0413886509232801	0.0867241152129067	0.12741127305134	0.0150011880497032	0.0231437761182944	0.0237429229406465	0.0124477433209879	0.0102470571944151	0.0228628952100754	0.0163074415409852	0.00526584788509953	0.0184818618388959	0.00757035743232679	0.00960595624540759	0.0240722733149318	0.0181577652480726	0.0302841629225448	0.0103928013469335	0.0207703861828924
OM3_C_8A_3	0.0473164191536045	0.0269628992379523	0.0143543096632358	0.030548294973906	0.0226439356247206	0.0382646497862123	0.00785517150203063	0.057363825821322	0.0557805417518964	0.0330173360426393	0.0472437607282083	0.0322074703663928	0.00713611884849106	0	0.0239039851489764	0.0153567737394804	0.0471644440905938	0.0473907267109736	0.0231157290393748	0.0365078441448104	0.0133683538332621	0.0332985389807242	0.0801685125256475	0.0681443862754989	0.0388650797057101	0.0194167964004342	0.0323733118546606	0.0665933636541355	0.0995525665166762	0.0828635060774609	0.0503571731749843	0.075098004726573	0.0365848335479889	0.0335918812106866	0.0171579863996741	0.0217550913621286	0.0601515574491311	0.0472200413861933	0.092309511547868	0.133666706451124	0.0187483746694293	0.0285125158587266	0.0293136032239262	0.00707285073415778	0.0150969614416606	0.0283625135815969	0.0213227060381132	0.00212189413200794	0.023819101767199	0.0138797741283378	0.00412684571567489	0.0297293651469804	0.0228637937605662	0.0358801149644153	0.0102064369266159	0.0259294444796719
OM3_C_8B_1	0.0276470690856427	0.0112157459106167	0.0382156306079002	0.0147031818043856	0.0115154954932353	0.0204081976191195	0.0168095353568987	0.0387201591020556	0.0350639581522539	0.011805904983839	0.027646983484384	0.0148796741448313	0.0169658813601824	0.0239039851489764	0	0.00864382630100097	0.0275426202873874	0.0266021875738283	0.0141912834342992	0.0170406707732293	0.0142074146918943	0.0140718138892924	0.0594069336038748	0.0452969317409744	0.017823673532505	0.0408678515626521	0.0153410768458417	0.0465519829820796	0.0772037594624467	0.0615236042436103	0.0333691192607878	0.0546912403243797	0.0157149143013823	0.0146686264860114	0.00675194270216624	0.0111919449531221	0.040075295020257	0.0264089068272764	0.0715413336897101	0.111021056241285	0.0144428065847798	0.0121641201730973	0.0117623826695396	0.0292357384098463	0.0120287053462371	0.0114666492224462	0.0107519132157898	0.0218381559880762	0.0100023294564888	0.0103904968826098	0.0251603349106805	0.0116466761429701	0.0122609939981984	0.016842352660899	0.0247278790263534	0.0116394757184006
OM3_C_8B_3	0.0335008443288012	0.0137226094123131	0.0297056008349256	0.0177140810412948	0.0107958171547179	0.0250179735810904	0.00818823817360986	0.0441917011366574	0.0415998570163537	0.0182343632613976	0.0334598467342992	0.0188514543947275	0.0086710155720165	0.0153567737394804	0.00864382630100097	0	0.0333676813998537	0.0330826951304856	0.0127790479370507	0.0224918643812564	0.00700183159086007	0.0192299920459997	0.0661135807451282	0.0531025345470904	0.0243045713871987	0.0331753972326819	0.0191600989775017	0.0528204581438558	0.0847836252406521	0.068535842223834	0.0378986224168133	0.0611958182883739	0.0220300533314925	0.0196593021083649	0.00200767517205851	0.00994754204139839	0.0463101899054724	0.0328999886415492	0.0782924363302571	0.118801516880538	0.0103090188543262	0.0152232202271972	0.0156073256628387	0.0211165989558177	0.00557671830933639	0.014819822059107	0.00934132118545542	0.0132635345076149	0.0108354942741152	0.00191244824235957	0.016530022822907	0.0158516084035978	0.0114018053165592	0.0220142576527364	0.0178777949223737	0.0131919848584383
OM3_C_8C_1	0.000181840986089221	0.0202192536422066	0.0608143237398541	0.0167257844498963	0.0245971758663798	0.00908089346663234	0.0393429386631977	0.0112167880928289	0.00887578603798016	0.0157398902076003	0.000114569278024177	0.0149691379787118	0.0416633985654688	0.0471644440905938	0.0275426202873874	0.0333676813998537	0	0.0033028635478754	0.0247040332307143	0.0108794525721874	0.0338934319849042	0.0141420424946238	0.0330619833628679	0.0239933283705654	0.00984428815694627	0.066171928524986	0.0148251177916358	0.0195088401584452	0.0532863516890491	0.0358909822619204	0.00806969014557424	0.0279887176838384	0.0118352949241315	0.013734667460084	0.0323812692356748	0.0254600550821134	0.0130167763146092	0.00338672897548972	0.0452328151919928	0.0877309466061122	0.0290781851072604	0.0186653015653898	0.0179408258598338	0.0538202012503008	0.0320783777909418	0.0188537929579161	0.0258646531929729	0.0450998477123333	0.0233667641143871	0.0341191563459758	0.0464624085892626	0.0175987284773948	0.0244768319114232	0.0113860333860327	0.0512114060379242	0.0212607223600784
OM3_C_8C_2	0.00320145556673054	0.0205362768583755	0.0612818628191365	0.0174365985767342	0.0250916240156618	0.0102900622688062	0.0395425576984312	0.0129712880636189	0.00853080074246214	0.0149690905943116	0.00338379940323159	0.0154814358631169	0.0415676676191163	0.0473907267109736	0.0266021875738283	0.0330826951304856	0.0033028635478754	0	0.0255430447601773	0.0109168689101307	0.0342898246257511	0.0141024195439102	0.0330638382559748	0.0221537256960151	0.00883938491308678	0.0661380038419057	0.0154468974557418	0.0199607506178225	0.0524558948988279	0.0355598116442347	0.0112180234225033	0.0281897048751371	0.0110780738380372	0.0138284755203418	0.0319259997890968	0.0259061365355831	0.0134845529939373	0.000196679008942557	0.0452615092461525	0.0868562722563926	0.0298029501649947	0.0190265674336317	0.0181116610539375	0.0538770905773304	0.0323467706122725	0.0190853482562938	0.0262499887749738	0.0452971991011774	0.0236426887844313	0.0340025868076269	0.0469739754906095	0.0176752859243946	0.02506960750527	0.0116064304010016	0.0507996470578362	0.0217133892030763
OM3_C_8C_3	0.0248699979181801	0.00598777471877414	0.0362588070301073	0.00811071501638399	0.00267652966856933	0.015626960279997	0.0156151563041441	0.0343929412550984	0.0335438263616314	0.0137039348152106	0.0247694274789087	0.0101289958084647	0.0189142921312441	0.0231157290393748	0.0141912834342992	0.0127790479370507	0.0247040332307143	0.0255430447601773	0	0.0148599331977072	0.00983199027975389	0.0121441786893944	0.0575994516091925	0.0474218575725618	0.018028901531921	0.0425014311513163	0.0101096901752804	0.0438724008066316	0.0778720063260653	0.0605546557331125	0.027261487099192	0.0524274725356527	0.0159931740293918	0.0121520570158497	0.0131969125714765	0.0031321682111769	0.0375273984750442	0.0253973642569934	0.0696846194566375	0.112239089163902	0.00443289864711543	0.00706407703709222	0.0083477557912777	0.0300821778334389	0.00867820686108913	0.00739396883620663	0.00369772014181058	0.0211720340402704	0.00450711488941843	0.0123577607660426	0.0219060557404288	0.00897249924345836	0.00193777485193118	0.014066836735278	0.0292670355768356	0.00458066392874247
OM3_C_8E_1	0.0110125172991572	0.00962247170605555	0.0503812459777808	0.00682885079680799	0.0142031498975112	0.00390994985572607	0.0286593589939464	0.0218492315065369	0.0192969387872587	0.0055070947924109	0.0109721398932882	0.00474246612941037	0.030828359704826	0.0365078441448104	0.0170406707732293	0.0224918643812564	0.0108794525721874	0.0109168689101307	0.0148599331977072	0	0.0233772565015448	0.00326608621780739	0.0437865794962865	0.0325765072290975	0.0035844173728222	0.0553823499282916	0.004845132518525	0.0303590349373329	0.0633395428359811	0.0464191705372907	0.0163819126551612	0.0387876318129387	0.00276277832579743	0.0029176609768833	0.0215238884623428	0.0150032797828012	0.0238495394210027	0.0107525812343241	0.0559756179359579	0.0976945638607441	0.0189975391769224	0.00812451512229762	0.00720102112253862	0.0430623255263741	0.0214412453435173	0.0081697950615254	0.0153376985198476	0.0344203095632098	0.012728308745475	0.0232694930345081	0.0360711823778237	0.00678976508949097	0.0142201118759898	0.000866510127158656	0.0403430668144508	0.0108251545292945
OM3_C_8E_2	0.0340492166461688	0.0137598336556089	0.0270194851773962	0.0172119214991912	0.00930626181501011	0.0249335609032464	0.00579102464385153	0.0440105378002173	0.0425928510140406	0.0204609249536287	0.0339695941717262	0.0189368179460176	0.0094001780940443	0.0133683538332621	0.0142074146918943	0.00700183159086007	0.0338934319849042	0.0342898246257511	0.00983199027975389	0.0233772565015448	0	0.0202395566874742	0.0669175542402847	0.0555452793667516	0.0259923660506741	0.0327049524019503	0.0190736488379355	0.0532884714445917	0.0866420037748942	0.069698156219742	0.0370268278888101	0.0618138122606909	0.0237450442608903	0.0204705753223362	0.00875986382385059	0.00843670109403926	0.0468633564138292	0.0341257925870173	0.0790531773396278	0.120899820132972	0.00565006786247734	0.0152847229313945	0.0161950850223025	0.0202730929598597	0.00228309624874518	0.0152120077508497	0.00805045973476067	0.0113745234869478	0.0106595958009625	0.00529994775489914	0.0127254038797547	0.0166676310017469	0.00949860218407549	0.0227027620468341	0.019776520435846	0.0126404585862667
OM3_C_8E_3	0.0142763895451601	0.00654813652750197	0.047236098360995	0.00463055914250132	0.0111856238093971	0.00634499547926579	0.0254467166571109	0.0250562897768826	0.0225337509840565	0.00351123653878065	0.0142338796538266	0.00269601882561467	0.0275674478186997	0.0332985389807242	0.0140718138892924	0.0192299920459997	0.0141420424946238	0.0141024195439102	0.0121441786893944	0.00326608621780739	0.0202395566874742	0	0.0470368266102548	0.0354763859820624	0.00590538651321264	0.0521302301684125	0.00311150539189519	0.0336236510779161	0.0664575485632343	0.0496380900263308	0.0193154120296288	0.0420478090339949	0.0038698030339638	0.000659864332199743	0.0182876337197988	0.0119407969105436	0.027114339864189	0.0139319988166705	0.0592258355474753	0.100775390223365	0.0160870333417057	0.00514591833481554	0.00405514572705703	0.0398195182735223	0.0182573966482141	0.00505488723962957	0.0122337998877939	0.0312046984993213	0.0095823316385106	0.0200061039655972	0.0329550356006443	0.00357792289430816	0.0112820397000798	0.00283220937283171	0.0370881043819974	0.0078431485195834
OM3_C_8F_2	0.0329086445122434	0.0532580697122211	0.0937439668350586	0.0497466532591492	0.0576296346198213	0.042045232659878	0.0723547633225443	0.0237541931000646	0.0245437917151313	0.047990511561024	0.032984102405489	0.0480205197699312	0.074552375560969	0.0801685125256475	0.0594069336038748	0.0661135807451282	0.0330619833628679	0.0330638382559748	0.0575994516091925	0.0437865794962865	0.0669175542402847	0.0470368266102548	0	0.0189525320776848	0.0418729158276329	0.0990605612501099	0.0478715308915108	0.0138078880838092	0.0225089082413618	0.00437775537310763	0.0315151195438761	0.00531155304281491	0.0441289818460157	0.0466906372362546	0.0649492276577514	0.0584965285443914	0.0200967435529779	0.0332476674583567	0.0122075934548824	0.0562069768265606	0.0620075930522883	0.0517086422239008	0.0509429746272565	0.0867739983523723	0.0651066973290927	0.0518750123912361	0.0589040501830423	0.0781037372934906	0.0564005686457481	0.0669995725930633	0.0794201405287559	0.0505650930273228	0.0574881248118537	0.0443722929017303	0.0837851181996775	0.0543048223012415
OM3_C_8F_3	0.0238116479825239	0.0420163976576992	0.0823266923779111	0.0393477697280955	0.0466525015823854	0.0324401608249901	0.0603780767491848	0.0212600950269073	0.0159805170788067	0.0351937655468615	0.0239765567541621	0.0373023118879765	0.0617601172062424	0.0681443862754989	0.0452969317409744	0.0531025345470904	0.0239933283705654	0.0221537256960151	0.0474218575725618	0.0325765072290975	0.0555452793667516	0.0354763859820624	0.0189525320776848	0	0.029612256522586	0.0860534775807371	0.0373444727826958	0.0155589993244285	0.0320479355798565	0.0188360863660987	0.0273818774075229	0.0170553911556946	0.0318314952018471	0.0353583084960512	0.0515924939514013	0.0473934513621236	0.0159437239899813	0.0222696344499076	0.0292773610482045	0.065897656383543	0.0515294075697422	0.0406032866883439	0.0395139198313287	0.0741792456254962	0.0534461054883625	0.0405185745375871	0.047654639295988	0.0660275502096808	0.0449763574142932	0.0543565911031181	0.0682284794475225	0.0389849849084738	0.0467358343212685	0.0333665045596409	0.069961267117262	0.0433077695803765
OM3_C_9A_1	0.0099299084002658	0.012423269128492	0.0529272901827923	0.0101996213876904	0.0170651084148175	0.00638949234222307	0.0310255749999662	0.021056989098983	0.0173646173083744	0.00613039854838919	0.00995385296389194	0.00808994657871339	0.0328524419304499	0.0388650797057101	0.017823673532505	0.0243045713871987	0.00984428815694627	0.00883938491308678	0.018028901531921	0.0035844173728222	0.0259923660506741	0.00590538651321264	0.0418729158276329	0.029612256522586	0	0.0574273963179031	0.00828362554997065	0.0287760414114511	0.0607980531714552	0.0442661184032947	0.01673589192058	0.0370242798626664	0.00228655245366727	0.00588613798767029	0.0231033749332259	0.0177950299820603	0.0222780176767791	0.00865046489009779	0.0540614977484788	0.0950730377383743	0.0219870233814731	0.0110505123772643	0.00991498091203835	0.0452234288365333	0.023939143247831	0.0109214679086172	0.0180556490706173	0.0367558752685335	0.0153776668325853	0.0252973054263003	0.0387096747907183	0.00937822247644602	0.0171823577242107	0.00444436357132137	0.0419777286932934	0.0137418857189555
