	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9E_1	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7G_1	0.0398510815021699	0.0180680677518875	0.0390992476285501	0.039426130905843	0.0499735134695183	0.0129378051826167	0.028426845904865	0.0195870667473203	0.0602817111607849	0.046758445662486	0	0.0436335135793317	0.0494517791896945	0.0159831000549321	0.0199955185597441	0.0408392419572117	0.0426147795304491	0.0371189353575539	0.0614023870683724	0.0318234743491545	0.0245293798465867	0.0459226536251741	0.0431225561709048	0.0374895101301838	0.0557946492125659	0.0463114275837277	0.0522772449190955	0.0565503863745999	0.0532860979311531	0.0426907191869248	0.0519883153524446	0.0428356702283069	0.0464394007026479	0.026329612908665	0.0563973865752863	0.0481680002765674	0.0387199541232014	0.0474334404000013	0.0496500368157832	0.039728846874404	0.0509289769233242	0.0308617025852397	0.0513968471117695	0.0526506508543943	0.0458368743276232	0.0471164939952691	0.0152444985563712	0.038864197160584	0.0536543186660533	0.0467607358116922	0.0453337299374044	0.0523061701969374	0.0402975086370737	0.0512760337175352	0.0297430676964188	0.0425093593831537	0.0322977390595	0.0637679628293885	0.0493973472750587	0.0380273652522179	0.0288557981912431	0.0365709235973736
OM3_C_7G_3	0.0142197817148505	0.0414451640513733	0.0113426265448228	0.0157986039853108	0.0106839129581993	0.0335020864681477	0.071088955501184	0.0608760134420423	0.0177535401669513	0.00670555937414009	0.0436335135793317	0	0.0093583374548642	0.0324815831183533	0.0598866870841423	0.0114773340683057	0.00902392310402847	0.0127536686293046	0.0212639387910248	0.0231991216230431	0.024268420495684	0.0144275236904713	0.0147506928303676	0.0129109070828872	0.0126116360943477	0.0100182577769838	0.0106827733933052	0.0134240569040959	0.0130042982211976	0.010611314723372	0.0119750667225977	0.00231957473680993	0.0105064596571298	0.0196061156499676	0.01323733000572	0.0156135273112066	0.00888113940221498	0.009837712175531	0.0163616986001957	0.00894060507854265	0.0134203357440732	0.0190324611411638	0.0120470669280989	0.0105189206062252	0.0101443556073921	0.0039713628689564	0.0423564492510892	0.00541840895719412	0.0141125419813325	0.0037123758491286	0.00203635848764207	0.00985692888073097	0.00805815999565147	0.0106545241470831	0.0196049146516659	0.00977774992622591	0.013049102145985	0.0210444346846496	0.0156005019496908	0.0102133722089855	0.024347809975434	0.00837877891221954
OM3_C_7H_1	0.0153423379872545	0.04821839243438	0.0169059524947586	0.014982057767955	0.00884907734259783	0.0394912110061766	0.0768153122457489	0.0658255047031464	0.0115722774736934	0.00316730183202222	0.0494517791896945	0.0093583374548642	0	0.0395785054164096	0.0663069062380688	0.0104983276076653	0.00766543046798263	0.0160609127030665	0.012738503023709	0.0269422923734527	0.0309366987795234	0.0127342314421746	0.0162392288134149	0.0133708029281854	0.00919927317343911	0.0113323271207194	0.00439257176683545	0.00908053289899803	0.00696445944233212	0.00820581618868712	0.00283216580038711	0.0100447648238006	0.00534130921331433	0.0235482152680761	0.0100764466142322	0.0086220079107085	0.0108148674191437	0.00286731166026527	0.00957251666404815	0.00986482042230693	0.00951588458144448	0.0252321792367374	0.0089410103251103	0.00911701779621569	0.00568897746945307	0.00644960037365061	0.0479057913326978	0.0133736449611384	0.00832847022304457	0.00618943618363426	0.00914116805994801	0.00476055683719134	0.00951934709300808	0.00357482896411429	0.0242794680517831	0.00762207878112676	0.0214320529739285	0.0151823245117401	0.00953574324155143	0.0120183715130748	0.0264230854357942	0.0130833161101616
OM3_C_7H_2	0.0288850676107637	0.010429386184046	0.0260157199812026	0.0303291090455772	0.0380478153964345	0.0155461344673058	0.0430254727154815	0.0354734778866539	0.0500516295205665	0.0368964628845682	0.0159831000549321	0.0324815831183533	0.0395785054164096	0	0.027691974384481	0.0315303065656819	0.032965946390779	0.0257638397144366	0.0514103009210977	0.0202152206810887	0.0102546421133376	0.0347235948430525	0.03081763555999	0.0289049599281518	0.0441451390220861	0.0339630024794477	0.0414413337574308	0.0451228329352761	0.0421891720440853	0.0346273892496297	0.0421514440983202	0.0322436194268829	0.0366740579366771	0.0194314954385406	0.0456860560569299	0.0397074104857744	0.0298524044801593	0.0381300864112831	0.0403848322079793	0.0308386464708777	0.0394624759107196	0.0171092819685619	0.0395942950266578	0.0405181344825365	0.0374078299398927	0.0359215237207154	0.0132188626752947	0.0272239135165907	0.042446541705832	0.0357438722270845	0.0337905954057612	0.0413549963449044	0.030466170479773	0.0406865904027532	0.0181423259555425	0.033694323092849	0.0198579720363605	0.053448137821108	0.0395957107702209	0.0299741189767652	0.0218641524555107	0.026720819858817
OM3_C_7H_3	0.0545240277403745	0.0209550467890048	0.0530540327229001	0.0551093572454409	0.0649846969820511	0.0321834420820029	0.0242957055862379	0.0244320850037468	0.077190364919879	0.063720641314253	0.0199955185597441	0.0598866870841423	0.0663069062380688	0.027691974384481	0	0.0572865207193073	0.0592208474043311	0.0520001910659413	0.0778461473098448	0.0439218953349951	0.0369230479420084	0.0605007604487276	0.0567303716747615	0.0542762175677625	0.0715441210036842	0.0608531229668618	0.0684508680478856	0.0724691178556996	0.0689774331739614	0.0604071001924787	0.0687827802875886	0.0595112119117677	0.0629066369832748	0.0437381383410461	0.0730616430333195	0.0649720406721601	0.0560270506050559	0.0645009218678752	0.0657548181492126	0.0569717019414791	0.0659314992750707	0.0436688717586449	0.0664328927063347	0.0678594790447622	0.0635256290465979	0.0632801462500404	0.0204243474653602	0.0546652805225707	0.0690990292078854	0.0630603872771167	0.0612896513411456	0.0685279382925983	0.0569066411926498	0.0675235845797961	0.0436262861536623	0.0596901798885394	0.0474587876230919	0.0806598761748077	0.0651708319211885	0.0558133101048581	0.0437470765825737	0.0533702409136165
OM3_C_8A_1	0.0070409658634951	0.0396014513180176	0.0119628086982571	0.00500521878009022	0.0118969791189035	0.0323488829824215	0.0685618908274738	0.0574970363557915	0.0220069046829673	0.00939842904572604	0.0408392419572117	0.0114773340683057	0.0104983276076653	0.0315303065656819	0.0572865207193073	0	0.00305960780389381	0.00779355623534781	0.0207974928494751	0.0176642993709928	0.0228494503735304	0.00862616953301767	0.0109107376541893	0.00358395483936564	0.0179565916293758	0.0106368319522012	0.0130004304431852	0.0182834646776495	0.0133495532318085	0.00706514985601059	0.0122759300432796	0.0121051874797942	0.00589582565232094	0.0146268951855837	0.0201128856887166	0.00827920609640428	0.0058384777215677	0.00828872322212468	0.00927906988633985	0.00497599923723835	0.0116491034738982	0.0176123609172684	0.0126822624536606	0.0154100095830547	0.00933502583124709	0.0116185252219834	0.0383340949228534	0.0107515815512723	0.0136596841506339	0.0113024030114413	0.0124120181999166	0.01382407083514	0.00370435679805322	0.0115487287843489	0.0151126133869533	0.00442691284625837	0.0168174870493532	0.0255952531524834	0.00899404768346085	0.00778450882047769	0.0159592971426443	0.00737057653426171
OM3_C_8A_2	0.00885299924762228	0.0413419802952983	0.0120589764347056	0.00794301942418731	0.0100957642415188	0.0335184124200235	0.0702828172680819	0.0592972930120635	0.0192204693777619	0.00636121413495667	0.0426147795304491	0.00902392310402847	0.00766543046798263	0.032965946390779	0.0592208474043311	0.00305960780389381	0	0.00925418973294938	0.0188625034551586	0.0198735864053704	0.0242887961441816	0.00908944099222316	0.011634388994642	0.00590925713352735	0.0152451191534525	0.00953150561652986	0.0103727642220246	0.0155668002478535	0.0112611394186358	0.00558792859250917	0.00973795542190903	0.00969951846521497	0.00391063030589458	0.0164608856864835	0.0170972879064245	0.00786490598698667	0.00518940654860348	0.0056767611793257	0.00902212515860928	0.00410890442219066	0.0103827481434958	0.0188652076879478	0.0109169551186921	0.0129860807769365	0.0070073112554463	0.00877019119494503	0.0405250403381811	0.00958539023602177	0.011854105997038	0.00841396867270022	0.00985415998526973	0.0110222124624761	0.00270311201646323	0.00902383619275172	0.0170758633873298	0.00274748715836584	0.0166803252426496	0.0228240592414206	0.00869114791589038	0.00725565258414408	0.0187846057903037	0.00716114231929561
OM3_C_8A_3	0.003751720395771	0.0331575628560703	0.00588140625684311	0.00719109210139143	0.0134257856696051	0.0299309527415154	0.0654206730510179	0.0551238792165539	0.0270062082785998	0.0144649876392838	0.0371189353575539	0.0127536686293046	0.0160609127030665	0.0257638397144366	0.0520001910659413	0.00779355623534781	0.00925418973294938	0	0.0262733359459184	0.0110016315021691	0.0161751217818326	0.00917362128929668	0.00690839229758704	0.00774410686128236	0.0209479712223465	0.00975398248975941	0.017232000343889	0.0217068123387455	0.0171447803997834	0.0137986795487925	0.0180379585275621	0.0138527179880105	0.0120363056546079	0.012946512660254	0.024076472991406	0.0154886615319363	0.0100338127104159	0.0147366441936227	0.015198560111534	0.0100667534102217	0.0140235930618138	0.0101887211697999	0.0147101662902513	0.0171782722563892	0.015949319641116	0.0140752697023388	0.0327264559673844	0.00905235038963154	0.0171580749749371	0.0140075653497597	0.0135015882854532	0.0177598836851679	0.00781163880448059	0.0161929661640475	0.00856603784182268	0.01133811871912	0.0124373467199656	0.0304967047863387	0.0140889230606137	0.0120656821602033	0.0131374714514878	0.00804211504101295
OM3_C_8B_1	0.0241657879814255	0.0593503713967934	0.0269499725741176	0.023671416647357	0.0150098547315836	0.0518978358431632	0.0888022169127835	0.0775264429709188	0.00934056783863443	0.0158785056055218	0.0614023870683724	0.0212639387910248	0.012738503023709	0.0514103009210977	0.0778461473098448	0.0207974928494751	0.0188625034551586	0.0262733359459184	0	0.036143104124641	0.0421553520263002	0.0190141756741206	0.0236701369384353	0.0241133994385032	0.0118210769511309	0.0192300334886166	0.0107688083518268	0.0106410662634581	0.00995748744920634	0.0195949210997203	0.00992939326374856	0.0222817159549005	0.0150507500909552	0.0351569293660847	0.0136505630404658	0.0143726686107238	0.023036696904029	0.0143129654985434	0.0133663320334357	0.021920716023395	0.013615697136025	0.0358635475758799	0.0135975217973814	0.0142856272442397	0.0169720490679226	0.0174678819742677	0.0587003227850219	0.0253932001841278	0.0101416604740388	0.0175829239435332	0.0202966130395247	0.0116943937398877	0.0213116622813999	0.010997226209728	0.0347635666042114	0.0190555421989142	0.0335771546453418	0.0107384439244889	0.013693869587004	0.0242010180128575	0.035983419763849	0.0254291628155244
OM3_C_8B_3	0.0120556110081286	0.0249040201087067	0.0132485530482587	0.0143782114041785	0.0231921265326335	0.0285076590420317	0.0598713979878289	0.0503283518437653	0.037795560301121	0.0254434141887883	0.0318234743491545	0.0231991216230431	0.0269422923734527	0.0202152206810887	0.0439218953349951	0.0176642993709928	0.0198735864053704	0.0110016315021691	0.036143104124641	0	0.0110882398415184	0.0173695363009113	0.0135513800166193	0.016395471673024	0.0312994904948982	0.0191479844904923	0.027846478187578	0.0321307111365429	0.0271879547495728	0.0238821154412545	0.0287246278457574	0.0241484857470172	0.0224834405379893	0.0147389110287302	0.0349089803639607	0.0248085868312119	0.0198982784164111	0.0254623000951326	0.024134552997839	0.0201542620200274	0.023294412767985	0.00788645611140286	0.0243332916726787	0.0271866738246267	0.026508138225717	0.0248605101534048	0.0237998315122504	0.0185091584370249	0.0268477317807024	0.0248449734653306	0.0239302894044453	0.0284814206251501	0.0184572985360524	0.0267935925960381	0.00523435608235351	0.0216510297250646	0.0171817537526044	0.0412292221186361	0.0230463249708612	0.0213586079878692	0.00975307478397338	0.0175243919826599
