	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_2	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_3	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1
OM3_C_7H_2	0.0149371758467613	0.0036019273532734	0.0200044020502256	0.00463034914727344	0.0136971852051349	0.0403883905532837	0.0125591340710396	0.0183644518713686	0.0298624530285925	0.0356987105948266	0	0.0129748818365019	0.0278248334022605	0.009517924026111	0.00969719135742886	0.012555804270771	0.0239659345621754	0.020912365956077	0.00599653881984472	0.0288269686074572	0.0242945782847635	0.0463013610410967	0.0222321088912104	0.0124686712022744	0.0272441215392382	0.0212257402835054	0.0243175633244192	0.0320641770807773	0.0164022011862573
OM3_C_8A_2	0.0265392763142636	0.0134842701467744	0.00810871656160748	0.00837625819296565	0.0235385179254727	0.0274962479671043	0.0254694654165963	0.00835372651305277	0.0175541672937834	0.0252086104072748	0.0129748818365019	0	0.0150236222663626	0.0203874249900199	0.0187436927299289	0.0232625819615317	0.012820653571302	0.0330199485158298	0.00698236354372985	0.0162457781890682	0.0113239816669801	0.0337346131634462	0.0136126080452435	0.000699598821578851	0.0148394304959615	0.0116036167712552	0.0144366697427942	0.0193079539613099	0.00359311761149823
OM3_C_8A_3	0.0414903437033551	0.0284969267912396	0.0116935286892224	0.0233207444173964	0.0381915996091646	0.0143731299877766	0.0403754580133064	0.0152516511481033	0.0105912593700641	0.0210930752594369	0.0278248334022605	0.0150236222663626	0	0.0353125226400418	0.0334291873032295	0.0381062984069412	0.013238774303538	0.0480100791349648	0.0219101183040157	0.00207973652540637	0.00447027871658133	0.0187822147042632	0.0182931329257152	0.0154327576652561	0.00921876665292447	0.0161399446446992	0.0164273412559118	0.00882993875038982	0.0114657663697866
OM3_C_8C_1	0.00619445812642084	0.00709520125803958	0.0255251596090641	0.0127023520883042	0.00432105725467338	0.0464150045535891	0.00850256343349958	0.0228340890611075	0.0350195840496119	0.0385133627373264	0.009517924026111	0.0203874249900199	0.0353125226400418	0	0.00312466691655854	0.00306068763862726	0.0283641534429493	0.0128088211274731	0.014023879534366	0.0366208122309513	0.0312889245265657	0.0540680259846557	0.0249662419573033	0.0200874993894879	0.0326793772247475	0.0248535985807151	0.0276485493918018	0.0378905066409208	0.0239787910655279
OM3_C_8C_2	0.00863626405090942	0.0064445640817334	0.0231673566547529	0.0117995414165094	0.00479575988458701	0.0439946627046193	0.011605261388157	0.0202891786328457	0.0324626736048763	0.0355571204846513	0.00969719135742886	0.0187436927299289	0.0334291873032295	0.00312466691655854	0	0.00487809782429445	0.0257172442290412	0.0152610112696526	0.0129718407143063	0.0348508829122404	0.0292699935912018	0.0521911875354842	0.0220879149647532	0.0185337573093574	0.0302056731747193	0.022113491085379	0.0248268650099963	0.0354678255366895	0.022296945143586
OM3_C_8C_3	0.00381715951853798	0.0101189122750402	0.0280220193240376	0.0157284498494656	0.00205200099642991	0.0488620872869526	0.00872031419857002	0.025165971508744	0.0373374590863471	0.0402235499935189	0.012555804270771	0.0232625819615317	0.0381062984069412	0.00306068763862726	0.00487809782429445	0	0.0305853631753422	0.010393021210758	0.0170319856866248	0.0394651279008857	0.0340117522018046	0.0568700461243565	0.0268605746368284	0.0229923525110079	0.035079002012835	0.026961238588299	0.0296338394793267	0.0403359807759324	0.0268463244739898
OM3_C_8E_1	0.0343446279108606	0.0229077074652288	0.00481381666294566	0.0195631655389748	0.0300317677158653	0.0186869882516809	0.035429006500738	0.00566545669650933	0.00688598244157265	0.012391000791178	0.0239659345621754	0.012820653571302	0.013238774303538	0.0283641534429493	0.0257172442290412	0.0305853631753422	0	0.040969851027063	0.0184501999061826	0.0153146867298266	0.00935629273612899	0.0295261732589378	0.00535643039817073	0.0135201265123679	0.00523188966782546	0.00385554496233428	0.00319774086511548	0.0103935117228891	0.0116442283003712
OM3_C_8E_2	0.00665086839971792	0.0195432216613378	0.0383093264303358	0.0249574609361463	0.0112258063661897	0.0591763328414178	0.00986844537770124	0.0355292302148553	0.0477053957379542	0.0504432648893302	0.020912365956077	0.0330199485158298	0.0480100791349648	0.0128088211274731	0.0152610112696526	0.010393021210758	0.040969851027063	0	0.0263498827462258	0.0492447490113298	0.0440540867611033	0.066721300372218	0.037202405431729	0.0326662748402524	0.0454196736683752	0.0373472361408526	0.0399973834816716	0.0506537361331496	0.0366061738518341
OM3_C_8F_2	0.0200225967687029	0.00693138918261375	0.0142238128244221	0.00141196539553523	0.017651365571195	0.0344099359573321	0.0184991185809869	0.0130215599788989	0.0240441006748857	0.0305289421441722	0.00599653881984472	0.00698236354372985	0.0219101183040157	0.014023879534366	0.0129718407143063	0.0170319856866248	0.0184501999061826	0.0263498827462258	0	0.0229970301901525	0.0183055558794659	0.0405026618036812	0.0174882118291281	0.00649591947980144	0.021388192155449	0.0161133547380063	0.0192081696898028	0.0261187245283084	0.0104531316613196
OM3_C_8F_3	0.0427765278774996	0.0297142325641274	0.0136098046742607	0.0244075724660748	0.0396314361231588	0.0148261546493109	0.0413709280779265	0.0171570804703723	0.0124730595402701	0.0229227855636003	0.0288269686074572	0.0162457781890682	0.00207973652540637	0.0366208122309513	0.0348508829122404	0.0394651279008857	0.0153146867298266	0.0492447490113298	0.0229970301901525	0	0.00637999993172217	0.0175149830228695	0.0203431423610459	0.0165914271007794	0.011249444066399	0.0181675853263988	0.0185047231292825	0.0103387003417055	0.0126534497403369
