	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_3	OM3_C_8F_2	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9H_3	OM3_H_3D_2	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_3
OM3_C_7G_2	0.0211902546225335	0.0193726461184618	0.0252704046826757	0.0159670195844269	0.0286821822358141	0.0194580614822298	0.00598536065655984	0.0106622361084331	0.0158387172352659	0.0230665658411797	0	0.00609238477897038	0.0179570411300304	0.0127526385163153	0.00772028396167702	0.0181988934556107	0.0271107405658398	0.0131185509075292	0.00669282769640276	0.00583364499035609	0.0305206848536339	0.0131634813818517	0.00971795905107509	0.0223357976587327	0.00422154348601864	0.000613392316399211	0.0156272758026734	0.0184170529893809	0.00576423177313145	0.0129364168637173	0.0142174900712479	0.0240438652489317	0.0278736895861563	0.00398775400442801	0.0101495709197768	0.0207825888457186	0.00910934177300619	0.00345874100970888	0.0209912905592543	0.0126930677036216	0.0127449541418509	0.011850504913	0.00296132703753299
OM3_C_7G_3	0.0155803387419959	0.0138822538002288	0.0200298012597998	0.0111991717835125	0.0233072387227561	0.0143865305683337	0.00289679746265155	0.00482566157768822	0.00997341576354612	0.0173976389943591	0.00609238477897038	0	0.012472321857421	0.0100314987018823	0.00172735040975776	0.0125100484673579	0.0219389191222391	0.00746692366237195	0.0020435990528903	0.000265203237500187	0.024957154640778	0.0072425844530398	0.00408502628162313	0.019512467800228	0.00189957144615628	0.00622720150089607	0.0114763534893814	0.0124418180583229	0.00470348512069824	0.00712763540786287	0.00872808230200257	0.0184948667941042	0.0220449985919794	0.00343001886368171	0.00682599493772193	0.0153263920649653	0.00393922251702666	0.00275967022986839	0.0259063066602429	0.00677395635480942	0.00675134386175467	0.0133138895478454	0.00754987558483963
OM3_C_7H_2	0.00328504167437935	0.00141840740604844	0.00761928964516013	0.00353293279193261	0.0108363698903834	0.00276199796632188	0.0120308546292615	0.00769455648987393	0.00995796360097479	0.00519821065027527	0.0179570411300304	0.012472321857421	0	0.00923293081266092	0.0107711178700989	0.00127675209803031	0.00955749285912344	0.00501578211369117	0.0134112659405158	0.0126652558315946	0.0125676519745329	0.00564821357209101	0.00840179793897669	0.0125125178225543	0.0142394809248533	0.0178472175786541	0.00548002702960237	0.00382205576818293	0.0166591210601812	0.00548523041539961	0.00376205796420068	0.00608797148521876	0.0102124419556682	0.0158844140395644	0.00906948071300512	0.00285498506507905	0.00885555766502067	0.0145753972917544	0.0383722526647536	0.0060396630977041	0.00633960808952404	0.0248144896565475	0.0180337991231659
OM3_C_7H_3	0.012159559691961	0.010269955417284	0.014490442659683	0.00576358993590802	0.0180029674512223	0.00902008584588867	0.00758635074937355	0.00812189728004902	0.0151111655743841	0.0139667770898751	0.0127526385163153	0.0100314987018823	0.00923293081266092	0	0.0091824441743325	0.010260070363429	0.0160265736000372	0.00759745259350279	0.0119738911853518	0.0100320083644957	0.020300042278709	0.00894352746059655	0.00757340738623495	0.00969005118791242	0.0108302314885784	0.0123633627907125	0.0041484547884362	0.0121735906499739	0.0146215118477249	0.00825866023918845	0.00726636189426186	0.0143332014590866	0.018980615138253	0.0128387285678059	0.00321470265095178	0.0112460622268188	0.00678427451845201	0.0103479896862907	0.0336301584944558	0.00879505592565819	0.0093214979077725	0.0231383415681228	0.0114411937585825
OM3_C_8A_1	0.0138601939461599	0.0121770950919456	0.0183491911742343	0.00966550343785576	0.0216048140768906	0.0127526763736075	0.00320939200543682	0.00310183820003487	0.00876532916256832	0.0156727651388303	0.00772028396167702	0.00172735040975776	0.0107711178700989	0.0091824441743325	0	0.010786315533983	0.0202657737027824	0.00575806598578063	0.00297807901923927	0.00195173449213328	0.0232362779247816	0.00551982746119277	0.00243530181463776	0.0184010468178012	0.00360069074468771	0.00779846848600785	0.0101156613685869	0.0107360528960647	0.00611434515931969	0.00540138184071548	0.00704202493016365	0.0167778704474767	0.0203206505175824	0.00511372436743279	0.00599002226560743	0.0136231219482944	0.00256195647679037	0.00429009681149517	0.0276088693537532	0.00505035255572758	0.00504580989451049	0.0146649504141268	0.00887387362874536
OM3_C_8A_2	0.00309183210025976	0.00181807037033489	0.00795032784159492	0.00468100956913931	0.0109412799907223	0.00384696327870005	0.012363459041598	0.00768485087680939	0.00897795964360003	0.00489055847977707	0.0181988934556107	0.0125100484673579	0.00127675209803031	0.010260070363429	0.010786315533983	0	0.00989508840864896	0.0050873824391324	0.0132652669190753	0.0127204038627491	0.0124545883676721	0.0053954237695854	0.00851310191163126	0.0137660260641522	0.0143355488542584	0.0181311134096366	0.00666324617754526	0.00256407727578472	0.01649077096531	0.00538941166510941	0.00404391667508349	0.00602252564602653	0.00971744359354514	0.0158766981292358	0.0097895738567374	0.00312472963862347	0.00910580098320682	0.0147714385827716	0.0383559399901063	0.00583458952216382	0.00603459524415307	0.0244601825784487	0.0184757463000966
OM3_C_8B_1	0.00697625634057339	0.00821162880122745	0.00194699134196108	0.0111909820834194	0.00223247231311053	0.00765449770611649	0.0211273000522199	0.0172242282404869	0.018286300102035	0.00588447106445163	0.0271107405658398	0.0219389191222391	0.00955749285912344	0.0160265736000372	0.0202657737027824	0.00989508840864896	0	0.014543925442627	0.0229625057058132	0.0221163232789443	0.00480257382195853	0.0151846554637459	0.0178549107572165	0.0124057434032276	0.0236385945164053	0.0269234374855565	0.0120225589223863	0.0114276582197809	0.0262112296490195	0.0150421052430983	0.0132261136501194	0.00441656034769284	0.00643835585289669	0.0253661694433893	0.0173467165450509	0.00678817191743957	0.0181615133456554	0.0238461534163475	0.0478055231786434	0.0155893728138704	0.0158610573625681	0.0343318137859694	0.0267373691520828
OM3_C_8B_3	0.00812720273552855	0.00641933025242909	0.0126161178945516	0.00469555719084349	0.0158479414558635	0.0071713597307821	0.00735063027049427	0.00268165538181011	0.00762378806391383	0.00997274509053659	0.0131185509075292	0.00746692366237195	0.00501578211369117	0.00759745259350279	0.00575806598578063	0.0050873824391324	0.014543925442627	0	0.00842898460400648	0.00766653911819011	0.0175038207779749	0.00142624395264225	0.00342827832830156	0.0146737591454438	0.00926378176115652	0.0130649314150629	0.00600281919222744	0.00563295716592406	0.0116792500315605	0.000789540671175085	0.0013752956575631	0.0110326237253994	0.0147638321090289	0.0108712514718082	0.00574468382617026	0.0078658425919915	0.00405931276570702	0.00968522545393445	0.0333644081235657	0.00148565042922238	0.00201213913391223	0.0199723087629151	0.0135335930576945
OM3_C_8C_2	0.0163564461175841	0.0147879699083955	0.0210285470739531	0.0125928127705344	0.024188640500146	0.0155599939197948	0.00492916604791724	0.00576275570167185	0.00919459181693631	0.0180940754197356	0.00669282769640276	0.0020435990528903	0.0134112659405158	0.0119738911853518	0.00297807901923927	0.0132652669190753	0.0229625057058132	0.00842898460400648	0	0.00215077351707493	0.0256827566076385	0.0078714975381971	0.00533793952374365	0.0213377793621476	0.00278515102566496	0.00699718330350651	0.013093310185006	0.0128040875994392	0.00325058282750324	0.00793046388614906	0.0097762632410286	0.0192867565055656	0.0225226109391507	0.00299512944276143	0.00875938779336429	0.0162341949543713	0.00553286700339319	0.00398004187911727	0.0251471546508795	0.00743180836852334	0.00726010909804605	0.0117034929646463	0.00875224538015731
OM3_C_8C_3	0.0157862480038726	0.0140771524644287	0.020210822793019	0.0113350248440874	0.0234993534811211	0.0145503554020469	0.00278080852264068	0.00503887441170885	0.0102364140715812	0.0176093841803141	0.00583364499035609	0.000265203237500187	0.0126652558315946	0.0100320083644957	0.00195173449213328	0.0127204038627491	0.0221163232789443	0.00766653911819011	0.00215077351707493	0	0.0251634509442055	0.00747149892643279	0.00426811755107707	0.0195490313151712	0.00165411113641492	0.00596396584666922	0.0115707450316149	0.0126805255596395	0.00464373920598403	0.00734320702480771	0.00891521019201683	0.0186976112942423	0.0222716775089624	0.00326696821504521	0.00683588736843665	0.0155198808368247	0.00406577593256715	0.00249448168595372	0.025717567788622	0.00700205679890642	0.00698944151701388	0.0132489874701762	0.00728845919159801
