	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_8F_1	0.0233437238162523	0.0224084505860249	0.0157490563989827	0.0360288200803444	0.0121806895124846	0.0143478535571706	0.0370728544612208	0.00759372513656351	0.0261970187910023	0.00693580643277181	0.00488430677584236	0.0703729509075941	0.0831047909637282	0.0831025440654507	0.00943076771591411	0.0247172742096834	0.0149221592451116	0.0260856601014841	0.0106895232940108	0.0165018123261899	0.0163656755523783	0.0218731568732745	0.00836636798636636	0.0230306200579167	0.00630203971428103	0.0144492643058293	0.0185032476884683	0.0314915468829376	0.00425317088326116	0	0.0190662647938764	0.0190463421900111	0.00868187797151482	0.0190585071830491	0.020424850150557	0.0151129625612568	0.017875219248977	0.0140914014190194	0.0122125991107629	0.0244920410865679	0.0143296819971929	0.0166823337608773	0.0130070913398981	0.0161061630167788	0.00720968720298082	0.0096882208914126	0.0492099650887082	0.0150959616038759	0.012493040899246	0.0260077837270108	0.00395017225129468	0.0404070752742678	0.0248328211970039	0.0181057117364079	0.0567786772963068	0.0318731995314777	0.050271597635942	0.00968709659473021	0.00933708626887803	0.0211647794090425	0.0139257780764366	0.0236535406150726	0.0152742171777746	0.020564381305305	0.0124497348001096	0.00839285127158727
OM3_C_8F_2	0.00771425182775989	0.00536144672782346	0.00457966106307304	0.0172499443712744	0.00745755271349595	0.00761384940025608	0.0557760941757272	0.015439646536966	0.00836008748967059	0.0155033462007712	0.0175014973257405	0.0886677233452555	0.101467048504484	0.101317674618901	0.0122441774638028	0.00603686728828799	0.00444542505197217	0.0449546145824411	0.00910882354417473	0.00271301379647834	0.00627201221102055	0.00418585499445946	0.0109836216110024	0.00617488301355525	0.0130011912179721	0.00848608041531266	0.00391157861245564	0.0125094887814122	0.0212703097021467	0.0190662647938764	0	0.0031188535275577	0.0113191367214659	0.00322340143820229	0.00207497093324317	0.00696644490107564	0.00356766989592444	0.00639061648056804	0.00738822674781104	0.00588283147806358	0.00568952759014648	0.0043425769214331	0.00699172300383651	0.00377407428533387	0.0124116225911565	0.0100888210366582	0.0311340941255534	0.0115482936761017	0.00925724590410893	0.0449817961130177	0.0208995261756356	0.0593991185980324	0.00752393375933841	0.00855573023455621	0.0379254100037635	0.0160352485703126	0.0312563628067853	0.0110255838406889	0.0100436989182431	0.0401294694912019	0.00589173545935409	0.0053631259585853	0.00558946019948024	0.00516412261659221	0.0274082898262175	0.0110072618239303
OM3_C_8F_3	0.00722671598216948	0.00707338416201833	0.00337145050422993	0.0176624375824707	0.00718058789820583	0.00964939420584298	0.0559861737353183	0.0144816756317876	0.00721952267775551	0.0145165620964131	0.0167176467358452	0.087800026204548	0.100594113668875	0.100375581333626	0.0114093758422667	0.00585162318117146	0.00442282072029481	0.0450672394887232	0.00970737546064284	0.00424157733774537	0.00815884318902847	0.00538246732550177	0.0115537333802993	0.00511725397533046	0.0133231673177408	0.0072809244466184	0.00605529279769495	0.0127245318966456	0.0217219096530317	0.0190463421900111	0.0031188535275577	0	0.0122026968779351	0.00108817600727792	0.00239331426305732	0.00531828722569208	0.00490381547497366	0.00541125223348795	0.00858960514169363	0.00657180850141651	0.00644992520545712	0.00685945145163651	0.00770115102486307	0.00298780888267982	0.0128459295617022	0.00957686429172821	0.0321995429460451	0.00909233464819553	0.00939296947232719	0.0450285411981367	0.0213413154982315	0.0593897418909755	0.00647706491510074	0.00738432703026073	0.0388193540331921	0.0170285183100746	0.0318961305587802	0.0112255357653107	0.0107629062706123	0.0400890160522348	0.00751229978817401	0.0068267107270575	0.00450682887515856	0.00248955632141412	0.0279277936400202	0.0115861730531318
OM3_C_9A_1	0.0160931004323202	0.0141754190833502	0.00936557652736479	0.0280090970822464	0.00642626733658224	0.00567022089593045	0.0448292872780018	0.00946497130857659	0.0192979641975014	0.0090391831167315	0.00937167131521546	0.0790189545949147	0.0917347990429472	0.0917451172829051	0.00688826729102597	0.0172745562826541	0.00780615451321718	0.0340244425847669	0.00307362530955967	0.00887250293225697	0.00909614435921739	0.0144569358584061	0.00136430075578047	0.01588792634815	0.00270228321638536	0.0101674805080698	0.0102024886167111	0.0237427905464205	0.0100447845126913	0.00868187797151482	0.0113191367214659	0.0122026968779351	0	0.0123112345496217	0.0130527006077867	0.0100725885728694	0.0106713917369155	0.00845207355520588	0.00397538909257459	0.0166113606752933	0.00655704295443055	0.0082018744516329	0.00523641882622314	0.00929661198241326	0.00205516579383966	0.00520423869251123	0.0407368953241006	0.0126313499026016	0.00603374910401413	0.0339686917803971	0.0096871777915519	0.0483973057185334	0.0181424113569147	0.0133733485030866	0.0483926585381356	0.0238324345424181	0.042134767905728	0.00590900680660862	0.00203347856486925	0.0291735467091136	0.00561536641666273	0.0155114475326016	0.00883263808144269	0.0140588966034891	0.0179800437256415	0.00246661031590494
OM3_C_9A_3	0.00819639024162492	0.00772169781820171	0.00334290388539338	0.0179453766782776	0.00699130522781444	0.00988694773133035	0.0558811297649294	0.0142838509730996	0.00719791798743605	0.0144453856697123	0.0167766080896633	0.0876882451995155	0.100509874894211	0.100281182119136	0.0117825411749161	0.00596286727642003	0.00468477952916234	0.0449993210182777	0.00999787050380649	0.00412007666869053	0.0075973152851565	0.00473903371283871	0.0116344537269549	0.0059294562218453	0.0134219702776979	0.00668090154349287	0.00663613335198244	0.0127974937380222	0.0218050911854106	0.0190585071830491	0.00322340143820229	0.00108817600727792	0.0123112345496217	0	0.00225347676825239	0.00493229358520257	0.00420050925564006	0.00515905670674863	0.00866108578612686	0.00702925856805929	0.0069281575140923	0.00702840217514601	0.0081133127934481	0.00314280864437399	0.0130112289616318	0.00976325304517415	0.0325418545204628	0.00910314340808653	0.0100016343408797	0.0450403244659904	0.0214220146100283	0.0593989570157505	0.00602219811980027	0.00641170155053017	0.038880948253545	0.0177790292465456	0.031870008973693	0.0108537848899765	0.0107514192678219	0.0401557528308135	0.00759276249245729	0.0073178904125971	0.00510743579480117	0.00322787992416016	0.0275485096286132	0.0115105069735571
OM3_C_9C_2	0.00747972720422975	0.0060306601020608	0.0050568866767163	0.0162042014201865	0.00844557281266295	0.00966687981106026	0.0571942958316173	0.0161453022860194	0.00641991775050163	0.0162930470385915	0.0184995274791236	0.0895493009364475	0.102367210488164	0.10216930622629	0.013308705711677	0.00442192775773938	0.00569718739901339	0.0463543988649393	0.0107860109306538	0.00428768942005183	0.00747829495626758	0.00324966477948025	0.0125839672485568	0.0052723302688996	0.0145273465083683	0.00856550349798704	0.00569796931293723	0.0111392137654501	0.0228754372667823	0.020424850150557	0.00207497093324317	0.00239331426305732	0.0130527006077867	0.00225347676825239	0	0.0069997410564309	0.00416520237470708	0.006931462710604	0.009168254366175	0.0051884119751571	0.00738699847918256	0.00640787164992524	0.00870021012432047	0.00450855075126332	0.0140112483000564	0.0112397086068564	0.0305650058319171	0.0113239451164056	0.010768051037004	0.0464065854072364	0.0224985404417797	0.0608030455466985	0.00548517279556556	0.00790583332482187	0.0369746757370145	0.0161232281490596	0.0300905489850708	0.0121143504866701	0.0116375102378403	0.0415451351743975	0.00778103964133232	0.00535208964778896	0.0064075470610985	0.00402990210442741	0.0286756249974657	0.012513141037259
OM3_C_9C_3	0.0119705048574992	0.01182568295172	0.00274554147101578	0.0228304367083708	0.00371132695128146	0.0101617744489923	0.0516484532088372	0.0095038925803824	0.0115745090298846	0.00981876519408182	0.0124417707406671	0.082883693266567	0.0957318093881418	0.0954804853167509	0.00866163259773287	0.0108402071676174	0.00452346081086607	0.0407652508414446	0.00827911315954487	0.00554022117924112	0.00781696082342455	0.00865333456014483	0.00899780518183119	0.0101545716439662	0.0103191926428576	0.00232441778412859	0.00936736572252109	0.0176132781358045	0.0183820408606693	0.0151129625612568	0.00696644490107564	0.00531828722569208	0.0100725885728694	0.00493229358520257	0.0069997410564309	0	0.00588041184787146	0.0017158358963145	0.00750563470638549	0.0118547893084555	0.00701038363579259	0.00862827550689917	0.00745262371289887	0.00372794916012578	0.0102544341280041	0.00648262044738561	0.037455747491721	0.00543624391001367	0.00900628095053844	0.0408680967285369	0.0179944357639594	0.0551444315589786	0.0100080324331774	0.00478489923514063	0.0437189125965269	0.022100857816434	0.0365986639505642	0.00721245391805548	0.00824998025142594	0.0360337598525109	0.00742078603908804	0.0119179331362146	0.00485239343650289	0.00679546638184571	0.0236109478903394	0.00858112160147048
OM3_C_9D_1	0.0111756932262201	0.00871856981513519	0.00462557324567502	0.0196882452324506	0.00615978063109271	0.00803662039842777	0.0540633582499243	0.0138414822949699	0.0100319677689057	0.0142643801969149	0.0165606414447271	0.0869897003058258	0.0998626812263967	0.0996958075009531	0.0124345806814939	0.00825010100781098	0.00505327932337413	0.0433693954165132	0.00920774189399918	0.00271850684050156	0.00354315595784453	0.00405774618559941	0.0102259374118623	0.00930061671635713	0.0122195728176995	0.00644452125327047	0.00667699687780111	0.0144811985998047	0.0202827879950157	0.017875219248977	0.00356766989592444	0.00490381547497366	0.0106713917369155	0.00420050925564006	0.00416520237470708	0.00588041184787146	0	0.00534873391921405	0.0069024302768382	0.00892145882218732	0.00687759330204752	0.00525913978374724	0.00774714486036855	0.00439026434809932	0.011882256916	0.00975698636477255	0.0335875185353234	0.0112446500660008	0.0104394895115393	0.0436395977900374	0.0199075053901745	0.0580258457610429	0.00817845105715554	0.0060763795990944	0.0396420817243487	0.0193693081384588	0.0327701965724518	0.00881687688437558	0.00901666545161135	0.0389724599425941	0.00571309966006656	0.00853242707219985	0.00689065265151972	0.00733761069182219	0.0249795109337502	0.00971248885905329
OM3_C_9D_2	0.0117929056982555	0.0111733830498664	0.00215338597058302	0.0230020341045033	0.00218184978474277	0.008517031165044	0.0508171000984384	0.00921498081558995	0.0122374451631394	0.0094156534921525	0.0118174194856951	0.0826513620319402	0.0954864723414044	0.0952819577744783	0.00777208698972186	0.0110956186090361	0.00322601788354603	0.0399283899662852	0.00665525610774639	0.0044670690166818	0.00678834151277661	0.00864401918000294	0.00744180798424044	0.0102629190807878	0.00891964041387839	0.00300281302939325	0.00828572745833423	0.0179329991555537	0.0171336036988281	0.0140914014190194	0.00639061648056804	0.00541125223348795	0.00845207355520588	0.00515905670674863	0.006931462710604	0.0017158358963145	0.00534873391921405	0	0.0057932268665583	0.0117197900735927	0.0055469135950547	0.00726570940437526	0.00587587518484436	0.00297520962785658	0.00877360219876198	0.00529333890421137	0.0373389735039941	0.00642783636525287	0.00765381932965067	0.0400075071057237	0.0167460892034297	0.0543438895869845	0.0107627752062504	0.00583828217953405	0.0438861825833864	0.021628010264291	0.036920619150773	0.00616214245084675	0.00665093650921705	0.0351648204849955	0.00578924843445983	0.0115149501937217	0.00405447533167865	0.00721229247200186	0.0227745497368021	0.00709303040450442
OM3_C_9D_3	0.0128959870958431	0.0106382729718088	0.00613411169768546	0.0242304337088078	0.00428512374179298	0.00331626923944661	0.048611028022419	0.0107588855839028	0.015504615843017	0.0106049723370053	0.0118504266114201	0.0824397829864744	0.0952007415417029	0.0951561935026586	0.0077724653764568	0.0133929997884754	0.00441785836831587	0.0378210930470079	0.00282667785931113	0.00495427003112811	0.00585997901604429	0.0105356845245309	0.0038776294100158	0.0123840763745021	0.0060219380668829	0.00802759768450491	0.00670647378692534	0.019823886848864	0.0139856958831584	0.0122125991107629	0.00738822674781104	0.00858960514169363	0.00397538909257459	0.00866108578612686	0.009168254366175	0.00750563470638549	0.0069024302768382	0.0057932268665583	0	0.0128195658313637	0.00352102923791177	0.00449047125938041	0.00282757700720094	0.00585470057391169	0.00540273029707319	0.00527228622883982	0.0372600857966261	0.0113294006817611	0.00539627479171707	0.0378354629709547	0.0136222125400034	0.0522663806003246	0.0143456347888534	0.0106002403379572	0.0446178144329695	0.0208547193253738	0.0382417520591547	0.00590644830228295	0.00295585493410056	0.0330462535629567	0.00171483802538072	0.0117705950136564	0.00606401733935179	0.0106490505696242	0.0209003811006858	0.00411221680310722
OM3_C_9E_1	0.00498241696596626	0.00373281791159948	0.00963125569917809	0.0115517733892041	0.0130922536148291	0.0121405169308923	0.0613306505106486	0.0208256149959222	0.00566347754814409	0.0207469427962178	0.0226429913813758	0.0939706505289172	0.106713228703846	0.106544145004255	0.0167420013090965	0.0029839131301368	0.0096837664277156	0.0504599235329731	0.0141035704976097	0.00857080760739832	0.0116621392188404	0.00645283059789303	0.0163860446583881	0.00381475815220562	0.0183418826216125	0.013651253369029	0.00681386282947832	0.00748473678324815	0.0265378464509408	0.0244920410865679	0.00588283147806358	0.00657180850141651	0.0166113606752933	0.00702925856805929	0.0051884119751571	0.0118547893084555	0.00892145882218732	0.0117197900735927	0.0128195658313637	0	0.0103411496424208	0.00902134760335922	0.0117494248730442	0.00888807852152051	0.017620196231047	0.0151778060826331	0.0256732897955414	0.0153345261687115	0.0132477768982444	0.0503301186657962	0.0261769437319526	0.0647292172248216	0.00687684670524831	0.012893895397721	0.0327866849639376	0.0112452793343291	0.0262672051614332	0.0168785664048953	0.0156076868027777	0.0453628153909437	0.0112624468453094	0.00187055748929734	0.00980504007201923	0.00628690743967718	0.0332577052575985	0.0166544960751155
