	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_1	OM3_C_8F_2	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7C_2	0.0227929991354542	0.0243809628106588	0.0260129948060045	0.00188478989787372	0.0182171444621728	0.0231807123419315	0.00730498862306382	0.0121066121102325	0.0173257544290112	0.0480317575567876	0	0.00790725781840997	0.0150826818350508	0.0177924466145643	0.00868085689277573	0.00977534424842851	0.0136636777636328	0.0172181848438365	0.00192686432951636	0.0222004241633683	0.0212508059538722	0.00719742298209873	0.026709539084732	0.00475667065098571	0.00900509575701735	0.0523053893791611	0.00426691237347666	0.00146109513774014	0.0149747044996296	0.0105540419594646	0.00892098282067254	8.65639020788513e-05	0.0332887670626793	0.0202444435771381	0.024761312296109	0.00881166341674888	0.0219968998563689	0.00309785519056909	0.0110076934790593	0.00475625841398496	0.0147634052774777	0.0297674051396876	0.00220197478945399	0.0085591917953832	0.00406122809588879	0.0244810370819173	0.022837801147572	0.0141744563514644	0.012554022150658	0.013985109160531	0.00473940491824674	0.0104427450196778	0.00632683065672713	0.00700564985405777	0.00658081458384201
OM3_C_7G_1	0.0148867269523084	0.0164748727543866	0.0181071075527047	0.00979199476268063	0.0103104309365838	0.0152744832453385	0.0152119284076041	0.020013177991622	0.00941896929461085	0.0559314534377907	0.00790725781840997	0	0.0229889507497695	0.0256984019092269	0.0165877028544986	0.00186813912318737	0.00575664734972529	0.00931139138374717	0.00598042661196039	0.0142940878492507	0.0133443712042623	0.0151043696499657	0.018803743219374	0.0126637558678525	0.00109786645438291	0.044404991381946	0.00364039014404254	0.00936831367462979	0.0228809850586893	0.0184607429797932	0.001013751086205	0.00782069586103346	0.0411921436158316	0.0123379103299575	0.0326662727254199	0.000904428582999087	0.0140905419959318	0.0048094454775662	0.00310053420081085	0.00315104254244106	0.0226697084338926	0.0376714844367947	0.0057053191447371	0.0164660464854135	0.0119683465951483	0.0323860427384056	0.0307430631905978	0.0220808211700561	0.0204605465680973	0.0218914933897365	0.00316789611488565	0.0183494552054526	0.00158045596492789	0.0149126086312106	0.00132646838259302
OM3_C_7G_2	0.0378709530123617	0.039458371316557	0.0410898130970852	0.0131980266972553	0.0332965110831899	0.0382585356892088	0.00777800033519102	0.00297626412236377	0.0324053689209543	0.0329575101053897	0.0150826818350508	0.0229889507497695	0	0.00271002435034062	0.00640212518469359	0.0248567031347378	0.0287442174810394	0.0322978286468933	0.0170093683263775	0.0372785742646175	0.0363292622616274	0.00788556565188861	0.0417860962857372	0.0103262769635476	0.0240865970459293	0.0673684780325366	0.0193491457768245	0.013621694536293	0.000107986049900395	0.00452889790738491	0.0240024992632706	0.015169238617192	0.0182093302936508	0.0353232133166987	0.00967991744993049	0.0238931994374397	0.0370751164393855	0.0181802312778827	0.0260888108827375	0.0198384276412643	0.000319301963531371	0.0146870666398177	0.0172844500843418	0.00652379171463154	0.0110216960117461	0.00939959094446793	0.00775607107565685	0.000908294886927062	0.00252883093155474	0.00109765543266147	0.0198215763995152	0.00464019841204858	0.0214087761379477	0.00807733789139553	0.0216627213339936
OM3_C_7G_3	0.0405794770832227	0.0421667702339203	0.043798078066296	0.0159078481138984	0.0360053673460036	0.0409670296734513	0.0104879459940804	0.00568627217493077	0.0351142849972891	0.0302484353208954	0.0177924466145643	0.0256984019092269	0.00271002435034062	0	0.00911209328834152	0.0275660621864968	0.031453362600993	0.0350067518335821	0.0197190680121898	0.0399871437326745	0.039037903002204	0.0105955094011784	0.0444943024407174	0.0130361713371615	0.0267959949129577	0.0700738296146467	0.0220587566083286	0.0163315038264841	0.002818010107457	0.00723889066912812	0.0267119012978165	0.0178790006285096	0.0154995758845259	0.0380319276049186	0.00696995779852728	0.0266026068674519	0.0397837013358898	0.0208898878454969	0.0287981053849519	0.0225480185297871	0.00302932538331591	0.011977210714843	0.0199941398821076	0.00923375798155611	0.01373157419432	0.0066896268979523	0.00504608427958086	0.00361831607463169	0.00523884252584515	0.00380767576077901	0.0225311679827363	0.00735018989858996	0.0241182998304723	0.0107872781804179	0.0243722337028244
OM3_C_7H_1	0.0314715876879468	0.0330592689324818	0.0346909935432406	0.00679610704220745	0.0268964553878138	0.0318592334501683	0.00137589962108722	0.00342588433509763	0.026005190328655	0.0393567092848862	0.00868085689277573	0.0165877028544986	0.00640212518469359	0.00911209328834152	0	0.018455634163851	0.0223435734688936	0.0258976354786838	0.0106076572131303	0.030879113909827	0.0299296531146671	0.00148346721685891	0.0353874013373722	0.00392424452933461	0.0176854523205292	0.0609760034364806	0.0129475960754426	0.00721979474132295	0.00629414068454222	0.0018732466523157	0.0176013464336913	0.00876741841956773	0.0246104400640423	0.0289234511803087	0.0160816889192158	0.0174920361245912	0.0306756238327063	0.0117785977557741	0.0196878689026046	0.0134369149140535	0.00608282764988012	0.0210884892292842	0.010882756627928	0.000121668343888171	0.00461968739922836	0.0158013786118546	0.0141579465832343	0.00549384167859183	0.00387331660607127	0.00530448303239533	0.0134200623803376	0.00176194544513388	0.015007389619288	0.00167524365138818	0.0152613563059832
OM3_C_7H_2	0.0130187215368468	0.0146068998004248	0.0162391716550338	0.0116600561247183	0.00844235171577687	0.0134064854290315	0.0170798910430374	0.0218810203315927	0.00755087909247608	0.0577974349136763	0.00977534424842851	0.00186813912318737	0.0248567031347378	0.0275660621864968	0.018455634163851	0	0.00388852359390641	0.00744329993107866	0.00784853370673512	0.0124260712264632	0.0114763376466372	0.0169723346278174	0.0169358242799245	0.0145317698323249	0.000770273247971001	0.0425381781470811	0.00550851556755069	0.0112363810894912	0.0247487409126958	0.020328627578083	0.000854388630195539	0.00968878332716137	0.0430590918911462	0.0104698602015324	0.0345336516890483	0.000963711137146277	0.0122225216373754	0.00667756267351937	0.00123239769719458	0.00501917085821672	0.0245374710317326	0.0395386220464026	0.00757342877979736	0.0183339806667955	0.0138363730547358	0.034253434246457	0.0326105261750768	0.0239486022525971	0.0223283761353774	0.0237592803174514	0.00503602433646649	0.020217342709815	0.00344859136074039	0.016780577746844	0.00319460460740626
OM3_C_8A_1	0.00913036918687295	0.0107186019656859	0.0123509375402115	0.0155483219669603	0.00455388336679038	0.00951814570938981	0.0209679068515536	0.0257687463288997	0.0036623952173365	0.0616809945190982	0.0136636777636328	0.00575664734972529	0.0287442174810394	0.031453362600993	0.0223435734688936	0.00388852359390641	0	0.0035548143377023	0.0117369260787649	0.00853770042016201	0.00758793939821561	0.0208603561955057	0.0130476197401479	0.0184199134155154	0.00465879171098522	0.0386520654941829	0.00939696533494893	0.0151246630133688	0.0286362633651185	0.0242164542767935	0.00474290643038482	0.0135771197106845	0.0469447836269983	0.00658143573609951	0.0384203095112083	0.00485222804575162	0.00833414472838403	0.0105659857007148	0.00265613058206376	0.0089076306705382	0.0284250092539845	0.0434247365986581	0.0114618287016859	0.0222219269489356	0.017724548360746	0.0381401204713594	0.0364973746175524	0.0278361837802974	0.0262160718755928	0.0276468755647226	0.00892448381409485	0.0241051763710106	0.0073370788283464	0.0206686095023707	0.00708309588983772
OM3_C_8A_2	0.00557562218159758	0.00716388928376307	0.008796267168429	0.0191027487827476	0.000999075030852393	0.00596340646258636	0.0245220522130025	0.0293225799568316	0.000107581398981133	0.0652306716892179	0.0172181848438365	0.00931139138374717	0.0322978286468933	0.0350067518335821	0.0258976354786838	0.00744329993107866	0.0035548143377023	0	0.0152915057796491	0.00498294233211833	0.00403316550170149	0.0244145078707221	0.00949296960248647	0.0219742004403216	0.00821355583065472	0.0350990784380315	0.012951620360972	0.0186791086662777	0.0321898829922822	0.0277703950886184	0.00829766912218696	0.0171316302582185	0.0504965519607447	0.00302664770619734	0.0419730436093305	0.00840698885424445	0.00477938304992309	0.0141206048623559	0.00621092324569085	0.012462299659663	0.0319786453541057	0.046976925531642	0.0150164179912078	0.0257759965230319	0.0212788711708524	0.041692883253874	0.0400503016440391	0.0313898652020383	0.0297698734856556	0.031200571371864	0.0124791523326217	0.027659124632239	0.0108917884430435	0.0242227723611056	0.0106378114734536
OM3_C_8A_3	0.0208664704180122	0.0224544851127945	0.0240865733480109	0.00381164921830478	0.0162904890570408	0.0212541957449484	0.00923180604639202	0.0140333585174585	0.015399077843837	0.0499569794890262	0.00192686432951636	0.00598042661196039	0.0170093683263775	0.0197190680121898	0.0106076572131303	0.00784853370673512	0.0117369260787649	0.0152915057796491	0	0.0202738773405414	0.0193242311727279	0.00912424163241575	0.0247831428064939	0.00668351284314857	0.00707827609766905	0.0503804149426322	0.00234005502566621	0.00338795601512165	0.016901393376886	0.0124808148006512	0.00699416221642636	0.00184030053909464	0.0352148247175643	0.0183178405845121	0.0266877203703757	0.0068848415993832	0.0200703469319962	0.00117099339615278	0.00908089927058943	0.00282940349646337	0.0166900987775853	0.0316936193747466	0.000275110883239655	0.0104859937333612	0.00598807548599233	0.0264074550075441	0.0247642746904274	0.0161011624141888	0.0144807603258562	0.0159118191612554	0.00281254991143207	0.012369519628516	0.00439998581137761	0.00893247065227466	0.00465397169312595
OM3_C_8B_2	0.00059268600719531	0.0021809760936941	0.00381338746304143	0.0240848458216588	0.00398387469770906	0.000980475028253379	0.0295036691791181	0.0343036842666052	0.00487536190713463	0.0702053879276417	0.0222004241633683	0.0142940878492507	0.0372785742646175	0.0399871437326745	0.030879113909827	0.0124260712264632	0.00853770042016201	0.00498294233211833	0.0202738773405414	0	0.000949783961794888	0.0293961353837505	0.0045101072397352	0.0269560561885757	0.0131962978158785	0.0301181432178169	0.0179341344957849	0.0236612388013695	0.0371706421698905	0.032751674104155	0.0132804077754017	0.0221138758056039	0.0554744288742026	0.00195630564233966	0.0469524077483471	0.0133897231383489	0.000203561094435354	0.0191030502444009	0.011193736922513	0.0174448411035163	0.0369594309480802	0.0519554470711908	0.0199988073406688	0.0307574874757253	0.026260788057545	0.0466722919963626	0.0450299663939582	0.0363707235955946	0.0347509258675154	0.0361814529108304	0.0174616928503652	0.0326404158438817	0.0158744116671582	0.0292044185754861	0.0156204470808829
OM3_C_8B_3	0.00154246964355116	0.00313075762198727	0.00476316494487568	0.0231352574228409	0.00303409502770346	0.00193025831599172	0.0285541800173584	0.0333542996604051	0.003925584737109	0.0692572716720945	0.0212508059538722	0.0133443712042623	0.0363292622616274	0.039037903002204	0.0299296531146671	0.0114763376466372	0.00758793939821561	0.00403316550170149	0.0193242311727279	0.000949783961794888	0	0.0284466440583423	0.00545988241289872	0.026006517879478	0.0122465709244528	0.0310675876320047	0.016984457808658	0.0227116434893568	0.0362213274287498	0.0318022539873534	0.0123306816393851	0.0211642562854124	0.0545256894587705	0.00100652238060734	0.0460033728020263	0.0124399979914692	0.000746222921606037	0.0181533883326969	0.0102439935016481	0.0164951585116852	0.0360101108713137	0.0510065798133369	0.019049157389197	0.0298080241205065	0.0253112371029344	0.0457232481512714	0.0440808714232858	0.0354213888050801	0.0338015517959326	0.0352321134393032	0.0165120104591427	0.0316909932439186	0.01492471124228	0.0282549234120902	0.0146707439325308
