	OM3_B_B_1	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_H_3C_2	OM3_H_3D_1	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_C_7H_1	0.00790236119746481	0.0178738303501064	0.00400133136485379	0.0346291477517774	0.0100807599330094	0.0220619812213926	0.0010324493244592	0.00191275924022264	0.00650187011901654	0.0259931242686498	0	0.00443859140233742	4.65026115568999e-05	0.0149371318935007	0.0248358826956021	0.00555919185312921	0.00881633834526561	0.0123152645096703	0.0104834705028947	0.00667565905783611	0.00669142167021519	0.00331979320494367	0.024032543100442	0.0173099451224482	0.00449547327188328	0.007080933601079	0.00390220530697282	0.0165402383358211	0.00688434574351527	0.0102454037473862	0.0236552711885512	0.000862604467122746	0.00708673111359603	0.0228672460765218	0.0101265129125578	0.0117989608587278	0.00711886982735077	0.00117928626750577	0.00193624062508239	0.00261435658100122	0.00196812191605386	0.00105574188067594	0.0176655446311411	0.000972258452350584	0.00594416525389992	0.000922680595608073	0.000719189880812948	0.000815285343236202	0.00477867232767173	0.0139475927678411	0.00443922321842311
OM3_C_7H_2	0.0123408025470203	0.0223118078501023	0.00843987081140263	0.0390656538555157	0.01451912611239	0.026499672402108	0.00547103203704751	0.00635133195298344	0.00206329935344499	0.0304304973559663	0.00443859140233742	0	0.00448509369217571	0.0193752778540016	0.0292733543897901	0.00999769774420462	0.00437780631611	0.0167535383923481	0.0149218211848323	0.0111141363048681	0.0111298984853715	0.00111880391102319	0.0284700808082151	0.0217479570337958	5.68822632517486e-05	0.011519399500968	0.00834074663583644	0.0209782956346427	0.0113228172107615	0.00580690386695406	0.0280928392090617	0.00357599168049796	0.0115251968474884	0.0273048759921669	0.0145648773563917	0.0162372574344258	0.0115573346391933	0.00561786747791602	0.00250235823069366	0.00705291961631094	0.00247047696592594	0.00338285501576774	0.0221035349561995	0.00541084176158983	0.0103826617016152	0.00351591579722685	0.00371940563655338	0.00362331060340666	0.00921719596455987	0.018385789498862	6.31852148237343e-07
OM3_C_8A_1	0.00785585958770207	0.0178273328799433	0.00395482900926806	0.0345826644904931	0.010034258953404	0.0220154864488519	0.000985946730099967	0.00186625668706568	0.00654837204348949	0.0259466325454177	4.65026115568999e-05	0.00448509369217571	0	0.0148906328703637	0.0247893900226544	0.00551268973650975	0.00886283969663937	0.0122687643356371	0.0104369696565674	0.00662915716061529	0.00664491977640375	0.00336629563553012	0.0239860497937684	0.017263447332445	0.00454197555346648	0.00703443179346533	0.00385570293881565	0.0164937401258603	0.00683784389177067	0.0102919046586616	0.0236087775914835	0.00090910706510484	0.00704022930729977	0.0228207518877922	0.010080011947838	0.011752460484235	0.00707236802840107	0.00113278367840145	0.00198274317391413	0.00256785407852238	0.0020146244628245	0.0011022444726067	0.0176190470416391	0.000925755856150076	0.00589766320838786	0.000969183191861794	0.00076569248252061	0.000861787942554601	0.00473217008155153	0.0139010932842338	0.00448572550814814
OM3_C_8A_2	0.00703505888551704	0.00293697083893998	0.0109360272995348	0.0196955623622003	0.00485662580127292	0.00712566541251406	0.0139047569509984	0.0130245017400642	0.0214382801029114	0.0110574851300419	0.0149371318935007	0.0193752778540016	0.0148906328703637	0	0.00990002761297988	0.00937821025253678	0.0237523857951181	0.00262203484073328	0.00445390349056896	0.00826175871149135	0.00824599622777292	0.0182566111527783	0.00909654633247583	0.00237302635373937	0.0194321526920549	0.00785648665811995	0.0110351497424927	0.00160324401814074	0.00805307352054534	0.0251811996813568	0.00871921020457656	0.0157996657543087	0.00785068916888045	0.00793105575050686	0.00481087157254345	0.00313836305506152	0.00781855057777904	0.013757929690241	0.0168732032745256	0.0123229422523931	0.0169050814540733	0.0159927863038004	0.00272866284643008	0.0139649437896135	0.00899324371201522	0.0158597366785253	0.0156562634406315	0.0157523507032883	0.0101587111560274	0.000989610715578513	0.0193759095921523
OM3_C_8A_3	0.0169346760306553	0.00696312734220857	0.0208352702908669	0.00979620263087099	0.0147564064198866	0.00277443046854651	0.0238036452532216	0.0229235015126136	0.0313359973017958	0.0011575017461335	0.0248358826956021	0.0292733543897901	0.0247893900226544	0.00990002761297988	0	0.0192776151841197	0.0336496652589409	0.0125219492584258	0.0143537107587862	0.0181612694581929	0.0181455084071605	0.0281548703572115	0.000803506529151788	0.00752706288925253	0.029330219711808	0.0177560336991429	0.0209343818663724	0.00829682948508701	0.017952603096959	0.0350781905755873	0.00118085297286524	0.0256982960776387	0.0177502367209179	0.0019690257965839	0.0147106552750155	0.0130382496073147	0.0177181009584609	0.0236568369548468	0.0267716765269549	0.022222027062714	0.0268035499216785	0.0258913889536992	0.00717143228857694	0.0238638242761502	0.0188926860963224	0.0257583584212955	0.0255549141476605	0.0256509877677158	0.02005803703308	0.0108896011660787	0.0292739860223688
OM3_C_8B_1	0.002343205045146	0.0123150631890898	0.00155787250416333	0.0290719016944469	0.00452165597404372	0.0165034921204993	0.00452675153648722	0.0036464460562935	0.0120609108688891	0.0204349580283246	0.00555919185312921	0.00999769774420462	0.00551268973650975	0.00937821025253678	0.0192776151841197	0	0.0143752860015121	0.00675623312243728	0.00492437819878644	0.00111648157368289	0.001132244423301	0.00887892825604708	0.0184742083448059	0.0117511457113106	0.0100545780252864	0.00152176252232426	0.00165699900996569	0.0109813968888327	0.00132517147850026	0.0158042836183262	0.018096905717211	0.0064217856445678	0.00152756013104632	0.0173088182288798	0.00456741024619888	0.00623991099011518	0.00155969938058517	0.00437991554074366	0.00749540450992465	0.00294485011162706	0.00752728521947656	0.00661492027491393	0.0121067654144047	0.00458694199620771	0.000384977812401988	0.00648186092270392	0.00627837303190816	0.00637446718067012	0.000780526715494424	0.00838862658558216	0.00999832954269748
OM3_C_8B_2	0.0167182958211016	0.026688710434721	0.0128175129955215	0.04344088207898	0.0188965161305802	0.030876236722009	0.00984875659989171	0.010729034879057	0.00231451420910201	0.0348066955533397	0.00881633834526561	0.00437780631611	0.00886283969663937	0.0237523857951181	0.0336496652589409	0.0143752860015121	0	0.0211308075218644	0.0192991905363651	0.0154916813834999	0.015507442927311	0.00549660089624495	0.0328464674908812	0.0261249010842364	0.00432092442615498	0.0158969279698543	0.0127183920020514	0.0253552947250452	0.0157003537988615	0.00142911014460929	0.0324692608170395	0.00795375484187068	0.0159027250751527	0.0316813691508355	0.0189422650513909	0.0206145558438168	0.0159348615277784	0.00999558859512312	0.00688013842450374	0.0114306036142721	0.0068482576120584	0.00776062149911577	0.0264804529699551	0.00978856771795324	0.0147602354976936	0.00789368000405443	0.00809716625794422	0.00800107293361297	0.0135948121609718	0.0227629607298124	0.00437717449993305
OM3_C_8B_3	0.00441305232933285	0.00555899078687341	0.00831407525958805	0.0223171951944731	0.00223460085028208	0.00974763685703452	0.0112828649393936	0.0104025902590068	0.0188166122793195	0.0136793818302792	0.0123152645096703	0.0167535383923481	0.0122687643356371	0.00262203484073328	0.0125219492584258	0.00675623312243728	0.0211308075218644	0	0.00183187608524632	0.00563976631482808	0.00562400363177899	0.0156348360759405	0.0117184838504204	0.00499505038287106	0.0168104151018266	0.00523448928063104	0.0084131994483083	0.0042252726807944	0.00543107852179663	0.0225596815527468	0.0113411547685055	0.0131778204311483	0.0052286917223052	0.0105530141904368	0.0021888463278339	0.000516329691221753	0.00519655274933809	0.0111360343332778	0.0142513872962965	0.00970101626256079	0.0142832663792339	0.0133709461051467	0.00535068436951913	0.0113430531606402	0.00637126106171147	0.0132378929420953	0.0130344143560765	0.0131305041349484	0.00753674604504951	0.0016324255980008	0.0167541701512553
OM3_C_8C_1	0.00258118349093151	0.00739084070394529	0.00648223344863529	0.0241487271784199	0.000402725337557196	0.0115794410123491	0.00945105665218995	0.00857077086437584	0.0169849392798963	0.0155111226230483	0.0104834705028947	0.0149218211848323	0.0104369696565674	0.00445390349056896	0.0143537107587862	0.00492437819878644	0.0192991905363651	0.00183187608524632	0	0.00380790389065936	0.00379214111310696	0.0138030971544194	0.0135502587170096	0.00682690475027392	0.0149786990407078	0.00340262452576588	0.00658135857603677	0.00605713246807455	0.00359921487143501	0.0207281025442744	0.0131729356271367	0.0113460393928782	0.0033968269356257	0.0123848069773074	0.000356970739760698	0.0013155468263435	0.00336468778697444	0.00930422412497287	0.012419623718119	0.00786918871996455	0.0124515033418865	0.0115391680999055	0.00718253597768743	0.00951124566883184	0.00453940337284205	0.0114061128421972	0.0112026310962482	0.0112987223607927	0.00570489730571924	0.00346429808310128	0.0149224529564585
OM3_C_8C_2	0.00122672458502592	0.0111986350873245	0.00267435246433576	0.027955735874843	0.0034051803659889	0.0153871090495939	0.00564322321873125	0.00476292090468757	0.0131773309256787	0.019318629656065	0.00667565905783611	0.0111141363048681	0.00662915716061529	0.00826175871149135	0.0181612694581929	0.00111648157368289	0.0154916813834999	0.00563976631482808	0.00380790389065936	0	1.57628539829806e-05	0.00999537547345194	0.017357851186515	0.0106347125889449	0.0111710161199619	0.000405281187681178	0.00277347880385131	0.00986495731229463	0.000208690011778637	0.0169206616961589	0.0169805433636007	0.00753824847580647	0.000411078800560554	0.0161924453814607	0.00345093477949407	0.00512344180496347	0.000443218074559256	0.00549638779278631	0.0086118610935184	0.00406132705385512	0.00864374160391103	0.00773138204805319	0.0109903354293591	0.00570341344005921	0.000731503870432894	0.00759832342791496	0.00739483663016925	0.00749093026674176	0.00189700771571564	0.00727216865565266	0.0111147680981992
OM3_C_8C_3	0.00121096173654907	0.0111828729163499	0.00269011528157236	0.0279399773032942	0.00338941757253311	0.0153713474884657	0.00565898590072358	0.00477868363682659	0.0131930928321761	0.01930286884288	0.00669142167021519	0.0111298984853715	0.00664491977640375	0.00824599622777292	0.0181455084071605	0.001132244423301	0.015507442927311	0.00562400363177899	0.00379214111310696	1.57628539829806e-05	0	0.0100111377830941	0.0173420899790438	0.0106189503505851	0.0111867782935397	0.000389518331861474	0.0027892416181274	0.00984919498756276	0.000192927155814242	0.0169364229868227	0.0169647820851107	0.00755401102110777	0.000395315945113134	0.0161766839596953	0.00343517198775757	0.00510767909158581	0.000427455219049956	0.00551215048373172	0.00862762354395779	0.004077089819918	0.00865950405135286	0.0077471445772254	0.0109745732330754	0.00571917611830615	0.000747266723946999	0.00761408596824934	0.00741059918717681	0.00750669281592058	0.00191277055241531	0.00725640608785448	0.0111305302786294
OM3_C_8E_1	0.0112220523423603	0.0211931873852784	0.00732109086032942	0.0379474257561578	0.0134003976576667	0.0253811294858917	0.00435223735897428	0.0052325409286017	0.00318210071855509	0.0293120396626506	0.00331979320494367	0.00111880391102319	0.00336629563553012	0.0182566111527783	0.0281548703572115	0.00887892825604708	0.00549660089624495	0.0156348360759405	0.0138030971544194	0.00999537547345194	0.0100111377830941	0	0.0273515791055374	0.0206293271706939	0.00117568614792206	0.0104006420512157	0.00722196608271166	0.0198596533420382	0.010204058104733	0.00692569218279568	0.0269743293816331	0.00245719117666371	0.0104064394470265	0.0261863495520954	0.0134461493979859	0.0151185487340189	0.0104385775125039	0.00449907336752352	0.00138355566214451	0.005934131934298	0.00135167434979383	0.00226405407454369	0.0209849109910662	0.00429204685565381	0.00926389508916556	0.00239711515424407	0.00260060547617489	0.00250451021112373	0.00809842099891149	0.0172671087282506	0.00111943573108218
OM3_C_8F_2	0.016131245997896	0.0061596328445811	0.0200318805627226	0.0105996799291564	0.0139529575675367	0.00197092547456531	0.0230002918708119	0.0221201368423252	0.0305327581280951	0.00196100763756107	0.024032543100442	0.0284700808082151	0.0239860497937684	0.00909654633247583	0.000803506529151788	0.0184742083448059	0.0328464674908812	0.0117184838504204	0.0135502587170096	0.017357851186515	0.0173420899790438	0.0273515791055374	0	0.00672357055529123	0.0285269470471645	0.0169526114491898	0.0201309932726829	0.00749334039168589	0.0171491827653434	0.0342750198559063	0.000377346569008663	0.0248949684555628	0.0169468144147207	0.00116551991179773	0.0139072060557522	0.0122347877772172	0.0169146783407979	0.0228534816596849	0.0259683643842089	0.0214186537044779	0.026000238248368	0.0250880640690102	0.00636793856942949	0.023060471681272	0.0180892752366082	0.0249550316484743	0.0247515845063315	0.0248476594781299	0.019254638598054	0.0100861254251035	0.0284707124509673
OM3_C_8F_3	0.00940803063464204	0.000563945853645645	0.0133089336304524	0.017322818676109	0.00722962317935832	0.00475266705485755	0.0162775967217304	0.0153973627579081	0.0238108859576096	0.00868453821236184	0.0173099451224482	0.0217479570337958	0.017263447332445	0.00237302635373937	0.00752706288925253	0.0117511457113106	0.0261249010842364	0.00499505038287106	0.00682690475027392	0.0106347125889449	0.0106189503505851	0.0206293271706939	0.00672357055529123	0	0.0218048299440347	0.0102294467140013	0.0134080540849257	0.000769783354880716	0.0104260306132032	0.027553654662233	0.00634622960585959	0.0181724554649064	0.0102236493111808	0.00555806584235299	0.00718386940509313	0.00551137513155476	0.0101915111981566	0.0161307730935212	0.0192459620057987	0.0146958192918298	0.0192778392364852	0.0183655705811583	0.000355637294425785	0.0163377820610612	0.0113661857535185	0.0182325247056584	0.0180290571460579	0.0181251417357038	0.0125316325201925	0.00336263432170839	0.0217485887505636
OM3_C_9A_1	0.012397681793418	0.0223686802694771	0.00849675166054479	0.039122505939617	0.0145760042025239	0.0265565407819517	0.00552791370371384	0.00640821341350653	0.00200641717212973	0.0304873613121289	0.00449547327188328	5.68822632517486e-05	0.00454197555346648	0.0194321526920549	0.029330219711808	0.0100545780252864	0.00432092442615498	0.0168104151018266	0.0149786990407078	0.0111710161199619	0.0111867782935397	0.00117568614792206	0.0285269470471645	0.0218048299440347	0	0.0115762791347489	0.00839762751786996	0.0210351691946291	0.0113796969332936	0.00575002226235714	0.0281497058697997	0.00363287368729838	0.011582076478618	0.0273617435157274	0.014621755420238	0.0162941344804301	0.011614214255663	0.00567474911232527	0.00255924036732011	0.00710980089064062	0.00252735910574525	0.00343973704927486	0.022160407558349	0.00546772344125068	0.0104395418275716	0.00357279781251094	0.00377628762256128	0.00368019260343801	0.0092740765422087	0.0184426650751277	5.62504428694774e-05
