	OM3_B_B_3	OM3_C_7A_1	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_3	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_3	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9D_2	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_2	OM3_C_9F_3	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_2	OM3_H_3H_2
OM3_C_9A_3	0.0732617182158772	0.0242217899437959	0.0176912711843947	0.0335148646166256	0.0218991894683271	0.016953516700648	0.0226637848889108	0.0344775002509135	0.0247781620979675	0.0138222693922115	0	0.0225647120601347	0.0188273470703055	0.0209264009182636	0.0181273630295974	0.0129654605398151	0.0400653254125448	0.0902312992136514	0.0160821820730377	0.0244256712768795	0.0081399994887797	0.00453382431447829	0.0189206345627904	0.017450062930847	0.0348809632289592	0.0310230403051125	0.012607900210057
OM3_C_9C_1	0.0951276117304662	0.0412474765418311	0.00804268877321736	0.0527489175436769	0.0415515554789074	0.0256640043599752	0.0433388324944396	0.0546850160712815	0.0451579217151452	0.0136236436537877	0.0225647120601347	0	0.0359983324335128	0.0417353388046871	0.0337345069409633	0.0232429226241715	0.0192068168448523	0.111315784275101	0.00999607071997121	0.0398831815951493	0.0203515876865114	0.024628489459721	0.00824123168891285	0.0256569426726719	0.0129259733882233	0.0506662730527435	0.0235569036515741
OM3_C_9D_2	0.0613070986548074	0.00556468979293741	0.0284279134126504	0.017070140434968	0.00742112855328004	0.0126689226914332	0.0109499296443209	0.0202288037840996	0.0124484507201275	0.0227708462720824	0.0188273470703055	0.0359983324335128	0	0.0096475281920182	0.00308227957884762	0.013887199992908	0.048631115223638	0.0760969758531613	0.0267863721209286	0.00631507531065895	0.0158839487037785	0.0147675647302947	0.0293196941107516	0.0132326969949345	0.048580773162895	0.0153675727837485	0.014550848805
OM3_C_9E_1	0.0536810430190002	0.00995873323850628	0.0348827631593908	0.0130987653070495	0.00351273030147617	0.0215359381775786	0.00243023690275511	0.0153408956063983	0.00501939316017859	0.0292462845830524	0.0209264009182636	0.0417353388046871	0.0096475281920182	0	0.0123944610219411	0.0207980000539312	0.0563010471629425	0.0698343078886834	0.0332406070883386	0.012676083883779	0.0215984368448896	0.0178543078767998	0.0360269371432009	0.0218583253780117	0.0544795385463563	0.0104317609469826	0.0215663028203304
OM3_C_9E_2	0.064139091972695	0.00753415090723823	0.0260101981712524	0.0195702806063478	0.0101556328681276	0.00982049975279389	0.0135896241803892	0.0231825080155581	0.0149449264190523	0.0203338957819654	0.0181273630295974	0.0337345069409633	0.00308227957884762	0.0123944610219411	0	0.0113212022483365	0.0458038584661189	0.078774132992144	0.024541755071397	0.00671741094155296	0.0139965940924431	0.0141332725005409	0.0269616718728854	0.0102077788459325	0.0462752611662908	0.0179811823747982	0.0128866515575527
OM3_C_9F_2	0.0739669850872228	0.0186493231427076	0.0155999289854208	0.0301251923915404	0.0196066488229817	0.00660742563233829	0.0220104482765493	0.0339110585374198	0.0234309355970839	0.00967201291511273	0.0129654605398151	0.0232429226241715	0.013887199992908	0.0207980000539312	0.0113212022483365	0	0.0357953579434467	0.0893308770600181	0.0151043220445211	0.0169527649833445	0.00602277774860582	0.0109868008091827	0.017332848871776	0.00531127803657583	0.0359395286027797	0.0282299784562866	0.0100463632516983
OM3_C_9F_3	0.109550468791827	0.0530158503185591	0.0224434281571835	0.0651641943072707	0.0551906845446201	0.0362362150954835	0.0577081870803066	0.0681929475314014	0.0592016892070756	0.0274394678943085	0.0400653254125448	0.0192068168448523	0.048631115223638	0.0563010471629425	0.0458038584661189	0.0357953579434467	0	0.12424521197728	0.0247361029640244	0.0507536658227751	0.0352629674572495	0.041014135717242	0.0218581696817312	0.03587476546646	0.0154243133546691	0.0635896747152011	0.0368940754152022
OM3_H_3C_2	0.0204527804886315	0.0714749455468511	0.104193748206578	0.0593960925851182	0.0700428883258372	0.088301103754531	0.0683556704841731	0.0577749651899576	0.0667682443662311	0.0984898549673751	0.0902312992136514	0.111315784275101	0.0760969758531613	0.0698343078886834	0.078774132992144	0.0893308770600181	0.12424521197728	0	0.102415133366966	0.0737955132496678	0.0911079977439716	0.0873105745168801	0.105086110856684	0.0885826986613542	0.123916192858105	0.0611838922829683	0.0894413633887664
OM3_H_3C_3	0.0867805912133071	0.03201333361192	0.0038240170916669	0.0437826008161115	0.0328315833245891	0.0163424838139425	0.0349853606439436	0.0453662426804912	0.0369041577899686	0.00629584025162396	0.0160821820730377	0.00999607071997121	0.0267863721209286	0.0332406070883386	0.024541755071397	0.0151043220445211	0.0247361029640244	0.102415133366966	0	0.0308148813781132	0.0118010690543982	0.0166395602094537	0.00293843851393394	0.0169330114410358	0.0219035827404892	0.0418420527299245	0.013706388860098
OM3_H_3D_3	0.0599733599732568	0.00368642139445105	0.0320327633548967	0.0147690457975066	0.00928750884741781	0.0151282388079496	0.0128812453839905	0.0204800832264867	0.0131871014651769	0.0263207291945948	0.0244256712768795	0.0398831815951493	0.00631507531065895	0.012676083883779	0.00671741094155296	0.0169527649833445	0.0507536658227751	0.0737955132496678	0.0308148813781132	0	0.0205126185691543	0.0205722684463856	0.0330783479815403	0.014996780288708	0.0523641512816999	0.0138463285457125	0.0193234441079688
