	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_3
OM3_C_7G_1	0.0156397724291557	0.00444021390614732	0.00294273434616706	0.0100718468275809	0.00818404465828231	0.0213237031661523	0.000561967142546693	0.00281853239011375	0.00606074117656717	0.00344062935474348	0	0.00218156969493809	0.00363080602694113	0.00371271101215335	0.0114585044488326	0.000647933912132216	0.022150778616405	0.0221085098801312	0.0243030646001063	0.013188577970827	0.0160651970979086	0.00318263866566917	0.0269970183906375	0.00764521173458313	0.00700621096278871	0.0215785219439658	0.00654255996532286	0.00312758035419348	0.00183052686121646	0.00352990608497142	0.00735173200877965	0.00510512699392626	0.00351558405305728	0.00859476208060147	0.0234853976373979	0.0331200702397843	0.0280463903675174	0.01816990765752	0.0349636067177486	0.00698813742778239	0.00395055134685038	0.00956957845518972	0.00704218582457379	0.00923626805872638	0.00599057186931711	0.0144715953177686	0.00959395814121975	0.000934270659446821	0.00286539884001575	0.0106102370550418	0.0256073184985573	0.00297714173738733	0.0184218672560804	0.00176022757535433	0.00380567813230722	0.0147525015158492	0.00915308678647722	0.00235356193217579	0.0233828923969865	0.00400288421865303
OM3_C_7G_2	0.0178211305631769	0.00662176124542495	0.000761166356574502	0.0122533227698031	0.0103655498906076	0.023504892700705	0.00161960324507289	0.00500009136666686	0.008242272899164	0.00562218433923957	0.00218156969493809	0	0.00581235967376439	0.00589426406591851	0.0136399554381821	0.00282950221219905	0.0199695470387224	0.0199272769396066	0.0221219060673452	0.0153699937469016	0.0182465443025922	0.00536419537704281	0.0291779910105875	0.00982672433654473	0.00918773173393375	0.0237597027773933	0.0087240862763712	0.00530913742101257	0.00401209096951345	0.00134834001400431	0.00953324843954354	0.00728666840766085	0.00569713851687082	0.00641323439574242	0.0256665102475724	0.035300754287062	0.030227317545226	0.0203511967677712	0.0371441928116236	0.00916965842099491	0.00613210262080515	0.011751062717421	0.00922370615225207	0.0114177576312932	0.00817210435064683	0.0166529820556948	0.0117754420084294	0.00311583813971463	0.0050469575362807	0.00842873554778287	0.023426207717364	0.000795573845756626	0.0162405260554777	0.00394179199228536	0.00598723050060852	0.0169338815639299	0.0113345776580611	0.00453512350856943	0.0255640088140926	0.00182132007531493
OM3_C_7G_3	0.0120092034931964	0.000809412422886804	0.00657351588771071	0.00644112275232011	0.00455328571768676	0.0176933730821386	0.00419277018819385	0.000812276532021927	0.00242995376448831	0.000190177499695128	0.00363080602694113	0.00581235967376439	0	8.190536966515e-05	0.0078278117071589	0.00298287455976034	0.0257808590966476	0.0257385929387667	0.0279330077199787	0.00955793111621678	0.0124346432256024	0.000448169164975951	0.0233670076933831	0.00401444449148316	0.00337543482325733	0.0179482044705891	0.00291177801584241	0.0005032276629634	0.00180028333383038	0.00716068011414027	0.00372096055179208	0.00147433048175533	0.000115222486319325	0.0122254349725129	0.0198551797125349	0.0294904949558744	0.0244164476067282	0.0145394350092281	0.0313341809673461	0.0033573610516398	0.000319746916863226	0.00593884422621462	0.00341141015856173	0.00560552744276029	0.00235978371059364	0.0108409873611106	0.00596322439040998	0.00269653855430269	0.000765409960409768	0.0142408515599036	0.0292371725797656	0.00660792286283878	0.0220521575581239	0.00187058261614393	0.000174872946704729	0.0111219026286272	0.00552234462025073	0.00127724789654605	0.0197526688884418	0.00763365156056388
OM3_C_7H_1	0.0119273022005222	0.000727507070035919	0.00665542000894243	0.00635921854928768	0.00447138092803493	0.0176114765763679	0.00427467504662121	0.00089418188102922	0.00234804855739957	0.000272082867807405	0.00371271101215335	0.00589426406591851	8.190536966515e-05	0	0.007745908064171	0.00306477966871824	0.0258627453714032	0.0258204792761499	0.0280148906688934	0.00947602832523431	0.0123527422277246	0.000530074527889576	0.023285117792966	0.00393253957158395	0.00329352977034895	0.0178663082223535	0.00282987288095998	0.000585133024298432	0.00188218860686322	0.00724258400373081	0.00363905556793705	0.00139242517056498	0.000197127855277302	0.0123073360444348	0.0197732855083878	0.0294086142315256	0.0243345591280393	0.0144575356209646	0.0312523034218949	0.00327545599530124	0.000237841549223694	0.00585693984732392	0.003329505112531	0.00552362295507941	0.00227787849408507	0.0107590853118141	0.0058813200197178	0.00277844371032782	0.00084731531160931	0.0143227511014128	0.0293190533824822	0.00668982697103753	0.0221340489600437	0.0019524878817053	9.29675771589257e-05	0.0110400007541931	0.00544044010639412	0.00135915321676515	0.0196707745691693	0.00771555524922661
OM3_C_7H_2	0.00418152827771176	0.00701841474394616	0.0144010697179702	0.00138671324637269	0.00327456654755412	0.00986603560660648	0.0120204446501233	0.00864006913616659	0.00539789363124453	0.00801798505653355	0.0114585044488326	0.0136399554381821	0.0078278117071589	0.007745908064171	0	0.0108105984679366	0.0336063031071912	0.0335640438224368	0.0357580886878606	0.00173016436780456	0.00460698721882841	0.00827597077675872	0.0155401820659055	0.00381340886083089	0.00445241777074869	0.0101208862413491	0.0049160726369082	0.00833102795908112	0.00962804785468717	0.0149881994328232	0.00410689272811813	0.00635350671514752	0.00794303170232699	0.0200525783025509	0.0120280166856124	0.0216644175402265	0.0165897357774696	0.00671188848592718	0.0235083686327579	0.0044704914886008	0.00750807132379503	0.00188899799244441	0.00441644253716268	0.00222231814641626	0.00546806310540651	0.00301326445389403	0.00186461755804031	0.0105242729957347	0.00859320376450462	0.0220678061870066	0.0370620210634819	0.014435474722728	0.0298781699286399	0.00969834493600588	0.00765294240267021	0.00329419051295303	0.00230550171589443	0.00910502794713695	0.0119254970170389	0.0154611417091428
OM3_C_7H_3	0.0149918913556341	0.00379228379481655	0.00359066587027385	0.00942393432168579	0.0075361246596282	0.020675868539145	0.00120990090101298	0.00217059985925829	0.00541281466747401	0.00279269761182907	0.000647933912132216	0.00282950221219905	0.00298287455976034	0.00306477966871824	0.0108105984679366	0	0.0227985979537029	0.0227563296491674	0.0249508608700014	0.0125406813430537	0.0154173189987649	0.00253470657479805	0.0263492445708271	0.00699728989155123	0.00635828710191383	0.0209306897386576	0.00589463475546487	0.00247964819294313	0.00118259343787371	0.0041778366638106	0.00670380921616879	0.0044571982174208	0.00286765241686563	0.00924267802073549	0.0228375844783977	0.0324723782290011	0.0273986293756885	0.0175220454688471	0.0343159426272291	0.0063402135125053	0.00330262037995604	0.00892166379920716	0.00639426207242435	0.00858835203858151	0.00534264517973149	0.0138237064948652	0.00894604358698459	0.000286336807635129	0.00221746636246421	0.01125814393216	0.0262550997544895	0.003625073210418	0.0190697215316032	0.00111229410530492	0.00315774693301488	0.0141046145004307	0.00850517043368293	0.00170562892644875	0.0227350781726792	0.00465081392259662
OM3_C_8A_1	0.0377859814905038	0.0265900775403399	0.0192084830542918	0.0322201134565974	0.0303329009371275	0.0434673220869012	0.0215889056001116	0.0249687654222521	0.0282101952338973	0.0255907254700595	0.022150778616405	0.0199695470387224	0.0257808590966476	0.0258627453714032	0.0336063031071912	0.0227985979537029	0	4.22760275265639e-05	0.00215269435554769	0.0353357514051253	0.0382112294116816	0.0253327922855081	0.0491375595907803	0.0297942262739284	0.0291554073994136	0.0437220131736435	0.0286918844547157	0.0252777461134349	0.0239809650860003	0.0186213828500188	0.0295008308690806	0.027254827464776	0.0256656632692034	0.0135569222488265	0.0456279018278807	0.0552567385597805	0.0501863084409307	0.040315024785854	0.0570989970051145	0.0291373389179297	0.0261005307880936	0.0317180073095396	0.029191372187368	0.0313848024294508	0.0281400444983123	0.0366182754563095	0.0317423792107214	0.0230848820040142	0.0250156217650365	0.0115414939212002	0.00345723118386015	0.0191740800019574	0.00372944676149313	0.0239106798267677	0.0259556911288944	0.0368990702855147	0.0313016472239818	0.0245038934052637	0.045525451059183	0.0181484584603914
OM3_C_8A_2	0.0377437266105926	0.0265478120099997	0.0191662125126434	0.0321778528236794	0.0302906385591272	0.0434250740113717	0.0215466364993814	0.0249264986539324	0.0281679310176746	0.0255484591675225	0.0221085098801312	0.0199272769396066	0.0257385929387667	0.0258204792761499	0.0335640438224368	0.0227563296491674	4.22760275265639e-05	0	0.00219497031214062	0.0352934938811147	0.0381689750085025	0.0252905257884248	0.0490953192430615	0.029751963416948	0.0291131439854202	0.0436797654251666	0.0286496206440451	0.0252354795750859	0.0239386976012698	0.0185791119786732	0.0294585677547936	0.0272125624643198	0.025623397023555	0.0135146489560104	0.0455856565866938	0.0552145075996948	0.0501440696249297	0.0402727728187597	0.0570567690841329	0.0290950754883611	0.0260582648758155	0.031675746202157	0.029149108804421	0.0313425410112762	0.028097780223597	0.0365760192944447	0.031700118126199	0.0230426138942021	0.0249733550314091	0.0114992198758741	0.00349950702972511	0.0191318094407158	0.00368717093994782	0.023868412292155	0.0259134251049652	0.0368568144282851	0.0312593857287501	0.0244616262962218	0.0454832056805291	0.0181061873308488
OM3_C_8A_3	0.0399375358122557	0.0287421928572217	0.0213608658900331	0.0343719699974373	0.0324848494865907	0.0456185204798113	0.0237412110817449	0.0271209464864992	0.0303622409296229	0.0277428817770965	0.0243030646001063	0.0221219060673452	0.0279330077199787	0.0280148906688934	0.0357580886878606	0.0249508608700014	0.00215269435554769	0.00219497031214062	0	0.0374874444457609	0.0403627587500948	0.0274849589297953	0.0512883550742526	0.0319462001122005	0.0313074106671599	0.0458731944899056	0.0308439086952791	0.0274299149509424	0.0261331842808441	0.0207737834569738	0.0316528182992231	0.0294069146895304	0.0278178165542938	0.0157094546365753	0.0477789523081272	0.0574070458981158	0.052337024191549	0.042466426577909	0.0592491465497084	0.0312893430092179	0.0282526663710379	0.0338698888478827	0.0313433738144335	0.0335367003492501	0.0302920932897738	0.0387698969997593	0.0338942595443716	0.0252371345261352	0.0271678009843041	0.0136940680030934	0.00130454027735537	0.021326463893341	0.00588212438148125	0.0260629016791045	0.0281078326392146	0.0390506758493035	0.0334535492061795	0.0266560925960844	0.0476765087092775	0.0203008730060668
OM3_C_8B_1	0.00245137006308841	0.00874854221833184	0.0161310943893848	0.00311687501844327	0.00500472107176948	0.00813591940464545	0.0137505096500959	0.010370179658403	0.00712803488376833	0.00974810245615161	0.013188577970827	0.0153699937469016	0.00955793111621678	0.00947602832523431	0.00173016436780456	0.0125406813430537	0.0353357514051253	0.0352934938811147	0.0374874444457609	0	0.00287683080660404	0.0100060853808097	0.0138101464391833	0.00554356053041438	0.00618256560253299	0.00839077283054481	0.0066462173766124	0.0100611419561381	0.0113581464964214	0.0167182131064524	0.00583704269605187	0.00808364022508576	0.00967314989913266	0.02178247981675	0.0102979266335889	0.0199345121831139	0.014859719284133	0.00498174418601759	0.0217785113044976	0.00620063920471794	0.0092381940131741	0.00361915825440019	0.0061465905980792	0.0039524772388151	0.00719820382677831	0.00128310240715693	0.00359477790027249	0.012254359842987	0.0103233148210816	0.0237976544372933	0.0387913179879927	0.0161654987611741	0.0316077651747059	0.0114284426875974	0.00938306362102208	0.00156402923815985	0.00403566049559792	0.0108351330246924	0.0101954055984555	0.0171911462211309
