	OM3_B_B_1	OM3_B_B_2	OM3_C_7A_1	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_3
OM3_C_7G_3	0.042593495445738	0.0741105408021699	0.0468497954245109	0.0273580050030609	0.0367291414713029	0.045097883721156	0.0566717099319814	0.0203554762119527	0.0237588106665189	0.0091652767941027	0	0.0400149078740704	0.0402516060341461	0.0117786606446211	0.0198143116776937	0.0505027621152348	0.0591435638753709	0.0290389127345414	0.0342032885474463	0.0232129303298334	0.0265524492006593	0.0384614040963339	0.0198663887578589	0.0429795813406438	0.0388589126045662	0.0247018955568209	0.0715182001499391	0.0520823644128717	0.0173039269328847	0.0273676456435608	0.00423969137259972	0.0230187129818044	0.016420527830963	0.0144064027722227	0.0266480041082126	0.0371513041292262	0.0279095786881608	0.027710820877698	0.0285837691584445	0.0359120989976373	0.0565728169605034	0.027579227704529	0.027653763910339	0.033376447239938	0.0245026216662948	0.0131237209081207	0.0123507291542875	0.0152573190400341	0.0228100875538028	0.0486532124057839	0.0234278158172333	0.034831845976212	0.0220773125158595
OM3_C_7H_1	0.0301041048658462	0.0583900703684596	0.027561810739696	0.0165137786134439	0.00707306084636908	0.0459962316152011	0.0351628943126092	0.0401458430324466	0.0242188089123772	0.0322325822216921	0.0400149078740704	0	0.0360465391281578	0.0285088053893605	0.0259316946951269	0.0159201184585294	0.0223149734754353	0.0110951664812496	0.0160881948620931	0.0205320330106881	0.0153614667568298	0.0141945451406264	0.0229282655503186	0.00903775175533918	0.00246712172785389	0.0205985656209051	0.0576057210567415	0.0243837034723077	0.0228045486529666	0.0141596954660769	0.0404528599787795	0.0240310423156048	0.0255870983107176	0.0282903828907577	0.0147718114697324	0.0155409352942996	0.0148232705975261	0.0125268710080918	0.0284804562400344	0.0117311359957762	0.0347739543937829	0.0397122596459625	0.0427455370829999	0.0192998314148397	0.0177033375056234	0.0456675847740064	0.0287231384540688	0.0249519661815669	0.0377184873733967	0.0295226713990341	0.0182558494628613	0.00752412641024664	0.0206306973974615
OM3_C_7H_2	0.00811902220828672	0.0339428513554074	0.0147416732515259	0.0409991953798456	0.0401838460101277	0.00997622117892305	0.0208480610650862	0.0227678569856515	0.0195538365687732	0.0399499197296244	0.0402516060341461	0.0360465391281578	0	0.0365839359220129	0.0438978333809689	0.0518746507035348	0.0382519644558694	0.0313577970255356	0.0464669466215504	0.0411925359949486	0.038326942819978	0.047434809836598	0.0402569043575648	0.0448873050776599	0.0374858033954722	0.0428913622535011	0.0313034555388253	0.0241284596047991	0.0342848070823409	0.0376428057179347	0.043839838778201	0.0449035308208929	0.0275455948090088	0.0409057720271467	0.0374612555180048	0.0478267056005029	0.039494422563468	0.0344256195618083	0.0125980824232385	0.0243336136795675	0.020999700194844	0.0156416319102638	0.0181381674212766	0.017102603371988	0.0257077164826622	0.0342132764506642	0.0385722558060506	0.0316939547115862	0.018970765457364	0.0149529871635094	0.0265629064290033	0.0388053462745797	0.0398846460725405
OM3_C_8B_1	0.0367125473437553	0.0693517068102254	0.0396263639850573	0.0157893102022355	0.0249574899357635	0.0436458137774031	0.0496177407832781	0.0227837934438986	0.0173631440578207	0.00415750281430482	0.0117786606446211	0.0285088053893605	0.0365839359220129	0	0.0101267232653903	0.0387932902813284	0.0486137789931757	0.0177589844625131	0.0228923106116899	0.0119490289507465	0.0147998835968625	0.0269676266293222	0.00870497178628138	0.0312138096852804	0.0272155370267149	0.0136724176151144	0.0671774848452591	0.043285848047885	0.00572157886940209	0.015592947601085	0.0119966239676263	0.0129082502606076	0.00906576253660518	0.00497997355689506	0.014873206725717	0.0257875385271779	0.0161935814093376	0.0160572687470221	0.0239980910489055	0.0259712199814973	0.0494400416141939	0.0279388740134048	0.0293320513726963	0.0253330779139234	0.0148323578427738	0.0213109735180048	0.0021146777909939	0.00533791910170108	0.0233518355566053	0.0416355476661259	0.0136260809971037	0.0230672605618011	0.0106362645180395
OM3_C_8B_3	0.0424595466979852	0.0750720110799507	0.0440053462162564	0.00971768952907648	0.0203461869133509	0.0519148496903222	0.0537743266151865	0.0327430537894903	0.0243945552243914	0.0107244113713378	0.0198143116776937	0.0259316946951269	0.0438978333809689	0.0101267232653903	0	0.0322987101474459	0.0479101109104978	0.0175322383302893	0.0151127473999455	0.00540381048085496	0.0105968147051661	0.0196466577095624	0.00387089376975884	0.0256527770911791	0.0239662030297805	0.00583301169069355	0.0732471232103789	0.0456670672267503	0.00967481633575703	0.0118254692925507	0.0180276541454519	0.00322899992768554	0.0172139708025542	0.00557461766009799	0.0112814158463605	0.0180653525899099	0.0111764990366292	0.0143278586406852	0.0314935613554642	0.0277802933050186	0.0535226970234374	0.0373340098691752	0.0390171143363069	0.0298489053205842	0.01892975106055	0.0311135452915998	0.00833147431349184	0.0129066197580024	0.0329537172602023	0.0461282922502613	0.0178374619729799	0.0188882931385378	0.00552089831055511
OM3_C_8C_1	0.0455857928719742	0.0714203657247715	0.0422006958729964	0.0232480826180419	0.0144875973845185	0.0618312684077257	0.04832913610358	0.0547559370875527	0.039312532299822	0.0416266398810664	0.0505027621152348	0.0159201184585294	0.0518746507035348	0.0387932902813284	0.0322987101474459	0	0.0285463801321135	0.0245808644624439	0.0173343724330394	0.0276227797456525	0.0240093592455525	0.0127514238256681	0.0308966415343541	0.00804608821989796	0.0149501719057632	0.0265388281317096	0.0711234221694649	0.0368966107654755	0.0336898200675079	0.0233154919201112	0.0497670519082938	0.029326092150005	0.0388022715129283	0.0366738681727212	0.024025618157888	0.0145282879404504	0.022610999760387	0.0239680163494886	0.0441947765956837	0.0276273881221291	0.0478941871880761	0.0551548043847771	0.0580794786070545	0.0352144976479729	0.0320741383935099	0.0586164718073417	0.0382166927789797	0.0368674666359581	0.0527374995991884	0.0439671782202934	0.0322820090200004	0.0164819196523283	0.028555902391022
OM3_C_8C_2	0.0301568353714267	0.0456909765272417	0.0238613423767655	0.0387571932260681	0.029079020856962	0.047087441103544	0.024608354840915	0.0527934940910203	0.0377943360123609	0.0526644567646459	0.0591435638753709	0.0223149734754353	0.0382519644558694	0.0486137789931757	0.0479101109104978	0.0285463801321135	0	0.0311335125799093	0.0378694020476347	0.042567848465944	0.0373425913376849	0.0348861666761138	0.0446084667068479	0.0274034189672334	0.0246168156781338	0.0428135209190442	0.0462244875214635	0.0146748245166511	0.0430190838900152	0.0361057491165795	0.0604786216891848	0.0462400444948835	0.0430029451580468	0.0494989090124187	0.0366378216420174	0.0366135887571278	0.0370031110056258	0.0337855093725105	0.0379995726851504	0.0233916105424434	0.0241455373231466	0.0491795695606186	0.0524141909233139	0.0283365998771434	0.0346925601506621	0.0614174722790222	0.0493286704207327	0.044033743420467	0.0493151694692846	0.0244790857709648	0.0357420111271986	0.0298225253634036	0.0424582957556371
OM3_C_8C_3	0.027587670809576	0.0592463496007248	0.0276273061238667	0.0104553219111151	0.0102976816927103	0.0408152463004118	0.0370017577786774	0.0301953545562266	0.0150742777117694	0.0216870472550856	0.0290389127345414	0.0110951664812496	0.0313577970255356	0.0177589844625131	0.0175322383302893	0.0245808644624439	0.0311335125799093	0	0.0151184388478296	0.0126476108392082	0.00797012090748068	0.0165005031382151	0.0138707478298623	0.0165468457880598	0.0104014277166398	0.013648857859127	0.0578063794408851	0.0282291995777352	0.0120509799712743	0.00692019216467319	0.0297517994064651	0.0167369742145175	0.0146422733021252	0.0183974152926243	0.00704711744926529	0.0166198708592934	0.00866378340876612	0.00354965760133903	0.0209865936406261	0.0104556127141253	0.0367077428657001	0.0310746178500739	0.0338426065470127	0.0146889584950743	0.00754551083143088	0.0347581256680987	0.0182694981601729	0.0138798808993842	0.028288162164277	0.0297731251136288	0.0077060829749237	0.00842503776892086	0.0120448084155119
OM3_C_8E_1	0.0424086258566009	0.0731256483559356	0.0415810628630423	0.00734200987019301	0.00901558849640766	0.0558748873766372	0.0502188489786673	0.0424581502878748	0.029236046949369	0.0250852338231154	0.0342032885474463	0.0160881948620931	0.0464669466215504	0.0228923106116899	0.0151127473999455	0.0173343724330394	0.0378694020476347	0.0151184388478296	0	0.0110072999648498	0.00939807525071717	0.00458470559182657	0.0143491496741247	0.0117025931136592	0.0136249812001172	0.00955405868497736	0.0719759778750547	0.0400396925860145	0.0187273441102898	0.00950059070914159	0.0329611236079224	0.0120418043887735	0.0255751318854775	0.019918614213197	0.00997225753700788	0.0029690920222429	0.00784979934553408	0.0122412178193269	0.0357548356921613	0.0240701092419602	0.0498676212224375	0.0448840259076837	0.0473284089712708	0.0296881839651966	0.0216394280102728	0.0438980323877976	0.0218913965911854	0.022435666211127	0.0414003813979509	0.0436857162225354	0.0212204637548095	0.00904515305152068	0.0122574291787575
OM3_C_8E_2	0.0389186312085201	0.0712564701980607	0.0398587574900705	0.00448241782345703	0.0150371079465595	0.0497811198710961	0.0494530233317923	0.0329229134590052	0.0221109699195334	0.0141283291234158	0.0232129303298334	0.0205320330106881	0.0411925359949486	0.0119490289507465	0.00540381048085496	0.0276227797456525	0.042567848465944	0.0126476108392082	0.0110072999648498	0	0.00522949040645097	0.0152770735224145	0.00334728747490241	0.0206015923317343	0.0185668215309876	0.00194477658505782	0.0696025799301775	0.0408668377296236	0.00861323114410708	0.00646919805478911	0.0221695213253677	0.00410945671835867	0.0162832194931588	0.00906050017456533	0.00597638843987036	0.0139465818650047	0.00578769026524505	0.00924249808112815	0.0291853882473107	0.0230759549026319	0.049177357983796	0.0365036469579637	0.0385625631346344	0.0260405019198342	0.0155611718539105	0.0331574187390691	0.0108857103745242	0.0124304319242473	0.0324868440434061	0.0420002526690088	0.0146415168261519	0.0135161063542452	0.00152819033838817
