	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7G_3	OM3_C_7H_1	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_3	OM3_C_9H_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_2	OM3_H_3H_2	OM3_H_3H_3
OM3_C_8B_2	0.0346677027822918	0.024238377765701	0.0191185420200078	0.0172380816912807	0.0533708034394571	0.042730381471705	0.0127458715557752	0.0406846388924915	0.00498628846236865	0.0312734609685398	0.0310418404983711	0.0176637650082192	0.0126344199861581	0	0.0138979778062073	0.0538907917463552	0.0544671482517395	0.0517365096650088	0.0426561073021904	0.0453530249798303	0.00940941822318089	0.0165463346476466	0.117806340015827	0.117825203914722	0.019030466327793	0.0137914242707034	0.0883990591203526	0.0941068564027947	0.0853045870630631	0.0838920718880659	0.0143368582640771	0.00884770676430494	0.010625012251817	0.00582910552814424	0.0136540102117142	0.0731712035434912	0.00741107629338171	0.0110385692141821	0.0196014148591273	0.00410058518220761	0.0206238962771496	0.00755352450066469	0.01447987341108
OM3_C_8B_3	0.041973897575501	0.0309668410401514	0.0227984056334199	0.00633340928861004	0.0616039057401055	0.0500915777232289	0.0164969418649696	0.0487080896739174	0.0121808374548844	0.0386707859218063	0.0409533145240349	0.0247500755364598	0.0164177506524605	0.0138979778062073	0	0.0630329816651331	0.0630526286233437	0.0616711552925319	0.0517656770906853	0.0548869821336397	0.0121187360398763	0.00573053916039494	0.125615384556716	0.12566869009782	0.00737639080229163	0.0108212567462554	0.0973694134358642	0.103009907534094	0.0945779219044169	0.0933698698475516	0.0174526088822056	0.00781892937460013	0.00406220590369863	0.0100237745674268	0.00705967422486171	0.074304071601802	0.0142765954943059	0.00988833708229578	0.0161208453903889	0.0102570317890257	0.0174020952015013	0.0111685296801643	0.00916098905464976
OM3_C_8C_1	0.0219499566072749	0.0323565166434456	0.0416850996286759	0.0688142456877918	0.00659268708469269	0.0147585354903856	0.046773364484325	0.0159913523702903	0.0527983226085492	0.0257621728287476	0.0231235913740539	0.0383980435711202	0.0467298420292124	0.0538907917463552	0.0630329816651331	0	0.0066521820147949	0.00528489303498443	0.0117408485737556	0.009570582320552	0.0509880819708634	0.0674167751429183	0.0644404852023256	0.0645034149763714	0.0674681446494376	0.067375559346425	0.0347273108618633	0.0409760528961049	0.0319192164470704	0.0312933431622894	0.0460019417929671	0.0557884494637971	0.0591201425365288	0.0539877621966704	0.0664814631295853	0.0445826892237174	0.0493337088891658	0.0591634076116547	0.0734121582432675	0.0551037466753727	0.0544947238861154	0.0522966920740659	0.0671158106226016
OM3_C_8C_2	0.0213942134793747	0.0323532589187406	0.040935458718067	0.068890062144821	0.00277595447141103	0.014403770828426	0.0470774872165629	0.0144253855418198	0.0534650133971735	0.0246048286530072	0.0249171186358548	0.0383867048676944	0.0468860553230987	0.0544671482517395	0.0630526286233437	0.0066521820147949	0	0.0085360272974326	0.0120904588065751	0.0100257071678911	0.0510096161731153	0.0672057208902653	0.0638168667497253	0.0637286761151214	0.0668737874153445	0.0675832991843779	0.0347586567326019	0.0400937955719942	0.0318933796919544	0.0306875554142828	0.0457722110319259	0.0561731647429883	0.0592502893246537	0.0543443657887975	0.066841722185329	0.0436834132808135	0.0495210031035179	0.0586030037490871	0.0740047328684837	0.055389242475494	0.0528615148446709	0.0526832206231693	0.0678066711928974
OM3_C_8C_3	0.0217305876652963	0.0315750720705749	0.0407776449460213	0.067246319510809	0.00950361910632861	0.01605159144313	0.0456986645048992	0.0156071475022392	0.0511001458188964	0.0248176233655715	0.0213782517826306	0.0370982123936644	0.0456041941021627	0.0517365096650088	0.0616711552925319	0.00528489303498443	0.0085360272974326	0	0.010507185102987	0.00725427419580082	0.0495944630272538	0.0658074077027151	0.0673427683905816	0.0673214587739545	0.0660352694167932	0.0652493110709686	0.036977912303839	0.0428961604397246	0.0337339523468665	0.0325290510575391	0.0449275520623602	0.054410098534818	0.0577123122540492	0.052348477611381	0.0647064558061448	0.0494540595060309	0.0476702077550897	0.057236865857775	0.0712410788279555	0.0532328151690228	0.0533893961204146	0.0508330897266865	0.0653799168623829
OM3_C_8E_1	0.0112888959838678	0.0213014629576756	0.0303986002021084	0.0574978136491389	0.0111819858864444	0.00763464240765441	0.0357303536935767	0.00581350060333392	0.0416904608333845	0.0143986138101933	0.0128961902763519	0.0270463921784521	0.0355873325243476	0.0426561073021904	0.0517656770906853	0.0117408485737556	0.0120904588065751	0.010507185102987	0	0.00366248531252138	0.0396668983566247	0.0559751442371169	0.0754248342358476	0.0754131585555407	0.0559909526644783	0.0559855053384463	0.0459539935296767	0.0516909746527189	0.0429816290233402	0.041811921039158	0.0347417981064855	0.0446563371576099	0.047865734454478	0.0427315237062404	0.0552226565065663	0.0467208589545257	0.0379724174409068	0.0475252571900181	0.0622276415425266	0.0437545932430083	0.0431006219086624	0.0411153650933139	0.0560510746738387
OM3_C_8E_2	0.0148619559084855	0.0247110857797565	0.0336869112112287	0.0605223413627137	0.0098786329717406	0.0106585794977671	0.0389867900799899	0.00877052584556211	0.0446386344893107	0.0176133785866469	0.0155662625432539	0.0302232440161964	0.0388260796294227	0.0453530249798303	0.0548869821336397	0.009570582320552	0.0100257071678911	0.00725427419580082	0.00366248531252138	0	0.0427839152394309	0.0589759821887968	0.0730650403228464	0.0730167343236185	0.0590538788143676	0.0587161665181676	0.0432250801590257	0.0488697423061999	0.0400864324451172	0.0387454699902638	0.0379967145901352	0.0477707913774435	0.0509695448075159	0.0457245158092097	0.0581421679090895	0.0483356154541655	0.0409587703767277	0.0503419505757804	0.0649203035796491	0.0466272928113218	0.0461663130541851	0.0441937830709785	0.0589738607715936
OM3_C_8F_2	0.0300357565894384	0.019048278500636	0.011626602042626	0.0179603560913372	0.0496011509625652	0.03822362307042	0.00538572377145091	0.0366942004730206	0.00622375255611661	0.0267212179161093	0.0290511676280273	0.0126567067430868	0.00490345716987517	0.00940941822318089	0.0121187360398763	0.0509880819708634	0.0510096161731153	0.0495944630272538	0.0396668983566247	0.0427839152394309	0	0.0165970569632148	0.113849910410964	0.113888026040915	0.0171192902442372	0.0183432045301198	0.0853620271266824	0.0910047921176648	0.0825317875292591	0.0813077342679787	0.00604964444154211	0.00580460408399034	0.00826586990797007	0.0047371176212539	0.0163935864738817	0.0655208534961018	0.00336525034485947	0.0108279365219306	0.0248736157485189	0.00669834019481422	0.0135870885171315	0.00326224258539313	0.0178199225452233
OM3_C_8F_3	0.0463922970226636	0.0355386542154848	0.0270306668612355	0.0033922072488852	0.0658876365238809	0.0546437807344469	0.021500925640553	0.0528742500438989	0.016355741528806	0.0427559542019665	0.0453271977015355	0.0291053341244362	0.0212671974383692	0.0165463346476466	0.00573053916039494	0.0674167751429183	0.0672057208902653	0.0658074077027151	0.0559751442371169	0.0589759821887968	0.0165970569632148	0	0.130045509700207	0.130047346250449	0.00444547839141248	0.00806691464508481	0.101670400696188	0.107122889838835	0.098773163616368	0.0973798101782831	0.0220141566288093	0.0128668003634442	0.00906262702306155	0.0141913787415798	0.00616475440008348	0.0793562392488864	0.0183262153302332	0.0101379818536639	0.0130884115072585	0.0134174519003559	0.0193601155207635	0.0158529924762957	0.00928893215393387
OM3_C_9A_1	0.0839732904998998	0.0949315375903782	0.103331679996254	0.13165177920614	0.0647461816014998	0.0758224441634687	0.109505722851468	0.0777148110353778	0.116421150230908	0.0877094915400101	0.0874118737151913	0.101394531073357	0.109430682654801	0.117806340015827	0.125615384556716	0.0644404852023256	0.0638168667497253	0.0673427683905816	0.0754248342358476	0.0730650403228464	0.113849910410964	0.130045509700207	0	0.0018538467630801	0.12938017825409	0.130921231259036	0.031033447537714	0.0265653453274304	0.0349174929122801	0.0375772710821634	0.108312249041703	0.118817915326137	0.121939654490869	0.117351112873491	0.129837643213609	0.0703011628878744	0.112664914206275	0.121838282982013	0.137202558212352	0.118628579277466	0.114591397294404	0.115501312424401	0.130617389898575
